productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
628448,Starter Deck 22: Ace & Newgate,Starter Deck 22 Ace and Newgate,https://tcgplayer-cdn.tcgplayer.com/product/628448_200w.jpg,68,24304,https://cpt.tcgcsv.com/-n27,2025-09-05T04:16:27.387,1,10.15,18.9,32.69,13.56,,Normal,,,,,,,,,,,
628449,Starter Deck 22: Ace & Newgate Display,Starter Deck 22 Ace and Newgate Display,https://tcgplayer-cdn.tcgplayer.com/product/628449_200w.jpg,68,24304,https://cpt.tcgcsv.com/_n27,2025-09-05T04:16:27.387,1,58.91,79.0,154.85,90.33,,Normal,,,,,,,,,,,
647683,Ace & Newgate,Ace and Newgate,https://tcgplayer-cdn.tcgplayer.com/product/647683_200w.jpg,68,24304,https://cpt.tcgcsv.com/H5c7,2025-09-05T04:16:27.387,1,0.15,0.55,2.99,0.41,,Normal,L,ST22-001,"[Activate: Main] [Once Per Turn] <strong>You may reveal 1 card with a type including ""Whitebeard Pirates"" from your hand:</strong> Draw 1 card and place the revealed card at the top of your deck.",Blue,Leader,5,5000,The Four Emperors;Whitebeard Pirates,Special,,
647684,Ace & Newgate (Parallel),Ace and Newgate Parallel,https://tcgplayer-cdn.tcgplayer.com/product/647684_200w.jpg,68,24304,https://cpt.tcgcsv.com/J5c7,2025-09-05T04:16:27.387,1,9.79,12.45,99.0,11.2,,Foil,L,ST22-001,"[Activate: Main] [Once Per Turn] <strong>You may reveal 1 card with a type including ""Whitebeard Pirates"" from your hand:</strong> Draw 1 card and place the revealed card at the top of your deck.",Blue,Leader,5,5000,The Four Emperors;Whitebeard Pirates,Special,,
647685,Izo,Izo,https://tcgplayer-cdn.tcgplayer.com/product/647685_200w.jpg,68,24304,https://cpt.tcgcsv.com/K5c7,2025-09-05T04:16:27.387,1,1.94,2.65,15.0,2.55,,Foil,SR,ST22-002,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[On Your Opponent's Attack] <strong>You may trash this Character:</strong> Draw 1 card and place 1 card from your hand at the bottom of your deck.",Blue,Character,,,Land of Wano;Whitebeard Pirates,Ranged,1,1000
647686,Izo (Parallel),Izo Parallel,https://tcgplayer-cdn.tcgplayer.com/product/647686_200w.jpg,68,24304,https://cpt.tcgcsv.com/L5c7,2025-09-05T04:16:27.387,1,16.95,21.24,30.53,19.73,,Foil,SR,ST22-002,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[On Your Opponent's Attack] <strong>You may trash this Character:</strong> Draw 1 card and place 1 card from your hand at the bottom of your deck.",Blue,Character,,,Land of Wano;Whitebeard Pirates,Ranged,1,1000
647687,Edward.Newgate,EdwardNewgate,https://tcgplayer-cdn.tcgplayer.com/product/647687_200w.jpg,68,24304,https://cpt.tcgcsv.com/M5c7,2025-09-05T04:16:27.387,1,0.02,0.17,1.33,0.11,,Normal,C,ST22-003,"[Double Attack] <em>(This card deals 2 damage.)</em><br>
[On Play] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", draw 2 cards.",Blue,Character,,10000,The Four Emperors;Whitebeard Pirates,Special,9,
647688,Edward.Newgate (Parallel),EdwardNewgate Parallel,https://tcgplayer-cdn.tcgplayer.com/product/647688_200w.jpg,68,24304,https://cpt.tcgcsv.com/N5c7,2025-09-05T04:16:27.387,1,3.0,4.0,35.0,3.8,,Foil,C,ST22-003,"[Double Attack] <em>(This card deals 2 damage.)</em><br>
[On Play] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", draw 2 cards.",Blue,Character,,10000,The Four Emperors;Whitebeard Pirates,Special,9,
647689,Elmy,Elmy,https://tcgplayer-cdn.tcgplayer.com/product/647689_200w.jpg,68,24304,https://cpt.tcgcsv.com/P5c7,2025-09-05T04:16:27.387,1,0.01,0.1,1.32,0.07,,Normal,C,ST22-004,,Blue,Character,,5000,Whitebeard Pirates Allies,Strike,3,1000
647690,Elmy (Parallel),Elmy Parallel,https://tcgplayer-cdn.tcgplayer.com/product/647690_200w.jpg,68,24304,https://cpt.tcgcsv.com/Q5c7,2025-09-05T04:16:27.387,1,0.39,0.55,2.99,0.48,,Foil,C,ST22-004,,Blue,Character,,5000,Whitebeard Pirates Allies,Strike,3,1000
