productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
106996,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/106996_200w.jpg,3,1663,https://cpt.tcgcsv.com/XPS,2024-02-15T14:59:12.013,1,001/102,Holo Rare,Psychic,80,Stage 2,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.","[PPP] Confuse Ray (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,3,275.0,350.0,479.99,301.44,,1st Edition Holofoil,,
106996,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/106996_200w.jpg,3,1663,https://cpt.tcgcsv.com/XPS,2024-02-15T14:59:12.013,1,001/102,Holo Rare,Psychic,80,Stage 2,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.","[PPP] Confuse Ray (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,3,106.97,249.67,302.89,242.31,,Unlimited Holofoil,,
106997,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/106997_200w.jpg,3,1663,https://cpt.tcgcsv.com/ZPS,2022-11-15T15:52:45.847,1,002/102,Holo Rare,Water,100,Stage 2,"<strong>Pokémon Power: Rain Dance</strong> As often as you like during your turn <em>(before your attack)</em>, you may attach 1 Water Energy card to 1 of your Water Pokémon. <em>(This doesn't use up your 1 Energy card attachment for the turn.)</em> This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.","[WWW] Hydro Pump (40+)
<br>Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.",L,3,999.99,1130.25,1260.5,597.77,,1st Edition Holofoil,,
106997,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/106997_200w.jpg,3,1663,https://cpt.tcgcsv.com/ZPS,2022-11-15T15:52:45.847,1,002/102,Holo Rare,Water,100,Stage 2,"<strong>Pokémon Power: Rain Dance</strong> As often as you like during your turn <em>(before your attack)</em>, you may attach 1 Water Energy card to 1 of your Water Pokémon. <em>(This doesn't use up your 1 Energy card attachment for the turn.)</em> This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.","[WWW] Hydro Pump (40+)
<br>Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.",L,3,390.0,394.99,870.5,873.99,,Unlimited Holofoil,,
106998,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/106998_200w.jpg,3,1663,https://cpt.tcgcsv.com/-PS,2022-11-15T15:54:57.7,1,003/102,Holo Rare,Psychic,120,Basic,,"[2] Scrunch
<br>Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",F,1,494.99,495.0,3500.0,193.07,,1st Edition Holofoil,"[4] Double-edge (80)
<br>Chansey does 80 damage to itself.",P-30
106998,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/106998_200w.jpg,3,1663,https://cpt.tcgcsv.com/-PS,2022-11-15T15:54:57.7,1,003/102,Holo Rare,Psychic,120,Basic,,"[2] Scrunch
<br>Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",F,1,34.75,43.25,77.0,109.95,,Unlimited Holofoil,"[4] Double-edge (80)
<br>Chansey does 80 damage to itself.",P-30
106999,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/106999_200w.jpg,3,1663,https://cpt.tcgcsv.com/_PS,2023-01-13T23:32:40.3,1,004/102,Holo Rare,Fire,120,Stage 2,"<strong>Pokémon Power: Energy Burn</strong> As often as you like during your turn <em>(before your attack)</em>, you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.","[RRRR] Fire Spin (100)
<br>Discard 2 Energy cards attached to Charizard in order to use this attack.",W,3,794.98,1099.9,3187.0,1923.19,,Unlimited Holofoil,,F-30
107000,Gyarados,Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/107000_200w.jpg,3,1663,https://cpt.tcgcsv.com/0QS,2022-11-15T16:11:24.51,1,006/102,Holo Rare,Water,100,Stage 1,,[WWW] Dragon Rage (50),G,3,649.91,649.96,650.0,225.0,,1st Edition Holofoil,"[WWWW] Bubblebeam (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F-30
107000,Gyarados,Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/107000_200w.jpg,3,1663,https://cpt.tcgcsv.com/0QS,2022-11-15T16:11:24.51,1,006/102,Holo Rare,Water,100,Stage 1,,[WWW] Dragon Rage (50),G,3,46.38,53.7,123.45,109.89,,Unlimited Holofoil,"[WWWW] Bubblebeam (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F-30
107001,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/107001_200w.jpg,3,1663,https://cpt.tcgcsv.com/2QS,2024-02-05T06:43:29.897,1,005/102,Holo Rare,Colorless,40,Basic,,"[1] Sing
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",F,1,279.98,299.99,475.0,299.0,,1st Edition Holofoil,"[3] Metronome
<br>Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)</em>",P-30
107001,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/107001_200w.jpg,3,1663,https://cpt.tcgcsv.com/2QS,2024-02-05T06:43:29.897,1,005/102,Holo Rare,Colorless,40,Basic,,"[1] Sing
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",F,1,49.0,69.39,344.72,135.48,,Unlimited Holofoil,"[3] Metronome
<br>Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)</em>",P-30
107002,Hitmonchan,Hitmonchan,https://tcgplayer-cdn.tcgplayer.com/product/107002_200w.jpg,3,1663,https://cpt.tcgcsv.com/3QS,2022-11-15T17:50:16.91,1,007/102,Holo Rare,Fighting,70,Basic,,[F] Jab (20),P,2,239.0,250.99,404.71,449.99,,1st Edition Holofoil,[1FF] Special Punch (40),
107002,Hitmonchan,Hitmonchan,https://tcgplayer-cdn.tcgplayer.com/product/107002_200w.jpg,3,1663,https://cpt.tcgcsv.com/3QS,2022-11-15T17:50:16.91,1,007/102,Holo Rare,Fighting,70,Basic,,[F] Jab (20),P,2,25.0,47.8,90.99,51.07,,Unlimited Holofoil,[1FF] Special Punch (40),
107003,Magneton,Magneton,https://tcgplayer-cdn.tcgplayer.com/product/107003_200w.jpg,3,1663,https://cpt.tcgcsv.com/5QS,2022-11-15T19:23:07.577,1,009/102,Holo Rare,Lightning,60,Stage 1,,"[1LL] Thunder Wave (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F,1,165.0,181.1,304.96,207.06,,1st Edition Holofoil,"[2LL] Selfdestruct (80)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 80 damage to itself.",
107003,Magneton,Magneton,https://tcgplayer-cdn.tcgplayer.com/product/107003_200w.jpg,3,1663,https://cpt.tcgcsv.com/5QS,2022-11-15T19:23:07.577,1,009/102,Holo Rare,Lightning,60,Stage 1,,"[1LL] Thunder Wave (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F,1,43.0,58.48,149.99,47.17,,Unlimited Holofoil,"[2LL] Selfdestruct (80)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 80 damage to itself.",
