productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
475444,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/475444_200w.jpg,3,17689,https://cpt.tcgcsv.com/VbQ5,2025-05-09T02:04:57.84,1,GG19/GG70,Ultra Rare,Dragon,90,Stage 1,"<strong>Ability — Tempting Tune</strong>
<br>
Once during your turn, you may search your deck for a Supporter card, reveal it, shuffle your deck, then put that card on top of it.",[WM] Glide (60),None,None,0,3.0,4.5,25.0,4.33,4.56,Holofoil,
475445,Ditto,Ditto,https://tcgplayer-cdn.tcgplayer.com/product/475445_200w.jpg,3,17689,https://cpt.tcgcsv.com/WbQ5,2023-07-28T12:44:40.82,1,GG22/GG70,Ultra Rare,Normal,70,Basic,"<strong>Ability — Sudden Transformation</strong>
<br>
This Pokémon can use the attacks of any Basic Pokémon in your discard pile, except for Pokémon with a Rule Box <em>(Pokémon V, Pokémon-GX, etc. have Rule Boxes)</em>. <em>(You still need the necessary Energy to use each attack.)</em>",,Fx2,None,1,3.78,5.85,999.99,5.56,7.16,Holofoil,
475643,Bibarel,Bibarel,https://tcgplayer-cdn.tcgplayer.com/product/475643_200w.jpg,3,17689,https://cpt.tcgcsv.com/TgQ5,2023-07-28T12:43:50.98,1,GG25/GG70,Ultra Rare,Colorless,120,Stage 1,"<strong>Ability — Industrious Incisors</strong>
<br>Once during your turn, you may draw cards until you have 5 cards in your hand.","[3] Tail Smash (100)
<br>
Flip a coin. If tails, this attack does nothing.",Fx2,None,2,1.2,2.13,20.0,2.01,,Holofoil,
477049,Lapras,Lapras,https://tcgplayer-cdn.tcgplayer.com/product/477049_200w.jpg,3,17689,https://cpt.tcgcsv.com/_QQ5,2023-07-28T12:49:46.063,1,GG05/GG70,Ultra Rare,Water,130,Basic,,"[1WW] Raging Freeze (110)
<br>If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, your opponent's Active Pokémon is now Paralyzed.",Lx2,None,2,12.0,20.79,89.0,17.7,19.98,Holofoil,
477050,Hisuian Zoroark VSTAR,Hisuian Zoroark VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477050_200w.jpg,3,17689,https://cpt.tcgcsv.com/0RQ5,2023-01-20T14:25:15.467,1,GG56/GG70,Ultra Rare,Colorless,270,VSTAR,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
<strong>Ability — Phantom Star</strong>
<br>
During your turn, you may discard your hand and draw 7 cards. <em>(You can't use more than 1 VSTAR Power in a game.)</em>
<br><br>
<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[2] Ticking Curse (50x)
<br>
This attack does 50 damage for each of your Pokémon that has any damage counters on it.",Fx2,,2,21.44,30.0,100.0,27.84,34.4,Holofoil,
477052,Cynthia's Ambition,Cynthias Ambition,https://tcgplayer-cdn.tcgplayer.com/product/477052_200w.jpg,3,17689,https://cpt.tcgcsv.com/3RQ5,2024-10-10T11:45:09.933,1,GG60/GG70,Ultra Rare,Supporter,,,"Draw cards until you have 5 cards in your hand. If any of your Pokémon were Knocked Out during your opponent's last turn, draw cards until you have 8 cards in your hand instead.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,17.79,21.6,100.0,17.79,23.13,Holofoil,
477056,Thievul,Thievul,https://tcgplayer-cdn.tcgplayer.com/product/477056_200w.jpg,3,17689,https://cpt.tcgcsv.com/8RQ5,2023-07-28T13:00:40.047,1,GG17/GG70,Ultra Rare,Darkness,100,Stage 1,"<strong>Ability — Baffling</strong>
<br>
If your opponent has 2 or fewer Prize cards remaining, whenever your opponent plays a Supporter card from their hand, prevent all effects of that card done to your Benched Pokémon V.",[1DD] Sharp Fang (110),Gx2,None,1,1.2,1.99,15.0,1.78,,Holofoil,
477057,Mewtwo VSTAR,Mewtwo VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477057_200w.jpg,3,17689,https://cpt.tcgcsv.com/9RQ5,2024-02-28T15:52:19.837,1,GG44/GG70,Ultra Rare,Psychic,280,VSTAR,"<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[1P] Psy Purge (90x)
<br>
Discard up to 3 Psychic Energy from your Pokémon. This attack does 90 damage for each card you discarded in this way.",Dx2,F-30,2,180.0,239.9,499.99,211.89,239.9,Holofoil,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
[1P] Star Raid
<br>
This attack does 120 damage to each of your opponent's Pokémon V. This damage isn't affected by Weakness or Resistance. <em>(You can't use more than 1 VSTAR Power in a game.)</em>"
477058,Gardenia's Vigor,Gardenias Vigor,https://tcgplayer-cdn.tcgplayer.com/product/477058_200w.jpg,3,17689,https://cpt.tcgcsv.com/bRQ5,2023-01-20T14:25:15.467,1,GG61/GG70,Ultra Rare,Supporter,,,"Draw 2 cards. If you drew any cards in this way, attach up to 2 Grass Energy cards from your hand to 1 of your Benched Pokémon.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,9.25,11.18,50.0,10.68,12.0,Holofoil,
477059,Deoxys VSTAR,Deoxys VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477059_200w.jpg,3,17689,https://cpt.tcgcsv.com/cRQ5,2025-08-21T20:20:06.637,1,GG46/GG70,Ultra Rare,Psychic,270,VSTAR,"<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[1PP] Psychic Javelin (190)
<br>
This attack also does 60 damage to 1 of your opponent's Benched Pokémon V. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Dx2,F-30,2,32.0,37.97,75.0,32.96,37.94,Holofoil,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
[P] Star Force (60x)
<br>
This attack does 60 damage for each Energy attached to both Active Pokémon. <em>(You can't use more than 1 VSTAR Power in a game.)</em>"
477060,Leafeon VSTAR,Leafeon VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477060_200w.jpg,3,17689,https://cpt.tcgcsv.com/dRQ5,2023-05-22T19:30:57.267,1,GG35/GG70,Ultra Rare,Grass,260,VSTAR,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
<strong>Ability — Ivy Star</strong>
<br>
During your turn, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon. <em>(You can't use more than 1 VSTAR Power in a game.)</em>
<br><br>
<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[1GG] Leaf Guard (180)
<br>
During your opponent's next turn, this Pokémon takes 30 less damage from attacks <em>(after applying Weakness and Resistance)</em>.",Rx2,None,2,50.0,67.62,138.0,57.14,54.5,Holofoil,
477061,Glaceon VSTAR,Glaceon VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477061_200w.jpg,3,17689,https://cpt.tcgcsv.com/fRQ5,2024-11-22T07:15:39.16,1,GG40/GG70,Ultra Rare,Water,260,VSTAR,"<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[1WW] Icicle Shot (180)
<br>
During your opponent's next turn, the Defending Pokémon can't retreat.",Mx2,None,2,43.0,54.54,130.0,50.01,50.0,Holofoil,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
[1WW] Crystal Star (220)
<br>
During your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. <em>(You can't use more than 1 VSTAR Power in a game.)</em>"
477062,Zeraora VMAX,Zeraora VMAX,https://tcgplayer-cdn.tcgplayer.com/product/477062_200w.jpg,3,17689,https://cpt.tcgcsv.com/gRQ5,2023-01-20T14:25:15.467,1,GG42/GG70,Ultra Rare,Lightning,320,VMAX,,"[LL] Reactive Pulse (60x)
<br>
This attack does 60 damage for each of your opponent's Pokémon in play that has an Ability.",Fx2,None,2,11.61,16.44,55.0,14.64,22.12,Holofoil,"[1LL] Max Fist (240)
<br>
Discard 2 Energy from this Pokémon."
477181,Hoopa V,Hoopa V,https://tcgplayer-cdn.tcgplayer.com/product/477181_200w.jpg,3,17689,https://cpt.tcgcsv.com/FTQ5,2023-01-20T14:25:15.467,1,GG53/GG70,Ultra Rare,Darkness,220,Basic,"<strong>Ability — Two-Faced</strong>
<br>
As long as this Pokémon is in play, it is Psychic and Darkness type.
<br><br>
<em>V rule — When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.</em>","[1DD] Shadow Impact (170)
<br>
Put 3 damage counters on 1 of your Pokémon.",Gx2,None,2,5.86,9.99,28.49,9.41,6.95,Holofoil,
477354,Deoxys VMAX,Deoxys VMAX,https://tcgplayer-cdn.tcgplayer.com/product/477354_200w.jpg,3,17689,https://cpt.tcgcsv.com/6ZQ5,2023-01-20T14:25:15.467,1,GG45/GG70,Ultra Rare,Psychic,330,VMAX,"<strong>Ability — Protective DNA</strong>
<br>
All of your Pokémon take 30 less damage from attacks from your opponent's Pokémon VSTAR <em>(after applying Weakness and Resistance)</em>.
<br><br>
<em>VMAX rule — When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.</em>","[2P] Max Drain (160)
<br>
Heal 30 damage from this Pokémon.",Dx2,F-30,3,37.63,55.0,75.74,50.5,53.72,Holofoil,
478017,Hisuian Voltorb,Hisuian Voltorb,https://tcgplayer-cdn.tcgplayer.com/product/478017_200w.jpg,3,17689,https://cpt.tcgcsv.com/mdR5,2025-03-09T15:33:22.783,1,GG01/GG70,Ultra Rare,Grass,50,Basic,,"[0] Cheerful Charge
<br>You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokémon. For each of those Pokémon, search your deck for a basic Energy card and attach it to the Pokémon. Then, shuffle your deck.",Rx2,None,1,0.5,1.91,999.99,1.53,,Holofoil,[G] Ram (10)
