productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83460,Accelgor,Accelgor,https://tcgplayer-cdn.tcgplayer.com/product/83460_200w.jpg,3,1386,https://cpt.tcgcsv.com/dpH,2023-01-05T18:53:43.093,1,11/108,Rare,Grass,90,Stage 1,[G] Hammer In (20),[2] Deck and Cover (50) The Defending Pokemon is now Paralyzed and Poisoned.  Shuffle this Pokemon and all cards attached to it into your deck.,Rx2,0,0.5,1.0,1.33,1.24,,Normal,,
83460,Accelgor,Accelgor,https://tcgplayer-cdn.tcgplayer.com/product/83460_200w.jpg,3,1386,https://cpt.tcgcsv.com/dpH,2023-01-05T18:53:43.093,1,11/108,Rare,Grass,90,Stage 1,[G] Hammer In (20),[2] Deck and Cover (50) The Defending Pokemon is now Paralyzed and Poisoned.  Shuffle this Pokemon and all cards attached to it into your deck.,Rx2,0,1.3,1.77,6.64,2.06,,Reverse Holofoil,,
83471,Aerodactyl,Aerodactyl,https://tcgplayer-cdn.tcgplayer.com/product/83471_200w.jpg,3,1386,https://cpt.tcgcsv.com/rpH,2023-01-05T19:04:10.983,1,53/108,Rare,Fighting,90,Restored,[3] Wing Attack (40),,Gx2,1,2.5,2.99,3.16,3.19,,Normal,Ancient Scream - Your Pokemon's attacks do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),
83471,Aerodactyl,Aerodactyl,https://tcgplayer-cdn.tcgplayer.com/product/83471_200w.jpg,3,1386,https://cpt.tcgcsv.com/rpH,2023-01-05T19:04:10.983,1,53/108,Rare,Fighting,90,Restored,[3] Wing Attack (40),,Gx2,1,3.29,3.57,3.85,3.51,,Reverse Holofoil,Ancient Scream - Your Pokemon's attacks do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),
83610,Archeops,Archeops,https://tcgplayer-cdn.tcgplayer.com/product/83610_200w.jpg,3,1386,https://cpt.tcgcsv.com/dsH,2023-01-05T19:20:00.113,1,110/108,Secret Rare,Fighting,130,Stage 1,[1FF] Rock Slide (60) Does 10 damage to 2 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Gx2,2,54.99,54.99,54.99,85.55,,Holofoil,Ancient Power - Each player can't play any Pokemon from his or her hand to evolve his or her Pokemon.  (Ability),
83844,Bisharp (72),Bisharp 72,https://tcgplayer-cdn.tcgplayer.com/product/83844_200w.jpg,3,1386,https://cpt.tcgcsv.com/VxH,2023-01-05T19:09:05.11,1,72/108,Rare,Darkness,90,Stage 1,[1D] Slash (30),"[2D] Fury Cutter (30+) Flip 3 coins.  If 1 of them is heads, this attack does 10 more damage.  If 2 of them are heads, this attack does 30 more damage.  If all of them are heads, this attack does 60 more damage.",Fx2,1,0.11,0.62,1.0,0.7,,Normal,,P-20
83844,Bisharp (72),Bisharp 72,https://tcgplayer-cdn.tcgplayer.com/product/83844_200w.jpg,3,1386,https://cpt.tcgcsv.com/VxH,2023-01-05T19:09:05.11,1,72/108,Rare,Darkness,90,Stage 1,[1D] Slash (30),"[2D] Fury Cutter (30+) Flip 3 coins.  If 1 of them is heads, this attack does 10 more damage.  If 2 of them are heads, this attack does 30 more damage.  If all of them are heads, this attack does 60 more damage.",Fx2,1,0.87,1.19,2.8,1.39,,Reverse Holofoil,,P-20
83845,Bisharp (79),Bisharp 79,https://tcgplayer-cdn.tcgplayer.com/product/83845_200w.jpg,3,1386,https://cpt.tcgcsv.com/WxH,2023-04-09T15:33:36.58,1,79/108,Rare,Metal,100,Stage 1,"[2] Aerial Ace (20+) Flip a coin.  If heads, this attack does 20 more damage.",[1MM] Metal Claw (80),Rx2,2,0.51,0.75,1.18,1.1,,Normal,,P-20
83845,Bisharp (79),Bisharp 79,https://tcgplayer-cdn.tcgplayer.com/product/83845_200w.jpg,3,1386,https://cpt.tcgcsv.com/WxH,2023-04-09T15:33:36.58,1,79/108,Rare,Metal,100,Stage 1,"[2] Aerial Ace (20+) Flip a coin.  If heads, this attack does 20 more damage.",[1MM] Metal Claw (80),Rx2,2,1.1,2.34,6.29,1.16,,Reverse Holofoil,,P-20
83911,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83911_200w.jpg,3,1386,https://cpt.tcgcsv.com/fBH,2023-01-05T18:54:42.303,1,17/108,Holo Rare,Fire,140,Stage 2,"[1R] Blaze Kick (40+) Flip a coin.  If heads, this attack does 30 more damage.  If tails, the Defending Pokemon is now Burned.",[1RR] Flamethrower (130) Discard an Energy attached to this Pokemon.,Wx2,2,4.19,6.27,40.98,6.47,,Holofoil,,
83911,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83911_200w.jpg,3,1386,https://cpt.tcgcsv.com/fBH,2023-01-05T18:54:42.303,1,17/108,Holo Rare,Fire,140,Stage 2,"[1R] Blaze Kick (40+) Flip a coin.  If heads, this attack does 30 more damage.  If tails, the Defending Pokemon is now Burned.",[1RR] Flamethrower (130) Discard an Energy attached to this Pokemon.,Wx2,2,7.27,7.78,15.39,8.42,,Reverse Holofoil,,
83925,Blissey,Blissey,https://tcgplayer-cdn.tcgplayer.com/product/83925_200w.jpg,3,1386,https://cpt.tcgcsv.com/wBH,2023-01-05T19:11:28.93,1,82/108,Holo Rare,Colorless,130,Stage 1,[3] Double-Edge (90) This Pokemon does 60 damage to itself.,,Fx2,3,0.37,1.07,3.42,1.05,,Holofoil,"Softboiled - Once during your turn (before your attack), you may flip a coin.  If heads, heal 30 damage from your active Pokemon.  (Ability)",
83925,Blissey,Blissey,https://tcgplayer-cdn.tcgplayer.com/product/83925_200w.jpg,3,1386,https://cpt.tcgcsv.com/wBH,2023-01-05T19:11:28.93,1,82/108,Holo Rare,Colorless,130,Stage 1,[3] Double-Edge (90) This Pokemon does 60 damage to itself.,,Fx2,3,0.75,1.43,11.45,1.37,,Reverse Holofoil,"Softboiled - Once during your turn (before your attack), you may flip a coin.  If heads, heal 30 damage from your active Pokemon.  (Ability)",
84036,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84036_200w.jpg,3,1386,https://cpt.tcgcsv.com/LDH,2023-01-05T18:52:03.21,1,1/108,Common,Grass,60,Basic,[G] Tackle (10),[2G] Razor Leaf (30),Rx2,2,1.5,2.39,6.12,2.91,1.57,Normal,,W-20
84036,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84036_200w.jpg,3,1386,https://cpt.tcgcsv.com/LDH,2023-01-05T18:52:03.21,1,1/108,Common,Grass,60,Basic,[G] Tackle (10),[2G] Razor Leaf (30),Rx2,2,6.74,8.04,15.24,7.66,10.91,Reverse Holofoil,,W-20
84106,Carnivine,Carnivine,https://tcgplayer-cdn.tcgplayer.com/product/84106_200w.jpg,3,1386,https://cpt.tcgcsv.com/8GH,2025-05-10T15:49:25.363,1,5/108,Rare,Grass,90,Basic,[G] Lure Poison - Switch the Defending Pokemon with 1 of your opponent's Benched Pokemon.  The new Defending Pokemon is now Poisoned.,[1GG] Spit Squall - Your opponent puts the Defending Pokemon and all cards attached to it into his or her hand.,Rx2,2,1.01,1.27,2.51,1.24,,Normal,,W-20
84106,Carnivine,Carnivine,https://tcgplayer-cdn.tcgplayer.com/product/84106_200w.jpg,3,1386,https://cpt.tcgcsv.com/8GH,2025-05-10T15:49:25.363,1,5/108,Rare,Grass,90,Basic,[G] Lure Poison - Switch the Defending Pokemon with 1 of your opponent's Benched Pokemon.  The new Defending Pokemon is now Poisoned.,[1GG] Spit Squall - Your opponent puts the Defending Pokemon and all cards attached to it into his or her hand.,Rx2,2,0.75,1.35,2.74,1.27,,Reverse Holofoil,,W-20
84178,Chansey (80),Chansey 80,https://tcgplayer-cdn.tcgplayer.com/product/84178_200w.jpg,3,1386,https://cpt.tcgcsv.com/BHH,2023-01-05T19:10:30.017,1,80/108,Common,Colorless,100,Basic,[1] Sing - The Defending Pokemon is now Asleep.,[3] Double-Edge (60) This Pokemon does 30 damage to itself.,Fx2,3,0.04,0.3,1.46,0.29,,Normal,,
84178,Chansey (80),Chansey 80,https://tcgplayer-cdn.tcgplayer.com/product/84178_200w.jpg,3,1386,https://cpt.tcgcsv.com/BHH,2023-01-05T19:10:30.017,1,80/108,Common,Colorless,100,Basic,[1] Sing - The Defending Pokemon is now Asleep.,[3] Double-Edge (60) This Pokemon does 30 damage to itself.,Fx2,3,2.15,3.5,7.17,3.47,,Reverse Holofoil,,
84179,Chansey (81),Chansey 81,https://tcgplayer-cdn.tcgplayer.com/product/84179_200w.jpg,3,1386,https://cpt.tcgcsv.com/CHH,2023-01-05T19:11:15.047,1,81/108,Common,Colorless,100,Basic,[2] Continuous Tumble (30x) Flip a coin until you get tail.  This attack does 30 damage times the number of heads.,,Fx2,2,0.29,0.4,1.0,0.39,,Normal,,
