productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
83683,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83683_200w.jpg,3,1429,https://cpt.tcgcsv.com/HtH,2022-12-01T20:47:41.457,1,114/113,Secret Rare,Water,70,Stage 1,"<b>Poke-BODY</b> Thick Fat  
<br>Any damage done to Azumarill by attacks from Fire Pokemon and Water Pokemon is reduced by 30 <em>(after applying Weakness and Resistance).","[1WW] Bubblebeam (40) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,None,1,32.5,34.0,35.5,36.71,,Holofoil,
83687,Azumarill (Delta Species),Azumarill Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83687_200w.jpg,3,1429,https://cpt.tcgcsv.com/MtH,2024-04-11T18:09:41.71,1,19/113,Rare,Metal Water,80,Stage 1,,"[2] Bubblebeam (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,None,2,3.5,4.93,9.99,6.04,,Normal,[2W] Rolling Tackle (50)
83687,Azumarill (Delta Species),Azumarill Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83687_200w.jpg,3,1429,https://cpt.tcgcsv.com/MtH,2024-04-11T18:09:41.71,1,19/113,Rare,Metal Water,80,Stage 1,,"[2] Bubblebeam (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,None,2,14.99,32.49,49.99,20.22,,Reverse Holofoil,[2W] Rolling Tackle (50)
83689,Azurill,Azurill,https://tcgplayer-cdn.tcgplayer.com/product/83689_200w.jpg,3,1429,https://cpt.tcgcsv.com/PtH,2024-04-11T18:09:48.36,1,20/113,Rare,Colorless,50,Basic,"<b>Poke-POWER</b> Baby Evolution 
<br>Once during your turn (before your attack), you may put Marill from your hand onto Azurill (this counts as evolving Azurill) and remove all damage counters from Azurill.","[1] Type Match  
<br> Choose a basic Energy card in your hand and show it to your opponent.  Then, search your deck for a Basic Pokemon or Evolution card of that Energy type, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",F,None,1,3.68,5.99,9.11,5.0,,Normal,
83689,Azurill,Azurill,https://tcgplayer-cdn.tcgplayer.com/product/83689_200w.jpg,3,1429,https://cpt.tcgcsv.com/PtH,2024-04-11T18:09:48.36,1,20/113,Rare,Colorless,50,Basic,"<b>Poke-POWER</b> Baby Evolution 
<br>Once during your turn (before your attack), you may put Marill from your hand onto Azurill (this counts as evolving Azurill) and remove all damage counters from Azurill.","[1] Type Match  
<br> Choose a basic Energy card in your hand and show it to your opponent.  Then, search your deck for a Basic Pokemon or Evolution card of that Energy type, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",F,None,1,7.59,10.63,14.99,10.86,,Reverse Holofoil,
83703,Bagon - 057/113 (Delta Species),Bagon 057 113 Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83703_200w.jpg,3,1429,https://cpt.tcgcsv.com/5vH,2024-04-11T18:11:45.137,1,57/113,Common,Fire,50,Basic,,[1] Bite (10),C,FR,1,0.09,0.45,2.25,0.47,,Normal,
83703,Bagon - 057/113 (Delta Species),Bagon 057 113 Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83703_200w.jpg,3,1429,https://cpt.tcgcsv.com/5vH,2024-04-11T18:11:45.137,1,57/113,Common,Fire,50,Basic,,[1] Bite (10),C,FR,1,10.0,11.5,11.51,11.51,,Reverse Holofoil,
83704,Bagon - 058/113 (Delta Species),Bagon 058 113 Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83704_200w.jpg,3,1429,https://cpt.tcgcsv.com/6vH,2024-04-11T18:11:53.737,1,58/113,Common,Fire,50,Basic,,[1R] Ember (30) Discard a Fire Energy card attached to Bagon.,C,FR,1,0.2,0.6,4.96,0.66,0.6,Normal,
83704,Bagon - 058/113 (Delta Species),Bagon 058 113 Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83704_200w.jpg,3,1429,https://cpt.tcgcsv.com/6vH,2024-04-11T18:11:53.737,1,58/113,Common,Fire,50,Basic,,[1R] Ember (30) Discard a Fire Energy card attached to Bagon.,C,FR,1,2.89,3.45,4.0,14.42,,Reverse Holofoil,
83775,Beedrill (Delta Species),Beedrill Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83775_200w.jpg,3,1429,https://cpt.tcgcsv.com/wwH,2024-04-11T18:12:00.377,1,1/113,Holo Rare,Metal Grass,90,Stage 2,"<b>Poke-POWER</b> Final Sting 
<br>Once during your turn (before your attack), you may Knock Out Beedrill.  If you do, choose 1 of your opponent's Defending Pokemon.  That Pokemon is now Paralyzed and Poisoned.  Put 2 damage counters instead of 1 on that Pokemon between turns.  This power can't be used if Beedrill is affected by a Special Condition.","[1GM] Super Slash (50+)
<br>If the Defending Pokemon is an Evolved Pokemon, this attack does 50 damage plus 30 more damage.",R,None,0,59.99,59.99,69.99,25.12,,Holofoil,
