productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack3
83514,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83514_200w.jpg,3,1404,https://cpt.tcgcsv.com/jqH,2024-04-11T17:56:33.897,1,1/107,Holo Rare,Colorless,70,Stage 1,"<b>Poke-BODY</b> Safeguard <br>
<br>Prevent all effects of attacks, done to Altaria by your opponent's Pokemon-ex.","[L] Double Wing Attack  
<br>Does 20 damage to each Defending Pokemon.",[2W] Dive (50),L,F,1,10.0,10.0,10.0,5.47,,Normal,
83514,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83514_200w.jpg,3,1404,https://cpt.tcgcsv.com/jqH,2024-04-11T17:56:33.897,1,1/107,Holo Rare,Colorless,70,Stage 1,"<b>Poke-BODY</b> Safeguard <br>
<br>Prevent all effects of attacks, done to Altaria by your opponent's Pokemon-ex.","[L] Double Wing Attack  
<br>Does 20 damage to each Defending Pokemon.",[2W] Dive (50),L,F,1,19.99,22.99,28.0,29.72,,Holofoil,
83514,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83514_200w.jpg,3,1404,https://cpt.tcgcsv.com/jqH,2024-04-11T17:56:33.897,1,1/107,Holo Rare,Colorless,70,Stage 1,"<b>Poke-BODY</b> Safeguard <br>
<br>Prevent all effects of attacks, done to Altaria by your opponent's Pokemon-ex.","[L] Double Wing Attack  
<br>Does 20 damage to each Defending Pokemon.",[2W] Dive (50),L,F,1,24.27,44.97,55.0,35.85,,Reverse Holofoil,
83695,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83695_200w.jpg,3,1404,https://cpt.tcgcsv.com/WtH,2024-04-11T17:56:34.143,1,52/107,Common,Colorless,50,Basic,,"[R] Singe 
<br>Flip a coin.  If heads, the Defending Pokemon is now Burned.","[W] Doubleslap (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.",C,FR,1,0.1,0.34,1.99,0.35,0.25,Normal,
83695,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83695_200w.jpg,3,1404,https://cpt.tcgcsv.com/WtH,2024-04-11T17:56:34.143,1,52/107,Common,Colorless,50,Basic,,"[R] Singe 
<br>Flip a coin.  If heads, the Defending Pokemon is now Burned.","[W] Doubleslap (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.",C,FR,1,4.99,6.0,9.95,8.66,,Reverse Holofoil,
83706,Balloon Berry,Balloon Berry,https://tcgplayer-cdn.tcgplayer.com/product/83706_200w.jpg,3,1404,https://cpt.tcgcsv.com/8vH,2024-04-11T17:56:34.387,1,84/107,Uncommon,Tool,,,"Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.<br>
<br><br>
<br><br>
<br>Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.  As long as Balloon Berry is attached to a Pokemon, that Pokemon's Retreat Cost is 0.  When this Pokemon retreats, discard Balloon Berry.",,,,,,0.38,0.8,2.49,0.78,,Normal,
83706,Balloon Berry,Balloon Berry,https://tcgplayer-cdn.tcgplayer.com/product/83706_200w.jpg,3,1404,https://cpt.tcgcsv.com/8vH,2024-04-11T17:56:34.387,1,84/107,Uncommon,Tool,,,"Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.<br>
<br><br>
<br><br>
<br>Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.  As long as Balloon Berry is attached to a Pokemon, that Pokemon's Retreat Cost is 0.  When this Pokemon retreats, discard Balloon Berry.",,,,,,3.34,6.3,9.99,6.0,,Reverse Holofoil,
83712,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83712_200w.jpg,3,1404,https://cpt.tcgcsv.com/gvH,2024-04-11T17:56:34.797,1,53/107,Common,Fighting,50,Basic,,[1] Spinning Attack (10),"[1F] Selfdestruct (40) 
<br>Does 10 damage to each Benched Pokemon (both yours and your opponent's).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.) </i> Baltoy does 50 damage to itself.",W,None,1,0.1,0.41,3.0,0.42,,Normal,
83712,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83712_200w.jpg,3,1404,https://cpt.tcgcsv.com/gvH,2024-04-11T17:56:34.797,1,53/107,Common,Fighting,50,Basic,,[1] Spinning Attack (10),"[1F] Selfdestruct (40) 
<br>Does 10 damage to each Benched Pokemon (both yours and your opponent's).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.) </i> Baltoy does 50 damage to itself.",W,None,1,1.32,3.0,10.0,2.52,,Reverse Holofoil,
83727,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83727_200w.jpg,3,1404,https://cpt.tcgcsv.com/zvH,2024-04-11T17:56:34.987,1,54/107,Common,Water,50,Basic,,"[1] Amnesia 
<br>Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.",[F] Tackle (10),G,None,1,0.13,0.44,1.73,0.49,0.23,Normal,
83727,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83727_200w.jpg,3,1404,https://cpt.tcgcsv.com/zvH,2024-04-11T17:56:34.987,1,54/107,Common,Water,50,Basic,,"[1] Amnesia 
<br>Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.",[F] Tackle (10),G,None,1,1.12,2.12,3.37,3.58,,Reverse Holofoil,
83757,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83757_200w.jpg,3,1404,https://cpt.tcgcsv.com/9wH,2024-04-11T17:56:35.133,1,2/107,Holo Rare,Grass,100,Stage 2,"<b>Poke-BODY</b> Hunch<br>
<br>As long as Beautifly's remaining HP is 40 or less, Beautifly does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance).  </em>","[G] Luring Antenna (20) 
<br>Before doing damage, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon.  If you do, this attack does 20 damage to the new Defending Pokemon.  Your opponent chooses the Defending Pokemon to switch.",[2G] Cutting Wind (50),R,None,1,8.3,9.69,10.0,11.99,,Normal,
83757,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83757_200w.jpg,3,1404,https://cpt.tcgcsv.com/9wH,2024-04-11T17:56:35.133,1,2/107,Holo Rare,Grass,100,Stage 2,"<b>Poke-BODY</b> Hunch<br>
<br>As long as Beautifly's remaining HP is 40 or less, Beautifly does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance).  </em>","[G] Luring Antenna (20) 
<br>Before doing damage, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon.  If you do, this attack does 20 damage to the new Defending Pokemon.  Your opponent chooses the Defending Pokemon to switch.",[2G] Cutting Wind (50),R,None,1,7.28,10.78,15.0,10.27,,Holofoil,
83757,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83757_200w.jpg,3,1404,https://cpt.tcgcsv.com/9wH,2024-04-11T17:56:35.133,1,2/107,Holo Rare,Grass,100,Stage 2,"<b>Poke-BODY</b> Hunch<br>
<br>As long as Beautifly's remaining HP is 40 or less, Beautifly does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance).  </em>","[G] Luring Antenna (20) 
<br>Before doing damage, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon.  If you do, this attack does 20 damage to the new Defending Pokemon.  Your opponent chooses the Defending Pokemon to switch.",[2G] Cutting Wind (50),R,None,1,19.99,39.99,44.0,8.96,,Reverse Holofoil,
83785,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83785_200w.jpg,3,1404,https://cpt.tcgcsv.com/KwH,2024-07-26T17:23:07.27,1,55/107,Common,Psychic,50,Basic,,"[2] Flip Over (30)
<br>Beldum does 10 damage to itself, and don't apply Weakness and Resistance to this damage.",,P,None,1,0.1,0.25,2.5,0.28,,Normal,
83785,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83785_200w.jpg,3,1404,https://cpt.tcgcsv.com/KwH,2024-07-26T17:23:07.27,1,55/107,Common,Psychic,50,Basic,,"[2] Flip Over (30)
<br>Beldum does 10 damage to itself, and don't apply Weakness and Resistance to this damage.",,P,None,1,4.22,7.22,19.99,5.39,,Reverse Holofoil,
83938,Boost Energy,Boost Energy,https://tcgplayer-cdn.tcgplayer.com/product/83938_200w.jpg,3,1404,https://cpt.tcgcsv.com/NBH,2024-04-11T17:56:36.023,1,93/107,Uncommon,Special Energy,,,"Boost Energy can be attached only to an Evolved Pokemon.  Discard Boost Energy at the end of the turn it was attached.  Boost Energy provides 3 Colorless Energy.  The Pokemon Boost Energy is attached to can't retreat.  If the Pokemon Boost Energy is attached to isn't an Evolved Pokemon, discard Boost Energy.",,,,,,0.72,1.35,4.99,1.12,0.97,Normal,
83938,Boost Energy,Boost Energy,https://tcgplayer-cdn.tcgplayer.com/product/83938_200w.jpg,3,1404,https://cpt.tcgcsv.com/NBH,2024-04-11T17:56:36.023,1,93/107,Uncommon,Special Energy,,,"Boost Energy can be attached only to an Evolved Pokemon.  Discard Boost Energy at the end of the turn it was attached.  Boost Energy provides 3 Colorless Energy.  The Pokemon Boost Energy is attached to can't retreat.  If the Pokemon Boost Energy is attached to isn't an Evolved Pokemon, discard Boost Energy.",,,,,,3.99,6.1,11.69,6.0,,Reverse Holofoil,
83955,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83955_200w.jpg,3,1404,https://cpt.tcgcsv.com/7CH,2024-04-11T17:56:36.21,1,3/107,Holo Rare,Fighting,80,Stage 1,,"[1] Leaf Poison (20) 
<br>If Breloom has any Grass Energy attached to it, the Defending Pokemon is now Poisoned.","[2F] Hustle Punch (70-) 
<br>During your next turn, Hustle Punch's attack's base damage is 50 instead of 70.",P,None,1,17.99,19.58,21.16,21.16,,Normal,
83955,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83955_200w.jpg,3,1404,https://cpt.tcgcsv.com/7CH,2024-04-11T17:56:36.21,1,3/107,Holo Rare,Fighting,80,Stage 1,,"[1] Leaf Poison (20) 
<br>If Breloom has any Grass Energy attached to it, the Defending Pokemon is now Poisoned.","[2F] Hustle Punch (70-) 
<br>During your next turn, Hustle Punch's attack's base damage is 50 instead of 70.",P,None,1,12.17,17.1,30.0,14.04,,Holofoil,
