productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2
97047,Team Magma's Numel,Team Magmas Numel,https://tcgplayer-cdn.tcgplayer.com/product/97047_200w.jpg,3,1525,https://cpt.tcgcsv.com/ZQN,2022-12-14T16:22:07.26,1,1/34,Common,Fire,70,Basic,"[1R] Ember (30)
<br>Discard an Energy attached to this Pokemon.",Wx2,None,2,0.49,0.65,1.49,0.85,,Normal,,
97047,Team Magma's Numel,Team Magmas Numel,https://tcgplayer-cdn.tcgplayer.com/product/97047_200w.jpg,3,1525,https://cpt.tcgcsv.com/ZQN,2022-12-14T16:22:07.26,1,1/34,Common,Fire,70,Basic,"[1R] Ember (30)
<br>Discard an Energy attached to this Pokemon.",Wx2,None,2,3.0,3.11,3.29,3.29,,Reverse Holofoil,,
97048,Team Magma's Camerupt,Team Magmas Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/97048_200w.jpg,3,1525,https://cpt.tcgcsv.com/-QN,2022-12-14T16:22:14.043,1,2/34,Holo Rare,Fire,110,Basic,"[2R] Flame Ball (60)
<br>Move a basic Energy from this Pokemon to 1 of your Benched Pokemon.",Wx2,None,3,0.55,1.0,4.99,1.13,,Holofoil,"<b>Ability</b> Burn Draft
<br>Once during your turn <em>(before you attack)</em>, you may attach either a Fire or Fighting Energy from your discard pile to this Pokemon.",
97048,Team Magma's Camerupt,Team Magmas Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/97048_200w.jpg,3,1525,https://cpt.tcgcsv.com/-QN,2022-12-14T16:22:14.043,1,2/34,Holo Rare,Fire,110,Basic,"[2R] Flame Ball (60)
<br>Move a basic Energy from this Pokemon to 1 of your Benched Pokemon.",Wx2,None,3,1.0,1.07,2.74,2.55,,Reverse Holofoil,"<b>Ability</b> Burn Draft
<br>Once during your turn <em>(before you attack)</em>, you may attach either a Fire or Fighting Energy from your discard pile to this Pokemon.",
97049,Team Aqua's Spheal,Team Aquas Spheal,https://tcgplayer-cdn.tcgplayer.com/product/97049_200w.jpg,3,1525,https://cpt.tcgcsv.com/_QN,2024-02-16T09:57:13.84,1,3/34,Common,Water,60,Basic,[W] Water Gun (10),Mx2,None,2,1.08,1.26,2.05,1.73,1.24,Normal,,
97049,Team Aqua's Spheal,Team Aquas Spheal,https://tcgplayer-cdn.tcgplayer.com/product/97049_200w.jpg,3,1525,https://cpt.tcgcsv.com/_QN,2024-02-16T09:57:13.84,1,3/34,Common,Water,60,Basic,[W] Water Gun (10),Mx2,None,2,3.49,4.99,10.5,9.16,,Reverse Holofoil,,
97050,Team Aqua's Sealeo,Team Aquas Sealeo,https://tcgplayer-cdn.tcgplayer.com/product/97050_200w.jpg,3,1525,https://cpt.tcgcsv.com/0RN,2022-12-14T16:22:25.38,1,4/34,Common,Water,90,Stage 1,"[1W] Splatter
<br>This attack does 20 damage to 1 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Mx2,None,3,0.32,0.72,1.49,0.75,,Normal,,"[2W] Hail Wind (60+)
<br>If your opponent's Active Pokemon has Team Magma in its name, this attack does 60 more damage."
97050,Team Aqua's Sealeo,Team Aquas Sealeo,https://tcgplayer-cdn.tcgplayer.com/product/97050_200w.jpg,3,1525,https://cpt.tcgcsv.com/0RN,2022-12-14T16:22:25.38,1,4/34,Common,Water,90,Stage 1,"[1W] Splatter
<br>This attack does 20 damage to 1 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Mx2,None,3,2.61,5.0,9.4,6.52,,Reverse Holofoil,,"[2W] Hail Wind (60+)
<br>If your opponent's Active Pokemon has Team Magma in its name, this attack does 60 more damage."
97051,Team Aqua's Walrein,Team Aquas Walrein,https://tcgplayer-cdn.tcgplayer.com/product/97051_200w.jpg,3,1525,https://cpt.tcgcsv.com/2RN,2022-12-14T16:22:30.957,1,5/34,Holo Rare,Water,140,Stage 2,"[1] Power Blow (30x)
<br>This attack does 30 damage times the amount of Energy attached to this Pokemon.",Mx2,None,4,0.99,1.57,5.39,1.63,1.98,Holofoil,,"[1WWW] Dual Blizzard
<br>Discard 2 Water energy attached to this Pokemon. This attack does 80 damage to 2 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
97051,Team Aqua's Walrein,Team Aquas Walrein,https://tcgplayer-cdn.tcgplayer.com/product/97051_200w.jpg,3,1525,https://cpt.tcgcsv.com/2RN,2022-12-14T16:22:30.957,1,5/34,Holo Rare,Water,140,Stage 2,"[1] Power Blow (30x)
<br>This attack does 30 damage times the amount of Energy attached to this Pokemon.",Mx2,None,4,2.0,2.62,5.99,4.54,,Reverse Holofoil,,"[1WWW] Dual Blizzard
<br>Discard 2 Water energy attached to this Pokemon. This attack does 80 damage to 2 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
