productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
44418,Aerodactyl (1),Aerodactyl 1,https://tcgplayer-cdn.tcgplayer.com/product/44418_200w.jpg,3,630,https://cpt.tcgcsv.com/nNm,2022-11-18T15:33:49.947,1,01/62,Holo Rare,Fighting,60,Stage 1,"<strong>Pokémon Power: Prehistoric Power</strong> No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.",[3] Wing Attack (30),G,F-30,2,44.99,83.0,124.99,85.81,,1st Edition Holofoil,
44418,Aerodactyl (1),Aerodactyl 1,https://tcgplayer-cdn.tcgplayer.com/product/44418_200w.jpg,3,630,https://cpt.tcgcsv.com/nNm,2022-11-18T15:33:49.947,1,01/62,Holo Rare,Fighting,60,Stage 1,"<strong>Pokémon Power: Prehistoric Power</strong> No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.",[3] Wing Attack (30),G,F-30,2,13.56,19.99,30.0,26.39,,Unlimited Holofoil,
44419,Lapras (10),Lapras 10,https://tcgplayer-cdn.tcgplayer.com/product/44419_200w.jpg,3,630,https://cpt.tcgcsv.com/pNm,2025-05-07T13:01:09.687,1,10/62,Holo Rare,Water,80,Basic,,"[W] Water Gun (10+)
<br>Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.",L,,2,75.99,93.24,400.0,93.35,,1st Edition Holofoil,"[WW] Confuse Ray (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused."
44419,Lapras (10),Lapras 10,https://tcgplayer-cdn.tcgplayer.com/product/44419_200w.jpg,3,630,https://cpt.tcgcsv.com/pNm,2025-05-07T13:01:09.687,1,10/62,Holo Rare,Water,80,Basic,,"[W] Water Gun (10+)
<br>Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.",L,,2,8.38,17.46,9999.0,19.9,,Unlimited Holofoil,"[WW] Confuse Ray (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused."
44420,Magneton (11),Magneton 11,https://tcgplayer-cdn.tcgplayer.com/product/44420_200w.jpg,3,630,https://cpt.tcgcsv.com/qNm,2022-12-10T15:24:53.1,1,11/62,Holo Rare,Lightning,80,Stage 1,,"[1L] Sonicboom (20)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",F,,2,26.18,40.49,74.99,42.16,,1st Edition Holofoil,"[LLLL] Selfdestruct (100)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 100 damage to itself."
44420,Magneton (11),Magneton 11,https://tcgplayer-cdn.tcgplayer.com/product/44420_200w.jpg,3,630,https://cpt.tcgcsv.com/qNm,2022-12-10T15:24:53.1,1,11/62,Holo Rare,Lightning,80,Stage 1,,"[1L] Sonicboom (20)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",F,,2,8.0,12.54,39.5,14.41,,Unlimited Holofoil,"[LLLL] Selfdestruct (100)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 100 damage to itself."
44421,Moltres (12),Moltres 12,https://tcgplayer-cdn.tcgplayer.com/product/44421_200w.jpg,3,630,https://cpt.tcgcsv.com/rNm,2022-11-18T16:16:47.313,1,12/62,Holo Rare,Fire,70,Basic,,"[R] Wildfire
<br>You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.",,F-30,2,101.28,144.32,399.99,148.75,,1st Edition Holofoil,"[RRRR] Dive Bomb (80)
<br>Flip a coin. If tails, this attack does nothing."
44421,Moltres (12),Moltres 12,https://tcgplayer-cdn.tcgplayer.com/product/44421_200w.jpg,3,630,https://cpt.tcgcsv.com/rNm,2022-11-18T16:16:47.313,1,12/62,Holo Rare,Fire,70,Basic,,"[R] Wildfire
<br>You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.",,F-30,2,32.0,45.17,9999.0,57.48,,Unlimited Holofoil,"[RRRR] Dive Bomb (80)
<br>Flip a coin. If tails, this attack does nothing."
44422,Muk (13),Muk 13,https://tcgplayer-cdn.tcgplayer.com/product/44422_200w.jpg,3,630,https://cpt.tcgcsv.com/sNm,2023-06-29T16:24:08.817,1,13/62,Holo Rare,Grass,70,Stage 1,"<strong>Pokémon Power: Toxic Gas</strong> Ignore all Pokémon Powers other than Toxic Gasses. This power stops working while Muk is Asleep, Confused, or Paralyzed.","[GGG] Sludge (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",P,,2,24.24,33.95,70.0,37.59,,1st Edition Holofoil,
44422,Muk (13),Muk 13,https://tcgplayer-cdn.tcgplayer.com/product/44422_200w.jpg,3,630,https://cpt.tcgcsv.com/sNm,2023-06-29T16:24:08.817,1,13/62,Holo Rare,Grass,70,Stage 1,"<strong>Pokémon Power: Toxic Gas</strong> Ignore all Pokémon Powers other than Toxic Gasses. This power stops working while Muk is Asleep, Confused, or Paralyzed.","[GGG] Sludge (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",P,,2,3.49,6.29,19.99,6.51,6.53,Unlimited Holofoil,
44423,Raichu (14),Raichu 14,https://tcgplayer-cdn.tcgplayer.com/product/44423_200w.jpg,3,630,https://cpt.tcgcsv.com/tNm,2023-02-09T17:53:26.04,1,14/62,Holo Rare,Lightning,90,Stage 1,,"[LLLL] Gigashock (30)
<br>Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em> If your opponent has fewer than 3 Benched Pokémon, do the damage to each of them.",F,,1,77.07,117.13,167.99,140.0,98.99,1st Edition Holofoil,
44423,Raichu (14),Raichu 14,https://tcgplayer-cdn.tcgplayer.com/product/44423_200w.jpg,3,630,https://cpt.tcgcsv.com/tNm,2023-02-09T17:53:26.04,1,14/62,Holo Rare,Lightning,90,Stage 1,,"[LLLL] Gigashock (30)
<br>Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em> If your opponent has fewer than 3 Benched Pokémon, do the damage to each of them.",F,,1,18.89,25.0,9999.0,34.42,20.75,Unlimited Holofoil,
44424,Zapdos (15),Zapdos 15,https://tcgplayer-cdn.tcgplayer.com/product/44424_200w.jpg,3,630,https://cpt.tcgcsv.com/vNm,2024-09-27T19:01:12.313,1,15/62,Holo Rare,Lightning,80,Basic,,"[LLLL] Thunderstorm (40)
<br>For each of your opponent's Benched Pokémon, flip a coin. If heads, this attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Then, Zapdos does 10 damage time the number of tails to itself.",,F-30,2,93.79,121.5,9999.0,136.17,178.0,1st Edition Holofoil,
