productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
113742,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/113742_200w.jpg,3,1729,https://cpt.tcgcsv.com/SvW,2022-12-14T16:52:53.837,1,RC1/RC32,Common,Grass,50,Basic,"[1] Run Around
<br>Switch this Pokemon with 1 of your Benched Pokemon.",[1G] Vine Whip (20),Rx2,None,1,5.1,7.76,12.35,7.77,,Normal,
113743,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/113743_200w.jpg,3,1729,https://cpt.tcgcsv.com/TvW,2024-07-26T19:16:53.543,1,RC2/RC32,Common,Grass,60,Basic,"[G] Worry Seed (10)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Confused.",,Rx2,None,2,1.48,1.74,2.8,1.68,2.69,Normal,
113744,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/113744_200w.jpg,3,1729,https://cpt.tcgcsv.com/VvW,2022-12-14T16:56:04.58,1,RC3/RC32,Common,Fire,70,Basic,"[1R] Playful (20x)
<br>Flip a coin. If heads, this attack does 20 damage times the number of damage counters on this Pokémon.",,Wx2,None,2,6.4,9.76,32.99,10.3,,Normal,
113745,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/113745_200w.jpg,3,1729,https://cpt.tcgcsv.com/WvW,2022-12-14T16:56:42.833,1,RC4/RC32,Common,Fire,90,Stage 1,"[1] Call for Support
<br>Search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.",[1RR] Slash (80),Wx2,None,2,7.5,11.32,24.95,11.89,,Normal,
113746,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/113746_200w.jpg,3,1729,https://cpt.tcgcsv.com/XvW,2024-07-20T04:34:57.687,1,RC5/RC32,Uncommon,Fire,160,Stage 2,"[1] Recall
<br>Choose 1 of this Pokémon's attacks from its previous Evolutions and use it as this attack.","[2RR] Combustion Blast (130)
<br>This Pokémon can't use Combustion Blast during your next turn.",Wx2,None,3,14.31,33.2,67.99,34.9,,Holofoil,
113747,Flareon EX,Flareon EX,https://tcgplayer-cdn.tcgplayer.com/product/113747_200w.jpg,3,1729,https://cpt.tcgcsv.com/ZvW,2024-07-10T20:47:02.22,1,RC6/RC32,Ultra Rare,Fire,170,Basic,"[3] Blaze Ball (50+)
<br>This attack does 20 more damage for each Fire Energy attached to this Pokémon.",,Wx2,None,2,37.77,50.75,99.99,48.37,69.95,Holofoil,"<b>Ability — Flash Fire</b>
<br>Once during your turn (before your attack), you may move a Fire Energy from 1 of your Pokémon to this Pokémon."
113748,Flareon EX (Full Art),Flareon EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/113748_200w.jpg,3,1729,https://cpt.tcgcsv.com/-vW,2023-03-06T08:47:23.927,1,RC28/RC32,Ultra Rare,Fire,170,Basic,"[3] Blaze Ball (50+)
<br>This attack does 20 more damage for each Fire Energy attached to this Pokémon.",,Wx2,None,2,83.29,124.99,249.99,137.72,,Holofoil,"<b>Ability — Flash Fire</b>
<br>Once during your turn (before your attack), you may move a Fire Energy from 1 of your Pokémon to this Pokémon."
113749,Snorunt,Snorunt,https://tcgplayer-cdn.tcgplayer.com/product/113749_200w.jpg,3,1729,https://cpt.tcgcsv.com/_vW,2024-07-26T19:16:53.623,1,RC7/RC32,Common,Water,50,Basic,[1] Icy Snow (10),,Mx2,None,1,2.02,3.5,5.97,3.08,,Normal,
113750,Froslass,Froslass,https://tcgplayer-cdn.tcgplayer.com/product/113750_200w.jpg,3,1729,https://cpt.tcgcsv.com/0wW,2024-07-26T19:16:53.687,1,RC8/RC32,Uncommon,Water,90,Stage 1,"[3] Snowy Drop
<br>Put 4 damage counters on your opponent's Pokémon in any way you like.",,Mx2,None,2,0.99,2.0,999.99,2.09,1.49,Holofoil,"<b>Ability — Drag Along</b>
<br>If this Pokémon is your Active Pokémon and is Knocked Out by damage from an opponent's attack, flip a coin. If heads, the Attacking Pokémon is Knocked Out."
113751,Raichu,Raichu,https://tcgplayer-cdn.tcgplayer.com/product/113751_200w.jpg,3,1729,https://cpt.tcgcsv.com/2wW,2023-07-08T15:46:21.6,1,RC9/RC32,Common,Lightning,90,Stage 1,"[2] Circle Circuit (20x)
<br>This attack does 20 damage times the number of Pokémon on your Bench.","[1LL] Thunderbolt (100)
<br>Discard all Energy attached to this Pokémon.",Fx2,M-20,0,5.0,8.39,69.99,8.43,8.24,Normal,
113752,Dedenne,Dedenne,https://tcgplayer-cdn.tcgplayer.com/product/113752_200w.jpg,3,1729,https://cpt.tcgcsv.com/3wW,2022-12-14T16:53:01.293,1,RC10/RC32,Uncommon,Lightning,60,Basic,"[1] Rest
<br>Heal 30 damage from this Pokémon. This Pokémon is now Asleep.","[L] Pachi (10+)
<br>Flip a coin. If heads, this attack does 20 more damage.",Fx2,M-20,1,8.0,12.17,32.17,12.33,,Holofoil,
113753,Wobbuffet,Wobbuffet,https://tcgplayer-cdn.tcgplayer.com/product/113753_200w.jpg,3,1729,https://cpt.tcgcsv.com/5wW,2024-07-26T19:16:53.757,1,RC11/RC32,Common,Psychic,110,Basic,"[1P] Psychic Assault (10+)
<br>This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.",,Px2,None,2,1.0,2.99,5.0,2.92,,Normal,"<b>Ability — Bide Barricade</b>
<br>As long as this Pokémon is your Active Pokémon, each Pokémon in play, in each player's hand, and in each player's discard pile has no Abilities (except for Psychic Pokémon)."
113754,Gulpin,Gulpin,https://tcgplayer-cdn.tcgplayer.com/product/113754_200w.jpg,3,1729,https://cpt.tcgcsv.com/6wW,2022-12-14T16:53:14.763,1,RC12/RC32,Common,Psychic,60,Basic,"[2] Starvin' (30)
<br>Flip a coin. If tails, this attack does nothing.",,Px2,None,2,4.43,5.53,11.96,5.49,5.82,Normal,
113755,Jirachi,Jirachi,https://tcgplayer-cdn.tcgplayer.com/product/113755_200w.jpg,3,1729,https://cpt.tcgcsv.com/7wW,2022-12-14T16:53:20.2,1,RC13/RC32,Uncommon,Psychic,70,Basic,"[P] Wish
<br>Search your deck for a card and put it into your hand. Shuffle your deck afterward.",[2P] Heart Sign (50),Px2,None,1,5.25,9.09,19.95,9.2,,Holofoil,
113756,Espurr,Espurr,https://tcgplayer-cdn.tcgplayer.com/product/113756_200w.jpg,3,1729,https://cpt.tcgcsv.com/8wW,2022-12-14T16:53:26.38,1,RC14/RC32,Common,Psychic,50,Basic,"[P] Twinkle
<br>Your opponent's Active Pokémon is now Asleep.",,Px2,None,1,8.68,12.48,95.0,11.27,,Normal,
113757,Meowstic,Meowstic,https://tcgplayer-cdn.tcgplayer.com/product/113757_200w.jpg,3,1729,https://cpt.tcgcsv.com/9wW,2023-03-07T21:29:44.46,1,RC15/RC32,Uncommon,Psychic,90,Stage 1,"[P] Ear Influence
<br>
Move as many damage counters on your opponent's Pokémon as you like to any of your opponent's other Pokémon in any way you like.","[PPP] Psychic (60+)
<br>Does 10 more damage for each Energy attached to your opponent's Active Pokémon.",Px2,None,1,2.5,4.44,9.98,4.08,,Holofoil,
113758,Yveltal,Yveltal,https://tcgplayer-cdn.tcgplayer.com/product/113758_200w.jpg,3,1729,https://cpt.tcgcsv.com/bwW,2024-07-26T19:16:53.827,1,RC16/RC32,Uncommon,Darkness,130,Basic,"[D] Oblivion Wing (30)
<br>Attach a Darkness Energy card from your discard pile to 1 of your Benched Pokémon.","[1DD] Darkness Blade (100)
<br>Flip a coin. If tails, this Pokémon can't attack during your next turn.",Lx2,F-20,2,0.25,2.61,14.79,2.52,,Holofoil,
113759,Flabebe,Flabebe,https://tcgplayer-cdn.tcgplayer.com/product/113759_200w.jpg,3,1729,https://cpt.tcgcsv.com/cwW,2024-07-26T19:16:53.9,1,RC17/RC32,Common,Fairy,40,Basic,[1] Razor Leaf (10),,Mx2,D-20,1,1.0,1.57,4.25,1.51,1.49,Normal,
113760,Floette,Floette,https://tcgplayer-cdn.tcgplayer.com/product/113760_200w.jpg,3,1729,https://cpt.tcgcsv.com/dwW,2023-01-04T09:14:26.083,1,RC18/RC32,Uncommon,Fairy,70,Stage 1,"[Y] Petal Blizzard
<br>This attack does 10 damage to each of your opponent's Pokémon. <i>(Don't apply Weakness and Resistance for Benched Pokémon.)</i>",[1Y] Razor Leaf (30),Mx2,D-20,1,0.85,2.04,9.96,2.08,,Holofoil,
113761,Swirlix,Swirlix,https://tcgplayer-cdn.tcgplayer.com/product/113761_200w.jpg,3,1729,https://cpt.tcgcsv.com/fwW,2023-03-08T06:41:02.577,1,RC19/RC32,Uncommon,Fairy,60,Basic,"[Y] Lick Away
<br>Remove all Special Conditions from this Pokémon.",[2] Tackle (20),Mx2,D-20,1,3.5,5.75,13.94,5.66,,Holofoil,
113762,Slurpuff,Slurpuff,https://tcgplayer-cdn.tcgplayer.com/product/113762_200w.jpg,3,1729,https://cpt.tcgcsv.com/gwW,2024-07-26T19:16:53.947,1,RC20/RC32,Uncommon,Fairy,90,Stage 1,"[Y] Lap Up
<br>Draw 3 cards.",[3] Fairy Wind (40),Mx2,D-20,2,1.82,2.99,9.98,3.01,,Holofoil,
113763,Sylveon EX,Sylveon EX,https://tcgplayer-cdn.tcgplayer.com/product/113763_200w.jpg,3,1729,https://cpt.tcgcsv.com/hwW,2022-12-14T16:54:26.667,1,RC21/RC32,Ultra Rare,Fairy,170,Basic,"[2] Dress Up (30+)
<br>If this Pokemon has a Pokemon Tool card attached to it, this attack does 30 more damage.","[1YY] Precious Ribbon (100)
<br>Move a Fairy Energy from this Pokémon to 1 of your Benched Pokémon. If you do, heal 50 damage from that Pokémon.",Mx2,D-20,2,39.35,50.0,99.99,48.59,49.47,Holofoil,
113764,Sylveon EX (Full Art),Sylveon EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/113764_200w.jpg,3,1729,https://cpt.tcgcsv.com/jwW,2023-11-03T06:39:20.347,1,RC32/RC32,Ultra Rare,Fairy,170,Basic,"[2] Dress Up (30+)
<br>If this Pokemon has a Pokemon Tool card attached to it, this attack does 30 more damage.","[1YY] Precious Ribbon (100)
<br>Move a Fairy Energy from this Pokémon to 1 of your Benched Pokémon. If you do, heal 50 damage from that Pokémon.",Mx2,D-20,2,96.76,138.59,279.99,135.24,106.49,Holofoil,
113765,Diancie,Diancie,https://tcgplayer-cdn.tcgplayer.com/product/113765_200w.jpg,3,1729,https://cpt.tcgcsv.com/kwW,2022-12-14T16:54:32.393,1,RC22/RC32,Uncommon,Fairy,90,Basic,"[Y] Sparkle
<br>If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","[1YY] Diamond Storm (60)
<br>Heal 30 damage from each of your Fairy Pokémon.",Mx2,D-20,1,1.75,4.03,9.98,4.22,,Holofoil,
113766,Swablu,Swablu,https://tcgplayer-cdn.tcgplayer.com/product/113766_200w.jpg,3,1729,https://cpt.tcgcsv.com/lwW,2024-07-26T19:16:53.98,1,RC23/RC32,Common,Colorless,40,Basic,"[1] Bind Wound
<br>Heal 20 damage from 1 of your Pokemon.",,Lx2,F-20,1,4.0,6.39,29.34,7.54,4.75,Normal,
113767,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/113767_200w.jpg,3,1729,https://cpt.tcgcsv.com/mwW,2024-07-26T19:16:54,1,RC24/RC32,Uncommon,Colorless,90,Stage 1,[1] Flap (20),"[2] Fairy Friend (30+)
<br>If you have any Fairy Pokémon on your Bench, this attack does 30 more damage.",Lx2,F-20,1,7.93,12.1,58.0,12.07,8.8,Holofoil,
113768,Fletchling,Fletchling,https://tcgplayer-cdn.tcgplayer.com/product/113768_200w.jpg,3,1729,https://cpt.tcgcsv.com/nwW,2023-07-15T13:18:19.347,1,RC25/RC32,Common,Colorless,40,Basic,"[1] Warble 
<br>Search your deck for up to 2 Fletchling, reveal them, and put them into your hand. Shuffle your deck afterward.",,Lx2,F-20,1,0.26,3.71,6.16,3.71,,Normal,
113769,Floral Crown,Floral Crown,https://tcgplayer-cdn.tcgplayer.com/product/113769_200w.jpg,3,1729,https://cpt.tcgcsv.com/pwW,2022-12-14T16:55:30.807,1,RC26/RC32,Common,Tool,,,,,,,,0.3,0.72,4.98,0.7,,Normal,"At the end of your opponent's turn, heal 20 damage from the Basic Pokémon this card is attached to."
113770,Wally,Wally,https://tcgplayer-cdn.tcgplayer.com/product/113770_200w.jpg,3,1729,https://cpt.tcgcsv.com/qwW,2022-12-14T16:55:40.187,1,RC27/RC32,Uncommon,Supporter,,,,,,,,1.25,2.0,5.98,2.25,2.46,Holofoil,Search your deck for a card that evolves from 1 of your Pokémon (excluding Pokémon EX) and put it onto that Pokémon. (This counts as evolving that Pokémon.) Shuffle your deck afterward. You can use this card during your first turn or on a Pokémon that was put into play this turn.
113771,Pikachu (Full Art),Pikachu Full Art,https://tcgplayer-cdn.tcgplayer.com/product/113771_200w.jpg,3,1729,https://cpt.tcgcsv.com/rwW,2024-12-10T03:43:36.023,1,RC29/RC32,Ultra Rare,Lightning,60,Basic,"[1] Nuzzle
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","[2] Quick Attack (20+)
<br>Flip a coin. If heads, this attack does 10 more damage.",Fx2,M-20,1,67.0,101.47,148.1,93.35,,Holofoil,
113772,Gardevoir EX (Full Art),Gardevoir EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/113772_200w.jpg,3,1729,https://cpt.tcgcsv.com/swW,2023-04-29T19:16:25.567,1,RC30/RC32,Ultra Rare,Fairy,170,Basic,"[Y] Life Leap (20)
<br>Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.","[YYY] Shining Wind (100)
<br>During your opponent's next turn, this Pokémon has no Weakness.",Mx2,D-20,2,47.0,64.97,198.99,64.32,,Holofoil,
113773,M Gardevoir EX (Full Art),M Gardevoir EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/113773_200w.jpg,3,1729,https://cpt.tcgcsv.com/twW,2022-12-14T16:56:22.75,1,RC31/RC32,Ultra Rare,Fairy,210,Mega,"[2Y] Brilliant Arrow (30x)
<br>This attack does 30 damage times the amount of Fairy Energy attached to all of your Pokémon.",,Mx2,D-20,2,78.0,112.16,199.99,106.17,,Holofoil,
