productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83516,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83516_200w.jpg,3,1405,https://cpt.tcgcsv.com/lqH,2023-09-25T18:52:44.287,1,12/106,Rare,Colorless,80,Stage 1,"[1] Dragonbreath (40)
<br>
Flip a coin. If tails, this attack does nothing. If heads, the Defending Pokémon is now Paralyzed.","[3] Cotton Cloud (60)
<br>
During your opponent's next turn, any damage done to Altaria by attacks from your opponent's Evolved Pokémon is reduced by 30 <em>(after applying Weakness and Resistance)</em>.",C+20,F-20,1,0.71,1.37,8.98,2.08,,Normal,
83516,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83516_200w.jpg,3,1405,https://cpt.tcgcsv.com/lqH,2023-09-25T18:52:44.287,1,12/106,Rare,Colorless,80,Stage 1,"[1] Dragonbreath (40)
<br>
Flip a coin. If tails, this attack does nothing. If heads, the Defending Pokémon is now Paralyzed.","[3] Cotton Cloud (60)
<br>
During your opponent's next turn, any damage done to Altaria by attacks from your opponent's Evolved Pokémon is reduced by 30 <em>(after applying Weakness and Resistance)</em>.",C+20,F-20,1,3.55,4.27,7.99,5.23,,Reverse Holofoil,
83551,Amulet Coin,Amulet Coin,https://tcgplayer-cdn.tcgplayer.com/product/83551_200w.jpg,3,1405,https://cpt.tcgcsv.com/2rH,2023-09-25T19:02:26.847,1,97/106,Uncommon,Tool,,,,,,,,0.09,0.28,2.24,0.25,0.2,Normal,"Attach Amulet Coin to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card.
<br>
If the Pokémon Amulet Coin is attached to is your Active Pokémon at the end of your turn, draw a card."
83551,Amulet Coin,Amulet Coin,https://tcgplayer-cdn.tcgplayer.com/product/83551_200w.jpg,3,1405,https://cpt.tcgcsv.com/2rH,2023-09-25T19:02:26.847,1,97/106,Uncommon,Tool,,,,,,,,0.65,1.48,3.49,2.85,,Reverse Holofoil,"Attach Amulet Coin to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card.
<br>
If the Pokémon Amulet Coin is attached to is your Active Pokémon at the end of your turn, draw a card."
83570,Arbok,Arbok,https://tcgplayer-cdn.tcgplayer.com/product/83570_200w.jpg,3,1405,https://cpt.tcgcsv.com/qrH,2024-12-20T19:13:40.35,1,33/106,Uncommon,Psychic,80,Stage 1,"[P] Deadly Poison (10+)
<br>
If the Defending Pokémon is Poisoned, this attack does 10 damage plus 40 more damage. If the Defending Pokémon is not Poisoned, that Pokémon is now Poisoned.","[3] Wrap (50)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P+20,,2,0.25,0.45,1.51,0.53,,Normal,
83570,Arbok,Arbok,https://tcgplayer-cdn.tcgplayer.com/product/83570_200w.jpg,3,1405,https://cpt.tcgcsv.com/qrH,2024-12-20T19:13:40.35,1,33/106,Uncommon,Psychic,80,Stage 1,"[P] Deadly Poison (10+)
<br>
If the Defending Pokémon is Poisoned, this attack does 10 damage plus 40 more damage. If the Defending Pokémon is not Poisoned, that Pokémon is now Poisoned.","[3] Wrap (50)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P+20,,2,1.75,3.74,5.4,5.45,,Reverse Holofoil,
83716,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83716_200w.jpg,3,1405,https://cpt.tcgcsv.com/lvH,2023-09-25T18:55:46.24,1,60/106,Common,Fighting,50,Basic,"[1] Psychic Balance
<br>
If you have less cards in your hand than your opponent, draw cards until you have the same number of cards as your opponent. (If you have more or the same number of cards in your hand as your opponent, this attack does nothing.)","[1F] Spin Turn (20)
<br>
Switch Baltoy with 1 of your Benched Pokémon.",G+10,,1,2.26,3.4,5.49,3.71,,Normal,
83716,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83716_200w.jpg,3,1405,https://cpt.tcgcsv.com/lvH,2023-09-25T18:55:46.24,1,60/106,Common,Fighting,50,Basic,"[1] Psychic Balance
<br>
If you have less cards in your hand than your opponent, draw cards until you have the same number of cards as your opponent. (If you have more or the same number of cards in your hand as your opponent, this attack does nothing.)","[1F] Spin Turn (20)
<br>
Switch Baltoy with 1 of your Benched Pokémon.",G+10,,1,10.4,10.52,11.69,9.39,,Reverse Holofoil,
83770,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83770_200w.jpg,3,1405,https://cpt.tcgcsv.com/qwH,2023-09-25T18:52:47.453,1,13/106,Rare,Grass,110,Stage 2,"[G] Band Attack (30x)
<br>
Does 30 damage times the number of Beedrill you have in play.","[3] Twineedle (50x)
<br>
Flip 2 coins. This attack does 50 damage times the number of heads.",R+30,,,0.83,1.06,2.69,1.09,,Normal,
83770,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83770_200w.jpg,3,1405,https://cpt.tcgcsv.com/qwH,2023-09-25T18:52:47.453,1,13/106,Rare,Grass,110,Stage 2,"[G] Band Attack (30x)
<br>
Does 30 damage times the number of Beedrill you have in play.","[3] Twineedle (50x)
<br>
Flip 2 coins. This attack does 50 damage times the number of heads.",R+30,,,2.89,4.95,6.96,6.18,,Reverse Holofoil,
83909,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83909_200w.jpg,3,1405,https://cpt.tcgcsv.com/cBH,2023-09-25T18:52:07.55,1,1/106,Holo Rare,Fire,130,Stage 2,"[1] Fire Dance (30)
<br>
Search your discard pile for a Fire Energy card and attach it to 1 of your Pokémon.","[1RR] Flame Kick
<br>
Discard 2 Fire Energy attached to Blaziken. This attack does 80 damage to 1 of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",W+30,,1,14.0,16.05,29.99,14.74,,Holofoil,
83909,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83909_200w.jpg,3,1405,https://cpt.tcgcsv.com/cBH,2023-09-25T18:52:07.55,1,1/106,Holo Rare,Fire,130,Stage 2,"[1] Fire Dance (30)
<br>
Search your discard pile for a Fire Energy card and attach it to 1 of your Pokémon.","[1RR] Flame Kick
<br>
Discard 2 Fire Energy attached to Blaziken. This attack does 80 damage to 1 of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",W+30,,1,9.75,12.22,14.69,11.0,,Reverse Holofoil,
84018,Buizel,Buizel,https://tcgplayer-cdn.tcgplayer.com/product/84018_200w.jpg,3,1405,https://cpt.tcgcsv.com/nDH,2023-09-25T18:55:48.963,1,61/106,Common,Water,60,Basic,[0] Headbutt (10),[WW] Surf (30),L+10,,1,0.05,0.27,1.99,0.27,,Normal,
84018,Buizel,Buizel,https://tcgplayer-cdn.tcgplayer.com/product/84018_200w.jpg,3,1405,https://cpt.tcgcsv.com/nDH,2023-09-25T18:55:48.963,1,61/106,Common,Water,60,Basic,[0] Headbutt (10),[WW] Surf (30),L+10,,1,2.5,3.12,6.04,3.46,,Reverse Holofoil,
84066,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84066_200w.jpg,3,1405,https://cpt.tcgcsv.com/lFH,2023-09-25T18:52:50.093,1,14/106,Rare,Grass,120,Stage 2,"[G] Parallel Drain (30)
<br>
After your attack, remove from 1 of your Pokémon the number of damage counters equal to the damage you did to the Defending Pokémon.","[1GG] Dozing Scales (60)
<br>
Flip a coin. If heads, the Defending Pokémon is now Asleep. If tails, the Defending Pokémon is now Poisoned.",R+30,,,1.87,2.55,4.45,2.71,,Normal,
84066,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84066_200w.jpg,3,1405,https://cpt.tcgcsv.com/lFH,2023-09-25T18:52:50.093,1,14/106,Rare,Grass,120,Stage 2,"[G] Parallel Drain (30)
<br>
After your attack, remove from 1 of your Pokémon the number of damage counters equal to the damage you did to the Defending Pokémon.","[1GG] Dozing Scales (60)
<br>
Flip a coin. If heads, the Defending Pokémon is now Asleep. If tails, the Defending Pokémon is now Poisoned.",R+30,,,4.08,6.45,12.79,6.3,,Reverse Holofoil,
84075,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84075_200w.jpg,3,1405,https://cpt.tcgcsv.com/wFH,2023-09-25T18:55:52.22,1,62/106,Common,Grass,50,Basic,"[1] Sand Attack
<br>
If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","[1G] Poison Sting (20)
<br>
The Defending Pokémon is now Poisoned.",R+10,W-20,1,0.03,0.25,1.49,0.27,,Normal,
84075,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84075_200w.jpg,3,1405,https://cpt.tcgcsv.com/wFH,2023-09-25T18:55:52.22,1,62/106,Common,Grass,50,Basic,"[1] Sand Attack
<br>
If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","[1G] Poison Sting (20)
<br>
The Defending Pokémon is now Poisoned.",R+10,W-20,1,0.55,0.99,2.0,1.2,,Reverse Holofoil,
84080,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/84080_200w.jpg,3,1405,https://cpt.tcgcsv.com/DFH,2023-09-25T18:54:05.707,1,34/106,Uncommon,Darkness,80,Stage 1,"[2] Pin Missile (20x)
<br>
Flip 3 coins. This attack does 20 damage times the number of heads.","[2D] Needle Arm (50+)
<br>
If the Defending Pokémon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",R+20,P-20,1,0.15,0.4,1.44,0.55,,Normal,
84080,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/84080_200w.jpg,3,1405,https://cpt.tcgcsv.com/DFH,2023-09-25T18:54:05.707,1,34/106,Uncommon,Darkness,80,Stage 1,"[2] Pin Missile (20x)
<br>
Flip 3 coins. This attack does 20 damage times the number of heads.","[2D] Needle Arm (50+)
<br>
If the Defending Pokémon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",R+20,P-20,1,1.19,2.5,4.99,1.63,,Reverse Holofoil,
84137,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84137_200w.jpg,3,1405,https://cpt.tcgcsv.com/MGH,2023-09-25T18:55:56.977,1,63/106,Common,Grass,40,Basic,[G] Tackle (20),,R+10,,1,0.24,0.4,4.78,0.41,,Normal,"<strong>Poké-POWER — Pupate</strong>
<br>
Once during your turn <em>(before your attack)</em>, if Caterpie is your Active Pokémon, you may flip a coin. If heads, search your deck for a card that evolves from Caterpie and put it onto Caterpie. (This counts as evolving Caterpie.) Shuffle your deck afterward. This power can't be used if Caterpie is affected by a Special Condition."
84137,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84137_200w.jpg,3,1405,https://cpt.tcgcsv.com/MGH,2023-09-25T18:55:56.977,1,63/106,Common,Grass,40,Basic,[G] Tackle (20),,R+10,,1,4.16,4.16,4.5,5.74,,Reverse Holofoil,"<strong>Poké-POWER — Pupate</strong>
<br>
Once during your turn <em>(before your attack)</em>, if Caterpie is your Active Pokémon, you may flip a coin. If heads, search your deck for a card that evolves from Caterpie and put it onto Caterpie. (This counts as evolving Caterpie.) Shuffle your deck afterward. This power can't be used if Caterpie is affected by a Special Condition."
84325,Clamperl,Clamperl,https://tcgplayer-cdn.tcgplayer.com/product/84325_200w.jpg,3,1405,https://cpt.tcgcsv.com/wLH,2023-09-25T19:17:07.85,1,64/106,Common,Water,40,Basic,"[1] Clamp (10)
<br>
Flip a coin. If tails, this attack does nothing. If heads, the Defending Pokémon is now Paralyzed.",[1W] Sparkling Pearl (20),L+10,,1,0.19,0.31,2.62,0.28,0.2,Normal,
