productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83862,Blaine's Charmander,Blaines Charmander,https://tcgplayer-cdn.tcgplayer.com/product/83862_200w.jpg,3,1441,https://cpt.tcgcsv.com/gzH,2022-11-18T19:15:15.217,1,061/132,Common,Fire,50,Basic,"[R] Kindle (10)
<br>Discard 1 Energy card attached to Blaine's Charmander in order to use this attack. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",[2] Slash (20),W,1,4.5,5.96,9.99,8.32,,1st Edition,,
83862,Blaine's Charmander,Blaines Charmander,https://tcgplayer-cdn.tcgplayer.com/product/83862_200w.jpg,3,1441,https://cpt.tcgcsv.com/gzH,2022-11-18T19:15:15.217,1,061/132,Common,Fire,50,Basic,"[R] Kindle (10)
<br>Discard 1 Energy card attached to Blaine's Charmander in order to use this attack. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",[2] Slash (20),W,1,1.0,1.9,13785.06,1.92,,Unlimited,,
83867,Blaine's Gamble,Blaines Gamble,https://tcgplayer-cdn.tcgplayer.com/product/83867_200w.jpg,3,1441,https://cpt.tcgcsv.com/mzH,2024-07-26T19:21:12.81,1,121/132,Common,Trainer,,,,,,,0.75,1.0,3.99,1.02,0.82,1st Edition,"Discard any number of other cards from your hand, then flip a coin. If heads, draw twice that many cards.",
83867,Blaine's Gamble,Blaines Gamble,https://tcgplayer-cdn.tcgplayer.com/product/83867_200w.jpg,3,1441,https://cpt.tcgcsv.com/mzH,2024-07-26T19:21:12.81,1,121/132,Common,Trainer,,,,,,,0.19,0.42,2.5,0.43,0.3,Unlimited,"Discard any number of other cards from your hand, then flip a coin. If heads, draw twice that many cards.",
83868,Blaine's Growlithe (35),Blaines Growlithe 35,https://tcgplayer-cdn.tcgplayer.com/product/83868_200w.jpg,3,1441,https://cpt.tcgcsv.com/nzH,2024-04-12T17:25:10.453,1,035/132,Uncommon,Fire,50,Basic,"[1] Shake (10)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[1R] Fire Tackle (30)
<br>Blaine's Growlithe does 10 damage to itself.",W,1,8.75,9.01,12.0,9.38,,1st Edition,,
83868,Blaine's Growlithe (35),Blaines Growlithe 35,https://tcgplayer-cdn.tcgplayer.com/product/83868_200w.jpg,3,1441,https://cpt.tcgcsv.com/nzH,2024-04-12T17:25:10.453,1,035/132,Uncommon,Fire,50,Basic,"[1] Shake (10)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[1R] Fire Tackle (30)
<br>Blaine's Growlithe does 10 damage to itself.",W,1,1.06,2.99,18575.6,3.23,,Unlimited,,
83869,Blaine's Growlithe (62),Blaines Growlithe 62,https://tcgplayer-cdn.tcgplayer.com/product/83869_200w.jpg,3,1441,https://cpt.tcgcsv.com/pzH,2023-01-30T09:19:31.96,1,062/132,Common,Fire,50,Basic,"[RR] Blaze (20)
<br>Does 10 damage to each Grass Pokémon on your opponent's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,1,4.31,5.14,7.49,4.49,,1st Edition,,
83869,Blaine's Growlithe (62),Blaines Growlithe 62,https://tcgplayer-cdn.tcgplayer.com/product/83869_200w.jpg,3,1441,https://cpt.tcgcsv.com/pzH,2023-01-30T09:19:31.96,1,062/132,Common,Fire,50,Basic,"[RR] Blaze (20)
<br>Does 10 damage to each Grass Pokémon on your opponent's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,1,0.5,1.1,501.5,1.33,,Unlimited,,
83871,Blaine's Kangaskhan,Blaines Kangaskhan,https://tcgplayer-cdn.tcgplayer.com/product/83871_200w.jpg,3,1441,https://cpt.tcgcsv.com/rzH,2024-01-07T10:56:49.733,1,036/132,Uncommon,Colorless,80,Basic,"[1] Child's Punch (10)
<br>Flip a coin. If tails, this attack does nothing.","[3] One-Two Punch (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage.",F,3,4.37,6.42,7.97,6.93,,1st Edition,,P
83871,Blaine's Kangaskhan,Blaines Kangaskhan,https://tcgplayer-cdn.tcgplayer.com/product/83871_200w.jpg,3,1441,https://cpt.tcgcsv.com/rzH,2024-01-07T10:56:49.733,1,036/132,Uncommon,Colorless,80,Basic,"[1] Child's Punch (10)
<br>Flip a coin. If tails, this attack does nothing.","[3] One-Two Punch (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage.",F,3,1.99,2.48,4.0,2.57,,Unlimited,,P
