productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
83509,Alph Lithograph,Alph Lithograph,https://tcgplayer-cdn.tcgplayer.com/product/83509_200w.jpg,3,1402,https://cpt.tcgcsv.com/cqH,2016-01-13T17:57:37.83,1,ONE,Ultra Rare,Trainer,0,Trainer,Look at your opponent's hand!,83.68,99.5,129.0,64.12,,Holofoil,,,,,
83544,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83544_200w.jpg,3,1402,https://cpt.tcgcsv.com/VqH,2023-11-28T17:50:02.33,1,14/123,Rare,Lightning,120,Stage 2,[L] Acceleration Bolt (30) Search your deck for up to 2 basic Energy cards and attach them to 1 of your Pokemon.  Shuffle your deck afterward.,2.0,2.7,14.49,3.41,,Normal,"[2L] Thunder (80) Flip a coin.  If tails, Ampharos does 20 damage to itself.",Fx2,M-20,1,
83544,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83544_200w.jpg,3,1402,https://cpt.tcgcsv.com/VqH,2023-11-28T17:50:02.33,1,14/123,Rare,Lightning,120,Stage 2,[L] Acceleration Bolt (30) Search your deck for up to 2 basic Energy cards and attach them to 1 of your Pokemon.  Shuffle your deck afterward.,9.17,10.42,11.66,10.15,,Reverse Holofoil,"[2L] Thunder (80) Flip a coin.  If tails, Ampharos does 20 damage to itself.",Fx2,M-20,1,
83545,Ampharos (Prime),Ampharos Prime,https://tcgplayer-cdn.tcgplayer.com/product/83545_200w.jpg,3,1402,https://cpt.tcgcsv.com/WqH,2023-11-28T20:34:24.03,1,105/123,Ultra Rare,Lightning,140,Stage 2,"[2L] Lightning Crush (40+) Flip a coin.  If heads, this attack does 40 damage plus 40 more damage.  If tails, discard an Energy attached to the Defending Pokemon.",34.98,40.97,49.98,28.96,,Holofoil,,Fx2,M-20,2,"Connectivity - Whenever your opponent attaches an Energy card from his or her hand to 1 of his or her Pokemon, put 1 damage counter on that Pokemon.  (Poke-BODY)"
83586,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83586_200w.jpg,3,1402,https://cpt.tcgcsv.com/LrH,2023-11-28T17:45:32.537,1,1/123,Holo Rare,Fire,110,Stage 1,[1R] Sharp Fang (50),24.89,36.17,49.99,35.49,,Holofoil,[3R] Fire Mane (90),Wx2,,2,
83586,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83586_200w.jpg,3,1402,https://cpt.tcgcsv.com/LrH,2023-11-28T17:45:32.537,1,1/123,Holo Rare,Fire,110,Stage 1,[1R] Sharp Fang (50),20.98,39.99,44.1,34.38,,Reverse Holofoil,[3R] Fire Mane (90),Wx2,,2,
83618,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83618_200w.jpg,3,1402,https://cpt.tcgcsv.com/nsH,2023-11-28T17:50:13.997,1,15/123,Rare,Grass,80,Stage 1,[1G] Leech Life (30) Remove from Ariados the number of damage counters equal to the damage you did to the Defending Pokemon.,0.21,0.75,1.97,0.73,,Normal,[2G] Poisonous Saliva (50),Rx2,,1,
83618,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83618_200w.jpg,3,1402,https://cpt.tcgcsv.com/nsH,2023-11-28T17:50:13.997,1,15/123,Rare,Grass,80,Stage 1,[1G] Leech Life (30) Remove from Ariados the number of damage counters equal to the damage you did to the Defending Pokemon.,0.87,2.03,5.09,2.14,,Reverse Holofoil,[2G] Poisonous Saliva (50),Rx2,,1,
83685,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83685_200w.jpg,3,1402,https://cpt.tcgcsv.com/KtH,2023-11-28T17:46:48.237,1,2/123,Holo Rare,Water,90,Stage 1,[WW] Waterfall (40),2.32,3.33,4.3,4.9,,Holofoil,"[2W] Bubblebeam (60) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Lx2,,2,
83685,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83685_200w.jpg,3,1402,https://cpt.tcgcsv.com/KtH,2023-11-28T17:46:48.237,1,2/123,Holo Rare,Water,90,Stage 1,[WW] Waterfall (40),2.1,4.3,6.92,3.67,,Reverse Holofoil,"[2W] Bubblebeam (60) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Lx2,,2,
