productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extRetreatCost,extAttack2,extResistance
83446,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83446_200w.jpg,3,1374,https://cpt.tcgcsv.com/XnH,2022-11-29T16:38:34.213,1,067/110,Common,Psychic,30,Basic,"[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,0.45,1.0,2.2,1.16,,Normal,,,,
83446,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83446_200w.jpg,3,1374,https://cpt.tcgcsv.com/XnH,2022-11-29T16:38:34.213,1,067/110,Common,Psychic,30,Basic,"[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,42.5,49.15,108.0,77.27,,Reverse Holofoil,,,,
83496,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83496_200w.jpg,3,1374,https://cpt.tcgcsv.com/XpH,2022-11-29T16:40:07.343,1,001/110,Holo Rare,Psychic,80,Stage 2,"[PPP] Confuse Ray (30)
<br>Flip a coin. Flip a coin. If heads, the Defending Pokémon is now Confused.",P,35.0,47.93,79.69,53.28,45.3,Holofoil,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is affected by a Special Condition.",3,,
83496,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83496_200w.jpg,3,1374,https://cpt.tcgcsv.com/XpH,2022-11-29T16:40:07.343,1,001/110,Holo Rare,Psychic,80,Stage 2,"[PPP] Confuse Ray (30)
<br>Flip a coin. Flip a coin. If heads, the Defending Pokémon is now Confused.",P,225.99,240.0,530.99,250.0,530.99,Reverse Holofoil,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is affected by a Special Condition.",3,,
83581,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83581_200w.jpg,3,1374,https://cpt.tcgcsv.com/FrH,2022-11-29T16:42:06.683,1,036/110,Uncommon,Fire,100,Stage 1,"[1RR] Flamethrower (50)
<br>Discard 1 Fire Energy card attached to Arcanine or this attack does nothing.",W,1.37,2.98,3.25,4.1,2.98,Normal,,3,"[2RR] Take Down (80)
<br>Arcanine does 30 damage to itself.",
83581,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83581_200w.jpg,3,1374,https://cpt.tcgcsv.com/FrH,2022-11-29T16:42:06.683,1,036/110,Uncommon,Fire,100,Stage 1,"[1RR] Flamethrower (50)
<br>Discard 1 Fire Energy card attached to Arcanine or this attack does nothing.",W,250.0,328.94,407.88,137.45,,Reverse Holofoil,,3,"[2RR] Take Down (80)
<br>Arcanine does 30 damage to itself.",
83643,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83643_200w.jpg,3,1374,https://cpt.tcgcsv.com/TsH,2022-11-29T16:44:06.95,1,002/110,Holo Rare,Water,70,Basic,"[WWW] Freeze Dry (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,31.23,42.04,163.6,37.59,,Holofoil,,2,"[WWWW] Blizzard (50)
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",F-30
83643,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83643_200w.jpg,3,1374,https://cpt.tcgcsv.com/TsH,2022-11-29T16:44:06.95,1,002/110,Holo Rare,Water,70,Basic,"[WWW] Freeze Dry (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,179.52,185.56,191.59,179.56,,Reverse Holofoil,,2,"[WWWW] Blizzard (50)
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",F-30
83768,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83768_200w.jpg,3,1374,https://cpt.tcgcsv.com/nwH,2022-11-29T16:45:54.743,1,020/110,Rare,Grass,80,Stage 2,"[3] Twineedle (30x)
<br>Flip 2 coins. This attack does 30 times number of heads.",R,2.09,3.5,4.71,4.59,,Normal,,,"[GGG] Poison Sting (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",F-30
83768,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83768_200w.jpg,3,1374,https://cpt.tcgcsv.com/nwH,2022-11-29T16:45:54.743,1,020/110,Rare,Grass,80,Stage 2,"[3] Twineedle (30x)
<br>Flip 2 coins. This attack does 30 times number of heads.",R,39.99,46.91,299.99,36.49,,Reverse Holofoil,,,"[GGG] Poison Sting (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",F-30
83836,Bill,Bill,https://tcgplayer-cdn.tcgplayer.com/product/83836_200w.jpg,3,1374,https://cpt.tcgcsv.com/LxH,2022-11-29T16:46:25.433,1,108/110,Common,Supporter,,,,,0.1,0.37,1.67,0.37,,Normal,Draw 2 cards.,,,
83836,Bill,Bill,https://tcgplayer-cdn.tcgplayer.com/product/83836_200w.jpg,3,1374,https://cpt.tcgcsv.com/LxH,2022-11-29T16:46:25.433,1,108/110,Common,Supporter,,,,,34.77,65.0,125.93,65.0,,Reverse Holofoil,Draw 2 cards.,,,
84025,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84025_200w.jpg,3,1374,https://cpt.tcgcsv.com/wDH,2022-12-21T09:24:09.587,1,068/110,Common,Grass,40,Basic,"[GG] Leech Seed (20)
<br>Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.",R,0.87,2.34,502.11,2.34,2.99,Normal,,1,,
84025,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84025_200w.jpg,3,1374,https://cpt.tcgcsv.com/wDH,2022-12-21T09:24:09.587,1,068/110,Common,Grass,40,Basic,"[GG] Leech Seed (20)
<br>Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.",R,149.18,215.0,399.99,249.99,,Reverse Holofoil,,1,,
84062,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84062_200w.jpg,3,1374,https://cpt.tcgcsv.com/gFH,2022-11-29T16:56:16.627,1,021/110,Rare,Grass,70,Stage 2,"[2] Whirlwind (20)
<br>
Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon, if any.  <em>(Do the damage before switching the Pokémon.)</em>",R,2.0,4.43,8.0,4.59,,Normal,,,"[GGGG] Mega Drain (40)
<br>Remove a number of damage counters from Butterfree equal to half the damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em> (rounded up to the nearest 10). If Butterfree has fewer damage counters than that, remove all of them.",F-30
84062,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84062_200w.jpg,3,1374,https://cpt.tcgcsv.com/gFH,2022-11-29T16:56:16.627,1,021/110,Rare,Grass,70,Stage 2,"[2] Whirlwind (20)
<br>
Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon, if any.  <em>(Do the damage before switching the Pokémon.)</em>",R,50.75,118.45,199.99,124.66,,Reverse Holofoil,,,"[GGGG] Mega Drain (40)
<br>Remove a number of damage counters from Butterfree equal to half the damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em> (rounded up to the nearest 10). If Butterfree has fewer damage counters than that, remove all of them.",F-30
84134,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84134_200w.jpg,3,1374,https://cpt.tcgcsv.com/JGH,2022-11-29T16:58:45.013,1,069/110,Common,Grass,40,Basic,"[G] String Shot (10)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",R,0.25,0.7,2.05,0.73,0.62,Normal,,1,,
84134,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84134_200w.jpg,3,1374,https://cpt.tcgcsv.com/JGH,2022-11-29T16:58:45.013,1,069/110,Common,Grass,40,Basic,"[G] String Shot (10)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",R,72.5,72.5,72.5,72.5,,Reverse Holofoil,,1,,
84160,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84160_200w.jpg,3,1374,https://cpt.tcgcsv.com/dHH,2022-11-29T17:00:02.93,1,106/110,Uncommon,Trainer,,,,,0.25,1.13,3.99,1.57,,Normal,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",,,
84160,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84160_200w.jpg,3,1374,https://cpt.tcgcsv.com/dHH,2022-11-29T17:00:02.93,1,106/110,Uncommon,Trainer,,,,,55.8,64.83,80.0,101.33,,Reverse Holofoil,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",,,
