productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
654594,Meganium - 001,Meganium 001,https://tcgplayer-cdn.tcgplayer.com/product/654594_200w.jpg,3,24451,https://cpt.tcgcsv.com/VRf7,2025-09-26T04:11:11.67,1,001,Promo,Grass,160,Stage 2,<strong>Ability: Wild Growth</strong> Each Basic Grass Energy attached to all of your Pokmon provides GrassGrass Energy. The effect of Wild Growth doesn't stack.,[GGCC] Solar Beam (140),Rx2,2,12.99,13.93,16.35,13.83,,Normal,,
654596,Inteleon - 002,Inteleon 002,https://tcgplayer-cdn.tcgplayer.com/product/654596_200w.jpg,3,24451,https://cpt.tcgcsv.com/XRf7,2025-09-26T04:11:11.67,1,002,Promo,Water,150,Stage 2,,"[W] Bring Down<br> Choose a Pokemon in play <em>(yours or your opponent's)</em> that has the least HP remaining, except for this Pokemon, and it is Knocked Out.",Lx2,1,7.0,11.0,40.0,9.46,,Normal,[W] Water Shot (110)<br> Discard an Energy from this Pokemon.,
654597,Alakazam - 003,Alakazam 003,https://tcgplayer-cdn.tcgplayer.com/product/654597_200w.jpg,3,24451,https://cpt.tcgcsv.com/ZRf7,2025-09-26T04:11:11.67,1,003,Promo,Psychic,140,Stage 2,"<strong>Ability: Psychic Draw</strong> Once during your turn, when you play this Pokmon from your hand to evolve 1 of your Pokmon, you may use this Ability. Draw 3 cards.",[P] Powerful Hand<br> Place 2 damage counters on your opponent's Active Pokemon for each card in your hand.,Dx2,1,22.57,25.7,28.99,23.11,,Normal,,F-30
654598,Lunatone - 004,Lunatone 004,https://tcgplayer-cdn.tcgplayer.com/product/654598_200w.jpg,3,24451,https://cpt.tcgcsv.com/-Rf7,2025-09-26T04:11:11.67,1,004,Promo,Fighting,110,Basic,"<strong>Ability: Lunar Cycle</strong> Once during your turn, if you have Solrock in play, you may discard a Basic Fighting Energy card from your hand in order to use this Ability. Draw 3 cards. You can't use more than 1 Lunar Cycle Ability each turn.",[FF] Power Gem (50),Gx2,1,16.13,22.81,34.0,19.17,,Normal,,
656255,Drifloon - 005,Drifloon 005,https://tcgplayer-cdn.tcgplayer.com/product/656255_200w.jpg,3,24451,https://cpt.tcgcsv.com/7wg7,2025-09-28T17:32:35.487,1,005,Promo,Psychic,70,Basic,,"[P] Pull
<br>Flip a coin. If heads, switch in 1 of your opponent's Benched Pokemon to the Active Spot.",Dx2,1,4.5,5.74,12.0,5.29,,Holofoil,,F-30
656256,Drifblim - 006,Drifblim 006,https://tcgplayer-cdn.tcgplayer.com/product/656256_200w.jpg,3,24451,https://cpt.tcgcsv.com/8wg7,2025-09-28T17:34:11.193,1,006,Promo,Psychic,110,Stage 1,,"[P] Creepy Wind
<br>Your opponent's Active Pokemon is now Confused.",Dx2,1,4.5,5.55,7.99,5.59,,Holofoil,"[PP] Balloon Return (110)
<br>Put this Pokemon and all attached cards into your hand.",F-30
656257,Psyduck - 007,Psyduck 007,https://tcgplayer-cdn.tcgplayer.com/product/656257_200w.jpg,3,24451,https://cpt.tcgcsv.com/9wg7,2025-09-28T17:35:54.62,1,007,Promo,Water,70,Basic,"<strong>Ability — Damp</strong>
<br>Pokemon in play (Both yours and your opponent's) lose any Ability that requires the Pokemon using it to Knock Out itself.",[2] Ram (20),Lx2,1,9.97,12.27,20.0,11.49,,Holofoil,,
656258,Golduck - 008,Golduck 008,https://tcgplayer-cdn.tcgplayer.com/product/656258_200w.jpg,3,24451,https://cpt.tcgcsv.com/bwg7,2025-09-28T17:37:21.25,1,008,Promo,Water,120,Stage 1,"<strong>Ability — Damp</strong>
<br>Pokemon in play (Both yours and your opponent's) lose any Ability that requires the Pokemon using it to Knock Out itself.","[3] Hydro Pump (60+)
<br>This attack does 20 more damage for each W Energy attached to this Pokemon.",Lx2,1,1.85,2.97,10.0,2.6,,Holofoil,,
656259,Alakazam - 009,Alakazam 009,https://tcgplayer-cdn.tcgplayer.com/product/656259_200w.jpg,3,24451,https://cpt.tcgcsv.com/cwg7,2025-09-28T17:39:27.877,1,009,Promo,Psychic,140,Stage 2,"<strong>Ability — Psychic Draw</strong>
<br>Once during your turn, when you play this Pokemon from your hand to evolve 1 of your Pokemon, you may use this Ability. Draw 3 cards.","[P] Powerful Hand
<br>Place 2 damage counters on your opponent's Active Pokemon for each card in your hand.",Dx2,1,18.0,23.76,60.0,20.75,,Holofoil,,F-30
656260,Riolu - 010,Riolu 010,https://tcgplayer-cdn.tcgplayer.com/product/656260_200w.jpg,3,24451,https://cpt.tcgcsv.com/dwg7,2025-09-28T17:40:38.397,1,010,Promo,Fighting,80,Basic,,"[F] Accelerating Stab (30)
<br>During your next turn, this Pokemon can't use Accelerating Stab.",Px2,2,16.25,19.0,50.0,17.04,,Holofoil,,
