productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
83440,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83440_200w.jpg,3,1368,https://cpt.tcgcsv.com/QnH,2023-09-25T18:28:40.61,1,19/123,Rare,Grass,100,Stage 1,"<strong>Poké-BODY — Glacier Snow</strong>
<br>
If Abomasnow is your Active Pokémon and is damaged by an opponent's attack <em>(even if Abomasnow is Knocked Out)</em>, the Attacking Pokémon is now Asleep.","[2W] Heavy Blizzard (60)
<br>
Flip a coin. If heads, put 1 damage counter on each of your opponent's Benched Pokémon.",R+30,3,0.43,0.6,3.89,0.56,,Normal,,
83440,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83440_200w.jpg,3,1368,https://cpt.tcgcsv.com/QnH,2023-09-25T18:28:40.61,1,19/123,Rare,Grass,100,Stage 1,"<strong>Poké-BODY — Glacier Snow</strong>
<br>
If Abomasnow is your Active Pokémon and is damaged by an opponent's attack <em>(even if Abomasnow is Knocked Out)</em>, the Attacking Pokémon is now Asleep.","[2W] Heavy Blizzard (60)
<br>
Flip a coin. If heads, put 1 damage counter on each of your opponent's Benched Pokémon.",R+30,3,0.75,1.39,2.87,1.42,,Reverse Holofoil,,
83448,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83448_200w.jpg,3,1368,https://cpt.tcgcsv.com/-nH,2023-09-25T18:32:19.217,1,69/123,Common,Psychic,50,Basic,,"[P] Play Search
<br>
Look at the top 5 cards of your deck, choose 1 of them, and put it into your hand. Put the 4 other cards back on top of your deck. Shuffle your deck afterward.",P+10,1,0.59,1.53,3.98,1.53,,Normal,"[1P] Ultra Evolution
<br>
Search your deck for Alakazam and put it onto Abra (this counts as evolving Abra). Shuffle your deck afterward.",
83448,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83448_200w.jpg,3,1368,https://cpt.tcgcsv.com/-nH,2023-09-25T18:32:19.217,1,69/123,Common,Psychic,50,Basic,,"[P] Play Search
<br>
Look at the top 5 cards of your deck, choose 1 of them, and put it into your hand. Put the 4 other cards back on top of your deck. Shuffle your deck afterward.",P+10,1,3.71,4.99,19.99,13.87,,Reverse Holofoil,"[1P] Ultra Evolution
<br>
Search your deck for Alakazam and put it onto Abra (this counts as evolving Abra). Shuffle your deck afterward.",
83478,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83478_200w.jpg,3,1368,https://cpt.tcgcsv.com/BpH,2023-09-25T18:27:30.667,1,1/123,Holo Rare,Metal,130,Stage 2,,"[2] Heap Up (40+)
<br>
Search your discard pile for all Energy cards and show them to your opponent. If you find any Metal Special Energy cards there, this attack does 40 damage plus 30 more damage. Put all of those Energy cards on top of your deck. Shuffle your deck afterward.",R+40,4,7.77,9.81,14.99,6.55,9.11,Holofoil,"[MMMM] Hard Metal (60+)
<br>
You may do 60 damage plus 40 more damage. If you do, Aggron does 40 damage to itself.",P-20
83478,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83478_200w.jpg,3,1368,https://cpt.tcgcsv.com/BpH,2023-09-25T18:27:30.667,1,1/123,Holo Rare,Metal,130,Stage 2,,"[2] Heap Up (40+)
<br>
Search your discard pile for all Energy cards and show them to your opponent. If you find any Metal Special Energy cards there, this attack does 40 damage plus 30 more damage. Put all of those Energy cards on top of your deck. Shuffle your deck afterward.",R+40,4,2.95,2.98,3.1,3.26,,Reverse Holofoil,"[MMMM] Hard Metal (60+)
<br>
You may do 60 damage plus 40 more damage. If you do, Aggron does 40 damage to itself.",P-20
83489,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83489_200w.jpg,3,1368,https://cpt.tcgcsv.com/PpH,2023-09-25T18:32:22.207,1,70/123,Common,Colorless,60,Basic,,[1] Tail Whap (10),F+10,1,0.1,0.25,2.93,0.25,,Normal,"[2] Throw Off
<br>
Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Before doing damage, discard all Pokémon Tool cards attached to that Pokémon.",
83489,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83489_200w.jpg,3,1368,https://cpt.tcgcsv.com/PpH,2023-09-25T18:32:22.207,1,70/123,Common,Colorless,60,Basic,,[1] Tail Whap (10),F+10,1,0.69,1.62,4.5,1.67,,Reverse Holofoil,"[2] Throw Off
<br>
Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Before doing damage, discard all Pokémon Tool cards attached to that Pokémon.",
83501,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83501_200w.jpg,3,1368,https://cpt.tcgcsv.com/2qH,2023-09-25T18:27:33.91,1,2/123,Holo Rare,Psychic,100,Stage 2,"<strong>Poké-POWER — Power Cancel</strong>
<br>
Once during your opponent's turn, when your opponent's Pokémon uses any Poké-Power, you may discard 2 cards from your hand and prevent all effects of that Poké-Power. (This counts as that Pokémon using its Poké-Power.) This power can't be used if Alakazam is affected by a Special Condition.","[1PP] Psychic Guard (50)
<br>
During your opponent's next turn, any damage done to Alakazam by your opponent's Stage 2 Evolved Pokémon is reduced by 30 <em>(after applying Weakness and Resistance)</em>.",P+30,1,15.0,22.26,149.99,24.74,,Holofoil,,
83501,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83501_200w.jpg,3,1368,https://cpt.tcgcsv.com/2qH,2023-09-25T18:27:33.91,1,2/123,Holo Rare,Psychic,100,Stage 2,"<strong>Poké-POWER — Power Cancel</strong>
<br>
Once during your opponent's turn, when your opponent's Pokémon uses any Poké-Power, you may discard 2 cards from your hand and prevent all effects of that Poké-Power. (This counts as that Pokémon using its Poké-Power.) This power can't be used if Alakazam is affected by a Special Condition.","[1PP] Psychic Guard (50)
<br>
During your opponent's next turn, any damage done to Alakazam by your opponent's Stage 2 Evolved Pokémon is reduced by 30 <em>(after applying Weakness and Resistance)</em>.",P+30,1,10.0,14.53,19.99,20.88,,Reverse Holofoil,,
83526,Ambipom,Ambipom,https://tcgplayer-cdn.tcgplayer.com/product/83526_200w.jpg,3,1368,https://cpt.tcgcsv.com/xqH,2023-09-25T18:27:37.5,1,3/123,Holo Rare,Colorless,80,Stage 1,,"[2] Tail Influence (30)
<br>
Your opponent flips a coin until he or she gets heads. For each tails, remove an Energy from the Defending Pokémon and put it at the bottom of your opponent's deck.",F+20,1,1.75,2.73,9.98,2.73,3.98,Holofoil,"[2] Charity Tail (80)
<br>
Before Ambipom does damage, your opponent may discard 2 cards from his or her hand. If he or she does, this attack's base damage is 10 instead of 80.",
83526,Ambipom,Ambipom,https://tcgplayer-cdn.tcgplayer.com/product/83526_200w.jpg,3,1368,https://cpt.tcgcsv.com/xqH,2023-09-25T18:27:37.5,1,3/123,Holo Rare,Colorless,80,Stage 1,,"[2] Tail Influence (30)
<br>
Your opponent flips a coin until he or she gets heads. For each tails, remove an Energy from the Defending Pokémon and put it at the bottom of your opponent's deck.",F+20,1,1.3,2.06,4.98,2.1,,Reverse Holofoil,"[2] Charity Tail (80)
<br>
Before Ambipom does damage, your opponent may discard 2 cards from his or her hand. If he or she does, this attack's base damage is 10 instead of 80.",
83617,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83617_200w.jpg,3,1368,https://cpt.tcgcsv.com/msH,2023-09-25T18:28:43.523,1,20/123,Rare,Grass,80,Stage 1,"<strong>Poké-BODY — Sticky</strong>
<br>
The Retreat Cost for each player's Pokémon (excluding Ariados) is 1 Colorless more.","[1G] Offensive Needle (20)
<br>
Flip a coin. if heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Paralyzed.",R+20,1,0.09,0.46,1.99,0.52,,Normal,,
83617,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83617_200w.jpg,3,1368,https://cpt.tcgcsv.com/msH,2023-09-25T18:28:43.523,1,20/123,Rare,Grass,80,Stage 1,"<strong>Poké-BODY — Sticky</strong>
<br>
The Retreat Cost for each player's Pokémon (excluding Ariados) is 1 Colorless more.","[1G] Offensive Needle (20)
<br>
Flip a coin. if heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Paralyzed.",R+20,1,0.48,1.5,3.98,1.39,,Reverse Holofoil,,
