productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extCardType
83455,Absol (Team Plasma),Absol Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83455_200w.jpg,3,1382,https://cpt.tcgcsv.com/7pH,2023-07-18T13:31:19.39,1,67/116,Holo Rare,100,Basic,[1D] Mind Jack (20+) Does 20 more damage for each of your opponent's Benched Pokemon.,[2D] Fearsome Shadow (60) Your opponent reveals his or her hand.,Fx2,P-20,1,5.7,9.66,1600.0,10.18,,Holofoil,,
83455,Absol (Team Plasma),Absol Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83455_200w.jpg,3,1382,https://cpt.tcgcsv.com/7pH,2023-07-18T13:31:19.39,1,67/116,Holo Rare,100,Basic,[1D] Mind Jack (20+) Does 20 more damage for each of your opponent's Benched Pokemon.,[2D] Fearsome Shadow (60) Your opponent reveals his or her hand.,Fx2,P-20,1,4.0,4.88,8.49,8.42,,Reverse Holofoil,,
83773,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83773_200w.jpg,3,1382,https://cpt.tcgcsv.com/twH,2023-01-10T15:52:21.693,1,3/116,Rare,120,Stage 2,"[G] Swift Sting (20+) If this Pokemon has full HP, this attack does 40 more damage, and the Defending Pokemon is now Confused and Poisoned.",[3] Pierce (60),Rx2,,0,0.2,0.55,2.0,1.13,,Normal,,
83773,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83773_200w.jpg,3,1382,https://cpt.tcgcsv.com/twH,2023-01-10T15:52:21.693,1,3/116,Rare,120,Stage 2,"[G] Swift Sting (20+) If this Pokemon has full HP, this attack does 40 more damage, and the Defending Pokemon is now Confused and Poisoned.",[3] Pierce (60),Rx2,,0,0.75,1.45,4.0,1.21,,Reverse Holofoil,,
83793,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83793_200w.jpg,3,1382,https://cpt.tcgcsv.com/TwH,2023-01-10T16:02:34.107,1,50/116,Common,60,Basic,[1] Calculate - Look at the top 4 cards of your deck and put them back on top of your deck in any order.,[1P] Psypunch (20),Px2,,1,0.09,0.25,1.0,0.31,0.14,Normal,,
83793,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83793_200w.jpg,3,1382,https://cpt.tcgcsv.com/TwH,2023-01-10T16:02:34.107,1,50/116,Common,60,Basic,[1] Calculate - Look at the top 4 cards of your deck and put them back on top of your deck in any order.,[1P] Psypunch (20),Px2,,1,0.34,0.73,2.0,0.86,,Reverse Holofoil,,
83848,Bisharp (Team Plasma) (73),Bisharp Team Plasma 73,https://tcgplayer-cdn.tcgplayer.com/product/83848_200w.jpg,3,1382,https://cpt.tcgcsv.com/-xH,2023-01-10T16:09:49.717,1,73/116,Rare,100,Stage 1,[1] Slash (40),"[1DD] Dragon Slayer (80+) If the Defending Pokemon is a Dragon Pokemon, this attack does 40 more damage.",Fx2,P-20,1,0.35,0.75,3.98,0.78,0.69,Normal,,
83848,Bisharp (Team Plasma) (73),Bisharp Team Plasma 73,https://tcgplayer-cdn.tcgplayer.com/product/83848_200w.jpg,3,1382,https://cpt.tcgcsv.com/-xH,2023-01-10T16:09:49.717,1,73/116,Rare,100,Stage 1,[1] Slash (40),"[1DD] Dragon Slayer (80+) If the Defending Pokemon is a Dragon Pokemon, this attack does 40 more damage.",Fx2,P-20,1,0.85,2.82,6.0,1.77,,Reverse Holofoil,,
83849,Bisharp (Team Plasma) (74),Bisharp Team Plasma 74,https://tcgplayer-cdn.tcgplayer.com/product/83849_200w.jpg,3,1382,https://cpt.tcgcsv.com/_xH,2024-12-28T11:35:45.16,1,74/116,Uncommon,90,Stage 1,"[2] Cut Down (30) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",[2D] Slicing Blade (70),Fx2,P-20,1,0.14,0.44,1.58,0.48,,Normal,,
83849,Bisharp (Team Plasma) (74),Bisharp Team Plasma 74,https://tcgplayer-cdn.tcgplayer.com/product/83849_200w.jpg,3,1382,https://cpt.tcgcsv.com/_xH,2024-12-28T11:35:45.16,1,74/116,Uncommon,90,Stage 1,"[2] Cut Down (30) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",[2D] Slicing Blade (70),Fx2,P-20,1,1.25,2.9,6.0,1.6,,Reverse Holofoil,,
