productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardText
83533,Amoonguss (Team Plasma),Amoonguss Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83533_200w.jpg,3,1413,https://cpt.tcgcsv.com/HqH,2023-01-10T16:58:02.01,1,13/135,Uncommon,90,Stage 1,"[1] Astonish - Flip a coin.  If heads, choose 3 random cards from your opponent's hand.  Your opponent reveals those cards and shuffles them into his or her deck.","[1G] Miracle Powder (30) Flip a coin.  If heads, choose 1 Special Condition.  The Defending Pokemon is now affected by that Special Condition.",Rx2,W-20,2,0.05,0.29,2.0,0.29,,Normal,,
83533,Amoonguss (Team Plasma),Amoonguss Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83533_200w.jpg,3,1413,https://cpt.tcgcsv.com/HqH,2023-01-10T16:58:02.01,1,13/135,Uncommon,90,Stage 1,"[1] Astonish - Flip a coin.  If heads, choose 3 random cards from your opponent's hand.  Your opponent reveals those cards and shuffles them into his or her deck.","[1G] Miracle Powder (30) Flip a coin.  If heads, choose 1 Special Condition.  The Defending Pokemon is now affected by that Special Condition.",Rx2,W-20,2,0.75,1.94,6.0,1.97,,Reverse Holofoil,,
83656,Articuno EX (Team Plasma),Articuno EX Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83656_200w.jpg,3,1413,https://cpt.tcgcsv.com/8tH,2023-03-19T08:52:33.063,1,25/135,Ultra Rare,170,Basic,[2W] Blizzard (60) Does 10 damage to each of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),"[2WW] Frost Prison (80) If this Pokemon has any Plasma Energy attached to it, the Defending Pokemon is now Paralyzed.",Mx2,F-20,1,8.0,11.6,18.75,12.15,7.32,Holofoil,,
83657,Articuno EX (Team Plasma) (132 Full Art),Articuno EX Team Plasma 132 Full Art,https://tcgplayer-cdn.tcgplayer.com/product/83657_200w.jpg,3,1413,https://cpt.tcgcsv.com/9tH,2024-04-10T14:42:53.68,1,132/135,Ultra Rare,170,Basic,[2W] Blizzard (60) Does 10 damage to each of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),"[2WW] Frost Prison (80) If this Pokemon has any Plasma Energy attached to it, the Defending Pokemon is now Paralyzed.",Mx2,F-20,1,250.0,284.95,401.0,150.65,,Holofoil,,
83754,Beartic (Team Plasma),Beartic Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83754_200w.jpg,3,1413,https://cpt.tcgcsv.com/6wH,2023-01-10T17:02:54.017,1,41/135,Rare,130,Stage 1,[1W] Powerful Rage (20x) Does 20 damage times the number of damage counters on this Pokemon.,[1WW] Glacier Drop (90) Discard the top card of your opponent's deck.,Mx2,,4,0.73,0.99,3.15,0.8,,Normal,,
83754,Beartic (Team Plasma),Beartic Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83754_200w.jpg,3,1413,https://cpt.tcgcsv.com/6wH,2023-01-10T17:02:54.017,1,41/135,Rare,130,Stage 1,[1W] Powerful Rage (20x) Does 20 damage times the number of damage counters on this Pokemon.,[1WW] Glacier Drop (90) Discard the top card of your opponent's deck.,Mx2,,4,0.69,2.32,8.0,3.07,,Reverse Holofoil,,
83780,Beheeyem (Team Plasma),Beheeyem Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83780_200w.jpg,3,1413,https://cpt.tcgcsv.com/DwH,2023-01-10T17:10:43.217,1,70/135,Rare,90,Stage 1,"[P] Lock Up (20)
<br>The Defending Pokemon can't retreat during your opponent's next turn.","[2P] Damakensis
<br>Move 6 damage counter from any of your Pokemon to the Defending Pokemon.",Px2,,1,0.45,0.64,1.45,0.63,,Normal,,
83780,Beheeyem (Team Plasma),Beheeyem Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83780_200w.jpg,3,1413,https://cpt.tcgcsv.com/DwH,2023-01-10T17:10:43.217,1,70/135,Rare,90,Stage 1,"[P] Lock Up (20)
<br>The Defending Pokemon can't retreat during your opponent's next turn.","[2P] Damakensis
<br>Move 6 damage counter from any of your Pokemon to the Defending Pokemon.",Px2,,1,0.7,2.0,6.0,2.53,,Reverse Holofoil,,
83823,Bicycle,Bicycle,https://tcgplayer-cdn.tcgplayer.com/product/83823_200w.jpg,3,1413,https://cpt.tcgcsv.com/txH,2024-11-17T15:52:46.343,1,117/135,Uncommon,0,,Draw cards until you have 4 cards in your hand.,,,,,4.04,5.21,8.95,5.75,,Normal,Item,You may play as many Item cards as you like during your turn (before your attack).
83823,Bicycle,Bicycle,https://tcgplayer-cdn.tcgplayer.com/product/83823_200w.jpg,3,1413,https://cpt.tcgcsv.com/txH,2024-11-17T15:52:46.343,1,117/135,Uncommon,0,,Draw cards until you have 4 cards in your hand.,,,,,6.09,10.97,22.56,7.34,,Reverse Holofoil,Item,You may play as many Item cards as you like during your turn (before your attack).
