productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2,extResistance
477182,Fuecoco - 002,Fuecoco 002,https://tcgplayer-cdn.tcgplayer.com/product/477182_200w.jpg,3,22872,https://cpt.tcgcsv.com/GTQ5,2023-08-31T15:02:35.203,1,002,Promo,Fire,80,Basic,"[1RR] Super Singe (30)
<br>
Your opponent's Active Pokémon is now Burned.",Wx2,2,2.68,3.62,6.99,3.62,,Holofoil,,,
477183,Quaxly - 003,Quaxly 003,https://tcgplayer-cdn.tcgplayer.com/product/477183_200w.jpg,3,22872,https://cpt.tcgcsv.com/HTQ5,2023-08-31T15:02:40.383,1,003,Promo,Water,70,Basic,"[1W] Water Splash (20+)
<br>
Flip a coin. If heads, this attack does 20 more damage.",Lx2,1,0.65,2.03,4.58,1.85,,Holofoil,,,
477184,Sprigatito - 001,Sprigatito 001,https://tcgplayer-cdn.tcgplayer.com/product/477184_200w.jpg,3,22872,https://cpt.tcgcsv.com/JTQ5,2023-08-31T15:02:28.727,1,001,Promo,Grass,70,Basic,"[G] Mini Drain (10)
<br>
Heal 10 damage from this Pokémon.",Rx2,1,4.05,5.3,8.39,5.32,,Holofoil,,,
484396,Lucario ex - 017,Lucario ex 017,https://tcgplayer-cdn.tcgplayer.com/product/484396_200w.jpg,3,22872,https://cpt.tcgcsv.com/XMT5,2024-04-12T01:42:15.293,1,017,Promo,Fighting,260,Stage 1,[1F] Low Sweep (60),Px2,2,4.0,6.64,18.0,6.64,9.99,Holofoil,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[1FF] Aura Sphere (160)
<br>
This attack also does 50 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
484397,Ampharos ex - 016,Ampharos ex 016,https://tcgplayer-cdn.tcgplayer.com/product/484397_200w.jpg,3,22872,https://cpt.tcgcsv.com/ZMT5,2023-08-31T19:18:14.667,1,016,Promo,Lightning,330,Stage 2,[L] Electro Ball (60),Fx2,2,3.3,4.42,28.48,4.42,4.5,Holofoil,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[2L] Thunderstrike Tail (140+)
<br>
You may discard 2 Energy from this Pokémon to have this attack do 100 more damage.",
487435,Mimikyu ex - 004,Mimikyu ex 004,https://tcgplayer-cdn.tcgplayer.com/product/487435_200w.jpg,3,22872,https://cpt.tcgcsv.com/K-V5,2023-08-31T15:07:11.02,1,004,Promo,Psychic,190,Basic,"[P] Void Return (30)
<br>You may switch this Pokémon with 1 of your Benched Pokémon.",Mx2,1,0.61,1.0,10.0,0.95,,Holofoil,,"[P2] Energy Burst (30x)
<br>This attack does 30 damage for each Energy attached to both Active Pokémon.",
487751,Quaquaval - 005 (Prerelease),Quaquaval 005 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487751_200w.jpg,3,22872,https://cpt.tcgcsv.com/27W5,2024-04-30T14:01:35,1,005,Promo,Water,170,Stage 2,[2W] Hydro Kick (140),Lx2,2,1.0,1.83,9.5,1.73,,Holofoil,"<strong>Ability — Energy Carnival</strong>
<br>
Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokémon.",,
487752,Pawmot - 006 (Prerelease),Pawmot 006 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487752_200w.jpg,3,22872,https://cpt.tcgcsv.com/37W5,2024-04-30T14:01:58.083,1,006,Promo,Lightning,130,Stage 2,"[1LL] Electro Paws (230)
<br>
Discard all Energy from this Pokémon.",Fx2,,1.5,2.5,5.0,2.3,3.99,Holofoil,"<strong>Ability — Electrogenesis</strong>
<br>
Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokémon. Then, shuffle your deck.",,
487755,Hawlucha - 007 (Prerelease),Hawlucha 007 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487755_200w.jpg,3,22872,https://cpt.tcgcsv.com/77W5,2024-04-30T14:05:56.413,1,007,Promo,Fighting,70,Basic,[2F] Wing Attack (70),Px2,1,2.49,3.5,8.0,3.3,,Holofoil,"<strong>Ability — Flying Entry</strong>
<br>
When you play this Pokémon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokémon and put 1 damage counter on each of them.",,
487756,Revavroom - 008 (Prerelease),Revavroom 008 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487756_200w.jpg,3,22872,https://cpt.tcgcsv.com/87W5,2024-04-30T14:06:12.587,1,008,Promo,Metal,140,Stage 1,"[3M] Knock Away (90+)
<br>
Flip a coin. If heads, this attack does 90 more damage.",Rx2,2,1.75,2.5,9.5,2.53,,Holofoil,"<strong>Ability — Rumbling Engine</strong>
<br>
You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.",,G-30
