productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extCardText,extAttack3,extAttack4
200300,Grookey - SWSH001,Grookey SWSH001,https://tcgplayer-cdn.tcgplayer.com/product/200300_200w.jpg,3,2545,https://cpt.tcgcsv.com/08D2,2021-08-06T15:01:02.357,1,SWSH001,Promo,Grass,60,Basic,[1G] Branch Poke (30),Rx2,None,1,1.7,2.77,5.0,2.4,,Holofoil,,,,
200301,Scorbunny - SWSH002,Scorbunny SWSH002,https://tcgplayer-cdn.tcgplayer.com/product/200301_200w.jpg,3,2545,https://cpt.tcgcsv.com/28D2,2021-10-05T13:11:59.5,1,SWSH002,Promo,Fire,60,Basic,"[R] Super Singe (10)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Burned.",Wx2,None,1,2.5,3.87,8.0,3.86,4.05,Holofoil,,,,
200302,Sobble - SWSH003,Sobble SWSH003,https://tcgplayer-cdn.tcgplayer.com/product/200302_200w.jpg,3,2545,https://cpt.tcgcsv.com/38D2,2022-06-26T05:15:50.403,1,SWSH003,Promo,Water,60,Basic,"[1W] Bind (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Lx2,None,1,2.15,3.2,11.53,3.17,2.99,Holofoil,,,,
205465,Meowth V - SWSH004,Meowth V SWSH004,https://tcgplayer-cdn.tcgplayer.com/product/205465_200w.jpg,3,2545,https://cpt.tcgcsv.com/kcG2,2021-11-04T19:59:11.653,1,SWSH004,Promo,Colorless,180,Basic,"[1] Payday (30)
<br>Draw a card.",Fx2,,2,0.88,1.5,7.49,1.48,1.48,Holofoil,[3] Slashing Claw (130),,,
205466,Meowth VMAX - SWSH005,Meowth VMAX SWSH005,https://tcgplayer-cdn.tcgplayer.com/product/205466_200w.jpg,3,2545,https://cpt.tcgcsv.com/lcG2,2021-06-15T12:52:41.45,1,SWSH005,Promo,Colorless,300,VMAX,"[4] G-Max Gold Rush (200)
<br>Draw 3 cards.",Fx2,,2,2.98,4.08,9.98,3.77,3.7,Holofoil,,,,
206418,Inteleon V - SWSH016,Inteleon V SWSH016,https://tcgplayer-cdn.tcgplayer.com/product/206418_200w.jpg,3,2545,https://cpt.tcgcsv.com/nBG2,2023-04-12T17:05:40.5,1,SWSH016,Promo,Water,200,Basic,"[W] Snipe Shot
<br>This attack does 40 damage to 1 of your opponent's Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon)</em>",Lx2,None,2,0.5,0.94,7.0,0.68,0.68,Holofoil,"[1WW] Aqua Report (130)
<br>Your opponent reveals their hand.",,,
206419,Cinderace V - SWSH015,Cinderace V SWSH015,https://tcgplayer-cdn.tcgplayer.com/product/206419_200w.jpg,3,2545,https://cpt.tcgcsv.com/pBG2,2021-12-01T15:24:21.377,1,SWSH015,Promo,Fire,210,Basic,[1RR] Crimson Legs (140),Wx2,None,2,0.48,0.97,4.92,0.73,,Holofoil,,"<strong>Ability — Field Runner</strong>
<br>If a Stadium is in play, this Pokemon has no Retreat Cost.",,
206421,Rillaboom V - SWSH014,Rillaboom V SWSH014,https://tcgplayer-cdn.tcgplayer.com/product/206421_200w.jpg,3,2545,https://cpt.tcgcsv.com/rBG2,2022-12-17T18:51:53.957,1,SWSH014,Promo,Grass,220,Basic,"[G] Forest Feast
<br>Search your deck for up to 2 Basic Grass Pokemon and put them onto your Bench. Then, shuffle your deck.",Rx2,None,3,0.4,0.96,10.36,0.9,0.99,Holofoil,"[1GGG] Wood Hammer (220)
<br>This Pokemon also does 30 damage to itself.",,,
206425,Toxtricity V - SWSH017,Toxtricity V SWSH017,https://tcgplayer-cdn.tcgplayer.com/product/206425_200w.jpg,3,2545,https://cpt.tcgcsv.com/wBG2,2021-06-15T13:01:37.43,1,SWSH017,Promo,Lightning,210,Basic,"[1] Energize
<br>Attach a Lightning Energy card from your discard pile to this Pokemon.",Fx2,None,2,0.6,1.0,5.0,0.96,,Holofoil,"[1LL] Venom Slap (120)
<br>Your opponent's Active Pokemon is now Poisoned.",,,
206427,Wooloo - SWSH011,Wooloo SWSH011,https://tcgplayer-cdn.tcgplayer.com/product/206427_200w.jpg,3,2545,https://cpt.tcgcsv.com/zBG2,2025-04-09T21:03:45.39,1,SWSH011,Promo,Colorless,60,Basic,"[1] Defense Curl
<br>Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.",Fx2,None,1,0.49,1.0,6.0,1.18,1.5,Holofoil,[2] Headbutt (20),,,
206428,Morpeko - SWSH012,Morpeko SWSH012,https://tcgplayer-cdn.tcgplayer.com/product/206428_200w.jpg,3,2545,https://cpt.tcgcsv.com/BBG2,2023-03-27T13:31:33.683,1,SWSH012,Promo,Lightning,80,Basic,"[2L] Thunder Shock (60)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Fx2,None,1,0.47,0.85,5.03,0.99,,Holofoil,,,,
206429,Gossifleur - SWSH010,Gossifleur SWSH010,https://tcgplayer-cdn.tcgplayer.com/product/206429_200w.jpg,3,2545,https://cpt.tcgcsv.com/CBG2,2024-08-20T18:07:45.69,1,SWSH010,Promo,Grass,50,Basic,"[1] Sing
<br>Your opponent's Active Pokemon is now Asleep.",Rx2,None,1,0.25,0.4,7.0,0.39,0.3,Holofoil,,,,
206430,Galarian Ponyta - SWSH013,Galarian Ponyta SWSH013,https://tcgplayer-cdn.tcgplayer.com/product/206430_200w.jpg,3,2545,https://cpt.tcgcsv.com/DBG2,2023-03-13T20:35:24.377,1,SWSH013,Promo,Psychic,70,Basic,"[1] Heal Pulse
<br>Heal 30 damage from 1 of your Pokemon.",Dx2,F-30,1,3.2,4.75,9.99,4.82,9.95,Holofoil,[1P] Flop (20),,,
208260,Rillaboom - SWSH006 (Prerelease) [Staff],Rillaboom SWSH006 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/208260_200w.jpg,3,2545,https://cpt.tcgcsv.com/dkH2,2024-04-08T15:55:21.49,1,SWSH006,Promo,Grass,170,Stage 2,[1GGG] Hammer In (140),Rx2,None,3,32.0,32.0,99.98,33.43,,Holofoil,,"<strong>Ability — Voltage Beat</strong>
<br>Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.",,
208261,Rillaboom - SWSH006 (Prerelease),Rillaboom SWSH006 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/208261_200w.jpg,3,2545,https://cpt.tcgcsv.com/fkH2,2024-04-08T15:55:14.413,1,SWSH006,Promo,Grass,170,Stage 2,[1GGG] Hammer In (140),Rx2,None,3,4.47,5.72,8.98,5.61,5.89,Holofoil,,"<strong>Ability — Voltage Beat</strong>
<br>Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.",,
