productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
232343,Rowlet,Rowlet,https://tcgplayer-cdn.tcgplayer.com/product/232343_200w.jpg,3,2781,https://cpt.tcgcsv.com/TXS2,2023-12-30T16:03:22.85,1,SV001/SV122,Shiny Holo Rare,Grass,50,Basic,"<strong>Ability — Sky Circus</strong>
<br>If you played Bird Keeper from your hand during this turn, ignore all Energy in the attack cost of each of this Pokémon's attacks.","[3] Wind Shard
<br>This attack does 60 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Rx2,None,1,1.0,2.0,9.99,2.13,2.69,Holofoil,
232344,Dartrix,Dartrix,https://tcgplayer-cdn.tcgplayer.com/product/232344_200w.jpg,3,2781,https://cpt.tcgcsv.com/VXS2,2021-02-19T05:03:14.033,1,SV002/SV122,Shiny Holo Rare,Grass,80,Stage 1,,[G] Razor Leaf (40),Rx2,None,1,2.0,2.87,9.99,2.87,2.85,Holofoil,
232345,Decidueye,Decidueye,https://tcgplayer-cdn.tcgplayer.com/product/232345_200w.jpg,3,2781,https://cpt.tcgcsv.com/WXS2,2021-10-06T12:55:25.483,1,SV003/SV122,Shiny Holo Rare,Grass,140,Stage 2,"<strong>Ability — Deep Forest Camo</strong>
<br>Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon V and Pokémon-GX.","[1G] Split Arrow (90)
<br><em>This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon)</em>",Rx2,None,2,3.0,4.33,14.99,4.37,4.54,Holofoil,
232346,Grookey,Grookey,https://tcgplayer-cdn.tcgplayer.com/product/232346_200w.jpg,3,2781,https://cpt.tcgcsv.com/XXS2,2023-03-06T05:53:15.19,1,SV004/SV122,Shiny Holo Rare,Grass,60,Basic,,"[1] Fury Swipes (10x)
<br>Flip 3 coins. This attack does 10 damage for each heads.",Rx2,None,1,0.75,1.69,6.65,1.57,2.48,Holofoil,
232347,Thwackey,Thwackey,https://tcgplayer-cdn.tcgplayer.com/product/232347_200w.jpg,3,2781,https://cpt.tcgcsv.com/ZXS2,2021-02-19T05:03:14.033,1,SV005/SV122,Shiny Holo Rare,Grass,90,Basic,"<strong>Ability — Lay of the Land</strong>
<br>If you have a Stadium in play, this Pokemon has no Retreat Cost.",[G] Branch poke (20),Rx2,None,2,1.4,2.19,17.0,1.9,2.61,Holofoil,
232350,Rillaboom,Rillaboom,https://tcgplayer-cdn.tcgplayer.com/product/232350_200w.jpg,3,2781,https://cpt.tcgcsv.com/0ZS2,2024-02-28T13:01:05.73,1,SV006/SV122,Shiny Holo Rare,Grass,170,Stage 2,"<strong>Ability — Voltage Beat</strong>
<br>Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck.",[1GGG] Hammer In (140),Rx2,None,3,1.49,2.57,15.99,2.41,2.99,Holofoil,
232351,Blipbug,Blipbug,https://tcgplayer-cdn.tcgplayer.com/product/232351_200w.jpg,3,2781,https://cpt.tcgcsv.com/2ZS2,2021-06-09T12:21:07.29,1,SV007/SV122,Shiny Holo Rare,Grass,50,Basic,,[G] Gnaw (20),Rx2,None,1,0.93,1.63,6.95,1.47,1.49,Holofoil,
232353,Dottler,Dottler,https://tcgplayer-cdn.tcgplayer.com/product/232353_200w.jpg,3,2781,https://cpt.tcgcsv.com/5ZS2,2021-02-19T05:03:14.033,1,SV008/SV122,Shiny Holo Rare,Grass,70,Stage 1,,"[1] Reflect
<br>During your opponent's next turn, this Pokémon takes 40 less damage from attacks <em>(after applying Weakness and Resistance)</em>.",Rx2,None,2,0.95,1.41,4.99,1.33,1.79,Holofoil,[1G] Ram (30)
232354,Orbeetle,Orbeetle,https://tcgplayer-cdn.tcgplayer.com/product/232354_200w.jpg,3,2781,https://cpt.tcgcsv.com/6ZS2,2021-06-15T12:16:50.397,1,SV009/SV122,Shiny Holo Rare,Grass,130,Stage 2,"<strong>Ability —Bug's Radar</strong>
<br>Once during your turn, you may look at the top 3 cards of your opponent's deck and put them back on top of their deck in any order.","[1G] Brain Wave (90+)
<br>This attack does 30 more damage for each Psychic Energy attached to this Pokémon.",Rx2,None,1,1.0,1.75,9.99,1.64,1.99,Holofoil,
232356,Gossifleur,Gossifleur,https://tcgplayer-cdn.tcgplayer.com/product/232356_200w.jpg,3,2781,https://cpt.tcgcsv.com/8ZS2,2021-09-21T09:36:38.477,1,SV010/SV122,Shiny Holo Rare,Grass,50,Basic,,"[1] Call for Family
<br>Search your deck for up to 3 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.",Rx2,None,1,1.0,1.89,12.0,1.81,1.74,Holofoil,[G] Razor Leaf (10)
