productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83445,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83445_200w.jpg,3,1373,https://cpt.tcgcsv.com/WnH,2025-02-05T21:02:47.937,1,49/82,Common,Psychic,40,Basic,"[P] Vanish
<br>Shuffle Abra into your deck. <em>(Discard all cards attached to Abra.)</em>","[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,1,0.75,1.48,7.0,1.44,,1st Edition,,
83445,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83445_200w.jpg,3,1373,https://cpt.tcgcsv.com/WnH,2025-02-05T21:02:47.937,1,49/82,Common,Psychic,40,Basic,"[P] Vanish
<br>Shuffle Abra into your deck. <em>(Discard all cards attached to Abra.)</em>","[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,1,0.1,0.54,2.5,0.62,,Unlimited,,
84159,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84159_200w.jpg,3,1373,https://cpt.tcgcsv.com/cHH,2023-08-23T03:03:47.027,1,74/82,Uncommon,Trainer,,,,,,,1.0,2.11,4.99,2.45,,1st Edition,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",
84159,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84159_200w.jpg,3,1373,https://cpt.tcgcsv.com/cHH,2023-08-23T03:03:47.027,1,74/82,Uncommon,Trainer,,,,,,,0.35,1.05,11047.58,1.19,,Unlimited,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",
84204,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84204_200w.jpg,3,1373,https://cpt.tcgcsv.com/6JH,2025-04-23T10:13:50.563,1,50/82,Common,Fire,40,Basic,[R] Fire Tail (20),,W,1,3.45,4.99,19.99,5.11,,1st Edition,"<strong>Pokémon Power: Gather Fire</strong> Once during your turn <em>(before your attack)</em>, you may take 1 Fire Energy card attached to 1 of your other Pokémon and attach it to Charmander. This power can't be used if Charmander is Asleep, Confused, or Paralyzed.",
84204,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84204_200w.jpg,3,1373,https://cpt.tcgcsv.com/6JH,2025-04-23T10:13:50.563,1,50/82,Common,Fire,40,Basic,[R] Fire Tail (20),,W,1,0.3,1.42,6.29,1.95,,Unlimited,"<strong>Pokémon Power: Gather Fire</strong> Once during your turn <em>(before your attack)</em>, you may take 1 Fire Energy card attached to 1 of your other Pokémon and attach it to Charmander. This power can't be used if Charmander is Asleep, Confused, or Paralyzed.",
84559,Dark Alakazam (1),Dark Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/84559_200w.jpg,3,1373,https://cpt.tcgcsv.com/cRH,2023-08-11T14:08:26.407,1,01/82,Holo Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,85.0,140.5,199.99,133.03,,1st Edition Holofoil,,
84559,Dark Alakazam (1),Dark Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/84559_200w.jpg,3,1373,https://cpt.tcgcsv.com/cRH,2023-08-11T14:08:26.407,1,01/82,Holo Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,34.51,52.95,79.99,55.52,79.99,Unlimited Holofoil,,
84560,Dark Alakazam (18),Dark Alakazam 18,https://tcgplayer-cdn.tcgplayer.com/product/84560_200w.jpg,3,1373,https://cpt.tcgcsv.com/dRH,2024-09-25T04:10:52.8,1,18/82,Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,14.02,17.06,49.0,24.16,,1st Edition,,
84560,Dark Alakazam (18),Dark Alakazam 18,https://tcgplayer-cdn.tcgplayer.com/product/84560_200w.jpg,3,1373,https://cpt.tcgcsv.com/dRH,2024-09-25T04:10:52.8,1,18/82,Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,7.39,10.9,39.99,12.51,7.36,Unlimited,,
84563,Dark Arbok (2),Dark Arbok 2,https://tcgplayer-cdn.tcgplayer.com/product/84563_200w.jpg,3,1373,https://cpt.tcgcsv.com/hRH,2025-01-05T15:31:19.667,1,02/82,Holo Rare,Grass,60,Stage 1,"[GG] Stare
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em> If that Pokémon has a Pokémon Power, that power stops working until the end of your opponent's next turn.","[GGG] Poison Vapor (10)
<br>The Defending Pokémon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",P,2,23.24,39.99,85.0,48.39,,1st Edition Holofoil,,
84563,Dark Arbok (2),Dark Arbok 2,https://tcgplayer-cdn.tcgplayer.com/product/84563_200w.jpg,3,1373,https://cpt.tcgcsv.com/hRH,2025-01-05T15:31:19.667,1,02/82,Holo Rare,Grass,60,Stage 1,"[GG] Stare
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em> If that Pokémon has a Pokémon Power, that power stops working until the end of your opponent's next turn.","[GGG] Poison Vapor (10)
<br>The Defending Pokémon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",P,2,4.5,12.0,50.0,12.89,,Unlimited Holofoil,,
84564,Dark Arbok (19),Dark Arbok 19,https://tcgplayer-cdn.tcgplayer.com/product/84564_200w.jpg,3,1373,https://cpt.tcgcsv.com/jRH,2023-05-01T21:28:07.017,1,19/82,Rare,Grass,60,Stage 1,"[GG] Stare
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em> If that Pokémon has a Pokémon Power, that power stops working until the end of your opponent's next turn.","[GGG] Poison Vapor (10)
<br>The Defending Pokémon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",P,2,6.69,9.0,18.75,10.97,,1st Edition,,
84564,Dark Arbok (19),Dark Arbok 19,https://tcgplayer-cdn.tcgplayer.com/product/84564_200w.jpg,3,1373,https://cpt.tcgcsv.com/jRH,2023-05-01T21:28:07.017,1,19/82,Rare,Grass,60,Stage 1,"[GG] Stare
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em> If that Pokémon has a Pokémon Power, that power stops working until the end of your opponent's next turn.","[GGG] Poison Vapor (10)
<br>The Defending Pokémon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",P,2,4.0,5.25,23.0,5.92,,Unlimited,,
84568,Dark Blastoise (3),Dark Blastoise 3,https://tcgplayer-cdn.tcgplayer.com/product/84568_200w.jpg,3,1373,https://cpt.tcgcsv.com/nRH,2024-10-05T02:20:09.143,1,03/82,Holo Rare,Water,70,Stage 2,"[WW] Hydrocannon (30+)
<br>Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack. You can't add more than 40 damage in this way.","[2W] Rocket Tackle (40)
<br>Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",L,2,230.45,276.75,750.0,357.13,,1st Edition Holofoil,,
84568,Dark Blastoise (3),Dark Blastoise 3,https://tcgplayer-cdn.tcgplayer.com/product/84568_200w.jpg,3,1373,https://cpt.tcgcsv.com/nRH,2024-10-05T02:20:09.143,1,03/82,Holo Rare,Water,70,Stage 2,"[WW] Hydrocannon (30+)
<br>Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack. You can't add more than 40 damage in this way.","[2W] Rocket Tackle (40)
<br>Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",L,2,85.0,129.97,399.99,126.91,134.99,Unlimited Holofoil,,
84570,Dark Blastoise (20),Dark Blastoise 20,https://tcgplayer-cdn.tcgplayer.com/product/84570_200w.jpg,3,1373,https://cpt.tcgcsv.com/qRH,2025-03-22T07:07:30.52,1,20/82,Rare,Water,70,Stage 2,"[WW] Hydrocannon (30+)
<br>Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack. You can't add more than 40 damage in this way.","[2W] Rocket Tackle (40)
<br>Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",L,2,33.0,68.39,87.0,52.49,68.39,1st Edition,,
84570,Dark Blastoise (20),Dark Blastoise 20,https://tcgplayer-cdn.tcgplayer.com/product/84570_200w.jpg,3,1373,https://cpt.tcgcsv.com/qRH,2025-03-22T07:07:30.52,1,20/82,Rare,Water,70,Stage 2,"[WW] Hydrocannon (30+)
<br>Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack. You can't add more than 40 damage in this way.","[2W] Rocket Tackle (40)
<br>Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",L,2,14.99,23.8,45.0,27.58,14.59,Unlimited,,
