productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
83511,Alph Lithograph,Alph Lithograph,https://tcgplayer-cdn.tcgplayer.com/product/83511_200w.jpg,3,1403,https://cpt.tcgcsv.com/fqH,2016-01-13T17:50:06.193,1,THREE,Ultra Rare,Trainer,0,Trainer,Return any Stadium card in play to the players hand!,44.5,85.0,99.99,57.94,,Holofoil,,,,,
83638,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83638_200w.jpg,3,1403,https://cpt.tcgcsv.com/NsH,2023-04-10T13:59:26.197,1,42/90,Common,Metal,50,Basic,"[M] Metal Sound - Flip a coin.  If heads, the Defending Pokemon is now Confused.",0.05,0.28,2.39,0.29,,Normal,[1M] Headbutt (20),Rx2,P-20,1,
83638,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83638_200w.jpg,3,1403,https://cpt.tcgcsv.com/NsH,2023-04-10T13:59:26.197,1,42/90,Common,Metal,50,Basic,"[M] Metal Sound - Flip a coin.  If heads, the Defending Pokemon is now Confused.",0.25,0.96,2.0,1.05,,Reverse Holofoil,[1M] Headbutt (20),Rx2,P-20,1,
83792,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83792_200w.jpg,3,1403,https://cpt.tcgcsv.com/SwH,2023-05-01T17:08:43.727,1,43/90,Common,Metal,50,Basic,[M] Lunge Out (10),0.05,0.32,1.95,0.4,,Normal,"[1MM] Single Smash (50) Flip a coin.  If tails, this attack does nothing.",Rx2,P-20,1,
83792,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83792_200w.jpg,3,1403,https://cpt.tcgcsv.com/SwH,2023-05-01T17:08:43.727,1,43/90,Common,Metal,50,Basic,[M] Lunge Out (10),0.46,0.68,15.0,0.92,,Reverse Holofoil,"[1MM] Single Smash (50) Flip a coin.  If tails, this attack does nothing.",Rx2,P-20,1,
83801,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83801_200w.jpg,3,1403,https://cpt.tcgcsv.com/2xH,2023-12-12T19:11:56.1,1,1/90,Holo Rare,Grass,110,Stage 2,[1G] Dance 'til Dawn (30x) Flip 3 coins.  This attack does 30 damage times the number of heads.  Bellossom is now Asleep.,1.54,1.67,2.01,2.12,,Holofoil,,Rx2,W-20,1,"Hustle Step - Once during your turn (before your attack), you may remove 1 damage counter from each of your Pokemon.  This power can't be used if Bellossom is affected by a Special Condition.  (Poke-POWER)"
83801,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83801_200w.jpg,3,1403,https://cpt.tcgcsv.com/2xH,2023-12-12T19:11:56.1,1,1/90,Holo Rare,Grass,110,Stage 2,[1G] Dance 'til Dawn (30x) Flip 3 coins.  This attack does 30 damage times the number of heads.  Bellossom is now Asleep.,1.4,2.38,5.0,2.04,,Reverse Holofoil,,Rx2,W-20,1,"Hustle Step - Once during your turn (before your attack), you may remove 1 damage counter from each of your Pokemon.  This power can't be used if Bellossom is affected by a Special Condition.  (Poke-POWER)"
84058,Burned Tower,Burned Tower,https://tcgplayer-cdn.tcgplayer.com/product/84058_200w.jpg,3,1403,https://cpt.tcgcsv.com/bFH,2023-04-10T14:28:58.467,1,71/90,Uncommon,Stadium,0,Stadium,"Once during each player's turn, that player may flip a coin.  If heads, the player searches his or her discard pile for a basic Energy card, shows it to his or her opponent, and puts it into his or her hand.",0.27,0.46,1.57,0.51,,Normal,,,,,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card."
84058,Burned Tower,Burned Tower,https://tcgplayer-cdn.tcgplayer.com/product/84058_200w.jpg,3,1403,https://cpt.tcgcsv.com/bFH,2023-04-10T14:28:58.467,1,71/90,Uncommon,Stadium,0,Stadium,"Once during each player's turn, that player may flip a coin.  If heads, the player searches his or her discard pile for a basic Energy card, shows it to his or her opponent, and puts it into his or her hand.",9.76,15.78,21.8,15.09,,Reverse Holofoil,,,,,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card."
84397,Combee,Combee,https://tcgplayer-cdn.tcgplayer.com/product/84397_200w.jpg,3,1403,https://cpt.tcgcsv.com/ZMH,2023-04-10T13:59:32.017,1,44/90,Common,Grass,30,Basic,"[1] Enraged Assault (20+) If Vespiquen is on your Bench and has any damage counters on it, this attack does 20 damage plus 60 more damage and the Defending Pokemon is now Poisoned.",0.1,0.29,1.49,0.31,,Normal,,Rx2,,1,
84397,Combee,Combee,https://tcgplayer-cdn.tcgplayer.com/product/84397_200w.jpg,3,1403,https://cpt.tcgcsv.com/ZMH,2023-04-10T13:59:32.017,1,44/90,Common,Grass,30,Basic,"[1] Enraged Assault (20+) If Vespiquen is on your Bench and has any damage counters on it, this attack does 20 damage plus 60 more damage and the Defending Pokemon is now Poisoned.",0.5,1.73,2.55,1.69,,Reverse Holofoil,,Rx2,,1,
84693,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84693_200w.jpg,3,1403,https://cpt.tcgcsv.com/TTH,2025-02-05T21:13:14.053,1,79/90,Uncommon,Energy,0,Special Energy,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  Ignore this effect if the Pokemon that Darkness Energy is attached to isn't Dark.  Darkness Energy provides D Energy.  (Doesn't count as a basic Energy card.)",0.33,0.65,3.79,0.83,,Normal,,,,,
84693,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84693_200w.jpg,3,1403,https://cpt.tcgcsv.com/TTH,2025-02-05T21:13:14.053,1,79/90,Uncommon,Energy,0,Special Energy,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  Ignore this effect if the Pokemon that Darkness Energy is attached to isn't Dark.  Darkness Energy provides D Energy.  (Doesn't count as a basic Energy card.)",0.97,1.84,3.5,2.37,,Reverse Holofoil,,,,,
84727,Defender,Defender,https://tcgplayer-cdn.tcgplayer.com/product/84727_200w.jpg,3,1403,https://cpt.tcgcsv.com/zVH,2023-04-10T14:29:05.223,1,72/90,Uncommon,Item,0,Trainer,Attach Defender to 1 of your Pokemon.  Discard this card at the end of your opponent's next turn.  Any damage done to the Pokemon Defender is attached to by an opponent's attack is reduced by 20 (after applying Weakness and Resistance).,0.1,0.25,1.49,0.25,0.23,Normal,,,,,
84727,Defender,Defender,https://tcgplayer-cdn.tcgplayer.com/product/84727_200w.jpg,3,1403,https://cpt.tcgcsv.com/zVH,2023-04-10T14:29:05.223,1,72/90,Uncommon,Item,0,Trainer,Attach Defender to 1 of your Pokemon.  Discard this card at the end of your opponent's next turn.  Any damage done to the Pokemon Defender is attached to by an opponent's attack is reduced by 20 (after applying Weakness and Resistance).,0.27,0.68,2.2,0.79,0.4,Reverse Holofoil,,,,,
84854,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/84854_200w.jpg,3,1403,https://cpt.tcgcsv.com/6ZH,2025-02-05T21:13:14.1,1,11/90,Rare,Colorless,80,Stage 1,[2] Incessant Peck (20+) Flip a coin until you get tails.  This attack does 20 damage plus 20 more damage for each heads.,0.31,0.53,2.98,0.53,,Normal,,Lx2,F-20,1,"Retreat Aid - As long as Dodrio is on your Bench, your Active Pokemon's Retreat Cost is 2 less.  (Poke-BODY)"
84854,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/84854_200w.jpg,3,1403,https://cpt.tcgcsv.com/6ZH,2025-02-05T21:13:14.1,1,11/90,Rare,Colorless,80,Stage 1,[2] Incessant Peck (20+) Flip a coin until you get tails.  This attack does 20 damage plus 20 more damage for each heads.,2.99,5.24,6.01,4.87,,Reverse Holofoil,,Lx2,F-20,1,"Retreat Aid - As long as Dodrio is on your Bench, your Active Pokemon's Retreat Cost is 2 less.  (Poke-BODY)"
84865,Doduo,Doduo,https://tcgplayer-cdn.tcgplayer.com/product/84865_200w.jpg,3,1403,https://cpt.tcgcsv.com/kZH,2023-04-10T13:59:38.12,1,45/90,Common,Colorless,50,Basic,[1] Peck (10),0.09,0.25,1.49,0.25,0.23,Normal,"[2] Double Headstrike (50) Flip 2 coins.  If either of them is tails, this attack does nothing.",Lx2,F-20,1,
84865,Doduo,Doduo,https://tcgplayer-cdn.tcgplayer.com/product/84865_200w.jpg,3,1403,https://cpt.tcgcsv.com/kZH,2023-04-10T13:59:38.12,1,45/90,Common,Colorless,50,Basic,[1] Peck (10),0.66,0.92,1.99,0.97,1.19,Reverse Holofoil,"[2] Double Headstrike (50) Flip 2 coins.  If either of them is tails, this attack does nothing.",Lx2,F-20,1,
84948,Drifblim,Drifblim,https://tcgplayer-cdn.tcgplayer.com/product/84948_200w.jpg,3,1403,https://cpt.tcgcsv.com/--H,2023-08-05T15:18:18.75,1,12/90,Rare,Psychic,90,Stage 1,[1P] Balloon Tackle (60) Drifblim does 20 damage to itself.,0.24,0.5,1.69,0.51,,Normal,"[3] Take Away - Shuffle Drifblim and all cards attached to it back into your deck.  Then, your opponent shuffles the Defending Pokemon and all cards attached to it into his or her deck.  (You choose your new Active Pokemon first.)",Dx2,C-20,0,
84948,Drifblim,Drifblim,https://tcgplayer-cdn.tcgplayer.com/product/84948_200w.jpg,3,1403,https://cpt.tcgcsv.com/--H,2023-08-05T15:18:18.75,1,12/90,Rare,Psychic,90,Stage 1,[1P] Balloon Tackle (60) Drifblim does 20 damage to itself.,1.0,2.24,3.0,2.76,2.24,Reverse Holofoil,"[3] Take Away - Shuffle Drifblim and all cards attached to it back into your deck.  Then, your opponent shuffles the Defending Pokemon and all cards attached to it into his or her deck.  (You choose your new Active Pokemon first.)",Dx2,C-20,0,
84960,Drifloon,Drifloon,https://tcgplayer-cdn.tcgplayer.com/product/84960_200w.jpg,3,1403,https://cpt.tcgcsv.com/d_H,2025-02-05T21:13:14.163,1,46/90,Common,Psychic,50,Basic,"[1] Minimize - During your opponent's next turn, any damage done to Drifloon by attacks is reduced by 20 (after applying Weakness and Resistance).",0.05,0.27,1.49,0.27,,Normal,"[1] Pull - Flip a coin.  If heads, switch the Defending Pokemon with 1 of your opponent's Benched Pokemon.",Dx2,C-20,1,
