productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
117478,XY Fates Collide Booster Box,XY Fates Collide Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/117478_200w.jpg,3,1780,https://cpt.tcgcsv.com/B_X,2016-05-02T12:14:07.597,1,3499.99,3500.0,3799.98,1764.23,,Normal,,,,,,,,,,,,
117479,"Fates Collide Theme Deck - ""Sky Guardian"" [Lugia]",Fates Collide Theme Deck Sky Guardian Lugia,https://tcgplayer-cdn.tcgplayer.com/product/117479_200w.jpg,3,1780,https://cpt.tcgcsv.com/C_X,2018-10-03T13:39:28.977,1,21.0,24.53,79.99,21.48,,Normal,"<em>Fire and Storm!
<br>
Unleash a storm of battle with the Legendary Pokemon of the seas: Lugia! With the fiery wings of Moltres and the mystic flame of Delphox, you'll burn through opposition in a flash with the Sky Guardian theme deck. Light it up!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",,,,,,,,,,,
117480,"Fates Collide Theme Deck - ""Battle Ruler"" [Zygarde]",Fates Collide Theme Deck Battle Ruler Zygarde,https://tcgplayer-cdn.tcgplayer.com/product/117480_200w.jpg,3,1780,https://cpt.tcgcsv.com/D_X,2018-10-03T13:11:09.363,1,14.95,21.11,24.41,14.46,,Normal,"<em>Order from Chaos!
<br>
Rule the battle with the Legendary Pokémon of order and control: Zygarde! With Lucario's fists of justice and Serperior's crushing coils, you'll bring order to chaos and seize the moment with the Battle Ruler theme deck. On to victory!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",,,,,,,,,,,
117512,Alakazam EX,Alakazam EX,https://tcgplayer-cdn.tcgplayer.com/product/117512_200w.jpg,3,1780,https://cpt.tcgcsv.com/g0Z,2022-12-20T18:59:27.733,1,2.5,4.76,11.5,4.76,4.3,Holofoil,"<b>Ability — Kinesis</b>
<br>WHen you play M Alakazam EX from your hand to evolve this Pokemon, before it evolves, you may put 2 damage counters on your opponent's Active Pokemon and 3 damage counters on 1 of your opponent's Benched Pokemon.",25/124,Ultra Rare,Psychic,160,Basic,"[1P] Suppression
<br>Put 3 damage counters on each of your opponent's Pokemon that has any Energy attached to it.",Px2,None,1,,
117513,Audino EX,Audino EX,https://tcgplayer-cdn.tcgplayer.com/product/117513_200w.jpg,3,1780,https://cpt.tcgcsv.com/h0Z,2022-12-20T19:24:38.603,1,2.35,2.94,11.42,2.78,,Holofoil,,84/124,Ultra Rare,Colorless,180,Basic,"[1] Drain Slap (20)
<br>Heal 20 damage from this Pokemon.",Fx2,None,3,"[3] Do the Wave (60+)
<br>This attack does 10 more damage for each of your Benched Pokemon.",
117514,Delphox BREAK,Delphox BREAK,https://tcgplayer-cdn.tcgplayer.com/product/117514_200w.jpg,3,1780,https://cpt.tcgcsv.com/j0Z,2023-02-18T19:25:21.3,1,1.95,2.5,19.7,2.42,4.99,Holofoil,"<b>Ability — Flare Witch</b>
<br>Once during your turn<em> (before your attack)</em>, you may search your deck for a Fire Energy card and attach it to 1 of your Pokemon. Shuffle your deck afterward.
<br>
<br><em>Delphox BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution.</em>",14/124,Rare BREAK,Fire,180,BREAK Evolution,,None,None,0,,
117515,M Alakazam EX,M Alakazam EX,https://tcgplayer-cdn.tcgplayer.com/product/117515_200w.jpg,3,1780,https://cpt.tcgcsv.com/k0Z,2022-12-20T19:00:09.37,1,16.5,23.0,54.99,21.68,17.1,Holofoil,,26/124,Ultra Rare,Psychic,210,Mega,"[1P] Zen Force (10+)
<br>This attack does 30 more damage for each damage counter on your opponent's Active Pokemon.",Px2,None,1,,
117516,M Audino EX,M Audino EX,https://tcgplayer-cdn.tcgplayer.com/product/117516_200w.jpg,3,1780,https://cpt.tcgcsv.com/l0Z,2022-12-20T19:24:47.167,1,6.0,9.88,16.99,9.87,,Holofoil,,85/124,Ultra Rare,Colorless,220,Mega,"[3] Magical Symphony (110)
<br>If you played a Supporter card from your hand during this turn, this attack does 50 damage to 1 of your opponent's Benched Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Fx2,None,3,,
117517,Power Memory,Power Memory,https://tcgplayer-cdn.tcgplayer.com/product/117517_200w.jpg,3,1780,https://cpt.tcgcsv.com/m0Z,2025-02-05T21:21:35.237,1,0.06,0.2,2.76,0.14,,Normal,The Zygarde EX this card is attached to can also use the attack on this card. <em>(You still need the necessary Energy to use this attack.)</em>,108/124,Uncommon,Tool,,,"[1FF] All Cells Burn (200)
<br>DIscard 3 Energy attached to this Pokemon.",,,,,
117517,Power Memory,Power Memory,https://tcgplayer-cdn.tcgplayer.com/product/117517_200w.jpg,3,1780,https://cpt.tcgcsv.com/m0Z,2025-02-05T21:21:35.237,1,0.13,0.32,2.0,0.32,0.3,Reverse Holofoil,The Zygarde EX this card is attached to can also use the attack on this card. <em>(You still need the necessary Energy to use this attack.)</em>,108/124,Uncommon,Tool,,,"[1FF] All Cells Burn (200)
<br>DIscard 3 Energy attached to this Pokemon.",,,,,
