productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance,extAttack3
92168,Furious Fists Booster Box,Furious Fists Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/92168_200w.jpg,3,1481,https://cpt.tcgcsv.com/nTL,2014-08-13T19:03:40.07,1,"Become King of the Ring!
<br>
Trainers, step in the ring and fire up your ferocity for the Pokémon TCG: XY—Furious Fists expansion! Brace yourselves for a grand tournament unlike any before with Mega Lucario-EX and Mega Heracross-EX! And, as the competition intensifies, a host of Pokémon appear for the first time in the Pokémon TCG—each one eager to prove itself as a master of battle! With a team backed by brand-new Trainer cards to power up your Fighting-type Pokémon, your opponents will be left wondering what hit them!",3200.0,5754.5,6999.95,3200.0,,Normal,,,,,,,,,,,
92169,Furious Fists Booster Pack,Furious Fists Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/92169_200w.jpg,3,1481,https://cpt.tcgcsv.com/pTL,2024-03-18T16:05:36.897,1,"New Fossil Pokémon from the Kalos region make an appearance in TCG for the first time with Tyrunt, Tyrantrum, Amaura, and Aurorus. The new cards can be collected from the 4 types of booster pack art that are available in the XY—Furious Fists expansion.
<br>
<br>Each XY — Furious Fists booster pack contains:
<br>• 10 additional game cards
<br>• 1 Pokémon Trading Card Game Online code card",61.97,67.5,79.95,50.29,,Normal,,,,,,,,,,,
92170,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/92170_200w.jpg,3,1481,https://cpt.tcgcsv.com/qTL,2022-12-22T19:54:49.493,1,,0.05,0.2,1.49,0.16,,Normal,1/111,Common,Grass,50,Basic,[G] Vine Whip (10),"[1G] Knock Off
<br>Discard a random card from your opponent's hand.",Rx2,1,,
92170,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/92170_200w.jpg,3,1481,https://cpt.tcgcsv.com/qTL,2022-12-22T19:54:49.493,1,,0.05,0.65,2.0,0.71,,Reverse Holofoil,1/111,Common,Grass,50,Basic,[G] Vine Whip (10),"[1G] Knock Off
<br>Discard a random card from your opponent's hand.",Rx2,1,,
92171,Weepinbell,Weepinbell,https://tcgplayer-cdn.tcgplayer.com/product/92171_200w.jpg,3,1481,https://cpt.tcgcsv.com/rTL,2023-02-22T18:44:07.053,1,,0.1,0.29,1.49,0.32,0.25,Normal,2/111,Uncommon,Grass,80,Stage 1,[1G] Vine Whip (20),"[2G] Spit Poison (40)
<br>Your opponent's Active Pokémon is now Poisoned.",Rx2,2,,
92171,Weepinbell,Weepinbell,https://tcgplayer-cdn.tcgplayer.com/product/92171_200w.jpg,3,1481,https://cpt.tcgcsv.com/rTL,2023-02-22T18:44:07.053,1,,0.32,0.53,2.49,0.59,,Reverse Holofoil,2/111,Uncommon,Grass,80,Stage 1,[1G] Vine Whip (20),"[2G] Spit Poison (40)
<br>Your opponent's Active Pokémon is now Poisoned.",Rx2,2,,
92172,Victreebel,Victreebel,https://tcgplayer-cdn.tcgplayer.com/product/92172_200w.jpg,3,1481,https://cpt.tcgcsv.com/sTL,2022-12-22T19:55:07.87,1,"Ability - Wafting Scent
<br> Once during your turn <em>(before you attack)</em>, you may disard a Grass Energy attached to this Pokemon. If you do, your opponent's Active Pokemon is now Confused and Poisoned.",0.45,0.79,3.22,0.86,,Holofoil,3/111,Holo Rare,Grass,130,Stage 2,"[2G] Spiral Drain (60)
<br>Heal 30 damage from this Pokemon.",,Rx2,2,,
92172,Victreebel,Victreebel,https://tcgplayer-cdn.tcgplayer.com/product/92172_200w.jpg,3,1481,https://cpt.tcgcsv.com/sTL,2022-12-22T19:55:07.87,1,"Ability - Wafting Scent
<br> Once during your turn <em>(before you attack)</em>, you may disard a Grass Energy attached to this Pokemon. If you do, your opponent's Active Pokemon is now Confused and Poisoned.",0.4,0.94,3.84,0.86,,Reverse Holofoil,3/111,Holo Rare,Grass,130,Stage 2,"[2G] Spiral Drain (60)
<br>Heal 30 damage from this Pokemon.",,Rx2,2,,
92173,Heracross EX,Heracross EX,https://tcgplayer-cdn.tcgplayer.com/product/92173_200w.jpg,3,1481,https://cpt.tcgcsv.com/tTL,2022-12-22T19:55:16.493,1,,2.75,3.62,7.0,3.99,,Holofoil,4/111,Ultra Rare,Grass,170,Basic,"[1G] Guard Press (40)
<br>During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 20 <i>(after applying Weakness and Resistance).</i>","[1GG] Giga Power (80+)
<br>You may do 40 more damage. If you do, this Pokémon does 20 damage to itself.",Rx2,3,None,
92174,M Heracross EX,M Heracross EX,https://tcgplayer-cdn.tcgplayer.com/product/92174_200w.jpg,3,1481,https://cpt.tcgcsv.com/vTL,2024-08-28T16:24:33.06,1,"When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.",14.32,22.99,39.99,22.6,21.47,Holofoil,5/111,Ultra Rare,Grass,220,Mega,"[1GG] Big Bang Horn (180-)
<br>This attack does 10 less damage for each damage counter on this Pokémon.",,Rx2,3,None,
