productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance,extCardText
94134,Venonat,Venonat,https://tcgplayer-cdn.tcgplayer.com/product/94134_200w.jpg,3,1494,https://cpt.tcgcsv.com/JGM,2025-02-05T21:17:38.283,1,1/119,Common,Grass,60,Basic,"[1G] Stun Spore (20)
Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Rx2,1,0.01,0.2,1.49,0.16,,Normal,,,
94134,Venonat,Venonat,https://tcgplayer-cdn.tcgplayer.com/product/94134_200w.jpg,3,1494,https://cpt.tcgcsv.com/JGM,2025-02-05T21:17:38.283,1,1/119,Common,Grass,60,Basic,"[1G] Stun Spore (20)
Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Rx2,1,0.1,0.46,2.0,0.46,,Reverse Holofoil,,,
94135,Venomoth,Venomoth,https://tcgplayer-cdn.tcgplayer.com/product/94135_200w.jpg,3,1494,https://cpt.tcgcsv.com/KGM,2022-12-22T20:24:33.343,1,2/119,Rare,Grass,90,Stage 1,"[G] Dizzying Wind
Whenever your opponent plays a Trainer card from his or her hand during his or her next turn, your opponent flips a coin. If tails, that card has no effect. (Your opponent still discards that card.)",Rx2,1,0.2,0.59,2.0,0.6,0.62,Normal,"[2G] Noxious Scales (50)
Your opponent's Active Pokémon is now Confused and Poisoned.",,
94135,Venomoth,Venomoth,https://tcgplayer-cdn.tcgplayer.com/product/94135_200w.jpg,3,1494,https://cpt.tcgcsv.com/KGM,2022-12-22T20:24:33.343,1,2/119,Rare,Grass,90,Stage 1,"[G] Dizzying Wind
Whenever your opponent plays a Trainer card from his or her hand during his or her next turn, your opponent flips a coin. If tails, that card has no effect. (Your opponent still discards that card.)",Rx2,1,0.49,0.96,5.0,0.98,,Reverse Holofoil,"[2G] Noxious Scales (50)
Your opponent's Active Pokémon is now Confused and Poisoned.",,
94136,Yanma,Yanma,https://tcgplayer-cdn.tcgplayer.com/product/94136_200w.jpg,3,1494,https://cpt.tcgcsv.com/LGM,2022-12-22T20:24:44.26,1,3/119,Common,Grass,70,Basic,"[2] Air Slash (30)
Discard an Energy attached to this Pokémon.",Lx2,1,0.03,0.2,1.49,0.1,0.08,Normal,,F-20,
94136,Yanma,Yanma,https://tcgplayer-cdn.tcgplayer.com/product/94136_200w.jpg,3,1494,https://cpt.tcgcsv.com/LGM,2022-12-22T20:24:44.26,1,3/119,Common,Grass,70,Basic,"[2] Air Slash (30)
Discard an Energy attached to this Pokémon.",Lx2,1,0.19,0.44,2.95,0.37,,Reverse Holofoil,,F-20,
94137,Yanmega,Yanmega,https://tcgplayer-cdn.tcgplayer.com/product/94137_200w.jpg,3,1494,https://cpt.tcgcsv.com/MGM,2022-12-22T20:24:53.847,1,4/119,Rare,Grass,110,Stage 1,"[G] Windfall
Shuffle your hand into your deck. Then, draw 6 cards.",Lx2,,0.05,0.3,1.49,0.3,,Normal,"[3] Surprise Strike (50+)
If this Pokémon was on the Bench and became your Active Pokémon this turn, this attack does 50 more damage.",F-20,
94137,Yanmega,Yanmega,https://tcgplayer-cdn.tcgplayer.com/product/94137_200w.jpg,3,1494,https://cpt.tcgcsv.com/MGM,2022-12-22T20:24:53.847,1,4/119,Rare,Grass,110,Stage 1,"[G] Windfall
Shuffle your hand into your deck. Then, draw 6 cards.",Lx2,,0.19,0.5,5.98,0.41,,Reverse Holofoil,"[3] Surprise Strike (50+)
If this Pokémon was on the Bench and became your Active Pokémon this turn, this attack does 50 more damage.",F-20,
94138,Sewaddle,Sewaddle,https://tcgplayer-cdn.tcgplayer.com/product/94138_200w.jpg,3,1494,https://cpt.tcgcsv.com/NGM,2022-12-22T20:25:03.25,1,5/119,Common,Grass,50,Basic,"[G] Nap
Heal 20 damage from this Pokémon.",Rx2,1,0.05,0.25,1.49,0.25,,Normal,[1G] Bug Bite (20),,
94138,Sewaddle,Sewaddle,https://tcgplayer-cdn.tcgplayer.com/product/94138_200w.jpg,3,1494,https://cpt.tcgcsv.com/NGM,2022-12-22T20:25:03.25,1,5/119,Common,Grass,50,Basic,"[G] Nap
Heal 20 damage from this Pokémon.",Rx2,1,0.19,0.37,1.49,0.38,,Reverse Holofoil,[1G] Bug Bite (20),,
