productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
509131,2-Player Starter Set,2 Player Starter Set,https://tcgplayer-cdn.tcgplayer.com/product/509131_200w.jpg,2,23269,https://cpt.tcgcsv.com/FG56,2024-01-26T05:03:15.627,1,"The Yu-Gi-Oh! TCG 2-Player Starter Set is the perfect way for any new Duelist to learn the ropes, with a friend, their family, or all by themselves!
<br>
<br>Using 2 different Decks to go head-to-head, the Starter Set’s 64-page comic book walks you through a scripted (non-randomized) Duel to teach Yu-Gi-Oh! TCG basics from the beginning, from your first card draw, through Summons and battles, to the Extra Deck’s Synchro and Xyz Monsters.
<br>
<br>After completing the teaching Duel, the Decks can be re-assembled to go through it again or used as standard and complete Dueling Decks to launch your journey into the Yu-Gi-Oh! TCG universe!
<br>
<br>Each 2-Player Starter Set includes:
<br>• 2 different 44-card decks (2 x 40-card Main Decks and 2 x 4-card Extra Decks) (a total of 80 Commons and 8 Ultra Rares)
<br>• 1 64-page teaching comic book",083717862291,8.0,9.49,25.14,8.53,,Normal,,,,,,,
514022,2-Player Starter Set Display,2 Player Starter Set Display,https://tcgplayer-cdn.tcgplayer.com/product/514022_200w.jpg,2,23269,https://cpt.tcgcsv.com/sD76,2024-01-26T05:03:15.627,1,"The Yu-Gi-Oh! TCG 2-Player Starter Set is the perfect way for any new Duelist to learn the ropes, with a friend, their family, or all by themselves!
<br>
<br>Using 2 different Decks to go head-to-head, the Starter Set’s 64-page comic book walks you through a scripted (non-randomized) Duel to teach Yu-Gi-Oh! TCG basics from the beginning, from your first card draw, through Summons and battles, to the Extra Deck’s Synchro and Xyz Monsters.
<br>
<br>After completing the teaching Duel, the Decks can be re-assembled to go through it again or used as standard and complete Dueling Decks to launch your journey into the Yu-Gi-Oh! TCG universe!
<br>
<br>Each 2-Player Starter Set Display contains 10 2-Player Starter Sets.",083717862307,72.95,102.22,186.15,59.01,,Normal,,,,,,,
533011,Elemental HERO Sparkman,Elemental HERO Sparkman,https://tcgplayer-cdn.tcgplayer.com/product/533011_200w.jpg,2,23269,https://cpt.tcgcsv.com/fdh6,2024-01-26T13:48:40.753,1,<em>An Elemental Hero and a warrior of light who proficiently wields many kinds of armaments. His Shining Surge Flash cuts off the path of villainy.</em>,,0.05,0.21,1.5,0.18,,1st Edition,STAS-EN001,Common,LIGHT,Warrior,Normal Monster,1600,1400
533012,Inpachi,Inpachi,https://tcgplayer-cdn.tcgplayer.com/product/533012_200w.jpg,2,23269,https://cpt.tcgcsv.com/gdh6,2024-01-26T13:49:54.583,1,"<em>A log that attacks lost travelers in the forest. Originally a big tree, it was cut down and possessed by a wicked spirit.</em>",,0.01,0.17,0.99,0.11,0.15,1st Edition,STAS-EN002,Common,EARTH,Machine,Normal Monster,1600,1900
533013,Spirit of the Harp,Spirit of the Harp,https://tcgplayer-cdn.tcgplayer.com/product/533013_200w.jpg,2,23269,https://cpt.tcgcsv.com/hdh6,2024-01-26T13:51:25.887,1,<em>A spirit that soothes the soul with the music of its heavenly harp.</em>,,0.01,0.2,0.98,0.09,,1st Edition,STAS-EN003,Common,LIGHT,Fairy,Normal Monster,800,2000
533014,Launcher Spider,Launcher Spider,https://tcgplayer-cdn.tcgplayer.com/product/533014_200w.jpg,2,23269,https://cpt.tcgcsv.com/jdh6,2024-01-26T13:52:11.187,1,<em>A mechanical spider with rocket launchers capable of random fire.</em>,,0.01,0.19,0.98,0.1,,1st Edition,STAS-EN004,Common,FIRE,Machine,Normal Monster,2200,2500
533015,Ryu-Ran,Ryu Ran,https://tcgplayer-cdn.tcgplayer.com/product/533015_200w.jpg,2,23269,https://cpt.tcgcsv.com/kdh6,2024-01-26T13:52:54.08,1,<em>A vicious little dragon sheltered in an egg that looks deceptively harmless.,,0.02,0.2,0.98,0.13,0.15,1st Edition,STAS-EN005,Common,FIRE,Dragon,Normal Monster,2200,2600
533016,Ojama Green,Ojama Green,https://tcgplayer-cdn.tcgplayer.com/product/533016_200w.jpg,2,23269,https://cpt.tcgcsv.com/ldh6,2024-01-26T13:54:36.753,1,"<em>He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens.</em>",,0.04,0.2,0.99,0.14,,1st Edition,STAS-EN006,Common,LIGHT,Beast,Normal Monster,0,1000
533017,Gil Garth,Gil Garth,https://tcgplayer-cdn.tcgplayer.com/product/533017_200w.jpg,2,23269,https://cpt.tcgcsv.com/mdh6,2024-01-26T13:55:34.747,1,<em>This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.</em>,,0.02,0.19,0.99,0.14,,1st Edition,STAS-EN007,Common,DARK,Fiend,Normal Monster,1800,1200
533018,Ally of Justice Clausolas,Ally of Justice Clausolas,https://tcgplayer-cdn.tcgplayer.com/product/533018_200w.jpg,2,23269,https://cpt.tcgcsv.com/ndh6,2024-01-26T13:56:10.397,1,"<em>A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solais. Its surprise attacks from above baffle invaders.</em>",,0.01,0.2,0.98,0.06,,1st Edition,STAS-EN008,Common,DARK,Machine,Normal Monster,2300,1200
