productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
57116,2011 Collectors Tin: Wave 1 - Number 17: Leviathan Dragon,2011 Collectors Tin Wave 1 Number 17 Leviathan Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57116_200w.jpg,2,135,https://cpt.tcgcsv.com/lSs,2020-01-07T16:42:39.423,1,"Each Collectible Tin 2011 contains:
<br>• 5 Booster Packs
<br><span style=""color:white"">____</span> • 2 Storm of Ragnarok
<br><span style=""color:white"">____</span> • 2 Hidden Arsenal 4: Trishula's Triumph
<br><span style=""color:white"">____</span> • 1 Extreme Victory
<br>5 promotional cards:
<br>• 1 Secret Rare of Monster featured on the Tin
<br>• 3 Super Rares
<br>• 1 Guaranteed Super Rare of CT08-EN08 Pot of Duality card",40-12927-24178-3,104.99,104.99,104.99,82.49,,Normal,,,,,,,
57117,2011 Collectors Tin: Wave 1 - Wind-Up Zenmaister,2011 Collectors Tin Wave 1 Wind Up Zenmaister,https://tcgplayer-cdn.tcgplayer.com/product/57117_200w.jpg,2,135,https://cpt.tcgcsv.com/mSs,2020-01-07T16:42:01.49,1,"Each Collectible Tin 2011 contains:
<br>• 5 Booster Packs
<br><span style=""color:white"">____</span> • 2 Storm of Ragnarok
<br><span style=""color:white"">____</span> • 2 Hidden Arsenal 4: Trishula's Triumph
<br><span style=""color:white"">____</span> • 1 Extreme Victroy
<br>5 promotional cards:
<br>• 1 Secret Rare of Monster featured on the Tin
<br>• 3 Super Rares
<br>• 1 Guaranteed Super Rare of CT08-EN008 Pot of Duality card",40-12927-24178-3,49.99,50.49,50.99,,,Normal,,,,,,,
57118,2011 Collectors Tin: Wave 2 - Galaxy-Eyes Photon Dragon,2011 Collectors Tin Wave 2 Galaxy Eyes Photon Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57118_200w.jpg,2,135,https://cpt.tcgcsv.com/nSs,2020-01-07T16:39:00.167,1,"Each Collectible Tin 2011 contains:
<br>• 5 Booster Packs
<br><span style=""color:white"">____</span> • 2 Storm of Ragnarok
<br><span style=""color:white"">____</span> • 2 Extreme Victory
<br><span style=""color:white"">____</span> • 1 Generation Force
<br>5 promotional cards:
<br>• 1 Secret Rare of Monster featured on the Tin
<br>• 3 Super Rares
<br>• 1 Guaranteed Super Rare of CT08-EN015 Solumn Warning card",40-12927-24190-5,149.99,177.5,205.0,,,Normal,,,,,,,
57119,2011 Collectors Tin: Wave 2 - Number 10: Illumiknight,2011 Collectors Tin Wave 2 Number 10 Illumiknight,https://tcgplayer-cdn.tcgplayer.com/product/57119_200w.jpg,2,135,https://cpt.tcgcsv.com/pSs,2020-01-07T16:39:20.977,1,"Each Collectible Tin 2011 contains:
<br>• 5 Booster Packs
<br><span style=""color:white"">____</span> • 2 Storm of Ragnarok
<br><span style=""color:white"">____</span> • 2 Extreme Victory
<br><span style=""color:white"">____</span> • 1 Generation Force
<br>5 promotional cards:
<br>• 1 Secret Rare of Monster featured on the Tin
<br>• 3 Super Rares
<br>• 1 Guaranteed Super Rare of CT08-EN015 Solumn Warning card",40-12927-24190-5,39.99,39.99,39.99,35.75,,Normal,,,,,,,
57120,Number 17: Leviathan Dragon,Number 17 Leviathan Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57120_200w.jpg,2,135,https://cpt.tcgcsv.com/qSs,2024-03-28T15:46:32.93,1,"2 Level 3 monsters // Once per turn: You can detach 1 Xyz Material from this card, this card gains 500 ATK. If this card has no Xyz Materials, it cannot attack your opponent directly.",,0.45,1.55,14.99,0.87,,Limited,CT08-EN001,Secret Rare,WATER,Dragon,Xyz/Effect Monster,2000,1000
57121,Beast King Barbaros,Beast King Barbaros,https://tcgplayer-cdn.tcgplayer.com/product/57121_200w.jpg,2,135,https://cpt.tcgcsv.com/rSs,2024-03-28T15:46:32.963,1,"You can Normal Summon or Set this card without Tributing. If you do, its original ATK becomes 1900. You can Tribute 3 monsters to Tribute Summon this card. When you do, destroy all cards your opponent controls.",,0.19,0.67,1.99,0.61,,Limited,CT08-EN005,Super Rare,Earth,Beast-Warrior,Effect Monster,3000,1200
57122,Dark Simorgh,Dark Simorgh,https://tcgplayer-cdn.tcgplayer.com/product/57122_200w.jpg,2,135,https://cpt.tcgcsv.com/sSs,2024-03-28T15:46:32.993,1,"While face-up on the field, this card is also WIND-Attribute. You can banish 1 DARK monster and 1 WIND monster from your Graveyard; Special Summon this card from your hand. You can banish 1 DARK monster and 1 WIND monster from your hand; Special Summon this card from your Graveyard. Your opponent cannot Set any cards on the field.",,0.59,2.04,5.0,2.19,3.39,Limited,CT08-EN006,Super Rare,DARK,Winged Beast,Effect Monster,2700,1000
57123,Stygian Street Patrol,Stygian Street Patrol,https://tcgplayer-cdn.tcgplayer.com/product/57123_200w.jpg,2,135,https://cpt.tcgcsv.com/tSs,2024-03-28T15:46:33.023,1,When this card destroys a monster by battle and sends it to the Graveyard; Inflict damage to your opponent equal to the Level of the destroyed monster in the Graveyard x 100. You can banish this card from your Graveyard; Special Summon 1 Fiend-Type monster with 2000 or less ATK from your hand.,,0.14,0.5,4.99,0.46,,Limited,CT08-EN007,Super Rare,DARK,Fiend,Effect Monster,1600,1200
57124,Pot of Duality,Pot of Duality,https://tcgplayer-cdn.tcgplayer.com/product/57124_200w.jpg,2,135,https://cpt.tcgcsv.com/vSs,2024-03-28T15:46:33.07,1,"Reveal the top 3 cards of your Deck, add 1 of them to your hand, then shuffle the rest back into your Deck. You can only activate 1 Pot of Duality per turn. You cannot Special Summon a monster(s) during the turn you activate this card.",,0.35,0.6,15.95,0.49,,Limited,CT08-EN008,Super Rare,SPELL,,Normal Spell,0,0
57125,Wind-Up Zenmaister,Wind Up Zenmaister,https://tcgplayer-cdn.tcgplayer.com/product/57125_200w.jpg,2,135,https://cpt.tcgcsv.com/wSs,2024-03-28T15:46:33.103,1,"2 Level 4 monsters // This cards gains 300 ATK for each of its Xyz Materials. Once per turn, you can detach 1 Xyz Material from this card to select 1 face-up monster on the field that you control. Flip that monster into face-down Defense Position. During the End Phase, the selected monster is flipped into face-up Attack Position.",,0.04,0.36,2.99,0.28,,Limited,CT08-EN002,Secret Rare,EARTH,Machine,Xyz/Effect Monster,1900,1500
