productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
60261,2012 Collectors Tin: Wave 1 - Heroic Champion - Excalibur,2012 Collectors Tin Wave 1 Heroic Champion Excalibur,https://tcgplayer-cdn.tcgplayer.com/product/60261_200w.jpg,2,571,https://cpt.tcgcsv.com/f7v,2020-01-07T16:47:03.153,1,"Each Collectible Tin 2012 contains:
<br>• 5 Booster Packs
<br><span style=""color:white"">____</span> • 3 Photon Shockwave
<br><span style=""color:white"">____</span> • 2 Galactic Overlord
<br>• Set of 5 promotional cards
<br><span style=""color:white"">____</span> • 1 Secret Rare card
<br><span style=""color:white"">____</span> • 4 Super Rare cards
<br><span style=""color:white"">____</span> * 1 Guaranteed Super Rare CT09-EN008 Wind-Up Zenmaines card",083717890935,30.99,40.47,44.98,35.99,,Normal,,,,,,,
60262,2012 Collectors Tin: Wave 1 - Evolzar Dolkka,2012 Collectors Tin Wave 1 Evolzar Dolkka,https://tcgplayer-cdn.tcgplayer.com/product/60262_200w.jpg,2,571,https://cpt.tcgcsv.com/g7v,2020-01-07T16:45:56.603,1,"Each Collectible Tin 2012 contains:
<br>• 5 Booster Packs
<br><span style=""color:white"">____</span> • 3 Photon Shockwave
<br><span style=""color:white"">____</span> • 2 Galactic Overlord
<br>• Set of 5 promotional cards
<br><span style=""color:white"">____</span> • 1 Secret Rare card
<br><span style=""color:white"">____</span> • 4 Super Rare cards
<br><span style=""color:white"">____</span> * 1 Guaranteed Super Rare CT09-EN008 Wind-Up Zenmaines card",083717890935,42.99,44.89,49.99,,,Normal,,,,,,,
60263,Heroic Champion - Excalibur,Heroic Champion Excalibur,https://tcgplayer-cdn.tcgplayer.com/product/60263_200w.jpg,2,571,https://cpt.tcgcsv.com/h7v,2024-03-28T15:47:18.033,1,2 Level 4 Warrior-Type monsters // Once per turn: You can detach 2 Xyz Materials from this card; this card's ATK becomes double its original ATK until your opponent's next End Phase.,,0.1,0.58,5.0,0.46,,Limited,CT09-EN002,Secret Rare,LIGHT,Warior,Xyz/Effect Monster,2000,2000
60264,Wind-Up Zenmaines,Wind Up Zenmaines,https://tcgplayer-cdn.tcgplayer.com/product/60264_200w.jpg,2,571,https://cpt.tcgcsv.com/j7v,2024-03-28T15:47:18.097,1,"2 Level 3 monsters // If this face-up card on the field would be destroyed, you can detach 1 Xyz Material from this card instead. Once per turn, during the End Phase, if this effect was used this turn: Target 1 card on the field; destroy it.",,0.2,0.53,16.0,0.46,,Limited,CT09-EN008,Super Rare,Fire,Machine,Xyz/Effect Monster,1500,2100
60265,Blizzard Princess,Blizzard Princess,https://tcgplayer-cdn.tcgplayer.com/product/60265_200w.jpg,2,571,https://cpt.tcgcsv.com/k7v,2024-03-28T15:47:18.16,1,"You can Tribute Summon this card in face-up Attack Position by Tributing 1 Spellcaster-Type monster. After this card was Normal Summoned, your opponent cannot activate Spell/Trap Cards for the rest of that turn.",,0.1,0.38,1.69,0.36,,Limited,CT09-EN009,Super Rare,Water,Spellcaster,Effect Monster,2800,2100
60266,Wind-Up Rabbit,Wind Up Rabbit,https://tcgplayer-cdn.tcgplayer.com/product/60266_200w.jpg,2,571,https://cpt.tcgcsv.com/l7v,2024-03-28T15:47:18.22,1,During either player’s turn: You can target 1 “Wind-Up” monster you control; banish it until your next Standby Phase. This effect can be used only once while this card is face-up on the field.,,0.05,0.32,4.99,0.26,,Limited,CT09-EN010,Super Rare,EARTH,Beast-Warrior,Effect Monster,1400,600
60267,Evolzar Laggia,Evolzar Laggia,https://tcgplayer-cdn.tcgplayer.com/product/60267_200w.jpg,2,571,https://cpt.tcgcsv.com/m7v,2024-03-28T15:47:18.27,1,"2 Level 4 Dinosaur-Type monsters // When a monster(s) would be Normal or Special Summoned, OR a Spell/Trap Card is activated: You can detach 2 Xyz Materials from this card; negate the Summon or activation, and destroy that card.",,0.2,0.85,10.44,0.6,,Limited,CT09-EN011,Super Rare,FIRE,Dragon,Xyz/Effect Monster,2400,2000
60268,Evolzar Dolkka,Evolzar Dolkka,https://tcgplayer-cdn.tcgplayer.com/product/60268_200w.jpg,2,571,https://cpt.tcgcsv.com/n7v,2024-03-28T15:47:18.303,1,2 Level 4 Dinosaur-Type monsters // When an Effect Monster’s effect activates: You can detach 1 Xyz Material from this card; negate the activation and destroy it.,,0.5,1.0,6.99,0.89,,Limited,CT09-EN001,Secret Rare,FIRE,Dragon,Xyz/Effect Monster,2300,1700
60269,Genex Neutron,Genex Neutron,https://tcgplayer-cdn.tcgplayer.com/product/60269_200w.jpg,2,571,https://cpt.tcgcsv.com/p7v,2024-03-28T15:47:18.35,1,"During the End Phase of the turn that this card was Normal Summoned, you can add 1 Machine-Type Tuner monster from your Deck to your hand.",,0.04,0.3,5.0,0.19,,Limited,CT09-EN005,Super Rare,LIGHT,Machine,Effect Monster,1800,1200
60270,Scrap Dragon,Scrap Dragon,https://tcgplayer-cdn.tcgplayer.com/product/60270_200w.jpg,2,571,https://cpt.tcgcsv.com/q7v,2024-03-28T15:47:18.383,1,"1 Tuner + 1 or more non-Tuner monsters
<br>Once per turn: You can target 1 card you control and 1 card your opponent controls; destroy them. When this card is destroyed by your opponent's card (either by battle or by card effect) and sent to the Graveyard: Target 1 non-Synchro ""Scrap"" monster in your Graveyard; Special Summon that target.",,0.1,0.56,9.99,0.52,,Limited,CT09-EN006,Super Rare,EARTH,Dragon,Synchro/Effect Monster,2800,2000
60271,Dark Highlander,Dark Highlander,https://tcgplayer-cdn.tcgplayer.com/product/60271_200w.jpg,2,571,https://cpt.tcgcsv.com/r7v,2024-03-28T15:47:18.433,1,1 Tuner + 1 or more non-Tuner monsters<BR>Your opponent cannot Synchro Summon. You can destroy 1 Equip Card equipped to a monster your opponent controls and inflict 400 damage to your opponent.,,0.05,0.3,2.49,0.25,,Limited,CT09-EN007,Super Rare,DARK,Fiend,Synchro/Effect Monster,2800,2300
67161,Ninja Grandmaster Hanzo,Ninja Grandmaster Hanzo,https://tcgplayer-cdn.tcgplayer.com/product/67161_200w.jpg,2,571,https://cpt.tcgcsv.com/fTx,2024-03-28T15:47:18.463,1,"When this card is Normal Summoned: You can add 1 ""Ninjitsu Art"" card from your Deck to your hand. When this card is Flip or Special Summoned: You can add 1 ""Ninja"" monster from your Deck to your hand, except ""Ninja Grandmaster Hanzo"".",,0.19,0.99,15.0,0.44,,Limited,CT09-EN003,Secret Rare,DARK,Warrior,Effect Monster,1800,1000
67162,"Maxx ""C""",Maxx C,https://tcgplayer-cdn.tcgplayer.com/product/67162_200w.jpg,2,571,https://cpt.tcgcsv.com/gTx,2024-03-28T15:47:18.497,1,"You can activate this effect during either player's turn by sending this card from your hand to the Graveyard. This turn, each time your opponent Special Summon a monster(s), draw 1 card. You can only activate ""Maxx ""C"""" once per turn.",,6.5,8.7,49.99,6.87,10.26,Limited,CT09-EN012,Super Rare,EARTH,Insect,Effect Monster,500,200
