productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
67749,2013 Zexal Collection Tin,2013 Zexal Collection Tin,https://tcgplayer-cdn.tcgplayer.com/product/67749_200w.jpg,2,572,https://cpt.tcgcsv.com/_6z,2014-11-30T15:29:46.777,1,19.49,19.99,25.99,19.69,,Normal,,,,,,,,
67755,Gagaga Magician (UTR),Gagaga Magician UTR,https://tcgplayer-cdn.tcgplayer.com/product/67755_200w.jpg,2,572,https://cpt.tcgcsv.com/77z,2024-04-02T16:11:21.123,1,0.06,0.56,10.0,0.39,,Limited,ZTIN-ENV01,Ultimate Rare,DARK,Spellcaster,Effect Monster,1500,1000,"Once per turn: You can declare a Level from 1 to 8; this card becomes that Level until the End Phase. You can only control 1 face-up ""Gagaga Magician"". This card cannot be used as a Synchro Material Monster."
67756,Number 20: Giga-Brilliant (UTR),Number 20 Giga Brilliant UTR,https://tcgplayer-cdn.tcgplayer.com/product/67756_200w.jpg,2,572,https://cpt.tcgcsv.com/87z,2024-03-28T15:56:31.917,1,0.12,0.8,7.0,0.45,,Limited,ZTIN-ENV02,Ultimate Rare,LIGHT,Insect,Xyz/Effect Monster,1800,1800,2 Level 3 monsters<BR>Once per turn: You can detach 1 Xyz Material from this card; all face-up monsters you currently control gain 300 ATK.
67757,Gagagabolt (UTR),Gagagabolt UTR,https://tcgplayer-cdn.tcgplayer.com/product/67757_200w.jpg,2,572,https://cpt.tcgcsv.com/97z,2024-04-02T16:10:35.087,1,0.05,0.49,10.0,0.35,,Limited,ZTIN-ENV03,Ultimate Rare,SPELL,,Normal Spell,,,"If you control a face-up ""Gagaga"" monster: Target 1 card your opponent controls; destroy that target."
67758,Dododo Warrior,Dododo Warrior,https://tcgplayer-cdn.tcgplayer.com/product/67758_200w.jpg,2,572,https://cpt.tcgcsv.com/b7z,2024-03-28T15:56:31.96,1,0.05,0.28,1.99,0.28,,1st Edition,ZTIN-EN001,Super Rare,EARTH,Warrior,Effect Monster,2300,900,"You can Normal Summon this card without Tributing, but its original ATK becomes 1800. If this card attacks, negate all card effects that activate in the opponent's Graveyard, until the end of the Damage Step."
67759,Number 61: Volcasaurus,Number 61 Volcasaurus,https://tcgplayer-cdn.tcgplayer.com/product/67759_200w.jpg,2,572,https://cpt.tcgcsv.com/c7z,2024-03-28T15:56:32.007,1,1.87,3.63,20.0,2.87,,1st Edition,ZTIN-EN002,Ultra Rare,FIRE,Dinosaur,Xyz/Effect Monster,2500,1000,"2 Level 5 monsters<BR>Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up monster your opponent controls; destroy that opponent's monster, and if you do, inflict damage to your opponent equal to the destroyed monster's original ATK. This card cannot attack your opponent directly during the turn you activate this effect."
67760,Number 19: Freezadon,Number 19 Freezadon,https://tcgplayer-cdn.tcgplayer.com/product/67760_200w.jpg,2,572,https://cpt.tcgcsv.com/d7z,2024-03-28T15:56:32.04,1,0.59,1.34,5.49,1.48,,1st Edition,ZTIN-EN003,Ultra Rare,WATER,Dinosaur,Xyz/Effect Monster,2000,2500,"2 Level 5 monsters<BR>Once per turn, if an Xyz Monster you control would activate an effect by detaching an Xyz Material(s), you can detach 1 Xyz Material from this card instead of 1 of those Xyz Materials."
67761,Gagagaback,Gagagaback,https://tcgplayer-cdn.tcgplayer.com/product/67761_200w.jpg,2,572,https://cpt.tcgcsv.com/f7z,2013-05-09T12:13:41.653,1,0.02,0.25,1.99,0.22,,1st Edition,ZTIN-EN004,Super Rare,SPELL,,Normal Spell,0,0,"During the turn a ""Gagaga"" monster you control was destroyed by battle and sent to the Graveyard: Special Summon as many monsters from your Graveyard as possible that were destroyed by battle this turn, in face-up Defense Position, then take 600 damage for each monster Special Summoned by this effect. You can only activate 1 ""Gagagaback"" per turn."
67762,Gagagashield,Gagagashield,https://tcgplayer-cdn.tcgplayer.com/product/67762_200w.jpg,2,572,https://cpt.tcgcsv.com/g7z,2013-05-09T12:13:41.653,1,0.03,0.46,2.99,0.28,,1st Edition,ZTIN-EN005,Ultra Rare,TRAP,,Normal Trap,0,0,"Target 1 face-up Spellcaster-Type monster you control; equip this card to that target. Twice per turn, it cannot be destroyed by battle or card effects."
67763,Photon Pirate,Photon Pirate,https://tcgplayer-cdn.tcgplayer.com/product/67763_200w.jpg,2,572,https://cpt.tcgcsv.com/h7z,2024-03-28T15:56:32.07,1,0.07,0.34,1.99,0.2,,1st Edition,ZTIN-EN006,Super Rare,LIGHT,Machine,Effect Monster,1000,1000,"You can banish 1 ""Photon"" monster from your Graveyard; this card gains 1000 ATK until the End Phase. You can use the effect of ""Photon Pirate"" up to twice per turn."
