productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
122298,Phantom Gryphon,Phantom Gryphon,https://tcgplayer-cdn.tcgplayer.com/product/122298_200w.jpg,2,1834,https://cpt.tcgcsv.com/-W-,2017-04-13T17:52:38.373,1,MP16-EN001,Common,WIND,Winged Beast,Normal Monster,2000,0,"<em>A legendary monster that dwells secretly in the mountains, fighting with the harpies over hunting grounds. A single wingbeat is said to cause the fiercest of storms.",0.36,0.45,2.8,0.41,,1st Edition
122298,Phantom Gryphon,Phantom Gryphon,https://tcgplayer-cdn.tcgplayer.com/product/122298_200w.jpg,2,1834,https://cpt.tcgcsv.com/-W-,2017-04-13T17:52:38.373,1,MP16-EN001,Common,WIND,Winged Beast,Normal Monster,2000,0,"<em>A legendary monster that dwells secretly in the mountains, fighting with the harpies over hunting grounds. A single wingbeat is said to cause the fiercest of storms.",0.5,0.74,3.99,0.37,,Unlimited
122299,Performapal Elephammer,Performapal Elephammer,https://tcgplayer-cdn.tcgplayer.com/product/122299_200w.jpg,2,1834,https://cpt.tcgcsv.com/_W-,2017-04-13T17:34:59.11,1,MP16-EN002,Rare,EARTH,,Effect Monster,2600,1800,"If you control 2 or more ""Performapal"" cards, you can Normal Summon this card without Tributing. Cannot attack unless you control another ""Performapal"" card. When this card declares an attack: You can return all Spell and Trap Cards your opponent controls to the hand.",0.21,0.33,0.55,0.17,,Unlimited
122299,Performapal Elephammer,Performapal Elephammer,https://tcgplayer-cdn.tcgplayer.com/product/122299_200w.jpg,2,1834,https://cpt.tcgcsv.com/_W-,2017-04-13T17:34:59.11,1,MP16-EN002,Rare,EARTH,,Effect Monster,2600,1800,"If you control 2 or more ""Performapal"" cards, you can Normal Summon this card without Tributing. Cannot attack unless you control another ""Performapal"" card. When this card declares an attack: You can return all Spell and Trap Cards your opponent controls to the hand.",0.11,0.33,1.42,0.12,,1st Edition
122300,Performapal Bowhopper,Performapal Bowhopper,https://tcgplayer-cdn.tcgplayer.com/product/122300_200w.jpg,2,1834,https://cpt.tcgcsv.com/0X-,2017-04-13T17:21:52.627,1,MP16-EN003,Common,EARTH,Insect,Effect Monster,1500,1000,"You can Tribute 1 ""Performapal"" monster; inflict damage to your opponent equal to the Level it had on the field x 100 (original Level, if face-down). You can Tribute 1 ""Performapal"" monster, then target 1 ""Performapal"" monster in your Graveyard other than the Tributed monster; add it to your hand. You can only use each effect of ""Performapal Bowhopper"" once per turn.",0.08,0.2,0.94,0.12,,Unlimited
122300,Performapal Bowhopper,Performapal Bowhopper,https://tcgplayer-cdn.tcgplayer.com/product/122300_200w.jpg,2,1834,https://cpt.tcgcsv.com/0X-,2017-04-13T17:21:52.627,1,MP16-EN003,Common,EARTH,Insect,Effect Monster,1500,1000,"You can Tribute 1 ""Performapal"" monster; inflict damage to your opponent equal to the Level it had on the field x 100 (original Level, if face-down). You can Tribute 1 ""Performapal"" monster, then target 1 ""Performapal"" monster in your Graveyard other than the Tributed monster; add it to your hand. You can only use each effect of ""Performapal Bowhopper"" once per turn.",0.07,0.22,1.49,0.11,,1st Edition
122301,Performapal Lizardraw,Performapal Lizardraw,https://tcgplayer-cdn.tcgplayer.com/product/122301_200w.jpg,2,1834,https://cpt.tcgcsv.com/2X-,2017-04-13T17:37:15.523,1,MP16-EN004,Common,EARTH,Reptile,Pendulum/Effect Monster,1200,600,"<b>Pendulum Effect :</b> If you have a ""Performapal"" card in your other Pendulum Zone, except ""Performapal Lizardraw"": You can destroy this card, and if you do, draw 1 card. You can only use this effect of ""Performapal Lizardraw"" once per turn.
<br>Monster Effect :</b> If another face-up monster you control is destroyed by your opponent's attack or card effect: You can draw cards equal to the number of ""Performapal"" monsters you currently control. You can only use this effect of ""Performapal Lizardraw"" once per turn.",0.11,0.39,1.42,0.17,,1st Edition
122301,Performapal Lizardraw,Performapal Lizardraw,https://tcgplayer-cdn.tcgplayer.com/product/122301_200w.jpg,2,1834,https://cpt.tcgcsv.com/2X-,2017-04-13T17:37:15.523,1,MP16-EN004,Common,EARTH,Reptile,Pendulum/Effect Monster,1200,600,"<b>Pendulum Effect :</b> If you have a ""Performapal"" card in your other Pendulum Zone, except ""Performapal Lizardraw"": You can destroy this card, and if you do, draw 1 card. You can only use this effect of ""Performapal Lizardraw"" once per turn.
<br>Monster Effect :</b> If another face-up monster you control is destroyed by your opponent's attack or card effect: You can draw cards equal to the number of ""Performapal"" monsters you currently control. You can only use this effect of ""Performapal Lizardraw"" once per turn.",0.11,0.3,0.74,0.09,,Unlimited
122302,Performapal Springoose,Performapal Springoose,https://tcgplayer-cdn.tcgplayer.com/product/122302_200w.jpg,2,1834,https://cpt.tcgcsv.com/3X-,2017-04-13T17:50:25.497,1,MP16-EN005,Common,WIND,Winged Beast,Effect Monster,1100,2400,"You can banish this card from your Graveyard, then target 2 cards among the Pendulum Monsters you control and/or the ""Magician"" and ""Performapal"" cards in your Pendulum Zone; return both to the hand. You can only use this effect of ""Performapal Springoose"" once per turn.",0.03,0.21,1.49,0.11,,1st Edition
122302,Performapal Springoose,Performapal Springoose,https://tcgplayer-cdn.tcgplayer.com/product/122302_200w.jpg,2,1834,https://cpt.tcgcsv.com/3X-,2017-04-13T17:50:25.497,1,MP16-EN005,Common,WIND,Winged Beast,Effect Monster,1100,2400,"You can banish this card from your Graveyard, then target 2 cards among the Pendulum Monsters you control and/or the ""Magician"" and ""Performapal"" cards in your Pendulum Zone; return both to the hand. You can only use this effect of ""Performapal Springoose"" once per turn.",0.04,0.2,0.74,,,Unlimited
