productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
138117,2017 Mega-Tin [Kaiba],2017 Mega Tin Kaiba,https://tcgplayer-cdn.tcgplayer.com/product/138117_200w.jpg,2,1990,https://cpt.tcgcsv.com/mg72,2017-08-24T13:31:28.177,1,"Each Mega-Tin contains the following:
<br>
<br>• Three 16-card Mega Packs
<br>• 6 Promotional cards:
<br>• 1 Secret Rare
<br>• 3 Ultra Rares
<br>• 2 Super Rares",48.99,69.97,100.0,62.98,,Normal,,,,,,,
138118,2017 Mega-Tin [Yugi],2017 Mega Tin Yugi,https://tcgplayer-cdn.tcgplayer.com/product/138118_200w.jpg,2,1990,https://cpt.tcgcsv.com/ng72,2017-08-24T13:31:38.673,1,"Each Mega-Tin contains the following:
<br>
<br>• Three 16-card Mega Packs
<br>• 6 Promotional cards:
<br>• 1 Secret Rare
<br>• 3 Ultra Rares
<br>• 2 Super Rares",38.99,49.97,100.0,39.32,,Normal,,,,,,,
138119,2017 Mega-Tin [Set of 2],2017 Mega Tin Set of 2,https://tcgplayer-cdn.tcgplayer.com/product/138119_200w.jpg,2,1990,https://cpt.tcgcsv.com/pg72,2017-08-24T13:31:22.81,1,"Each Mega-Tin contains the following:
<br>
<br>• Three 16-card Mega Packs
<br>• 6 Promotional cards:
<br>• 1 Secret Rare
<br>• 3 Ultra Rares
<br>• 2 Super Rares",,,,,,,,,,,,,
141268,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/141268_200w.jpg,2,1990,https://cpt.tcgcsv.com/nw82,2024-08-23T15:16:07.277,1,<em>The ultimate wizard in terms of attack and defense.</em>,1.47,3.0,20.0,2.43,2.9,Limited,CT14-EN001,Secret Rare,DARK,Spellcaster,Normal Monster,2500,2100
141269,Number 71: Rebarian Shark,Number 71 Rebarian Shark,https://tcgplayer-cdn.tcgplayer.com/product/141269_200w.jpg,2,1990,https://cpt.tcgcsv.com/pw82,2024-07-26T14:50:12.66,1,"2 Level 3 monsters
<br>Once per turn: You can target 1 ""Number"" Xyz Monster in your GY, except ""Number 71: Rebarian Shark""; Special Summon it, and if you do, attach 1 material from this card to it. If this card is sent to the GY: You can choose 1 ""Rank-Up-Magic"" Spell from your Deck and place it on top of your Deck.",0.02,0.35,25.0,0.32,0.29,Limited,CT14-EN005,Super Rare,WATER,Dragon,Xyz/Effect Monster,0,2000
141270,Dreamland,Dreamland,https://tcgplayer-cdn.tcgplayer.com/product/141270_200w.jpg,2,1990,https://cpt.tcgcsv.com/qw82,2024-07-26T14:50:12.71,1,"This card can activate these effects depending on the monster card types on the field.
<br>• Fusion: Once per turn, if a monster(s) is sent from your hand or field to the GY by a card effect (except during the Damage Step): You can draw 1 card.
<br>• Synchro: When a monster(s) is Normal or Special Summoned (except during the Damage Step): You can increase their Levels by 1.
<br>• Xyz: Once per turn, during your End Phase: Destroy the monster(s) on the field with the highest Level.
<br>•You can only activate 1 ""Dreamland"" per turn.",0.01,0.25,1.59,0.22,0.11,Limited,CT14-EN006,Super Rare,SPELL,,Field Spell,,
141271,Token: Yugi/Yami (CT14-EN007),Token Yugi Yami CT14 EN007,https://tcgplayer-cdn.tcgplayer.com/product/141271_200w.jpg,2,1990,https://cpt.tcgcsv.com/rw82,2022-09-04T15:20:56.263,1,This card can be used as any Token,0.42,0.66,10.0,0.64,,Limited,CT14-EN007,Ultra Rare,,,Token,,
141272,Token: Kaiba (CT14-EN010),Token Kaiba CT14 EN010,https://tcgplayer-cdn.tcgplayer.com/product/141272_200w.jpg,2,1990,https://cpt.tcgcsv.com/sw82,2024-07-26T14:50:12.75,1,This card can be used as any Token,0.19,0.9,4.99,0.6,0.54,Limited,CT14-EN010,Ultra Rare,,,Token,,
141273,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/141273_200w.jpg,2,1990,https://cpt.tcgcsv.com/tw82,2022-12-13T17:23:28.503,1,"<em>This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",1.97,4.19,20.0,4.28,5.1,Limited,CT14-EN002,Secret Rare,LIGHT,Dragon,Normal Monster,3000,2500
141274,Number 68: Sanaphond the Sky Prison,Number 68 Sanaphond the Sky Prison,https://tcgplayer-cdn.tcgplayer.com/product/141274_200w.jpg,2,1990,https://cpt.tcgcsv.com/vw82,2024-07-26T14:50:12.797,1,"2 Level 8 monsters
<br>Gains 100 ATK and DEF for each monster in the GYs. Once per turn: You can detach 1 material from this card; until the end of your opponent's turn, this card cannot be destroyed by card effects, also neither player can Special Summon monsters from the GYs.",0.05,0.49,1.99,0.36,0.32,Limited,CT14-EN008,Super Rare,DARK,Rock,Xyz/Effect Monster,2100,2700
