productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
194394,2019 Gold Sarcophagus Tin,2019 Gold Sarcophagus Tin,https://tcgplayer-cdn.tcgplayer.com/product/194394_200w.jpg,2,2488,https://cpt.tcgcsv.com/VMz2,2019-07-12T19:07:26.887,1,"This premium collectible product contains 5 Prismatic Secret Rare variants of the following:
<br>• 2 of 6 cards with art by Yu-Gi-Oh! creator, Kazuki Takahashi
<br>• 2 of 5 cards from the original Yu-Gi-Oh! animated series
<br>• 1 of 3 new World premiere cards",083717844235,90.6,99.99,100.0,97.49,,Normal,,,,,,,
197078,Blue-Eyes Alternative Ultimate Dragon,Blue Eyes Alternative Ultimate Dragon,https://tcgplayer-cdn.tcgplayer.com/product/197078_200w.jpg,2,2488,https://cpt.tcgcsv.com/BRB2,2024-08-08T16:18:04.77,1,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""
<br>Your opponent cannot target or destroy this card with card effects. Once per turn: You can target 1 card your opponent controls; destroy it. If this card was Fusion Summoned using a monster whose original name is ""Blue-Eyes Alternative White Dragon"" as material, you can target up to 3 cards your opponent controls instead. This card cannot attack the turn this effect is activated.",,6.55,9.73,30.0,8.44,9.96,Limited,TN19-EN001,Prismatic Secret Rare,LIGHT,Dragon,Fusion/Effect Monster,4500,3800
197079,Magician of Black Chaos MAX,Magician of Black Chaos MAX,https://tcgplayer-cdn.tcgplayer.com/product/197079_200w.jpg,2,2488,https://cpt.tcgcsv.com/CRB2,2022-07-02T12:04:21.503,1,"You can Ritual Summon this card with ""Chaos Form"". If this card is Special Summoned: You can Tribute 1 monster; your opponent cannot activate monster effects this turn. When this card destroys an opponent's monster by battle: You can target 1 Spell in your GY; add it to your hand. You can only use each effect of ""Magician of Black Chaos MAX"" once per turn.",,1.5,3.22,20.0,3.25,9.98,Limited,TN19-EN002,Prismatic Secret Rare,DARK,Spellcaster,Ritual/Effect Monster,2800,2600
197080,"Exodia, the Legendary Defender",Exodia the Legendary Defender,https://tcgplayer-cdn.tcgplayer.com/product/197080_200w.jpg,2,2488,https://cpt.tcgcsv.com/DRB2,2024-07-26T14:52:28.093,1,"Cannot be Special Summoned. You can Tribute 5 monsters to Tribute Summon (but not Set) this card. This card's ATK/DEF become the combined original ATK/DEF of the Tributed monsters. If this card Summoned this way destroys a DARK Fiend monster owned by your opponent, you win the Duel at the end of the Damage Step.",,0.45,0.99,20.0,0.84,1.0,Limited,TN19-EN003,Prismatic Secret Rare,DARK,Spellcaster,Effect Monster,,
197081,Palladium Oracle Mana,Palladium Oracle Mana,https://tcgplayer-cdn.tcgplayer.com/product/197081_200w.jpg,2,2488,https://cpt.tcgcsv.com/FRB2,2024-10-23T15:25:21.863,1,"When your opponent activates a card or effect that targets 1 Spellcaster monster you control (and no other cards), while this card is in your hand or GY (Quick Effect): You can Special Summon this card. You can only use this effect of ""Palladium Oracle Mana"" once per turn. Level 7 or higher Spellcaster monsters you control cannot be destroyed by card effects. If this card is destroyed by battle or card effect: You can Special Summon 1 ""Dark Magician Girl"" from your hand, Deck, or GY.",,0.7,1.09,20.0,0.79,0.82,Limited,TN19-EN004,Prismatic Secret Rare,LIGHT,Spellcaster,Effect Monster,2000,1700
197082,Red-Eyes Alternative Black Dragon,Red Eyes Alternative Black Dragon,https://tcgplayer-cdn.tcgplayer.com/product/197082_200w.jpg,2,2488,https://cpt.tcgcsv.com/GRB2,2022-03-04T20:30:52.79,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Red-Eyes"" monster from your hand or field. You can only Special Summon ""Red-Eyes Alternative Black Dragon"" once per turn this way. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can target 1 Level 7 or lower ""Red-Eyes"" monster in your GY, except ""Red-Eyes Alternative Black Dragon""; Special Summon it, and if it was a ""Red-Eyes B. Dragon"" that was Special Summoned, its original ATK becomes doubled.",,1.99,3.56,25.0,3.47,3.58,Limited,TN19-EN005,Prismatic Secret Rare,DARK,Dragon,Effect Monster,2400,2000
197083,Obelisk the Tormentor,Obelisk the Tormentor,https://tcgplayer-cdn.tcgplayer.com/product/197083_200w.jpg,2,2488,https://cpt.tcgcsv.com/HRB2,2019-09-16T15:40:04.493,1,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, cards and effects cannot be activated. Cannot be targeted by Spells, Traps, or card effects. Once per turn, during the End Phase, if this card was Special Summoned: Send it to the Graveyard. You can Tribute 2 monsters; destroy all monsters your opponent controls. This card cannot declare an attack the turn this effect is activated.",,0.8,1.53,20.0,1.46,1.48,Limited,TN19-EN007,Prismatic Secret Rare,DIVINE,Divine-Beast,Effect Monster,4000,4000
197084,Neo Kaiser Glider,Neo Kaiser Glider,https://tcgplayer-cdn.tcgplayer.com/product/197084_200w.jpg,2,2488,https://cpt.tcgcsv.com/JRB2,2024-07-26T14:52:28.127,1,"You can discard this card and 1 monster, then target 1 Dragon Normal Monster in your GY; Special Summon it. If this card is sent to the GY: You can make all monsters your opponent currently controls lose 500 ATK until the end of this turn. You can only use each effect of ""Neo Kaiser Glider"" once per turn.",,0.05,0.38,15.0,0.28,0.2,Limited,TN19-EN006,Prismatic Secret Rare,LIGHT,Dragon,Effect Monster,2400,2200
197085,Slifer the Sky Dragon,Slifer the Sky Dragon,https://tcgplayer-cdn.tcgplayer.com/product/197085_200w.jpg,2,2488,https://cpt.tcgcsv.com/KRB2,2022-02-03T17:02:37.56,1,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, cards and effects cannot be activated. Once per turn, during the End Phase, if this card was Special Summoned: Send it to the GY. Gains 1000 ATK and DEF for each card in your hand. If a monster(s) is Normal or Special Summoned to your opponent's field in Attack Position: That monster(s) loses 2000 ATK, then if its ATK has been reduced to 0 as a result, destroy it.",,0.99,2.24,19.98,2.12,3.28,Limited,TN19-EN008,Prismatic Secret Rare,DIVINE,Divine-Beast,Effect Monster,,
197086,The Winged Dragon of Ra,The Winged Dragon of Ra,https://tcgplayer-cdn.tcgplayer.com/product/197086_200w.jpg,2,2488,https://cpt.tcgcsv.com/LRB2,2024-08-14T13:19:41.643,1,"Cannot be Special Summoned. Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, other cards and effects cannot be activated. When this card is Normal Summoned: You can pay LP so that you only have 100 left; this card gains ATK and DEF equal to the amount of LP paid. You can pay 1000 LP, then target 1 monster on the field; destroy that target.",,1.1,2.5,20.0,2.44,3.65,Limited,TN19-EN009,Prismatic Secret Rare,DIVINE,Divine-Beast,Effect Monster,,
