productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
534532,25th Anniversary Rarity Collection II Booster Box,25th Anniversary Rarity Collection II Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/534532_200w.jpg,2,23416,https://cpt.tcgcsv.com/GQh6,2024-05-24T04:03:27.467,1,"<em>25th Anniversary Rarity Collection II</em> packs have twice as many Ultra & Secret Rares per pack, which gives you twice as many chances at “luxury rares” per pack (Quarter Century Secret Rares, “Prismatic”-style Ultimate & Collector’s Rares, and Platinum Rares)!
<br>
<br>We’ve cut back on the packaging, so there will be fewer packs you’ll need to open (and fewer foil wrappers to throw away) to get the same number of the cards you’re looking for. (And with double the cards per pack, about two-thirds of packs should have at least one “luxury rare” this time, and around a third should have more than one. You could even get up to SIX “luxury rares” in the same pack, this time around!)
<br>
<br>If you missed out on the first Rarity Collection, here’s how it works: Every card in the set is available in every rarity, with 3 “standard” rarities (Super Rare, Ultra Rare, Secret Rare), and four special “luxury” rarities: Quarter Century Secret Rares <em>(celebrating the 25th anniversary with tons of sparkle and a watermark logo!)</em>, Platinum Secret Rares, “Prismatic”-style Collector’s Rares <em>(previously available only overseas)</em>, and “Prismatic”-style Ultimate Rares <em>(with special 3D varnish, and also available only overseas until recently)</em>.
<br>
<br>Opening Rarity Collection packs is a rapid-fire waterfall of high-powered cards, in seven of the game’s most popular foil rarities. If you haven’t experienced this all-foil extravaganza yet, you’re in for a treat!
<br.
<br>Each pack will contain:
<br>• 2 Secret Rares (each with an individual 1-in-4 chance of being upgraded to a Platinum Secret Rare or Quarter Century Secret Rare)
<br>• 4 Ultra Rares (each with an individual 1-in-6 chance of being upgraded to a new “Prismatic”-style Collector’s Rare or new “Prismatic”-style Ultimate Rare)
<br>• 3 Super Rares
<br>
<br>Each box contains 18 packs of 9 random cards.",083717864530,64.66,90.99,155.99,64.66,,Normal,,,,,,,,,
534539,25th Anniversary Rarity Collection II Booster Pack,25th Anniversary Rarity Collection II Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/534539_200w.jpg,2,23416,https://cpt.tcgcsv.com/PQh6,2024-05-24T04:03:27.467,1,"<em>25th Anniversary Rarity Collection II</em> packs have twice as many Ultra & Secret Rares per pack, which gives you twice as many chances at “luxury rares” per pack (Quarter Century Secret Rares, “Prismatic”-style Ultimate & Collector’s Rares, and Platinum Rares)!
<br>
<br>Each pack will contain 9 random cards:
<br>• 2 Secret Rares (each with an individual 1-in-4 chance of being upgraded to a Platinum Secret Rare or Quarter Century Secret Rare)
<br>• 4 Ultra Rares (each with an individual 1-in-6 chance of being upgraded to a new “Prismatic”-style Collector’s Rare or new “Prismatic”-style Ultimate Rare)
<br>• 3 Super Rares",083717864523,4.58,5.71,13.61,4.88,,Normal,,,,,,,,,
550849,Rescue Cat (Alternate Art),Rescue Cat Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/550849_200w.jpg,2,23416,https://cpt.tcgcsv.com/_lq6,2024-05-24T04:03:27.467,1,"You can send this card to the GY; Special Summon 2 Level 3 or lower Beast monsters from your Deck, but their effects are negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.",,0.01,0.25,1.99,0.1,,1st Edition,RA02-EN001,Super Rare,EARTH,Beast,Effect Monster,300,100,,
550850,Rescue Cat (Alternate Art) (UR),Rescue Cat Alternate Art UR,https://tcgplayer-cdn.tcgplayer.com/product/550850_200w.jpg,2,23416,https://cpt.tcgcsv.com/0mq6,2024-05-24T04:03:27.467,1,"You can send this card to the GY; Special Summon 2 Level 3 or lower Beast monsters from your Deck, but their effects are negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.",,0.01,0.25,2.0,0.21,,1st Edition,RA02-EN001,Ultra Rare,EARTH,Beast,Effect Monster,300,100,,
550851,Rescue Cat (Alternate Art) (Secret Rare),Rescue Cat Alternate Art Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550851_200w.jpg,2,23416,https://cpt.tcgcsv.com/2mq6,2024-05-29T14:32:49.547,1,"You can send this card to the GY; Special Summon 2 Level 3 or lower Beast monsters from your Deck, but their effects are negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.",,0.09,0.3,3.99,0.3,,1st Edition,RA02-EN001,Secret Rare,EARTH,Beast,Effect Monster,300,100,,
550852,Rescue Cat (Alternate Art) (Platinum Secret Rare),Rescue Cat Alternate Art Platinum Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550852_200w.jpg,2,23416,https://cpt.tcgcsv.com/3mq6,2024-05-24T04:03:27.467,1,"You can send this card to the GY; Special Summon 2 Level 3 or lower Beast monsters from your Deck, but their effects are negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.",,0.4,0.87,9.99,0.68,,1st Edition,RA02-EN001,Platinum Secret Rare,EARTH,Beast,Effect Monster,300,100,,
550853,Rescue Cat (Alternate Art) (Quarter Century Secret Rare),Rescue Cat Alternate Art Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550853_200w.jpg,2,23416,https://cpt.tcgcsv.com/5mq6,2024-06-04T19:02:34.627,1,"You can send this card to the GY; Special Summon 2 Level 3 or lower Beast monsters from your Deck, but their effects are negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.",,2.24,3.22,420.69,3.11,,1st Edition,RA02-EN001,Quarter Century Secret Rare,EARTH,Beast,Effect Monster,300,100,,
550854,Rescue Cat (Alternate Art) (PUR),Rescue Cat Alternate Art PUR,https://tcgplayer-cdn.tcgplayer.com/product/550854_200w.jpg,2,23416,https://cpt.tcgcsv.com/6mq6,2024-05-24T04:03:27.467,1,"You can send this card to the GY; Special Summon 2 Level 3 or lower Beast monsters from your Deck, but their effects are negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.",,0.16,0.59,5.02,0.44,,1st Edition,RA02-EN001,Prismatic Ultimate Rare,EARTH,Beast,Effect Monster,300,100,,
550855,Rescue Cat (Alternate Art) (PCR),Rescue Cat Alternate Art PCR,https://tcgplayer-cdn.tcgplayer.com/product/550855_200w.jpg,2,23416,https://cpt.tcgcsv.com/7mq6,2024-05-28T21:05:37.47,1,"You can send this card to the GY; Special Summon 2 Level 3 or lower Beast monsters from your Deck, but their effects are negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.",,0.15,0.58,9.99,0.58,,1st Edition,RA02-EN001,Prismatic Collector's Rare,EARTH,Beast,Effect Monster,300,100,,
550856,D.D. Crow,DD Crow,https://tcgplayer-cdn.tcgplayer.com/product/550856_200w.jpg,2,23416,https://cpt.tcgcsv.com/8mq6,2024-05-24T04:03:27.467,1,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",,0.2,0.5,4.99,0.46,,1st Edition,RA02-EN002,Super Rare,DARK,Winged Beast,Effect Monster,100,100,,
550857,D.D. Crow (UR),DD Crow UR,https://tcgplayer-cdn.tcgplayer.com/product/550857_200w.jpg,2,23416,https://cpt.tcgcsv.com/9mq6,2024-05-24T04:03:27.467,1,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",,0.2,0.43,4.99,0.41,,1st Edition,RA02-EN002,Ultra Rare,DARK,Winged Beast,Effect Monster,100,100,,
550858,D.D. Crow (Secret Rare),DD Crow Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550858_200w.jpg,2,23416,https://cpt.tcgcsv.com/bmq6,2024-05-29T14:33:41.397,1,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",,1.4,2.44,15.0,2.26,,1st Edition,RA02-EN002,Secret Rare,DARK,Winged Beast,Effect Monster,100,100,,
550859,D.D. Crow (Platinum Secret Rare),DD Crow Platinum Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550859_200w.jpg,2,23416,https://cpt.tcgcsv.com/cmq6,2024-05-24T04:03:27.467,1,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",,4.67,6.75,19.5,5.13,,1st Edition,RA02-EN002,Platinum Secret Rare,DARK,Winged Beast,Effect Monster,100,100,,
550860,D.D. Crow (Quarter Century Secret Rare),DD Crow Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550860_200w.jpg,2,23416,https://cpt.tcgcsv.com/dmq6,2024-05-24T04:03:27.467,1,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",,22.22,29.93,70.0,21.61,,1st Edition,RA02-EN002,Quarter Century Secret Rare,DARK,Winged Beast,Effect Monster,100,100,,
550861,D.D. Crow (PUR),DD Crow PUR,https://tcgplayer-cdn.tcgplayer.com/product/550861_200w.jpg,2,23416,https://cpt.tcgcsv.com/fmq6,2024-05-24T04:03:27.467,1,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",,1.0,2.97,12.91,2.43,,1st Edition,RA02-EN002,Prismatic Ultimate Rare,DARK,Winged Beast,Effect Monster,100,100,,
550862,D.D. Crow (PCR),DD Crow PCR,https://tcgplayer-cdn.tcgplayer.com/product/550862_200w.jpg,2,23416,https://cpt.tcgcsv.com/gmq6,2024-05-28T20:59:08.243,1,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",,2.75,3.86,25.99,3.24,,1st Edition,RA02-EN002,Prismatic Collector's Rare,DARK,Winged Beast,Effect Monster,100,100,,
550863,"Ryko, Lightsworn Hunter",Ryko Lightsworn Hunter,https://tcgplayer-cdn.tcgplayer.com/product/550863_200w.jpg,2,23416,https://cpt.tcgcsv.com/hmq6,2024-05-24T04:03:27.467,1,FLIP: Apply these effects (simultaneously).<br>• You can destroy 1 card on the field.<br>• Send the top 3 cards of your Deck to the GY.,,0.07,0.25,1.99,0.19,,1st Edition,RA02-EN003,Super Rare,LIGHT,Beast,Flip/Effect Monster,200,100,,
550864,"Ryko, Lightsworn Hunter (UR)",Ryko Lightsworn Hunter UR,https://tcgplayer-cdn.tcgplayer.com/product/550864_200w.jpg,2,23416,https://cpt.tcgcsv.com/jmq6,2024-05-24T04:03:27.467,1,FLIP: Apply these effects (simultaneously).<br>• You can destroy 1 card on the field.<br>• Send the top 3 cards of your Deck to the GY.,,0.01,0.25,2.49,0.24,,1st Edition,RA02-EN003,Ultra Rare,LIGHT,Beast,Flip/Effect Monster,200,100,,
550865,"Ryko, Lightsworn Hunter (Secret Rare)",Ryko Lightsworn Hunter Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550865_200w.jpg,2,23416,https://cpt.tcgcsv.com/kmq6,2024-05-29T14:34:21.707,1,FLIP: Apply these effects (simultaneously).<br>• You can destroy 1 card on the field.<br>• Send the top 3 cards of your Deck to the GY.,,0.15,0.5,4.49,0.38,,1st Edition,RA02-EN003,Secret Rare,LIGHT,Beast,Flip/Effect Monster,200,100,,
550866,"Ryko, Lightsworn Hunter (Platinum Secret Rare)",Ryko Lightsworn Hunter Platinum Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550866_200w.jpg,2,23416,https://cpt.tcgcsv.com/lmq6,2024-05-24T04:03:27.467,1,FLIP: Apply these effects (simultaneously).<br>• You can destroy 1 card on the field.<br>• Send the top 3 cards of your Deck to the GY.,,2.56,3.2,9.99,3.15,,1st Edition,RA02-EN003,Platinum Secret Rare,LIGHT,Beast,Flip/Effect Monster,200,100,,
550867,"Ryko, Lightsworn Hunter (Quarter Century Secret Rare)",Ryko Lightsworn Hunter Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550867_200w.jpg,2,23416,https://cpt.tcgcsv.com/mmq6,2024-06-04T19:50:05.557,1,FLIP: Apply these effects (simultaneously).<br>• You can destroy 1 card on the field.<br>• Send the top 3 cards of your Deck to the GY.,,6.41,8.22,151.49,6.61,,1st Edition,RA02-EN003,Quarter Century Secret Rare,LIGHT,Beast,Flip/Effect Monster,200,100,,
550868,"Ryko, Lightsworn Hunter (PUR)",Ryko Lightsworn Hunter PUR,https://tcgplayer-cdn.tcgplayer.com/product/550868_200w.jpg,2,23416,https://cpt.tcgcsv.com/nmq6,2024-05-24T04:03:27.467,1,FLIP: Apply these effects (simultaneously).<br>• You can destroy 1 card on the field.<br>• Send the top 3 cards of your Deck to the GY.,,0.41,0.75,14.0,0.6,,1st Edition,RA02-EN003,Prismatic Ultimate Rare,LIGHT,Beast,Flip/Effect Monster,200,100,,
550869,"Ryko, Lightsworn Hunter (PCR)",Ryko Lightsworn Hunter PCR,https://tcgplayer-cdn.tcgplayer.com/product/550869_200w.jpg,2,23416,https://cpt.tcgcsv.com/pmq6,2024-05-28T21:06:25.507,1,FLIP: Apply these effects (simultaneously).<br>• You can destroy 1 card on the field.<br>• Send the top 3 cards of your Deck to the GY.,,0.49,0.89,9.99,0.89,,1st Edition,RA02-EN003,Prismatic Collector's Rare,LIGHT,Beast,Flip/Effect Monster,200,100,,
550870,Super-Nimble Mega Hamster,Super Nimble Mega Hamster,https://tcgplayer-cdn.tcgplayer.com/product/550870_200w.jpg,2,23416,https://cpt.tcgcsv.com/qmq6,2024-05-24T04:03:27.467,1,FLIP: You can Special Summon 1 Level 3 or lower Beast monster from your Deck in face-down Defense Position.,,0.05,0.25,2.99,0.19,,1st Edition,RA02-EN004,Super Rare,EARTH,Beast,Flip/Effect Monster,1100,1800,,
550871,Super-Nimble Mega Hamster (UR),Super Nimble Mega Hamster UR,https://tcgplayer-cdn.tcgplayer.com/product/550871_200w.jpg,2,23416,https://cpt.tcgcsv.com/rmq6,2024-05-24T04:03:27.467,1,FLIP: You can Special Summon 1 Level 3 or lower Beast monster from your Deck in face-down Defense Position.,,0.01,0.25,2.49,0.22,,1st Edition,RA02-EN004,Ultra Rare,EARTH,Beast,Flip/Effect Monster,1100,1800,,
550872,Super-Nimble Mega Hamster (Secret Rare),Super Nimble Mega Hamster Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550872_200w.jpg,2,23416,https://cpt.tcgcsv.com/smq6,2024-05-29T14:35:15.873,1,FLIP: You can Special Summon 1 Level 3 or lower Beast monster from your Deck in face-down Defense Position.,,0.1,0.48,3.99,0.33,,1st Edition,RA02-EN004,Secret Rare,EARTH,Beast,Flip/Effect Monster,1100,1800,,
550873,Super-Nimble Mega Hamster (Platinum Secret Rare),Super Nimble Mega Hamster Platinum Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550873_200w.jpg,2,23416,https://cpt.tcgcsv.com/tmq6,2024-05-24T04:03:27.467,1,FLIP: You can Special Summon 1 Level 3 or lower Beast monster from your Deck in face-down Defense Position.,,0.5,1.13,15.0,1.08,,1st Edition,RA02-EN004,Platinum Secret Rare,EARTH,Beast,Flip/Effect Monster,1100,1800,,
550874,Super-Nimble Mega Hamster (Quarter Century Secret Rare),Super Nimble Mega Hamster Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/550874_200w.jpg,2,23416,https://cpt.tcgcsv.com/vmq6,2024-06-04T19:56:28.737,1,FLIP: You can Special Summon 1 Level 3 or lower Beast monster from your Deck in face-down Defense Position.,,1.99,3.0,49.0,2.4,,1st Edition,RA02-EN004,Quarter Century Secret Rare,EARTH,Beast,Flip/Effect Monster,1100,1800,,
550875,Super-Nimble Mega Hamster (PUR),Super Nimble Mega Hamster PUR,https://tcgplayer-cdn.tcgplayer.com/product/550875_200w.jpg,2,23416,https://cpt.tcgcsv.com/wmq6,2024-05-24T04:03:27.467,1,FLIP: You can Special Summon 1 Level 3 or lower Beast monster from your Deck in face-down Defense Position.,,0.19,0.5,12.0,0.46,,1st Edition,RA02-EN004,Prismatic Ultimate Rare,EARTH,Beast,Flip/Effect Monster,1100,1800,,
550876,Super-Nimble Mega Hamster (PCR),Super Nimble Mega Hamster PCR,https://tcgplayer-cdn.tcgplayer.com/product/550876_200w.jpg,2,23416,https://cpt.tcgcsv.com/xmq6,2024-05-29T12:56:23.813,1,FLIP: You can Special Summon 1 Level 3 or lower Beast monster from your Deck in face-down Defense Position.,,0.18,0.62,6.49,0.44,,1st Edition,RA02-EN004,Prismatic Collector's Rare,EARTH,Beast,Flip/Effect Monster,1100,1800,,
