productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extMonsterType,extAttack,extDefense,extLinkRating,extLinkArrows
501747,25th Anniversary Rarity Collection Booster Pack,25th Anniversary Rarity Collection Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/501747_200w.jpg,2,23233,https://cpt.tcgcsv.com/ZJ06,2023-11-03T04:03:16.88,1,"Each booster pack contains 5 random cards:
<br>• 2 Super Rares
<br>• 1 Secret Rare (with a 1-in-4 chance of being upgraded to a Platinum Secret Rare or Quarter Century Secret Rare)
<br>• 2 Ultra Rares (each of which has an individual 1-in-6 chance of being upgraded to a new “Prismatic” style Collector’s Rare or new “Prismatic” style Ultimate Rare)",083717863274,5.6,6.95,16.42,6.42,,Normal,,,,,,,,,
501748,25th Anniversary Rarity Collection Booster Box,25th Anniversary Rarity Collection Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/501748_200w.jpg,2,23233,https://cpt.tcgcsv.com/-J06,2023-11-03T04:03:16.88,1,"The <em>25th Anniversary Rarity Collection</em> is a spectacular all-foil set with 79 of the game’s most popular cards, each available in 7 different rarities, including 2 brand-new rarities:
<br>• Super Rares
<br>• Ultra Rares
<br>• Secret Rares
<br>• Quarter Century Secret Rares <em>(celebrating the 25th anniversary!)</em>
<br>• Platinum Secret Rares <em>(last seen in the 2015 Mega-Tin!)</em>
<br>• New “Prismatic” style Collector’s Rares <em>(made with extra sparkle, this is the same as the Japanese “Collector’s Rare” technology previously available only in Asia!)</em>
<br>• New “Prismatic” style Ultimate Rare <em>(with a raised 3D varnish effect, this is the same as the Japanese “Ultimate Rare” technology previously available only in Asia!)</em>
<br>Watch as your cards sparkle, shine, and gleam in rarities so luxurious that you will be the envy of every Duelist!
<br>
<br>Each box contains 24 packs of 5 random cards.",083717863281,120.0,143.0,200.0,136.78,,Normal,,,,,,,,,
524423,Tri-Brigade Revolt,Tri Brigade Revolt,https://tcgplayer-cdn.tcgplayer.com/product/524423_200w.jpg,2,23233,https://cpt.tcgcsv.com/tNc6,2023-11-03T04:03:16.88,1,"Special Summon a number of your Beast, Beast-Warrior, and/or Winged Beast monsters, that are banished and/or in your GY, but negate their effects, then, immediately after this effect resolves, Link Summon 1 ""Tri-Brigade"" Link Monster using only those monsters. You can only activate 1 ""Tri-Brigade Revolt"" per turn.",,0.01,0.2,4.99,0.11,0.03,1st Edition,RA01-EN079,Super Rare,TRAP,Normal Trap,,,,,
524424,Tri-Brigade Revolt (UR),Tri Brigade Revolt UR,https://tcgplayer-cdn.tcgplayer.com/product/524424_200w.jpg,2,23233,https://cpt.tcgcsv.com/vNc6,2023-11-30T21:52:56.103,1,"Special Summon a number of your Beast, Beast-Warrior, and/or Winged Beast monsters, that are banished and/or in your GY, but negate their effects, then, immediately after this effect resolves, Link Summon 1 ""Tri-Brigade"" Link Monster using only those monsters. You can only activate 1 ""Tri-Brigade Revolt"" per turn.",,0.01,0.25,4.99,0.1,,1st Edition,RA01-EN079,Ultra Rare,TRAP,Normal Trap,,,,,
524426,Tri-Brigade Revolt (Secret Rare),Tri Brigade Revolt Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/524426_200w.jpg,2,23233,https://cpt.tcgcsv.com/xNc6,2023-11-09T21:08:30.923,1,"Special Summon a number of your Beast, Beast-Warrior, and/or Winged Beast monsters, that are banished and/or in your GY, but negate their effects, then, immediately after this effect resolves, Link Summon 1 ""Tri-Brigade"" Link Monster using only those monsters. You can only activate 1 ""Tri-Brigade Revolt"" per turn.",,0.04,0.25,4.99,0.19,0.15,1st Edition,RA01-EN079,Secret Rare,TRAP,Normal Trap,,,,,
524427,Tri-Brigade Revolt (Platinum Secret Rare),Tri Brigade Revolt Platinum Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/524427_200w.jpg,2,23233,https://cpt.tcgcsv.com/zNc6,2023-11-09T17:14:50.693,1,"Special Summon a number of your Beast, Beast-Warrior, and/or Winged Beast monsters, that are banished and/or in your GY, but negate their effects, then, immediately after this effect resolves, Link Summon 1 ""Tri-Brigade"" Link Monster using only those monsters. You can only activate 1 ""Tri-Brigade Revolt"" per turn.",,0.25,0.5,9.91,0.46,,1st Edition,RA01-EN079,Platinum Secret Rare,TRAP,Normal Trap,,,,,
524428,Tri-Brigade Revolt (Quarter Century Secret Rare),Tri Brigade Revolt Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/524428_200w.jpg,2,23233,https://cpt.tcgcsv.com/BNc6,2023-11-15T19:33:28.827,1,"Special Summon a number of your Beast, Beast-Warrior, and/or Winged Beast monsters, that are banished and/or in your GY, but negate their effects, then, immediately after this effect resolves, Link Summon 1 ""Tri-Brigade"" Link Monster using only those monsters. You can only activate 1 ""Tri-Brigade Revolt"" per turn.",,3.73,5.0,15.0,4.71,,1st Edition,RA01-EN079,Quarter Century Secret Rare,TRAP,Normal Trap,,,,,
524430,Tri-Brigade Revolt (PUR),Tri Brigade Revolt PUR,https://tcgplayer-cdn.tcgplayer.com/product/524430_200w.jpg,2,23233,https://cpt.tcgcsv.com/DNc6,2024-01-04T16:18:46.81,1,"Special Summon a number of your Beast, Beast-Warrior, and/or Winged Beast monsters, that are banished and/or in your GY, but negate their effects, then, immediately after this effect resolves, Link Summon 1 ""Tri-Brigade"" Link Monster using only those monsters. You can only activate 1 ""Tri-Brigade Revolt"" per turn.",,0.09,0.5,6.95,0.33,,1st Edition,RA01-EN079,Prismatic Ultimate Rare,TRAP,Normal Trap,,,,,
524431,Tri-Brigade Revolt (PCR),Tri Brigade Revolt PCR,https://tcgplayer-cdn.tcgplayer.com/product/524431_200w.jpg,2,23233,https://cpt.tcgcsv.com/FNc6,2023-11-14T21:03:04.82,1,"Special Summon a number of your Beast, Beast-Warrior, and/or Winged Beast monsters, that are banished and/or in your GY, but negate their effects, then, immediately after this effect resolves, Link Summon 1 ""Tri-Brigade"" Link Monster using only those monsters. You can only activate 1 ""Tri-Brigade Revolt"" per turn.",,0.1,0.49,9.99,0.36,,1st Edition,RA01-EN079,Prismatic Collector's Rare,TRAP,Normal Trap,,,,,
524435,Lightning Storm,Lightning Storm,https://tcgplayer-cdn.tcgplayer.com/product/524435_200w.jpg,2,23233,https://cpt.tcgcsv.com/KNc6,2023-11-03T04:03:16.88,1,"If you control no face-up cards: Activate 1 of these effects;
<br>
• Destroy all Attack Position monsters your opponent controls.
<br>
* Destroy all Spells and Traps your opponent controls.
<br>
You can only activate 1 ""Lightning Storm"" per turn.",,3.76,4.99,9.84,4.55,3.76,1st Edition,RA01-EN061,Super Rare,SPELL,Normal Spell,,,,,
