productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extLinkRating,extLinkArrows
514577,Libromancer Geek Boy,Libromancer Geek Boy,https://tcgplayer-cdn.tcgplayer.com/product/514577_200w.jpg,2,23291,https://cpt.tcgcsv.com/zR76,2023-09-08T04:03:14.45,1,MP23-EN001,Ultra Rare,WIND,Psychic,Effect Monster,800,800,"You can reveal 1 Ritual Monster in your hand: Special Summon this card from your hand. If this card is Special Summoned: You can add 1 ""Libromancer"" Spell from your Deck to your hand. You can only use each effect of ""Libromancer Geek Boy"" once per turn.",0.01,0.25,4.99,0.13,0.25,1st Edition,,
514579,Magikuriboh,Magikuriboh,https://tcgplayer-cdn.tcgplayer.com/product/514579_200w.jpg,2,23291,https://cpt.tcgcsv.com/CR76,2023-09-08T04:03:14.45,1,MP23-EN002,Prismatic Secret Rare,DARK,Fiend,Effect Monster,300,200,"During the Main or Battle Phase, if you took damage by battle or an opponent's card effect this turn (Quick Effect): You can send this card from your hand to the GY; Special Summon 1 ""Dark Magician"" or 1 ""Dark Magician Girl"" from your Deck or GY. If a face-up Spellcaster monster(s) you control is destroyed by battle or an opponent's card effect: You can add this card from the GY to your hand. You can only use each effect of ""Magikuriboh"" once per turn.",0.96,1.74,4.99,1.79,3.95,1st Edition,,
514581,Predaplant Triantis,Predaplant Triantis,https://tcgplayer-cdn.tcgplayer.com/product/514581_200w.jpg,2,23291,https://cpt.tcgcsv.com/FR76,2025-01-06T11:38:23.52,1,MP23-EN071,Common,DARK,Plant,Pendulum/Effect Monster,2400,1000,"<strong>Pendulum Effect</strong>
<br>While this card is in your Pendulum Zone, if you Fusion Summon a DARK Fusion Monster, you can also use cards in your Pendulum Zones as monsters on the field, as material for its Fusion Summon.
<br><strong>Monster Effect</strong>
<br>If this card is sent to the GY or added to your Extra Deck face-up because it was used as Fusion Material: You can choose monsters on the field, up to the number of monsters you control, and place 1 Predator Counter on each one, and if you do, any of those monsters that are Level 2 or higher become Level 1 as long as they have a Predator Counter.",0.01,0.11,1.49,0.07,0.03,1st Edition,,
514583,Illegal Knight,Illegal Knight,https://tcgplayer-cdn.tcgplayer.com/product/514583_200w.jpg,2,23291,https://cpt.tcgcsv.com/HR76,2024-07-26T14:45:54.82,1,MP23-EN072,Ultra Rare,DARK,Fiend,Effect Monster,2000,2000,"During the Main Phase, if you control no monsters, or control an ""Adventurer Token"" (Quick Effect): You can Special Summon this card from your hand. If you control an ""Adventurer Token"" (Quick Effect): You can target up to 2 cards your opponent controls; give control of this card to your opponent, and if you do, return that card(s) to the hand. You can only use each effect of ""Illegal Knight"" once per turn.",0.01,0.25,4.99,0.15,0.1,1st Edition,,
514585,Light Law Medium,Light Law Medium,https://tcgplayer-cdn.tcgplayer.com/product/514585_200w.jpg,2,23291,https://cpt.tcgcsv.com/KR76,2024-07-26T14:45:54.883,1,MP23-EN073,Common,LIGHT,Fairy,Effect Monster,400,300,"At the start of your opponent's Battle Phase: You can target any number of Attack Position monsters your opponent controls; this turn, while this card is in your Monster Zone, those monsters must attack this card, if able. Once per turn, when an attack is declared involving this card and an opponent's Attack Position monster: You can negate that attack, and if you do, inflict damage to your opponent equal to half that opponent's monster's original ATK.",0.01,0.1,1.49,0.05,,1st Edition,,
514586,Sunlit Sentinel,Sunlit Sentinel,https://tcgplayer-cdn.tcgplayer.com/product/514586_200w.jpg,2,23291,https://cpt.tcgcsv.com/LR76,2024-07-26T14:45:55.237,1,MP23-EN074,Rare,EARTH,Warrior,Effect Monster,2300,1500,"You can Set this card from your hand to your Spell & Trap Zone as a Spell. Once per turn, during the Standby Phase of the next turn after this Set card was destroyed and sent to the GY: You can Special Summon this card, then destroy all cards your opponent controls in this card's column.",0.01,0.15,1.23,0.08,0.04,1st Edition,,
514588,Amphibious Bugroth MK-11,Amphibious Bugroth MK 11,https://tcgplayer-cdn.tcgplayer.com/product/514588_200w.jpg,2,23291,https://cpt.tcgcsv.com/NR76,2024-07-26T14:45:55.3,1,MP23-EN075,Common,WATER,Machine,Effect Monster,1850,1500,"While ""Umi"" is not on the field, this card gains 700 ATK, also it cannot attack directly. If ""Umi"" is on the field: You can target 1 face-up non-WATER monster on the field; destroy it. You can only use this effect of ""Amphibious Bugroth MK-11"" once per turn.",0.01,0.1,1.49,0.06,0.01,1st Edition,,
514589,Supreme Sea Mare,Supreme Sea Mare,https://tcgplayer-cdn.tcgplayer.com/product/514589_200w.jpg,2,23291,https://cpt.tcgcsv.com/PR76,2025-08-14T14:53:35.833,1,MP23-EN076,Common,WATER,Aqua,Effect Monster,1500,1600,"If this card is Normal or Special Summoned: You can send 1 Aqua monster from your Deck to your GY, except ""Supreme Sea Mare"". During your End Phase: You can Tribute this card, then target 1 Aqua monster in your GY, except ""Supreme Sea Mare""; add it to your hand. You can only use each effect of ""Supreme Sea Mare"" once per turn.",0.01,0.1,1.49,0.08,0.05,1st Edition,,
514590,Reverse Jar,Reverse Jar,https://tcgplayer-cdn.tcgplayer.com/product/514590_200w.jpg,2,23291,https://cpt.tcgcsv.com/QR76,2024-07-26T14:45:55.58,1,MP23-EN077,Rare,EARTH,Rock,Flip/Effect Monster,800,900,"FLIP: Change as many other monsters on the field as possible to face-down Defense Position, then, return as many face-up Spells/Traps as possible from the field to the hand, then, each player can Set Spells/Traps from their hand, up to the number returned to their own hand by this effect. You can only use this effect of ""Reverse Jar"" once per turn.",0.01,0.15,1.55,0.11,0.05,1st Edition,,
514592,Yamatako Orochi,Yamatako Orochi,https://tcgplayer-cdn.tcgplayer.com/product/514592_200w.jpg,2,23291,https://cpt.tcgcsv.com/SR76,2024-07-26T14:45:55.867,1,MP23-EN078,Super Rare,WATER,Sea Serpent,Tuner/Effect Monster,0,800,"This card on the field can be treated as a Level 8 monster when used for a Synchro Summon. A Synchro Monster that used this card as material gains this effect, based on its original Level.
<br>• 8 or lower: This card gains 800 ATK/DEF.
<br>• 9 or higher: If this card attacks a Defense Position monster, inflict piercing battle damage.",0.01,0.2,1.53,0.07,0.05,1st Edition,,
