productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription
32127,Gogiga Gagagigo,Gogiga Gagagigo,https://tcgplayer-cdn.tcgplayer.com/product/32127_200w.jpg,2,140,https://cpt.tcgcsv.com/zSg,2024-03-28T15:36:47.647,1,5DS2-EN001,Common,WATER,Reptile,Normal Monster,2950,2800,1.11,1.21,1.25,,,Unlimited,
32127,Gogiga Gagagigo,Gogiga Gagagigo,https://tcgplayer-cdn.tcgplayer.com/product/32127_200w.jpg,2,140,https://cpt.tcgcsv.com/zSg,2024-03-28T15:36:47.647,1,5DS2-EN001,Common,WATER,Reptile,Normal Monster,2950,2800,0.5,1.23,2.99,1.31,,1st Edition,
32128,Sabersaurus,Sabersaurus,https://tcgplayer-cdn.tcgplayer.com/product/32128_200w.jpg,2,140,https://cpt.tcgcsv.com/BSg,2024-03-28T15:36:47.693,1,5DS2-EN002,Common,EARTH,Dinosaur,Normal Monster,1900,500,0.1,0.55,0.99,,,Unlimited,
32128,Sabersaurus,Sabersaurus,https://tcgplayer-cdn.tcgplayer.com/product/32128_200w.jpg,2,140,https://cpt.tcgcsv.com/BSg,2024-03-28T15:36:47.693,1,5DS2-EN002,Common,EARTH,Dinosaur,Normal Monster,1900,500,0.1,0.25,1.49,0.19,,1st Edition,
32129,Cyber-Tech Alligator,Cyber Tech Alligator,https://tcgplayer-cdn.tcgplayer.com/product/32129_200w.jpg,2,140,https://cpt.tcgcsv.com/CSg,2024-03-28T15:36:47.723,1,5DS2-EN003,Common,WIND,Machine,Normal Monster,2500,1600,0.15,1.99,3.82,3.82,,Unlimited,
32129,Cyber-Tech Alligator,Cyber Tech Alligator,https://tcgplayer-cdn.tcgplayer.com/product/32129_200w.jpg,2,140,https://cpt.tcgcsv.com/CSg,2024-03-28T15:36:47.723,1,5DS2-EN003,Common,WIND,Machine,Normal Monster,2500,1600,0.2,0.79,2.1,0.83,,1st Edition,
32130,X-Saber Anu Piranha,X Saber Anu Piranha,https://tcgplayer-cdn.tcgplayer.com/product/32130_200w.jpg,2,140,https://cpt.tcgcsv.com/DSg,2024-03-28T15:36:47.753,1,5DS2-EN004,Common,EARTH,Warrior,Normal Monster,1800,1100,0.48,4.07,7.66,0.5,,Unlimited,
32130,X-Saber Anu Piranha,X Saber Anu Piranha,https://tcgplayer-cdn.tcgplayer.com/product/32130_200w.jpg,2,140,https://cpt.tcgcsv.com/DSg,2024-03-28T15:36:47.753,1,5DS2-EN004,Common,EARTH,Warrior,Normal Monster,1800,1100,0.34,0.74,1.98,0.93,,1st Edition,
32131,The Dragon Dwelling in the Cave,The Dragon Dwelling in the Cave,https://tcgplayer-cdn.tcgplayer.com/product/32131_200w.jpg,2,140,https://cpt.tcgcsv.com/FSg,2024-03-28T15:36:47.8,1,5DS2-EN005,Common,WIND,Dragon,Normal Monster,1300,2000,0.1,0.25,0.98,,,Unlimited,
32131,The Dragon Dwelling in the Cave,The Dragon Dwelling in the Cave,https://tcgplayer-cdn.tcgplayer.com/product/32131_200w.jpg,2,140,https://cpt.tcgcsv.com/FSg,2024-03-28T15:36:47.8,1,5DS2-EN005,Common,WIND,Dragon,Normal Monster,1300,2000,0.05,0.31,1.49,0.37,,1st Edition,
32132,Road Synchron,Road Synchron,https://tcgplayer-cdn.tcgplayer.com/product/32132_200w.jpg,2,140,https://cpt.tcgcsv.com/GSg,2024-03-28T15:36:47.863,1,5DS2-EN006,Super Rare,LIGHT,Machine,Tuner/Effect Monster,1600,800,0.24,0.67,1.84,0.24,,Unlimited,"If this card is used for the Synchro Summon of a monster other than Road Warrior, its Level is decreased by 2. If this card attacks, at the end of the Damage Step, increase its Level by 1 until the End Phase."
32132,Road Synchron,Road Synchron,https://tcgplayer-cdn.tcgplayer.com/product/32132_200w.jpg,2,140,https://cpt.tcgcsv.com/GSg,2024-03-28T15:36:47.863,1,5DS2-EN006,Super Rare,LIGHT,Machine,Tuner/Effect Monster,1600,800,0.09,0.43,2.41,0.35,,1st Edition,"If this card is used for the Synchro Summon of a monster other than Road Warrior, its Level is decreased by 2. If this card attacks, at the end of the Damage Step, increase its Level by 1 until the End Phase."
32133,Powered Tuner,Powered Tuner,https://tcgplayer-cdn.tcgplayer.com/product/32133_200w.jpg,2,140,https://cpt.tcgcsv.com/HSg,2024-03-28T15:36:47.92,1,5DS2-EN007,Common,WATER,Dragon,Effect Monster,1400,1000,0.2,0.35,0.5,0.1,,Unlimited,This card gains 500 ATK for each face-up Tuner monster on the field.
32133,Powered Tuner,Powered Tuner,https://tcgplayer-cdn.tcgplayer.com/product/32133_200w.jpg,2,140,https://cpt.tcgcsv.com/HSg,2024-03-28T15:36:47.92,1,5DS2-EN007,Common,WATER,Dragon,Effect Monster,1400,1000,0.09,0.24,1.98,0.19,,1st Edition,This card gains 500 ATK for each face-up Tuner monster on the field.
32134,Goblin Attack Force,Goblin Attack Force,https://tcgplayer-cdn.tcgplayer.com/product/32134_200w.jpg,2,140,https://cpt.tcgcsv.com/JSg,2024-03-28T15:36:47.977,1,5DS2-EN008,Common,EARTH,Warrior,Effect Monster,2300,0,0.3,1.01,1.04,,,Unlimited,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of the next turn, except with a card effect."
32134,Goblin Attack Force,Goblin Attack Force,https://tcgplayer-cdn.tcgplayer.com/product/32134_200w.jpg,2,140,https://cpt.tcgcsv.com/JSg,2024-03-28T15:36:47.977,1,5DS2-EN008,Common,EARTH,Warrior,Effect Monster,2300,0,0.18,0.25,1.52,0.18,,1st Edition,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of the next turn, except with a card effect."
32135,Penguin Soldier,Penguin Soldier,https://tcgplayer-cdn.tcgplayer.com/product/32135_200w.jpg,2,140,https://cpt.tcgcsv.com/KSg,2024-03-28T15:36:48.063,1,5DS2-EN009,Common,WATER,Aqua,Flip/Effect Monster,750,500,0.01,0.18,0.35,0.1,,Unlimited,FLIP: You can return up to 2 Monster Cards from the field to the owner's hand.
32135,Penguin Soldier,Penguin Soldier,https://tcgplayer-cdn.tcgplayer.com/product/32135_200w.jpg,2,140,https://cpt.tcgcsv.com/KSg,2024-03-28T15:36:48.063,1,5DS2-EN009,Common,WATER,Aqua,Flip/Effect Monster,750,500,0.1,0.49,1.98,0.26,,1st Edition,FLIP: You can return up to 2 Monster Cards from the field to the owner's hand.
32136,Sasuke Samurai,Sasuke Samurai,https://tcgplayer-cdn.tcgplayer.com/product/32136_200w.jpg,2,140,https://cpt.tcgcsv.com/LSg,2024-03-28T15:36:48.143,1,5DS2-EN010,Common,WIND,Warrior,Effect Monster,500,800,21.16,21.16,21.16,,,Unlimited,"If this monster attacks a face-down Defense Position monster, destroy the face-down monster immediately with this card's effect without flipping it face-up or damage calculation."
32136,Sasuke Samurai,Sasuke Samurai,https://tcgplayer-cdn.tcgplayer.com/product/32136_200w.jpg,2,140,https://cpt.tcgcsv.com/LSg,2024-03-28T15:36:48.143,1,5DS2-EN010,Common,WIND,Warrior,Effect Monster,500,800,0.11,0.25,1.14,0.17,,1st Edition,"If this monster attacks a face-down Defense Position monster, destroy the face-down monster immediately with this card's effect without flipping it face-up or damage calculation."
32137,Des Koala,Des Koala,https://tcgplayer-cdn.tcgplayer.com/product/32137_200w.jpg,2,140,https://cpt.tcgcsv.com/MSg,2024-03-28T15:36:48.173,1,5DS2-EN011,Common,DARK,Beast,Flip/Effect Monster,1100,1800,0.69,1.69,2.7,0.65,,Unlimited,FLIP: Inflict 400 points of damage to your opponent's Life Points for each card in your opponent's hand.
32137,Des Koala,Des Koala,https://tcgplayer-cdn.tcgplayer.com/product/32137_200w.jpg,2,140,https://cpt.tcgcsv.com/MSg,2024-03-28T15:36:48.173,1,5DS2-EN011,Common,DARK,Beast,Flip/Effect Monster,1100,1800,0.23,0.74,2.68,0.74,,1st Edition,FLIP: Inflict 400 points of damage to your opponent's Life Points for each card in your opponent's hand.
