productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extAttack,extDefense
201054,Polymerization,Polymerization,https://tcgplayer-cdn.tcgplayer.com/product/201054_200w.jpg,2,2558,https://cpt.tcgcsv.com/6rD2,2020-07-09T13:46:20.397,1,DEM4-EN001,Common,SPELL,Normal Spell,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material.",0.41,0.75,4.48,0.56,,Unlimited,,,
201055,Galaxy Serpent,Galaxy Serpent,https://tcgplayer-cdn.tcgplayer.com/product/201055_200w.jpg,2,2558,https://cpt.tcgcsv.com/7rD2,2020-07-09T13:46:01.823,1,DEM4-EN002,Common,LIGHT,Tuner/Normal Monster,"<em>Your hopes and dreams will be refreshed if you catch a glimpse of this rare creature in the evening twilight, soaring in the Sea of Stars.</em>",0.23,0.8,2.67,0.9,,Unlimited,Dragon,1000,0
201059,Flash Knight,Flash Knight,https://tcgplayer-cdn.tcgplayer.com/product/201059_200w.jpg,2,2558,https://cpt.tcgcsv.com/crD2,2020-07-09T13:45:49.73,1,DEM4-EN003,Common,LIGHT,Pendulum/Normal Monster,<em>The power of the pendulum flashes forth from this shining knight.</em>,0.1,0.47,1.99,0.39,,Unlimited,Warior,1800,600
201060,Lancephorhynchus,Lancephorhynchus,https://tcgplayer-cdn.tcgplayer.com/product/201060_200w.jpg,2,2558,https://cpt.tcgcsv.com/drD2,2020-07-09T13:46:11.29,1,DEM4-EN004,Common,WIND,Pendulum/Normal Monster,"<strong>Pendulum Effect</strong>
<br>If a Normal Monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent.
<br><strong>Monster Effect</strong>
<br><em>This primordial species survived extinction by evolving an offensive lance than can pierce anything, although its diet still consists mainly of fish.</em>",0.35,0.62,6.35,0.59,,Unlimited,Dinosaur,2500,800
201061,Mandragon,Mandragon,https://tcgplayer-cdn.tcgplayer.com/product/201061_200w.jpg,2,2558,https://cpt.tcgcsv.com/frD2,2020-07-09T13:46:17.563,1,DEM4-EN005,Common,EARTH,Pendulum Monster,"<strong>Monster Effect</strong>
<br><em>This mandragora harbors the soul of a sorrowful dragon. The cursed tones of its wailing cause both fear and despair.</em>",0.1,0.46,9.99,0.1,,Unlimited,Plant,2500,1000
201062,Foucault's Cannon,Foucaults Cannon,https://tcgplayer-cdn.tcgplayer.com/product/201062_200w.jpg,2,2558,https://cpt.tcgcsv.com/grD2,2020-07-09T13:45:52.99,1,DEM4-EN006,Common,DARK,Pendulum Monster,"<strong>Pendulum Effect</strong>
<br>Once per turn, during the End Phase, if this card was activated this turn: You can target 1 face-up Spell/Trap Card on the field; destroy it.
<br><strong>Monster Effect</strong>
<br><em>A mechanized life form, roving through space-time. But the mysterious thing is that its memory i... m...stly gone. W...at is t...e reason? D..... refuse t... b.... interfered w...h?</em>",0.1,0.29,2.97,0.11,,Unlimited,Spellcaster,2200,1200
201063,First of the Dragons,First of the Dragons,https://tcgplayer-cdn.tcgplayer.com/product/201063_200w.jpg,2,2558,https://cpt.tcgcsv.com/hrD2,2020-07-09T13:45:42.867,1,DEM4-EN007,Common,DARK,Fusion/Effect Monster,"2 Normal Monsters
<br>Must be Fusion Summoned and cannot be Special Summoned by other ways. You can only control 1 ""First of the Dragons"". This card cannot be destroyed by battle, except by battle with a Normal Monster, and is unaffected by other monsters' effects.",0.26,0.89,2.8,0.65,,Unlimited,Dragon,2700,2000
201064,"Gaia Knight, the Force of Earth",Gaia Knight the Force of Earth,https://tcgplayer-cdn.tcgplayer.com/product/201064_200w.jpg,2,2558,https://cpt.tcgcsv.com/jrD2,2020-07-09T13:45:58.007,1,DEM4-EN008,Common,EARTH,Synchro Monster,1 Tuner + 1 or more non-Tuner monsters,0.74,1.26,3.47,1.2,,Unlimited,Warrior,2600,800
201065,Gem-Knight Pearl,Gem Knight Pearl,https://tcgplayer-cdn.tcgplayer.com/product/201065_200w.jpg,2,2558,https://cpt.tcgcsv.com/krD2,2020-07-09T13:46:08.17,1,DEM4-EN009,Common,EARTH,Xyz Monster,2 Level 4 monsters,0.24,0.36,2.25,0.3,,Unlimited,Rock,2600,1900
201066,Link Spider,Link Spider,https://tcgplayer-cdn.tcgplayer.com/product/201066_200w.jpg,2,2558,https://cpt.tcgcsv.com/lrD2,2020-07-09T13:46:14.853,1,DEM4-EN010,Common,EARTH,Link/Effect Monster,"1 Normal Monster
<br>Once per turn: You can Special Summon 1 Level 4 or lower Normal Monster from your hand to your zone this card points to.",3.0,5.23,8.8,3.07,,Unlimited,Cyberse,1000,
