productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
496776,"Number 92: Heart-eartH Dragon (German) - ""Nummer 92: Heart-eartH-Drache""",Number 92 Heart eartH Dragon German Nummer 92 Heart eartH Drache,https://tcgplayer-cdn.tcgplayer.com/product/496776_200w.jpg,2,23186,https://cpt.tcgcsv.com/xK-5,2023-05-11T18:58:56.643,1,AC14-DE001,Super Rare,DARK,Dragon,Xyz/Effect Monster,0,0,"3 Level 9 monsters
<br>This card cannot be destroyed by battle, also your opponent takes any battle damage you would have taken from battles involving this card. During your opponent's End Phase: You can detach 1 Xyz Material from this card; banish all cards your opponent currently controls that were Normal or Special Summoned, or were Set, this turn. If this card is destroyed while it has Xyz Material: You can Special Summon this card from the Graveyard. When you do: It gains 1000 ATK for every card currently banished.",6.66,6.66,6.66,6.66,,Limited
496778,"Number 53: Heart-eartH (German) - ""Nummer 53: Heart-eartH""",Number 53 Heart eartH German Nummer 53 Heart eartH,https://tcgplayer-cdn.tcgplayer.com/product/496778_200w.jpg,2,23186,https://cpt.tcgcsv.com/BK-5,2023-05-11T19:01:47.137,1,AC14-DE002,Super Rare,DARK,Fiend,Xyz/Effect Monster,100,100,"3 Level 5 monsters 
<br>Once per turn, when this card is targeted for an attack: This card gains ATK equal to the original ATK of the attacking monster until the End Phase. If this face-up card on the field would be destroyed, you can detach 1 Xyz Material from this card instead. When this card on the field is destroyed by a card effect while it has no Xyz Materials: You can Special Summon 1 ""Number 92: Heart-eartH Dragon"" from your Extra Deck and attach this card from the Graveyard to it as an Xyz Material.",4.16,4.79,5.0,5.0,,Limited
496780,"Number 15: Gimmick Puppet Giant Grinder (German) - ""Nummer 15: Gimmick-Marionette Riesenfleischwolf""",Number 15 Gimmick Puppet Giant Grinder German Nummer 15 Gimmick Marionette Riesenfleischwolf,https://tcgplayer-cdn.tcgplayer.com/product/496780_200w.jpg,2,23186,https://cpt.tcgcsv.com/DK-5,2023-05-11T19:04:12.363,1,AC14-DE003,Super Rare,DARK,Machine,Xyz/Effect Monster,1500,2500,"2 Level 8 monsters
<br>Up to twice per turn, during your Main Phase 1: You can detach 1 Xyz Material from this card, then target 1 Special Summoned monster your opponent controls; destroy it, then if it was an Xyz Monster, inflict damage to your opponent equal to its original ATK.",,,,,,
496781,"Mechquipped Angineer (German) - ""Mechbestückter Engenieur""",Mechquipped Angineer German Mechbestuckter Engenieur,https://tcgplayer-cdn.tcgplayer.com/product/496781_200w.jpg,2,23186,https://cpt.tcgcsv.com/FK-5,2023-05-11T19:08:50.597,1,AC14-DE004,Super Rare,LIGHT,Fairy,Xyz/Effect Monster,1800,1000,"2 Level 3 monsters
<br>Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up Attack Position monster you control; change it to face-up Defense Position, and if you do, it cannot be destroyed by battle or by card effects this turn.",4.99,5.37,5.75,5.0,,Limited
496782,"Starliege Lord Galaxion (German) - ""Sternenlehnsherr Galaxion""",Starliege Lord Galaxion German Sternenlehnsherr Galaxion,https://tcgplayer-cdn.tcgplayer.com/product/496782_200w.jpg,2,23186,https://cpt.tcgcsv.com/GK-5,2023-05-11T19:10:52.413,1,AC14-DE005,Super Rare,LIGHT,Warrior,Xyz/Effect Monster,2000,2100,"2 level 4 ""Photon"" monsters 
<br>Once per turn: You can detach 1 or 2 Xyz Materials from this card; apply this effect, depending on the number you detached.
<br><b>-</b> 1: Special Summon 1 ""Galaxy-Eyes Photon Dragon"" from your hand. 
<br><b>-</b> 2: Special Summon 1 ""Galaxy-Eyes Photon Dragon"" from your Deck.",2.7,3.05,3.39,3.0,,Limited
496783,"Norito the Moral Leader (German) - ""Norito der moralische Führer""",Norito the Moral Leader German Norito der moralische Fuhrer,https://tcgplayer-cdn.tcgplayer.com/product/496783_200w.jpg,2,23186,https://cpt.tcgcsv.com/HK-5,2023-05-11T19:13:07.727,1,AC14-DE006,Super Rare,LIGHT,Spellcaster,Xyz/Effect Monster,2700,2000,"2 Level 6 Spellcaster-Type monsters
<Br>Once per turn, during either player's turn, when your opponent activates a Spell/Trap Card: You can detach 1 Xyz Material from this card; negate the activation, and if you do, destroy it.",2.39,2.47,5.0,,,Limited
496786,"Comics Hero King Arthur (German) - ""Comic-Held König Artus""",Comics Hero King Arthur German Comic Held Konig Artus,https://tcgplayer-cdn.tcgplayer.com/product/496786_200w.jpg,2,23186,https://cpt.tcgcsv.com/LK-5,2023-05-11T19:15:24.883,1,AC14-DE007,Super Rare,EARTH,Warrior,Xyz/Effect Monster,2400,1200,"2 Level 4 Warrior-Type monsters
<br>If this card would be destroyed by battle, you can detach 1 Xyz Material from this card instead. When you do: It gains 500 ATK, and if it does, inflict 500 damage to your opponent.",1.99,1.99,1.99,,,Limited
496789,"Number 10: Illumiknight (German) - ""Nummer 10: Illumiritter""",Number 10 Illumiknight German Nummer 10 Illumiritter,https://tcgplayer-cdn.tcgplayer.com/product/496789_200w.jpg,2,23186,https://cpt.tcgcsv.com/PK-5,2023-05-11T19:17:35.063,1,AC14-DE008,Super Rare,LIGHT,Warrior,Xyz/Effect Monster,2400,2400,"3 Level 4 monsters 
<br>Once per turn: You can detach 1 Xyz Material from this card; send 1 card from your hand to the Graveyard and draw 1 card.",2.99,4.49,5.0,5.0,,Limited
496795,"Number 8: Heraldic King Genom-Heritage (German) - ""Nummer 8: Wappenkönig Genom-Erbe""",Number 8 Heraldic King Genom Heritage German Nummer 8 Wappenkonig Genom Erbe,https://tcgplayer-cdn.tcgplayer.com/product/496795_200w.jpg,2,23186,https://cpt.tcgcsv.com/WK-5,2023-05-11T19:22:00.743,1,AC14-DE009,Super Rare,LIGHT,Psychic,Xyz/Effect Monster,2400,1800,"2 Level 4 ""Heraldic Beast"" monsters
<br>Once per turn: You can target 1 face-up Xyz Monster your opponent controls; this card's name and original ATK become that monster's name and current ATK, and this card's effect becomes that monster original effect, then that monster's ATK becomes 0 and its effects are negated. These changes last until the End Phase.",3.95,4.9,6.94,7.2,,Limited
496799,"Number 39: Utopia (German) - ""Nummer 39: Utopia""",Number 39 Utopia German Nummer 39 Utopia,https://tcgplayer-cdn.tcgplayer.com/product/496799_200w.jpg,2,23186,https://cpt.tcgcsv.com/_K-5,2023-05-11T19:25:33.283,1,AC14-DE010,Super Rare,LIGHT,Warrior,Xyz/Effect Monster,2500,2000,"2 Level 4 monsters
<br>When any player's monster declares an attack: You can detach 1 Xyz Material from this card; negate the attack. When this card is targeted for an attack, while it has no Xyz Materials: Destroy this card.",4.75,4.75,4.75,5.1,,Limited
