productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
614142,Alliance Insight Booster Box [1st Edition],Alliance Insight Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/614142_200w.jpg,2,23995,https://cpt.tcgcsv.com/SGW6,2025-05-02T04:10:16.393,1,"Each booster box contains 24 packs of 9 random cards per pack.
<br>
Alliance Insight will be arriving with a bang in Spring 2025! As we Link into the VRAINS once more, this 101-card core booster set will be, along with Quarter Century Stampede the month prior, the LAST appearances of the popular Quarter Century Secret Rare card rarity, before it’s gone forever! This is the LAST call!
<br>Alliance Insight is jam-packed with exciting cards Duelists won’t want to miss! From new “@Ignister” cards, including a powerful new Link Monster, to new cards for the age-old Skull Servant Deck, to the first new “Dragon Ruler” monsters in years!
<br>You can expect all this and so much more yet to be revealed in Alliance Insight! Make sure to check back soon for more information.
<br>Alliance Insight contains:
<br>10 Secret Rares
<br>14 Ultra Rares
<br>26 Super Rares
<br>50 Commons
<br>(24 of these cards are also available as Quarter Century Secret Rare and 1 special card is ONLY available as a Quarter Century Secret Rare!)",083717867647,29.5,45.64,131.94,31.23,,Normal,,,,,,,,,
614143,Alliance Insight Booster Pack [1st Edition],Alliance Insight Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/614143_200w.jpg,2,23995,https://cpt.tcgcsv.com/TGW6,2025-05-02T04:10:16.393,1,"Each booster box contains 24 packs of 9 random cards per pack.
<br>
Alliance Insight will be arriving with a bang in Spring 2025! As we Link into the VRAINS once more, this 101-card core booster set will be, along with Quarter Century Stampede the month prior, the LAST appearances of the popular Quarter Century Secret Rare card rarity, before it’s gone forever! This is the LAST call!
<br>Alliance Insight is jam-packed with exciting cards Duelists won’t want to miss! From new “@Ignister” cards, including a powerful new Link Monster, to new cards for the age-old Skull Servant Deck, to the first new “Dragon Ruler” monsters in years!
<br>You can expect all this and so much more yet to be revealed in Alliance Insight! Make sure to check back soon for more information.
<br>Alliance Insight contains:
<br>10 Secret Rares
<br>14 Ultra Rares
<br>26 Super Rares
<br>50 Commons
<br>(24 of these cards are also available as Quarter Century Secret Rare and 1 special card is ONLY available as a Quarter Century Secret Rare!)",083717867630,1.43,3.74,6.99,1.48,,Normal,,,,,,,,,
629368,Dragon Master Lords,Dragon Master Lords,https://tcgplayer-cdn.tcgplayer.com/product/629368_200w.jpg,2,23995,https://cpt.tcgcsv.com/nM27,2025-08-07T12:40:32.73,1,"2 Level 12 monsters<br>While this Xyz Summoned card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects. While you have 25 or more cards in your GY, if this card attacks a Defense Position monster, inflict double piercing battle damage to your opponent. Once per turn, if your opponent has 25 or more cards in their GY: You can detach 1 material from this card; Special Summon 1 monster from your Deck, Extra Deck, or GY.",,80.0,95.55,375.0,90.79,,1st Edition,ALIN-EN000,Quarter Century Secret Rare,DARK,Dragon,Xyz/Effect Monster,5000,5000,,
629369,Wizard @Ignister,Wizard Ignister,https://tcgplayer-cdn.tcgplayer.com/product/629369_200w.jpg,2,23995,https://cpt.tcgcsv.com/pM27,2025-08-07T12:40:32.777,1,"If you control a Cyberse monster that was Special Summoned from the Extra Deck: You can target 1 DARK Cyberse monster in your GY; Special Summon both this card in your hand and that monster, in Defense Position, also you cannot Special Summon for the rest of this turn, except Cyberse monsters. You can banish this card from your field or GY, then target 1 monster your opponent controls; change its battle position. You can only use each effect of ""Wizard @Ignister"" once per turn.",,0.01,0.25,4.99,0.12,0.11,1st Edition,ALIN-EN001,Super Rare,DARK,Cyberse,Effect Monster,1800,800,,
629370,Backup @Ignister,Backup Ignister,https://tcgplayer-cdn.tcgplayer.com/product/629370_200w.jpg,2,23995,https://cpt.tcgcsv.com/qM27,2025-08-07T12:40:32.84,1,"If you control a Cyberse monster that was Special Summoned from the Extra Deck: You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can add 1 DARK Cyberse monster from your Deck to your hand, except ""Backup @Ignister"", then discard 1 card. You can only use each effect of ""Backup @Ignister"" once per turn.",,3.0,5.19,39.99,4.83,,1st Edition,ALIN-EN002,Ultra Rare,DARK,Cyberse,Tuner/Effect Monster,1200,800,,
629371,Backup @Ignister (Quarter Century Secret Rare),Backup Ignister Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/629371_200w.jpg,2,23995,https://cpt.tcgcsv.com/rM27,2025-08-07T12:40:32.887,1,"If you control a Cyberse monster that was Special Summoned from the Extra Deck: You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can add 1 DARK Cyberse monster from your Deck to your hand, except ""Backup @Ignister"", then discard 1 card. You can only use each effect of ""Backup @Ignister"" once per turn.",,20.0,29.5,149.99,23.69,24.5,1st Edition,ALIN-EN002,Quarter Century Secret Rare,DARK,Cyberse,Tuner/Effect Monster,1200,800,,
629372,Kurikurinku @Ignister,Kurikurinku Ignister,https://tcgplayer-cdn.tcgplayer.com/product/629372_200w.jpg,2,23995,https://cpt.tcgcsv.com/sM27,2025-08-07T12:40:33.03,1,"If this card is in your hand or GY (Quick Effect): You can Tribute 1 ""@Ignister"" monster; Special Summon this card, but banish it when it leaves the field. When a card or effect is activated that targets a Cyberse monster(s) you control, and you control a Cyberse monster that was Special Summoned from the Extra Deck (Quick Effect): You can Tribute this card; negate that effect. You can only use each effect of ""Kurikurinku @Ignister"" once per turn.",,0.01,0.13,4.99,0.1,0.01,1st Edition,ALIN-EN003,Common,DARK,Cyberse,Effect Monster,300,200,,
629373,Dark Magician Girl the Magician's Apprentice,Dark Magician Girl the Magicians Apprentice,https://tcgplayer-cdn.tcgplayer.com/product/629373_200w.jpg,2,23995,https://cpt.tcgcsv.com/tM27,2025-08-07T12:40:33.09,1,"You can Special Summon this card (from your hand) by discarding 1 card, and if you do, this card's name becomes ""Dark Magician Girl"". You can only Special Summon ""Dark Magician Girl the Magician's Apprentice"" once per turn this way. If this card is Normal or Special Summoned: You can add 1 ""Shining Sarcophagus"" from your Deck to your hand. You can only use this effect of ""Dark Magician Girl the Magician's Apprentice"" once per turn. Gains 300 ATK for each monster that mentions ""Shining Sarcophagus"" in the GYs.",,17.0,19.8,50.0,18.48,28.42,1st Edition,ALIN-EN004,Secret Rare,DARK,Spellcaster,Effect Monster,2000,1700,,
629374,Dark Magician Girl the Magician's Apprentice (Quarter Century Secret Rare),Dark Magician Girl the Magicians Apprentice Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/629374_200w.jpg,2,23995,https://cpt.tcgcsv.com/vM27,2025-08-07T12:40:33.133,1,"You can Special Summon this card (from your hand) by discarding 1 card, and if you do, this card's name becomes ""Dark Magician Girl"". You can only Special Summon ""Dark Magician Girl the Magician's Apprentice"" once per turn this way. If this card is Normal or Special Summoned: You can add 1 ""Shining Sarcophagus"" from your Deck to your hand. You can only use this effect of ""Dark Magician Girl the Magician's Apprentice"" once per turn. Gains 300 ATK for each monster that mentions ""Shining Sarcophagus"" in the GYs.",,115.0,132.07,325.0,132.07,124.99,1st Edition,ALIN-EN004,Quarter Century Secret Rare,DARK,Spellcaster,Effect Monster,2000,1700,,
629375,Evil HERO Vicious Claws,Evil HERO Vicious Claws,https://tcgplayer-cdn.tcgplayer.com/product/629375_200w.jpg,2,23995,https://cpt.tcgcsv.com/wM27,2025-08-07T12:40:33.197,1,"You can target 1 ""HERO"" monster on the field; Special Summon this card from your hand in Defense Position, and if you do, that monster gains 300 ATK. You can only use this effect of ""Evil HERO Vicious Claws"" once per turn. If a monster(s) you control is destroyed by battle or card effect, while this card is in your GY: You can Special Summon this card, then if you have a monster that mentions ""Dark Fusion"" in your GY, you can destroy 1 card on the field. You can only use this effect of ""Evil HERO Vicious Claws"" once per Duel.",,0.01,0.15,4.99,0.17,0.03,1st Edition,ALIN-EN005,Common,DARK,Fiend,Effect Monster,2500,2500,,
