productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
33123,XX-Saber Gardestrike,XX Saber Gardestrike,https://tcgplayer-cdn.tcgplayer.com/product/33123_200w.jpg,2,144,https://cpt.tcgcsv.com/tgh,2024-03-28T16:00:51.353,1,ANPR-EN000,Secret Rare,EARTH,Beast-Warrior,Effect Monster,2100,1400,"If you have 2 or more X-Saber monsters in your Graveyard and you control no monsters, you can Special Summon this card from your hand.",7.5,9.47,20.0,5.17,,Unlimited,
33123,XX-Saber Gardestrike,XX Saber Gardestrike,https://tcgplayer-cdn.tcgplayer.com/product/33123_200w.jpg,2,144,https://cpt.tcgcsv.com/tgh,2024-03-28T16:00:51.353,1,ANPR-EN000,Secret Rare,EARTH,Beast-Warrior,Effect Monster,2100,1400,"If you have 2 or more X-Saber monsters in your Graveyard and you control no monsters, you can Special Summon this card from your hand.",44.99,44.99,49.99,16.09,,1st Edition,
33124,Kuribon,Kuribon,https://tcgplayer-cdn.tcgplayer.com/product/33124_200w.jpg,2,144,https://cpt.tcgcsv.com/vgh,2024-03-28T16:00:51.453,1,ANPR-EN001,Rare,LIGHT,Fairy,Effect Monster,300,200,"When an opponent's monster attacks this card, during damage calculation, you can reduce all Battle Damage from that battle to 0, increase your opponent's Life Points by the attacking monster's ATK, and return this card to your hand.",0.58,0.87,1.98,0.97,,Unlimited,
33124,Kuribon,Kuribon,https://tcgplayer-cdn.tcgplayer.com/product/33124_200w.jpg,2,144,https://cpt.tcgcsv.com/vgh,2024-03-28T16:00:51.453,1,ANPR-EN001,Rare,LIGHT,Fairy,Effect Monster,300,200,"When an opponent's monster attacks this card, during damage calculation, you can reduce all Battle Damage from that battle to 0, increase your opponent's Life Points by the attacking monster's ATK, and return this card to your hand.",0.72,1.11,2.26,0.92,,1st Edition,
33125,Sunny Pixie,Sunny Pixie,https://tcgplayer-cdn.tcgplayer.com/product/33125_200w.jpg,2,144,https://cpt.tcgcsv.com/wgh,2024-03-28T16:00:51.533,1,ANPR-EN002,Common,LIGHT,Spellcaster,Tuner Monster,300,400,"If this card is sent to the Graveyard for the Synchro Summon of a LIGHT Synchro Monster, gain 1000 Life Points.",0.11,0.42,1.63,0.42,,Unlimited,
33125,Sunny Pixie,Sunny Pixie,https://tcgplayer-cdn.tcgplayer.com/product/33125_200w.jpg,2,144,https://cpt.tcgcsv.com/wgh,2024-03-28T16:00:51.533,1,ANPR-EN002,Common,LIGHT,Spellcaster,Tuner Monster,300,400,"If this card is sent to the Graveyard for the Synchro Summon of a LIGHT Synchro Monster, gain 1000 Life Points.",0.2,0.45,2.77,0.56,,1st Edition,
33126,Sunlight Unicorn,Sunlight Unicorn,https://tcgplayer-cdn.tcgplayer.com/product/33126_200w.jpg,2,144,https://cpt.tcgcsv.com/xgh,2024-03-28T16:00:51.62,1,ANPR-EN003,Common,LIGHT,Beast,Effect Monster,1800,1000,"Once per turn, you can reveal the top card of your Deck. If that card is an Equip Card, you can add it to your hand. If it is not an Equip Card, return it to the bottom of your Deck.",0.05,0.25,1.49,0.17,,Unlimited,
33126,Sunlight Unicorn,Sunlight Unicorn,https://tcgplayer-cdn.tcgplayer.com/product/33126_200w.jpg,2,144,https://cpt.tcgcsv.com/xgh,2024-03-28T16:00:51.62,1,ANPR-EN003,Common,LIGHT,Beast,Effect Monster,1800,1000,"Once per turn, you can reveal the top card of your Deck. If that card is an Equip Card, you can add it to your hand. If it is not an Equip Card, return it to the bottom of your Deck.",0.1,0.25,1.46,0.1,,1st Edition,
33127,Blackwing - Mistral the Silver Shield,Blackwing Mistral the Silver Shield,https://tcgplayer-cdn.tcgplayer.com/product/33127_200w.jpg,2,144,https://cpt.tcgcsv.com/zgh,2024-03-28T16:00:51.73,1,ANPR-EN004,Common,DARK,Winged Beast,Tuner Monster,100,1800,"If this card on the field is destroyed and sent to the Graveyard, during this turn, reduce the Battle Damage you would take from one attack to 0.",0.08,0.25,1.49,0.24,,Unlimited,
33127,Blackwing - Mistral the Silver Shield,Blackwing Mistral the Silver Shield,https://tcgplayer-cdn.tcgplayer.com/product/33127_200w.jpg,2,144,https://cpt.tcgcsv.com/zgh,2024-03-28T16:00:51.73,1,ANPR-EN004,Common,DARK,Winged Beast,Tuner Monster,100,1800,"If this card on the field is destroyed and sent to the Graveyard, during this turn, reduce the Battle Damage you would take from one attack to 0.",0.1,0.37,1.99,0.28,,1st Edition,
