productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
79456,Dandylion (UTR),Dandylion UTR,https://tcgplayer-cdn.tcgplayer.com/product/79456_200w.jpg,2,1309,https://cpt.tcgcsv.com/8PF,2024-03-28T16:03:40.21,1,AP04-EN001,Ultimate Rare,EARTH,Plant,Effect Monster,300,300,"When this card is sent to the Graveyard: Special Summon 2 ""Fluff Tokens"" (Plant-Type/WIND/Level 1/ATK 0/DEF 0) in Defense Position. These Tokens cannot be Tributed for a Tribute Summon during the turn they are Special Summoned.",160.01,199.99,248.0,153.86,,Unlimited
79457,"Maxx ""C"" (UTR)",Maxx C UTR,https://tcgplayer-cdn.tcgplayer.com/product/79457_200w.jpg,2,1309,https://cpt.tcgcsv.com/9PF,2024-03-28T16:03:40.257,1,AP04-EN002,Ultimate Rare,EARTH,Insect,Effect Monster,500,200,"You can activate this effect during either player's turn by sending this card from your hand to the Graveyard. This turn, each time your opponent Special Summon a monster(s), draw 1 card. You can only activate ""Maxx ""C"""" once per turn.",223.96,278.99,600.0,252.4,,Unlimited
79458,Necrovalley (UTR),Necrovalley UTR,https://tcgplayer-cdn.tcgplayer.com/product/79458_200w.jpg,2,1309,https://cpt.tcgcsv.com/bPF,2024-03-28T16:03:40.35,1,AP04-EN003,Ultimate Rare,SPELL,,Normal Spell,0,0,"All ""Gravekeeper's"" monsters gain 500 ATK and DEF. Cards in either player's Graveyard cannot be banished. Negate any card effect that would move a card in the Graveyard, other than itself, to a different place.",54.74,79.54,139.99,82.48,,Unlimited
79459,Blackwing - Gale the Whirlwind,Blackwing Gale the Whirlwind,https://tcgplayer-cdn.tcgplayer.com/product/79459_200w.jpg,2,1309,https://cpt.tcgcsv.com/cPF,2024-03-28T16:03:40.407,1,AP04-EN004,Super Rare,DARK,Winged Beast,Tuner Monster,1300,400,"If you control a Blackwing monster other than Blackwing - Gale the Whirlwind, you can Special Summon this card from your hand. Once per turn, you can halve the ATK and DEF of 1 face-up monster your opponent controls.",4.02,5.31,9.99,5.32,,Unlimited
79460,Blackwing - Kalut the Moon Shadow,Blackwing Kalut the Moon Shadow,https://tcgplayer-cdn.tcgplayer.com/product/79460_200w.jpg,2,1309,https://cpt.tcgcsv.com/dPF,2024-03-28T16:03:40.463,1,AP04-EN005,Super Rare,DARK,Winged Beast,Effect Monster,1400,100,"During either player's Damage Step, when a ""Blackwing"" monster you control is attacking or being attacked; you can send this card from you hand to the Graveyard; that monster gains 1400 ATK until the End Phase.",7.75,8.8,33.49,6.29,,Unlimited
79461,Consecrated Light,Consecrated Light,https://tcgplayer-cdn.tcgplayer.com/product/79461_200w.jpg,2,1309,https://cpt.tcgcsv.com/fPF,2024-03-28T16:03:40.51,1,AP04-EN006,Super Rare,LIGHT,Fairy,Effect Monster,0,0,"Neither player can Normal or Special Summon DARK monsters or declare an attack with a DARK monster. This card cannot be destroyed by battle with a DARK monster, and you take no Battle Damage from that battle.",12.0,19.94,29.99,14.68,,Unlimited
79462,Swift Scarecrow,Swift Scarecrow,https://tcgplayer-cdn.tcgplayer.com/product/79462_200w.jpg,2,1309,https://cpt.tcgcsv.com/gPF,2024-03-28T16:03:40.587,1,AP04-EN007,Super Rare,EARTH,Machine,Effect Monster,0,0,"When your opponent's monster declares a direct attack: You can discard this card; negate that attack, then end the Battle Phase (this is a Quick Effect).",2.31,3.54,27.98,3.4,,Unlimited
79463,Crimson Blader,Crimson Blader,https://tcgplayer-cdn.tcgplayer.com/product/79463_200w.jpg,2,1309,https://cpt.tcgcsv.com/hPF,2024-03-28T16:03:40.637,1,AP04-EN008,Super Rare,FIRE,Warrior,Synchro/Effect Monster,2800,2600,1 Tuner + 1 or more non-Tuner monsters // If this card destroys an opponent's monster by battle and sends it to the Graveyard: Your opponent cannot Normal or Special Summon Level 5 or higher monsters during their next turn.,0.5,2.16,15.0,1.59,,Unlimited
79464,Break! Draw!,Break Draw,https://tcgplayer-cdn.tcgplayer.com/product/79464_200w.jpg,2,1309,https://cpt.tcgcsv.com/jPF,2024-03-28T16:03:40.697,1,AP04-EN009,Super Rare,SPELL,,Normal Spell,,,"Equip only to a Machine-Type monster. When it destroys an opponent's monster by battle and sends it to the Graveyard, draw 1 card. Destroy this card during your 3rd End Phase after activation.",0.1,0.48,1.99,0.24,,Unlimited
79465,Spellbook of Eternity,Spellbook of Eternity,https://tcgplayer-cdn.tcgplayer.com/product/79465_200w.jpg,2,1309,https://cpt.tcgcsv.com/kPF,2024-03-28T16:03:40.73,1,AP04-EN011,Super Rare,SPELL,,Normal Spell,,,"Target 1 of your banished ""Spellbook"" Spell Cards except ""Spellbook of Eternity""; add that target to your hand. You can only activate 1 ""Spellbook of Eternity"" per turn.",3.21,9.99,20.0,4.7,,Unlimited
