productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
69199,Frostosaurus,Frostosaurus,https://tcgplayer-cdn.tcgplayer.com/product/69199_200w.jpg,2,1130,https://cpt.tcgcsv.com/_Hz,2024-03-28T16:05:44.49,1,BP02-EN003,Rare,WATER,Dinosaur,Normal Monster,2600,1700,"This monster's metabolism enables it to endure long periods of cold, harnessing the power to become a creature of solid ice! Nothing else can withstand such temperatures, especially victims of its glacial rampage.",0.2,0.72,1.0,1.0,,Unlimited,
69199,Frostosaurus,Frostosaurus,https://tcgplayer-cdn.tcgplayer.com/product/69199_200w.jpg,2,1130,https://cpt.tcgcsv.com/_Hz,2024-03-28T16:05:44.49,1,BP02-EN003,Rare,WATER,Dinosaur,Normal Monster,2600,1700,"This monster's metabolism enables it to endure long periods of cold, harnessing the power to become a creature of solid ice! Nothing else can withstand such temperatures, especially victims of its glacial rampage.",0.1,0.3,1.0,0.36,,1st Edition,
69200,Airknight Parshath,Airknight Parshath,https://tcgplayer-cdn.tcgplayer.com/product/69200_200w.jpg,2,1130,https://cpt.tcgcsv.com/0Jz,2024-03-28T16:05:44.63,1,BP02-EN016,Rare,LIGHT,Fairy,Effect Monster,1900,1400,"If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.",0.25,0.41,0.96,0.36,,Unlimited,
69200,Airknight Parshath,Airknight Parshath,https://tcgplayer-cdn.tcgplayer.com/product/69200_200w.jpg,2,1130,https://cpt.tcgcsv.com/0Jz,2024-03-28T16:05:44.63,1,BP02-EN016,Rare,LIGHT,Fairy,Effect Monster,1900,1400,"If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.",0.09,0.43,10.0,0.41,,1st Edition,
69201,Injection Fairy Lily,Injection Fairy Lily,https://tcgplayer-cdn.tcgplayer.com/product/69201_200w.jpg,2,1130,https://cpt.tcgcsv.com/2Jz,2024-03-28T16:05:44.787,1,BP02-EN018,Rare,EARTH,Spellcaster,Effect Monster,400,1500,"If this card attacks or is attacked, during damage calculation (in either player's turn): You can pay 2000 Life Points once per battle; this card gains 3000 ATK during that damage calculation only.",0.69,1.0,1.5,1.01,,Unlimited,
69201,Injection Fairy Lily,Injection Fairy Lily,https://tcgplayer-cdn.tcgplayer.com/product/69201_200w.jpg,2,1130,https://cpt.tcgcsv.com/2Jz,2024-03-28T16:05:44.787,1,BP02-EN018,Rare,EARTH,Spellcaster,Effect Monster,400,1500,"If this card attacks or is attacked, during damage calculation (in either player's turn): You can pay 2000 Life Points once per battle; this card gains 3000 ATK during that damage calculation only.",0.5,0.8,1.99,0.66,,1st Edition,
69202,Dark Magician of Chaos,Dark Magician of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/69202_200w.jpg,2,1130,https://cpt.tcgcsv.com/3Jz,2024-03-28T16:05:44.923,1,BP02-EN023,Rare,DARK,Spellcaster,Effect Monster,2800,2600,"When this card is Normal or Special Summoned: You can target 1 Spell Card in your Graveyard; add that target to your hand. Banish any monster destroyed by battle with this card. If this face-up card would leave the field, banish it instead.",0.64,1.74,20.0,1.22,,Unlimited,
69202,Dark Magician of Chaos,Dark Magician of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/69202_200w.jpg,2,1130,https://cpt.tcgcsv.com/3Jz,2024-03-28T16:05:44.923,1,BP02-EN023,Rare,DARK,Spellcaster,Effect Monster,2800,2600,"When this card is Normal or Special Summoned: You can target 1 Spell Card in your Graveyard; add that target to your hand. Banish any monster destroyed by battle with this card. If this face-up card would leave the field, banish it instead.",0.95,1.1,4.99,1.13,,1st Edition,
69203,Slate Warrior,Slate Warrior,https://tcgplayer-cdn.tcgplayer.com/product/69203_200w.jpg,2,1130,https://cpt.tcgcsv.com/5Jz,2024-03-28T16:05:45.04,1,BP02-EN027,Rare,WIND,Fiend,Effect Monster,1900,400,"FLIP: This card gains 500 ATK and DEF.
If this card is destroyed by battle: The monster that destroyed it loses 500 ATK and DEF.",0.2,0.72,1.15,0.2,,Unlimited,
69203,Slate Warrior,Slate Warrior,https://tcgplayer-cdn.tcgplayer.com/product/69203_200w.jpg,2,1130,https://cpt.tcgcsv.com/5Jz,2024-03-28T16:05:45.04,1,BP02-EN027,Rare,WIND,Fiend,Effect Monster,1900,400,"FLIP: This card gains 500 ATK and DEF.
If this card is destroyed by battle: The monster that destroyed it loses 500 ATK and DEF.",0.08,0.4,1.55,0.32,,1st Edition,
69204,Toon Gemini Elf,Toon Gemini Elf,https://tcgplayer-cdn.tcgplayer.com/product/69204_200w.jpg,2,1130,https://cpt.tcgcsv.com/6Jz,2024-03-28T16:05:45.18,1,BP02-EN033,Common,EARTH,Spellcaster,Toon Monster,1900,900,"This card cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon Monsters, this card can attack your opponent directly. When this card inflicts Battle Damage to your opponent: Discard 1 random card from your opponent's hand.",0.37,0.61,1.98,0.69,,Unlimited,
69204,Toon Gemini Elf,Toon Gemini Elf,https://tcgplayer-cdn.tcgplayer.com/product/69204_200w.jpg,2,1130,https://cpt.tcgcsv.com/6Jz,2024-03-28T16:05:45.18,1,BP02-EN033,Common,EARTH,Spellcaster,Toon Monster,1900,900,"This card cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon Monsters, this card can attack your opponent directly. When this card inflicts Battle Damage to your opponent: Discard 1 random card from your opponent's hand.",0.3,0.65,1.98,0.46,,1st Edition,
69205,Ancient Gear Golem,Ancient Gear Golem,https://tcgplayer-cdn.tcgplayer.com/product/69205_200w.jpg,2,1130,https://cpt.tcgcsv.com/7Jz,2024-03-28T16:05:45.253,1,BP02-EN035,Rare,EARTH,Machine,Effect Monster,3000,3000,"Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.",0.19,0.87,1.25,0.61,,Unlimited,
69205,Ancient Gear Golem,Ancient Gear Golem,https://tcgplayer-cdn.tcgplayer.com/product/69205_200w.jpg,2,1130,https://cpt.tcgcsv.com/7Jz,2024-03-28T16:05:45.253,1,BP02-EN035,Rare,EARTH,Machine,Effect Monster,3000,3000,"Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.",0.12,0.49,1.56,0.41,,1st Edition,
69206,Treeborn Frog,Treeborn Frog,https://tcgplayer-cdn.tcgplayer.com/product/69206_200w.jpg,2,1130,https://cpt.tcgcsv.com/8Jz,2024-03-28T16:05:45.283,1,BP02-EN043,Common,WATER,Aqua,Effect Monster,100,100,"During your Standby Phase, if this card is in your Graveyard and you do not control a face-up ""Treeborn Frog"": You can Special Summon this card. You must control no Spell/Trap Cards to activate and to resolve this effect.",1.99,2.3,2.4,2.23,,Unlimited,
69206,Treeborn Frog,Treeborn Frog,https://tcgplayer-cdn.tcgplayer.com/product/69206_200w.jpg,2,1130,https://cpt.tcgcsv.com/8Jz,2024-03-28T16:05:45.283,1,BP02-EN043,Common,WATER,Aqua,Effect Monster,100,100,"During your Standby Phase, if this card is in your Graveyard and you do not control a face-up ""Treeborn Frog"": You can Special Summon this card. You must control no Spell/Trap Cards to activate and to resolve this effect.",1.5,1.95,3.0,1.95,,1st Edition,
69207,Ultimate Tyranno,Ultimate Tyranno,https://tcgplayer-cdn.tcgplayer.com/product/69207_200w.jpg,2,1130,https://cpt.tcgcsv.com/9Jz,2024-03-28T16:05:45.347,1,BP02-EN045,Rare,WATER,Dinosaur,Effect Monster,3000,2200,"If this card is in face-up Attack Position at the beginning of your Battle Phase, it must attack first, and attack all monsters your opponent controls once each.",0.12,0.35,1.0,0.25,,Unlimited,
69207,Ultimate Tyranno,Ultimate Tyranno,https://tcgplayer-cdn.tcgplayer.com/product/69207_200w.jpg,2,1130,https://cpt.tcgcsv.com/9Jz,2024-03-28T16:05:45.347,1,BP02-EN045,Rare,WATER,Dinosaur,Effect Monster,3000,2200,"If this card is in face-up Attack Position at the beginning of your Battle Phase, it must attack first, and attack all monsters your opponent controls once each.",0.1,0.37,1.49,0.38,,1st Edition,
69208,Super Conductor Tyranno,Super Conductor Tyranno,https://tcgplayer-cdn.tcgplayer.com/product/69208_200w.jpg,2,1130,https://cpt.tcgcsv.com/bJz,2024-03-28T16:05:45.427,1,BP02-EN046,Rare,LIGHT,Dinosaur,Effect Monster,3300,1400,Once per turn: You can Tribute 1 monster; inflict 1000 damage to your opponent. This card cannot declare an attack the turn you activate this effect.,0.15,0.27,1.0,,,Unlimited,
