productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
81861,Blue-Eyes Ultimate Dragon (Starfoil),Blue Eyes Ultimate Dragon Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81861_200w.jpg,2,1340,https://cpt.tcgcsv.com/fMG,2023-01-05T14:08:55.773,1,BATT-EN001,Starfoil Rare,LIGHT,Dragon,Fusion Monster,4500,3800,Blue-Eyes White Dragon + Blue-Eyes White Dragon + Blue-Eyes White Dragon,9.61,13.49,57.95,10.9,,Limited
81862,Apprentice Magician (Starfoil),Apprentice Magician Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81862_200w.jpg,2,1340,https://cpt.tcgcsv.com/gMG,2023-01-05T14:09:25.307,1,BATT-EN002,Starfoil Rare,DARK,Spellcaster,Effect Monster,400,800,"When this card is successfully Normal Summoned, Flip Summoned, or Special Summoned, put 1 Spell Counter on a face-up card on the field that you can put a Spell Counter on. If this card is destroyed in battle, you can select 1 Spellcaster-Type monster Level 2 or lower from your deck and Special Summon it on the field in face-down Defense Position.",1.48,2.7,21.76,2.35,,Limited
81863,Strike Ninja (Starfoil),Strike Ninja Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81863_200w.jpg,2,1340,https://cpt.tcgcsv.com/hMG,2023-01-05T14:10:41.487,1,BATT-EN003,Starfoil Rare,DARK,Warrior,Effect Monster,1700,1200,"Once per turn, during either player's turn: You can banish 2 DARK monsters from your Graveyard; banish this face-up card until the End Phase.",2.41,4.57,8.0,3.98,,Limited
81864,Icarus Attack (Starfoil),Icarus Attack Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81864_200w.jpg,2,1340,https://cpt.tcgcsv.com/jMG,2023-01-05T14:11:15.977,1,BATT-EN004,Starfoil Rare,TRAP,,Normal Trap,,,Tribute 1 Winged Beast-Type monster to target 2 cards on the field; destroy them.,5.98,9.24,45.77,6.94,,Limited
81865,Electric Virus (Starfoil),Electric Virus Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81865_200w.jpg,2,1340,https://cpt.tcgcsv.com/kMG,2023-01-05T14:11:33.81,1,BATT-EN005,Starfoil Rare,LIGHT,Thunder,Effect Monster,1000,1000,"You can discard this card to the Graveyard, then target 1 Machine or Dragon-Type monster your opponent controls; take control of that target until the End Phase.",17.64,20.79,29.99,19.85,,Limited
81867,Ancient City - Rainbow Ruins (Starfoil),Ancient City Rainbow Ruins Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81867_200w.jpg,2,1340,https://cpt.tcgcsv.com/mMG,2023-01-05T14:11:52.373,1,BATT-EN006,Starfoil Rare,SPELL,,,0,0,"You must have this many ""Crystal Beast"" cards in your Spell & Trap Card Zone to activate and resolve these effects. ? 1+: This card cannot be destroyed by card effects. ? 2+: Once per turn (including the opponent's) you can halve the Battle Damage you take. ? 3+: During either player's turn, when a Spell/Trap Card is activated: You can send 1 ""Crystal Beast"" monster you control to the Graveyard; negate the activation, and if you do, destroy it. ? 4+: Once per turn, during your Main Phase: You can draw 1 card. ? 5: Once per turn, during your Main Phase: You can target 1 ""Crystal Beast"" card in your Spell & Trap Card Zone; Special Summon that target.",2.38,6.45,30.0,,,Limited
81869,Superancient Deepsea King Coelacanth (Starfoil),Superancient Deepsea King Coelacanth Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81869_200w.jpg,2,1340,https://cpt.tcgcsv.com/pMG,2023-01-05T14:12:19.32,1,BATT-EN007,Starfoil Rare,WATER,Fish,Effect Monster,2800,2200,"Once per turn, you can discard 1 card to Special Summon as many Level 4 or lower Fish-Type monsters as possible from your Deck. A monster Special Summoned by this effect cannot declare an attack and its effect(s) is negated while on the field. If this card is targeted by a Spell, Trap, or Effect Monster's effect, you can Tribute 1 other Fish-Type monster to negate the effect and destroy that card.",8.92,12.8,24.51,10.28,,Limited
81870,Gladiator Beast Gyzarus (Starfoil),Gladiator Beast Gyzarus Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81870_200w.jpg,2,1340,https://cpt.tcgcsv.com/qMG,2023-01-05T14:12:49.507,1,BATT-EN008,Starfoil Rare,DARK,Winged Beast,Fusion/Effect Monster,2400,1500,"Gladiator Beast Bestiari + 1 Gladiator Beast monster // This card can only be Special Summoned from your Extra Deck by returning the above cards you control to the Deck. (You do not use Polymerization.) When this card is Special Summoned, you can destroy up to 2 cards on the field. At the end of the Battle Phase, if this card attacked or was attacked, you can return this card to the Extra Deck to Special Summon 2 Gladiator Beast monsters from your Deck, except Gladiator Beast Bestiari.",32.0,34.99,40.0,25.25,,Limited
81871,Blackwing Armor Master (Starfoil),Blackwing Armor Master Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81871_200w.jpg,2,1340,https://cpt.tcgcsv.com/rMG,2023-01-05T14:13:11.78,1,BATT-EN009,Starfoil Rare,DARK,Winged Beast,Synchro/Effect Monster,2500,1500,"1 Blackwing Tuner + 1 or more non-Tuner monsters // This card cannot be destroyed by battle, and you take no Battle Damage from battles involving this card. If this card attacks a monster, you can place 1 Wedge Counter on that monster at the end of the Damage Step (max. 1). You can remove all Wedge Counters from your opponent's monsters to reduce the ATK and DEF of each monster that had a Wedge Counter to 0, until the End Phase.",14.84,19.91,50.0,16.49,,Limited
81872,Gravekeeper's Descendant (Starfoil),Gravekeepers Descendant Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81872_200w.jpg,2,1340,https://cpt.tcgcsv.com/sMG,2023-01-05T14:13:27.853,1,BATT-EN010,Starfoil Rare,DARK,Spellcaster,Effect Monster,1500,1200,"You can Tribute 1 other face-up ""Gravekeeper's"" monster to target 1 card your opponent controls; destroy that target.",7.07,16.82,79.99,11.95,,Limited
81873,"Gleipnir, the Fetters of Fenrir (Starfoil)",Gleipnir the Fetters of Fenrir Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81873_200w.jpg,2,1340,https://cpt.tcgcsv.com/tMG,2023-01-05T14:14:02.597,1,BATT-EN011,Starfoil Rare,TRAP,,Normal Trap,0,0,"Add 1 ""Nordic"" monster from your Deck to your hand.",0.51,2.07,9.48,1.27,,Limited
81874,Cyber Harpie Lady (Starfoil),Cyber Harpie Lady Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81874_200w.jpg,2,1340,https://cpt.tcgcsv.com/vMG,2023-01-05T14:14:25.38,1,BATT-EN012,Starfoil Rare,WIND,Winged Beast,Effect Monster,1800,1300,"This card's name is treated as ""Harpie Lady"".",3.85,16.69,127.95,8.61,,Limited
81875,Spirit Reaper (Starfoil),Spirit Reaper Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81875_200w.jpg,2,1340,https://cpt.tcgcsv.com/wMG,2023-01-05T14:14:56.4,1,BATT-EN013,Starfoil Rare,DARK,Zombie,Effect Monster,300,200,"This card cannot be destroyed by battle. Destroy this card when it is targeted by the effect of a Spell, Trap, or Effect Monster. If this card successfully attacks directly, your opponent randomly discards 1 card.",28.53,32.49,40.0,30.97,,Limited
81876,Mystical Shine Ball (Starfoil),Mystical Shine Ball Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81876_200w.jpg,2,1340,https://cpt.tcgcsv.com/xMG,2023-01-05T14:15:18.8,1,BATT-EN014,Starfoil Rare,LIGHT,Fairy,Normal Monster,500,500,"A soul of light covered by mystical shine. When you see its beautiful shape, your dream will come true.",44.99,50.0,63.94,19.38,,Limited
81877,Chimeratech Fortress Dragon (Starfoil),Chimeratech Fortress Dragon Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81877_200w.jpg,2,1340,https://cpt.tcgcsv.com/zMG,2022-05-05T16:21:25.647,1,BATT-EN015,Starfoil Rare,DARK,Machine,Fusion/Effect Monster,0,0,"Cyber Dragon + 1 or more Machine-Type monsters. This monster cannot be used as a Fusion Material Monster. You can only Special Summon this card from your Extra Deck by sending the above cards from either side of the field to the Graveyard. (You do not use """"Polymerization"""".) The original ATK of this card is equal to 1000 x the number of Fusion Material Monsters used to Special Summon it.",70.0,75.75,78.02,79.79,,Limited
81878,Grandmaster of the Six Samurai (Starfoil),Grandmaster of the Six Samurai Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81878_200w.jpg,2,1340,https://cpt.tcgcsv.com/BMG,2023-01-05T14:15:53.917,1,BATT-EN016,Starfoil Rare,EARTH,Warrior,Effect Monster,2100,800,"You can only have 1 Grandmaster of the Six Samurai monster on your side of the field. while you control a face-up Six-Samurai monster, you can Special Summon this card from your hand. When this card is destroyed by your opponent's card effect, add 1 Six S",23.0,38.61,85.0,14.99,,Limited
81879,Judgment Dragon (Starfoil),Judgment Dragon Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81879_200w.jpg,2,1340,https://cpt.tcgcsv.com/CMG,2023-01-05T14:16:17.1,1,BATT-EN017,Starfoil Rare,LIGHT,Dragon,Effect Monster,3000,2600,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by having 4 or more ""Lightsworn"" monsters with different names in your Graveyard. You can pay 1000 Life Points to destroy all other cards on the field. During each of",89.98,92.49,200.0,90.95,,Limited
81880,Colossal Fighter (Starfoil),Colossal Fighter Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81880_200w.jpg,2,1340,https://cpt.tcgcsv.com/DMG,2023-01-05T14:16:32.427,1,BATT-EN018,Starfoil Rare,DARK,Warrior,Synchro/Effect Monster,2800,1000,"1 Tuner + 1 or more non-Tuner monsters 
This card gains 100 ATK for every Warrior-Type monster in any Graveyard. When this card is destroyed by battle and sent to the Graveyard, Special Summon 1 Warrior-Type monster from either player's Graveyard.",18.75,25.0,50.0,23.88,,Limited
81881,Jurrac Guaiba (Starfoil),Jurrac Guaiba Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/81881_200w.jpg,2,1340,https://cpt.tcgcsv.com/FMG,2023-01-05T14:16:50.41,1,BATT-EN019,Starfoil Rare,FIRE,Dinosaur,Effect Monster,1700,400,"If this card destroys an opponent's monster by battle, you can select and Special Summon 1 Jurrac monster with 1700 or less ATK from your Deck. The monster Special Summoned by this effect cannot declare an attack during this turn.",33.98,39.24,86.79,,,Limited
