productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
214983,Battles of Legend: Armageddon Booster Pack [1st Edition],Battles of Legend Armageddon Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/214983_200w.jpg,2,2660,https://cpt.tcgcsv.com/H_K2,2020-07-08T13:40:54.047,1,Each 5-card pack contains 4 Ultra Rares and 1 Secret Rare.,083717850410,23.96,24.48,25.0,,,Normal,,,,,,,,,
214993,Battles of Legend: Armageddon Booster Box [1st Edition],Battles of Legend Armageddon Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/214993_200w.jpg,2,2660,https://cpt.tcgcsv.com/T_K2,2020-08-03T15:31:21.427,1,Each box contains 24 packs. Each 5-card pack contains 4 Ultra Rares and 1 Secret Rare.,083717850427,180.0,221.69,262.94,228.38,,Normal,,,,,,,,,
217943,Number 39: Utopia (Astral),Number 39 Utopia Astral,https://tcgplayer-cdn.tcgplayer.com/product/217943_200w.jpg,2,2660,https://cpt.tcgcsv.com/TbM2,2023-06-14T13:11:41.443,1,"2 Level 4 monsters
<br>When a monster declares an attack: You can detach 1 material from this card; negate the attack. If this card is targeted for an attack, while it has no material: Destroy this card.",,91.58,113.65,800.0,88.06,394.94,1st Edition,BLAR-EN000,Starlight Rare,LIGHT,Warior,Xyz/Effect Monster,2500,2000,,
217944,Dark Spell Regeneration,Dark Spell Regeneration,https://tcgplayer-cdn.tcgplayer.com/product/217944_200w.jpg,2,2660,https://cpt.tcgcsv.com/VbM2,2024-07-26T16:19:01.297,1,"When an opponent's monster declares an attack: Target 1 Spell in your opponent's GY; Set it to your field. You can banish this card from your GY and send 1 ""Monster Reborn"" from your hand or Set on your field to the GY; Special Summon 1 ""The Winged Dragon of Ra"" from your GY ignoring its Summoning conditions, then you can send 1 monster your opponent controls to the GY, also send that Special Summoned monster to the GY during the End Phase.",,0.1,0.55,10.0,0.56,0.5,1st Edition,BLAR-EN001,Secret Rare,TRAP,,Normal Trap,,,,
217945,Powered Crawler,Powered Crawler,https://tcgplayer-cdn.tcgplayer.com/product/217945_200w.jpg,2,2660,https://cpt.tcgcsv.com/WbM2,2024-07-26T16:19:01.343,1,"If this card is Normal or Special Summoned: You can destroy 1 monster your opponent controls with less ATK than this card. You can only use this effect of ""Powered Crawler"" once per turn. All monsters your opponent controls must attack, if able.",,0.05,0.29,5.0,0.2,0.2,1st Edition,BLAR-EN002,Secret Rare,EARTH,Machine,Effect Monster,2700,2000,,
217946,Intruder Alarm - Yellow Alert,Intruder Alarm Yellow Alert,https://tcgplayer-cdn.tcgplayer.com/product/217946_200w.jpg,2,2660,https://cpt.tcgcsv.com/XbM2,2024-07-26T16:19:01.39,1,"When an opponent's monster declares an attack: Special Summon 1 monster from your hand, but return it to the hand at the end of the Battle Phase. While you control that face-up Special Summoned monster, your opponent cannot target other monsters for attacks. You can only activate 1 ""Intruder Alarm - Yellow Alert"" per turn.",,0.02,0.25,2.04,0.13,0.05,1st Edition,BLAR-EN003,Ultra Rare,TRAP,,Normal Trap,,,,
217947,Penguin Torpedo,Penguin Torpedo,https://tcgplayer-cdn.tcgplayer.com/product/217947_200w.jpg,2,2660,https://cpt.tcgcsv.com/ZbM2,2024-07-26T16:19:01.453,1,"This card can attack directly. When this card inflicts battle damage to your opponent: You can target 1 Level 6 or lower monster your opponent controls; take control of it until the End Phase, but its effects are negated, also it cannot declare an attack, while you control it. You can only use this effect of ""Penguin Torpedo"" once per turn. At the end of the Damage Step, if this card attacked: Destroy this card.",,0.09,0.25,5.0,0.17,,1st Edition,BLAR-EN004,Ultra Rare,WATER,Aqua,Effect Monster,550,300,,
217948,Weathering Soldier,Weathering Soldier,https://tcgplayer-cdn.tcgplayer.com/product/217948_200w.jpg,2,2660,https://cpt.tcgcsv.com/-bM2,2022-11-07T10:49:23.12,1,"If this card is destroyed by battle or sent to the GY by a card effect: You can add 1 ""Fossil Fusion"", or 1 card that specifically lists ""Fossil Fusion"" in its text except ""Weathering Soldier"", from your Deck to your hand. You can only use this effect of ""Weathering Soldier"" once per turn. Once per turn, during your End Phase: This card loses 600 ATK.",,0.25,0.53,19.99,0.51,0.25,1st Edition,BLAR-EN005,Secret Rare,EARTH,Rock,Effect Monster,2000,1200,,
217949,Fossil Warrior Skull King,Fossil Warrior Skull King,https://tcgplayer-cdn.tcgplayer.com/product/217949_200w.jpg,2,2660,https://cpt.tcgcsv.com/_bM2,2024-07-26T16:19:01.813,1,"1 Rock monster + 1 Level 7 or higher monster
<br>Must first be Special Summoned with ""Fossil Fusion"". This card can make a second attack during each Battle Phase. If this card attacks a Defense Position monster, inflict piercing battle damage. During your opponent's turn (Quick Effect): You can target 1 monster in your opponent's GY; discard 1 card, and if you do, Special Summon that monster to your field. You can only use this effect of ""Fossil Warrior Skull King"" once per turn.",,0.2,0.5,9.99,0.4,0.47,1st Edition,BLAR-EN006,Secret Rare,EARTH,Rock,Fusion/Effect Monster,2800,1300,,
217950,Fossil Warrior Skull Knight,Fossil Warrior Skull Knight,https://tcgplayer-cdn.tcgplayer.com/product/217950_200w.jpg,2,2660,https://cpt.tcgcsv.com/0cM2,2022-08-18T07:56:53.687,1,"1 Rock monster + 1 Level 5 or 6 monster
<br>Must first be Special Summoned with ""Fossil Fusion"". If this card attacks a Defense Position monster, inflict piercing battle damage. When this attacking card destroys a monster by battle: You can activate this effect; this card can make a second attack in a row. You can banish this card from your GY, then target 1 monster on the field; destroy it. You can only use this effect of ""Fossil Warrior Skull Knight"" once per turn.",,1.9,3.94,22.99,1.96,4.34,1st Edition,BLAR-EN007,Secret Rare,EARTH,Rock,Fusion/Effect Monster,2400,1100,,
