productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
282081,Battles of Legend: Crystal Revenge Booster Box,Battles of Legend Crystal Revenge Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/282081_200w.jpg,2,3155,https://cpt.tcgcsv.com/FRg3,2022-11-18T05:03:10.493,1,"The all-foil Battles of Legend: Crystal Revenge booster set introduces new, never-before released cards from the Yu-GiOh! animated series ranging from the original all the way through Yu-Gi-Oh! VRAINS!
<br>
<br>Each box contains 24 packs of 5 random cards.",083717858317,44.97,66.79,220.0,43.07,,Normal,,,,,,,,,
282083,Battles of Legend: Crystal Revenge Booster Pack,Battles of Legend Crystal Revenge Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/282083_200w.jpg,2,3155,https://cpt.tcgcsv.com/HRg3,2022-11-18T05:03:10.493,1,Each 5-card pack contains 5 random cards: 4 Ultra Rares and 1 Secret Rare.,083717858300,2.0,3.61,8.44,2.45,,Normal,,,,,,,,,
453524,Royal Straight Slasher,Royal Straight Slasher,https://tcgplayer-cdn.tcgplayer.com/product/453524_200w.jpg,2,3155,https://cpt.tcgcsv.com/vqF5,2024-07-26T16:35:24.453,1,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Royal Straight"". If you have all of ""Queen's Knight"", ""King's Knight"", and ""Jack's Knight"" in your GY: You can send 5 monsters, with different Levels of 1, 2, 3, 4, and 5, from your hand and/or Deck to the GY, and if you do, destroy all cards your opponent controls. When this card is destroyed by battle: You can target up to 3 LIGHT Warrior monsters in your GY; Special Summon them. You can only use each effect of ""Royal Straight Slasher"" once per turn.",,0.09,0.44,9.99,0.37,0.5,1st Edition,BLCR-EN001,Secret Rare,LIGHT,Warrior,Effect Monster,2400,1350,,
453525,Royal Straight,Royal Straight,https://tcgplayer-cdn.tcgplayer.com/product/453525_200w.jpg,2,3155,https://cpt.tcgcsv.com/wqF5,2024-07-26T16:35:24.5,1,"Send 1 ""Queen's Knight"", ""King's Knight"", and ""Jack's Knight"" from your hand and/or face-up Monster Zone to the GY, then Special Summon 1 monster from your hand, Deck, Extra Deck, or GY that mentions all of ""Queen's Knight"", ""King's Knight"", and ""Jack's Knight"".",,0.05,0.26,2.0,0.26,0.2,1st Edition,BLCR-EN002,Ultra Rare,SPELL,,Quick-Play Spell,,,,
453526,Dragon Nails,Dragon Nails,https://tcgplayer-cdn.tcgplayer.com/product/453526_200w.jpg,2,3155,https://cpt.tcgcsv.com/xqF5,2024-07-26T16:35:24.563,1,"Equip only to a DARK monster. It gains 600 ATK, also it cannot be destroyed by your opponent's card effects. If this card is sent to the GY because the equipped monster was destroyed by battle and sent to the GY: You can Special Summon that monster, and if you do, equip this card to it, but banish this card when it leaves the field. You can only use this effect of ""Dragon Nails"" once per turn.",,0.06,0.33,6.0,0.3,0.27,1st Edition,BLCR-EN003,Ultra Rare,SPELL,,Equip Spell,,,,
453527,Thunder Ball,Thunder Ball,https://tcgplayer-cdn.tcgplayer.com/product/453527_200w.jpg,2,3155,https://cpt.tcgcsv.com/zqF5,2024-07-26T16:35:24.61,1,"At the end of the Damage Step, if a monster battled: You can Special Summon this card from your hand. You can send 1 Trap from your hand or that's Set on your field to the GY; destroy all other monsters in this card's column. If this card in the Monster Zone is destroyed by battle or card effect and sent to the GY: You can target 1 card in your GY; roll a six-sided die, and if the result is 6, add that target to your hand. You can only use each effect of ""Thunder Ball"" once per turn.",,0.03,0.24,2.0,0.18,0.12,1st Edition,BLCR-EN004,Ultra Rare,DARK,,Effect Monster,450,400,,
453528,Dice Dungeon,Dice Dungeon,https://tcgplayer-cdn.tcgplayer.com/product/453528_200w.jpg,2,3155,https://cpt.tcgcsv.com/BqF5,2024-07-26T16:35:24.663,1,"When this card is activated: You can add 1 ""Dimension Dice"" from your Deck to your hand. At the start of the Battle Phase: You can activate this effect; each player rolls a six-sided die and applies the result to all monsters they control, until the end of this turn.
<br>• 1: Lose 1000 ATK.
<br>• 2: Gain 1000 ATK.
<br>• 3: Lose 500 ATK.
<br>• 4: Gain 500 ATK.
<br>• 5: Halve their ATK.
<br>• 6: Double their ATK.",,0.03,0.25,19.99,0.2,0.2,1st Edition,BLCR-EN005,Ultra Rare,SPELL,,Field Spell,,,,
453529,Dimension Dice,Dimension Dice,https://tcgplayer-cdn.tcgplayer.com/product/453529_200w.jpg,2,3155,https://cpt.tcgcsv.com/CqF5,2022-11-18T15:04:45.737,1,If you control a card with an effect that requires a die roll: You can Tribute 1 monster; Special Summon 1 monster with an effect that requires a die roll from your hand or Deck.,,0.01,0.27,19.99,0.26,0.2,1st Edition,BLCR-EN006,Ultra Rare,SPELL,,Normal Spell,,,,
453531,Clockwork Night,Clockwork Night,https://tcgplayer-cdn.tcgplayer.com/product/453531_200w.jpg,2,3155,https://cpt.tcgcsv.com/FqF5,2022-11-18T15:01:56.173,1,"All face-up monsters on the field become Machine monsters. Machine monsters you control gain 500 ATK/DEF, also Machine monsters your opponent controls lose 500 ATK/DEF. You can banish this card from your GY, then discard 1 card; add 1 EARTH Machine monster from your Deck to your hand. You can only use this effect of ""Clockwork Night"" once per turn. You can only activate 1 ""Clockwork Night"" per turn.",,1.25,5.23,33.29,3.28,3.0,1st Edition,BLCR-EN007,Secret Rare,SPELL,,Continuous Spell,,,,
453532,EN Shuffle,EN Shuffle,https://tcgplayer-cdn.tcgplayer.com/product/453532_200w.jpg,2,3155,https://cpt.tcgcsv.com/GqF5,2022-11-18T15:07:15.567,1,"Shuffle 1 ""Elemental HERO"" or ""Neo-Spacian"" monster you control into the Deck, and if you do, Special Summon 1 ""Elemental HERO"" or ""Neo-Spacian"" monster with a different name from your Deck. You can banish this card from your GY; shuffle from your GY into the Deck, either 1 ""Elemental HERO"" monster and 1 ""Neo-Spacian"" monster, OR 1 ""Elemental HERO Neos"", then draw 1 card. You can only use each effect of ""EN Shuffle"" once per turn.",,0.24,1.09,19.99,0.66,0.48,1st Edition,BLCR-EN008,Secret Rare,SPELL,,Normal Spell,,,,
453533,Battle of Sleeping Spirits,Battle of Sleeping Spirits,https://tcgplayer-cdn.tcgplayer.com/product/453533_200w.jpg,2,3155,https://cpt.tcgcsv.com/HqF5,2024-07-26T16:35:24.72,1,"Each player can Special Summon 1 monster from their GY that was destroyed by battle this turn, in Attack Position, and if you Special Summoned ""Elemental HERO Neos"" by this effect, if it battles your opponent's monster this turn, its ATK becomes doubled during the Damage Step only. You can only activate 1 ""Battle of Sleeping Spirits"" per turn.",,0.01,0.21,2.0,0.14,0.04,1st Edition,BLCR-EN009,Ultra Rare,SPELL,,Quick-Play Spell,,,,
453534,Advanced Crystal Beast Ruby Carbuncle,Advanced Crystal Beast Ruby Carbuncle,https://tcgplayer-cdn.tcgplayer.com/product/453534_200w.jpg,2,3155,https://cpt.tcgcsv.com/JqF5,2024-07-26T16:35:24.753,1,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY. While this card is treated as a Continuous Spell: You can Special Summon this card, then you can Special Summon as many ""Advanced Crystal Beast"" Monster Cards as possible from your Spell & Trap Zones. You can only use this effect of ""Advanced Crystal Beast Ruby Carbuncle"" once per turn.",,0.01,0.5,9.99,0.4,0.44,1st Edition,BLCR-EN010,Secret Rare,LIGHT,Fairy,Effect Monster,300,300,,
453535,Advanced Crystal Beast Amethyst Cat,Advanced Crystal Beast Amethyst Cat,https://tcgplayer-cdn.tcgplayer.com/product/453535_200w.jpg,2,3155,https://cpt.tcgcsv.com/KqF5,2024-07-26T16:35:24.853,1,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Your ""Advanced Crystal Beast"" monsters can attack directly, but when they do so using this effect, the battle damage inflicted to your opponent is halved. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",,0.07,0.42,5.08,0.35,0.36,1st Edition,BLCR-EN011,Secret Rare,EARTH,Beast,Effect Monster,1200,400,,
453536,Advanced Crystal Beast Topaz Tiger,Advanced Crystal Beast Topaz Tiger,https://tcgplayer-cdn.tcgplayer.com/product/453536_200w.jpg,2,3155,https://cpt.tcgcsv.com/LqF5,2024-07-26T16:35:24.887,1,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. All ""Advanced Crystal Beast"" monsters you control gain 400 ATK/DEF, also monsters your opponent controls lose 400 ATK/DEF. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",,0.1,0.4,4.99,0.36,,1st Edition,BLCR-EN013,Secret Rare,EARTH,Beast,Effect Monster,1600,1000,,
453537,Advanced Crystal Beast Emerald Tortoise,Advanced Crystal Beast Emerald Tortoise,https://tcgplayer-cdn.tcgplayer.com/product/453537_200w.jpg,2,3155,https://cpt.tcgcsv.com/MqF5,2024-07-26T16:35:24.947,1,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Once per turn (Quick Effect): You can target 1 face-up monster on the field; change its battle position. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",,0.1,0.37,5.08,0.32,0.33,1st Edition,BLCR-EN012,Secret Rare,WATER,Aqua,Effect Monster,600,2000,,
453538,Advanced Crystal Beast Amber Mammoth,Advanced Crystal Beast Amber Mammoth,https://tcgplayer-cdn.tcgplayer.com/product/453538_200w.jpg,2,3155,https://cpt.tcgcsv.com/NqF5,2024-07-26T16:35:24.997,1,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Once per turn, when your opponent activates a card or effect that targets your ""Advanced Crystal Beast"" card(s) or ""Advanced Dark"" (Quick Effect): You can negate the activation. Once per turn, when your ""Advanced Crystal Beast"" monster is targeted for an attack: You can negate that attack. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",,0.1,0.36,5.03,0.29,0.36,1st Edition,BLCR-EN014,Secret Rare,EARTH,Beast,Effect Monster,1700,1600,,
453539,Advanced Crystal Beast Sapphire Pegasus,Advanced Crystal Beast Sapphire Pegasus,https://tcgplayer-cdn.tcgplayer.com/product/453539_200w.jpg,2,3155,https://cpt.tcgcsv.com/PqF5,2024-07-26T16:35:25.027,1,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. If this card is Summoned: You can place 1 of your ""Advanced Crystal Beast"" monsters that is banished, or in your hand, Deck, or GY, face-up in your Spell & Trap Zone as a Continuous Spell. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",,0.2,0.52,9.99,0.47,0.67,1st Edition,BLCR-EN016,Secret Rare,WIND,Beast,Effect Monster,1800,1200,,
453540,Advanced Crystal Beast Cobalt Eagle,Advanced Crystal Beast Cobalt Eagle,https://tcgplayer-cdn.tcgplayer.com/product/453540_200w.jpg,2,3155,https://cpt.tcgcsv.com/QqF5,2024-07-26T16:35:25.103,1,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. You can send this card from your hand or field to the GY; add 1 ""Advanced Dark"" from your Deck to your hand. Once per turn: You can target 1 ""Advanced Crystal Beast"" card you control; return it to the hand or place it on top of the Deck. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",,0.11,0.5,5.29,0.38,0.5,1st Edition,BLCR-EN015,Secret Rare,WIND,Winged Beast,Effect Monster,1400,800,,
453541,Dyna Base,Dyna Base,https://tcgplayer-cdn.tcgplayer.com/product/453541_200w.jpg,2,3155,https://cpt.tcgcsv.com/RqF5,2024-07-26T16:35:25.143,1,"If your LP are lower than your opponent's: You can Special Summon this card from your hand. During your Main Phase: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using this card you control and other monsters from your hand or field as material. You can only use each effect of ""Dyna Base"" once per turn.",,0.01,0.2,4.99,0.06,0.04,1st Edition,BLCR-EN017,Ultra Rare,EARTH,Machine,Effect Monster,0,2100,,
453542,Dyna Tank,Dyna Tank,https://tcgplayer-cdn.tcgplayer.com/product/453542_200w.jpg,2,3155,https://cpt.tcgcsv.com/SqF5,2024-07-26T16:35:25.207,1,"1 Machine monster + 1 Dinosaur monster
<br>Gains ATK equal to the original ATK of the Dinosaur monster used for its Fusion Summon. You can only use each of the following effects of ""Dyna Tank"" once per turn. When a card or effect is activated that targets this 1 card on the field (and no other cards) (Quick Effect): You can target 1 other card on the field that would be an appropriate target; that card or effect now targets the new target. If this card in its owner's possession is destroyed by an opponent's card: You can Special Summon 1 Dinosaur monster from your GY.",,0.02,0.24,4.99,0.13,0.09,1st Edition,BLCR-EN018,Ultra Rare,EARTH,Machine,Effect Fusion Monster,,2100,,
453543,Gadget Box,Gadget Box,https://tcgplayer-cdn.tcgplayer.com/product/453543_200w.jpg,2,3155,https://cpt.tcgcsv.com/TqF5,2024-07-26T16:35:25.237,1,"(This card is always treated as a ""Morphtronic"" card.)
<br>When this card is activated: Place 3 Morph Counters on it. Once per turn, during your Main Phase: You can remove 1 Morph Counter from your field, and if you do, Special Summon 1 ""Gadget Box Token"" (Machine/EARTH/Level 1/ATK 0/DEF 0). While that Token is in the Monster Zone, the player who Summoned it cannot Special Summon monsters from the Extra Deck, except Synchro Monsters. You can only activate 1 ""Gadget Box"" per turn.",,0.01,0.2,4.99,0.08,0.04,1st Edition,BLCR-EN019,Ultra Rare,SPELL,,Continuous Spell,,,,
