productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
191344,Battles of Legend: Hero's Revenge Booster Box,Battles of Legend Heros Revenge Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/191344_200w.jpg,2,2459,https://cpt.tcgcsv.com/Vxx2,2019-05-31T18:05:15.47,1,"Featuring never-before-released cards from previous Yu-Gi-Oh! anime and manga series, each booster box contains 24 packs of 5 random cards.",083717844518,123.75,162.45,339.99,,,Normal,,,,,,,,,
191345,Battles of Legend: Hero's Revenge Booster Pack,Battles of Legend Heros Revenge Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/191345_200w.jpg,2,2459,https://cpt.tcgcsv.com/Wxx2,2019-05-31T18:05:23.437,1,"Featuring never-before-released cards from previous Yu-Gi-Oh! anime and manga series, each booster pack contains 5 random cards.",083717844501,7.96,11.74,15.37,,,Normal,,,,,,,,,
193587,Five-Headed Dragon,Five Headed Dragon,https://tcgplayer-cdn.tcgplayer.com/product/193587_200w.jpg,2,2459,https://cpt.tcgcsv.com/Mrz2,2023-03-28T15:34:01.8,1,"5 Dragon monsters
<br>Must be Fusion Summoned. Cannot be destroyed by battle with a DARK, EARTH, WATER, FIRE, or WIND monster.",,4.73,7.23,19.99,6.19,8.05,1st Edition,BLHR-EN000,Secret Rare,DARK,Dragon,Fusion/Effect Monster,5000,5000,,
193588,Water of Life,Water of Life,https://tcgplayer-cdn.tcgplayer.com/product/193588_200w.jpg,2,2459,https://cpt.tcgcsv.com/Nrz2,2024-07-26T16:36:06.813,1,"If you control no monsters: Target 1 monster in your GY; Special Summon that target in Attack Position, also, for the rest of this turn after this card resolves, you cannot activate monster effects, except the effects of that Special Summoned monster on the field. You can only activate 1 ""Water of Life"" per turn.",,0.02,0.31,2.0,0.18,0.17,1st Edition,BLHR-EN002,Ultra Rare,SPELL,,Normal Spell,,,,
193589,Ipiria,Ipiria,https://tcgplayer-cdn.tcgplayer.com/product/193589_200w.jpg,2,2459,https://cpt.tcgcsv.com/Prz2,2019-07-12T14:02:52.72,1,"If this card is Summoned: Draw 1 card. You can only use this effect of ""Ipiria"" once per turn.",,0.4,1.2,25.0,0.66,0.72,1st Edition,BLHR-EN001,Secret Rare,EARTH,Reptile,Effect Monster,500,500,,
193590,Gold Moon Coin,Gold Moon Coin,https://tcgplayer-cdn.tcgplayer.com/product/193590_200w.jpg,2,2459,https://cpt.tcgcsv.com/Qrz2,2024-07-26T16:36:06.907,1,"Add 2 cards from your hand to your opponent's hand, then draw 2 cards. You can only activate 1 ""Gold Moon Coin"" per turn.",,0.05,0.31,1.99,0.23,0.2,1st Edition,BLHR-EN003,Ultra Rare,SPELL,,Normal Spell,,,,
193591,Gingerbread House,Gingerbread House,https://tcgplayer-cdn.tcgplayer.com/product/193591_200w.jpg,2,2459,https://cpt.tcgcsv.com/Rrz2,2019-07-12T14:03:09.16,1,"During your opponent's Standby Phase: You can have as many monsters they control as possible gain 600 ATK, then destroy as many monsters they control as possible with 2500 or more ATK, and if you do, gain LP equal to the number of monsters destroyed x 500. (The ATK gain remains even if this card leaves the field.) You can only use this effect of ""Gingerbread House"" once per turn.",,0.06,0.49,2.08,0.39,0.3,1st Edition,BLHR-EN004,Ultra Rare,SPELL,,Continuous Spell,,,,
193592,Vision HERO Minimum Ray,Vision HERO Minimum Ray,https://tcgplayer-cdn.tcgplayer.com/product/193592_200w.jpg,2,2459,https://cpt.tcgcsv.com/Srz2,2024-07-26T16:36:07.267,1,"If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can destroy 1 Level 4 or lower monster your opponent controls. You can only use each effect of ""Vision HERO Minimum Ray"" once per turn.",,0.04,0.28,2.0,0.19,0.12,1st Edition,BLHR-EN005,Ultra Rare,DARK,Warrior,Effect Monster,1200,700,,
193593,Vision HERO Multiply Guy,Vision HERO Multiply Guy,https://tcgplayer-cdn.tcgplayer.com/product/193593_200w.jpg,2,2459,https://cpt.tcgcsv.com/Trz2,2024-07-26T16:36:07.313,1,"If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can make 1 face-up monster on the field gain 800 ATK. You can only use each effect of ""Vision HERO Multiply Guy"" once per turn.",,0.04,0.25,1.99,0.14,0.12,1st Edition,BLHR-EN006,Ultra Rare,DARK,Warrior,Effect Monster,800,700,,
193594,Vision HERO Increase,Vision HERO Increase,https://tcgplayer-cdn.tcgplayer.com/product/193594_200w.jpg,2,2459,https://cpt.tcgcsv.com/Vrz2,2022-05-13T09:43:06.1,1,"If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can Special Summon 1 Level 4 or lower ""Vision HERO"" monster from your Deck. You can only use each effect of ""Vision HERO Increase"" once per turn.",,3.34,6.49,30.0,4.73,6.49,1st Edition,BLHR-EN007,Secret Rare,DARK,Warrior,Effect Monster,900,1100,,
