productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
39337,Malefic Blue-Eyes White Dragon,Malefic Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/39337_200w.jpg,2,147,https://cpt.tcgcsv.com/MLk,2024-03-28T16:07:29.623,1,YMP1-EN002,Secret Rare,DARK,Dragon,Effect Monster,3000,2500,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 Blue-Eyes White Dragon from your Deck. There can only be 1 face-up Malefic monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.",0.94,2.8,9.99,2.67,,Limited
39338,Malefic Parallel Gear,Malefic Parallel Gear,https://tcgplayer-cdn.tcgplayer.com/product/39338_200w.jpg,2,147,https://cpt.tcgcsv.com/NLk,2024-03-28T16:07:29.687,1,YMP1-EN003,Secret Rare,DARK,Machine,Tuner Monster,0,0,"When using this card as a Synchro Material Monster, the other Synchro Material Monster is 1 ""Malefic"" monster in your hand.",0.3,0.74,4.06,0.55,,Limited
39339,Malefic Cyber End Dragon,Malefic Cyber End Dragon,https://tcgplayer-cdn.tcgplayer.com/product/39339_200w.jpg,2,147,https://cpt.tcgcsv.com/PLk,2024-03-28T16:07:29.75,1,YMP1-EN004,Secret Rare,DARK,Machine,Effect Monster,4000,2800,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 1 Cyber End Dragon from your Extra Deck. There can only be 1 face-up Malefic monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.",0.99,2.0,31.39,2.24,,Limited
39340,Malefic Rainbow Dragon,Malefic Rainbow Dragon,https://tcgplayer-cdn.tcgplayer.com/product/39340_200w.jpg,2,147,https://cpt.tcgcsv.com/QLk,2024-03-28T16:07:29.843,1,YMP1-EN005,Secret Rare,DARK,Dragon,Effect Monster,4000,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned, except by removing from play 1 Rainbow Dragon from your hand or Deck. There can only be 1 face-up Malefic monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.",2.0,3.51,17.99,3.11,,Limited
39341,Junk Gardna,Junk Gardna,https://tcgplayer-cdn.tcgplayer.com/product/39341_200w.jpg,2,147,https://cpt.tcgcsv.com/RLk,2024-03-28T16:07:29.937,1,YMP1-EN006,Secret Rare,EARTH,Warrior,Synchro/Effect Monster,1400,2600,"Junk Synchron + 1 or more non-Tuner monsters // Once per turn, you can select 1 monster your opponent controls, and change its battle position. This effect can be activated during either player's turn. If this card is sent from the field to the Graveyard, you can select 1 monster on the field and change its battle position.",0.11,0.62,2.99,0.63,,Limited
39342,Malefic Paradox Dragon,Malefic Paradox Dragon,https://tcgplayer-cdn.tcgplayer.com/product/39342_200w.jpg,2,147,https://cpt.tcgcsv.com/SLk,2024-03-28T16:07:30.043,1,YMP1-EN007,Secret Rare,DARK,Dragon,Synchro/Effect Monster,4000,4000,"Malefic Parallel Gear + 1 non-Tuner Malefic monster // When this card is Synchro Summoned, you can select 1 Synchro Monster in either player's Graveyard, and Special Summon it. There can only be 1 face-up Malefic Paradox Dragon on the field. If Malefic World is not face-up on the field, destroy this card.",1.75,3.25,20.0,3.25,,Limited
39343,Malefic World,Malefic World,https://tcgplayer-cdn.tcgplayer.com/product/39343_200w.jpg,2,147,https://cpt.tcgcsv.com/TLk,2024-03-28T16:07:30.107,1,YMP1-EN008,Secret Rare,SPELL,,Normal Spell,0,0,"While this card is face-up on the field, you can activate this effect instead of conducting a normal draw during your Draw Phase. Choose 3 Malefic cards from your Deck and have your opponent pick 1 of them at random to add to your hand. Shuffle the rest back into your Deck.",0.39,1.0,4.99,1.04,,Limited
39344,Malefic Claw Stream,Malefic Claw Stream,https://tcgplayer-cdn.tcgplayer.com/product/39344_200w.jpg,2,147,https://cpt.tcgcsv.com/VLk,2024-03-28T16:07:30.167,1,YMP1-EN009,Secret Rare,TRAP,,Normal Trap,0,0,"Activate only if you control a face-up Malefic monster. Select 1 monster your opponent controls, and destroy it.",0.14,0.43,2.99,0.39,,Limited
39345,Malefic Red-Eyes B. Dragon (Secret),Malefic Red Eyes B Dragon Secret,https://tcgplayer-cdn.tcgplayer.com/product/39345_200w.jpg,2,147,https://cpt.tcgcsv.com/WLk,2024-03-28T16:07:30.247,1,YMP1-EN001,Secret Rare,DARK,Dragon,Effect Monster,2400,2000,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned, by removing from play 1 Red-Eyes B. Dragon from your Deck. There can only be 1 face-up Malefic monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.",0.75,1.25,5.95,1.38,,Limited
183571,Malefic Red-Eyes B. Dragon,Malefic Red Eyes B Dragon Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/183571_200w.jpg,2,147,https://cpt.tcgcsv.com/rrt2,2019-02-16T14:36:42.437,1,MOV2-EN001,Ultra Rare,DARK,Dragon,Effect Monster,2400,2000,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned, by removing from play 1 Red-Eyes B. Dragon from your Deck. There can only be 1 face-up Malefic monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.",0.89,1.6,20.0,1.65,,Limited
