productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
26056,Satellite Cannon,Satellite Cannon,https://tcgplayer-cdn.tcgplayer.com/product/26056_200w.jpg,2,149,https://cpt.tcgcsv.com/8rd,2024-03-28T16:07:45.363,1,CP01-EN001,Ultra Rare,Light,Machine,Effect Monster,0,0,"This card cannot be destroyed by battle with a Level 7 or lower monster. During each of your End Phases, this card gains 1000 ATK. If this card attacks, its ATK is returned to 0, after damage calculation.",54.99,73.96,87.49,51.98,,Unlimited
26057,Book of Moon,Book of Moon,https://tcgplayer-cdn.tcgplayer.com/product/26057_200w.jpg,2,149,https://cpt.tcgcsv.com/9rd,2024-03-28T16:07:45.437,1,CP01-EN002,Super Rare,SPELL,,Quick-Play Spell,0,0,Flip 1 face-up monster on the field into face-down Defense Position.,675.0,749.97,799.99,749.98,,Unlimited
26058,Metamorphosis,Metamorphosis,https://tcgplayer-cdn.tcgplayer.com/product/26058_200w.jpg,2,149,https://cpt.tcgcsv.com/brd,2024-03-28T16:07:45.49,1,CP01-EN003,Super Rare,SPELL,,Normal Spell,0,0,Tribute 1 monster. Special Summon 1 Fusion Monster from your Fusion Deck with the same Level as the Tributed monster.,383.84,419.99,1795.98,462.7,,Unlimited
26059,Sakuretsu Armor,Sakuretsu Armor,https://tcgplayer-cdn.tcgplayer.com/product/26059_200w.jpg,2,149,https://cpt.tcgcsv.com/crd,2024-03-28T16:07:45.55,1,CP01-EN004,Super Rare,TRAP,,Normal Trap,0,0,Activate only when your opponent declares an attack. Destroy the attacking monster.,179.97,200.29,300.0,194.92,,Unlimited
26060,Night Assailant,Night Assailant,https://tcgplayer-cdn.tcgplayer.com/product/26060_200w.jpg,2,149,https://cpt.tcgcsv.com/drd,2024-03-28T16:07:45.643,1,CP01-EN005,Super Rare,Dark,Fiend,Effect Monster,200,500,"FLIP: Select 1 monster on your opponent's side of the field and destroy it. When this card is sent directly from your hand to the Graveyard, return 1 Flip Effect Monster from your Graveyard to your hand.",165.0,219.93,250.0,223.31,,Unlimited
26061,Big Shield Gardna,Big Shield Gardna,https://tcgplayer-cdn.tcgplayer.com/product/26061_200w.jpg,2,149,https://cpt.tcgcsv.com/frd,2024-03-28T16:07:45.707,1,CP01-EN006,Rare,Earth,Warrior,Effect Monster,100,2600,"Negate the activation of a Spell Card that designates this 1 face-down monster. At that time, flip this card into face-up Defense Position. If this card is attacked, change it to Attack Position at the end of the Damage Step.",3.05,4.95,15.15,3.18,,Unlimited
26062,Limiter Removal,Limiter Removal,https://tcgplayer-cdn.tcgplayer.com/product/26062_200w.jpg,2,149,https://cpt.tcgcsv.com/grd,2024-03-28T16:07:45.893,1,CP01-EN007,Rare,SPELL,,Quick-Play Spell,0,0,"Double the ATK of all face-up Machine-Type monsters on your side of the field, until the end of this turn. During the End Phase, destroy all monsters that were affected by this effect.",0.51,0.82,2.99,0.9,,Unlimited
26063,Solemn Judgment,Solemn Judgment,https://tcgplayer-cdn.tcgplayer.com/product/26063_200w.jpg,2,149,https://cpt.tcgcsv.com/hrd,2024-03-28T16:07:46.3,1,CP01-EN008,Rare,TRAP,,Counter Trap,0,0,"Pay half your Life Points. Negate the activation of a Spell / Trap Card / Normal Summon / Flip Summon / Special Summon and destroy the Spell Card, Trap Card, or Summoned monster.",13.97,24.95,24.95,17.48,,Unlimited
26064,Reflect Bounder,Reflect Bounder,https://tcgplayer-cdn.tcgplayer.com/product/26064_200w.jpg,2,149,https://cpt.tcgcsv.com/jrd,2024-03-28T16:07:46.377,1,CP01-EN009,Rare,Light,Machine,Effect Monster,1700,1000,"When this face-up Attack Position card is attacked by an opponent's monster, before damage calculation, this card inflicts damage to your opponent equal to the ATK of the attacking monster. Then, after damage calculation is resolved, this card is destroyed.",1.25,3.6,14.99,1.69,,Unlimited
26065,Enemy Controller,Enemy Controller,https://tcgplayer-cdn.tcgplayer.com/product/26065_200w.jpg,2,149,https://cpt.tcgcsv.com/krd,2025-06-12T19:29:22.927,1,CP01-EN010,Rare,SPELL,,Quick-Play Spell,0,0,Select and activate 1 of these effects:<br>• Change the battle position of 1 face-up monster on your opponent's side of the field.<br>• Tribute 1 monster. Select 1 face-up monster on your opponent's side of the field. Take control of the selected card until the end of this turn.,1.5,4.16,9.95,3.48,,Unlimited
26066,Pot of Avarice,Pot of Avarice,https://tcgplayer-cdn.tcgplayer.com/product/26066_200w.jpg,2,149,https://cpt.tcgcsv.com/lrd,2024-03-28T16:07:46.52,1,CP01-EN011,Rare,SPELL,,Normal Spell,0,0,"Select 5 Monster Cards from your Graveyard, then add them to your Deck and shuffle it. After that, draw 2 cards.",6.9,11.89,20.0,16.1,,Unlimited
26067,Thunder Kid,Thunder Kid,https://tcgplayer-cdn.tcgplayer.com/product/26067_200w.jpg,2,149,https://cpt.tcgcsv.com/mrd,2025-06-12T19:36:03.677,1,CP01-EN012,Common,WIND,Thunder,Normal Monster,700,600,"<em>This monster stores electricity within his body, and can unleash it with catastrophic power.</em>",2.15,2.59,9.99,2.53,,Unlimited
26068,Mysterious Guard,Mysterious Guard,https://tcgplayer-cdn.tcgplayer.com/product/26068_200w.jpg,2,149,https://cpt.tcgcsv.com/nrd,2024-03-28T16:07:46.847,1,CP01-EN013,Common,Earth,Spellcaster,Effect Monster,800,1200,"FLIP: Return 1 face-up monster on the field to the top of its owner's Deck. Also, if there is a face-up Warrior-Type monster on your side of the field, you can return another face-up monster to its owner's hand.",0.1,0.46,1.0,0.48,,Unlimited
26069,King Tiger Wanghu,King Tiger Wanghu,https://tcgplayer-cdn.tcgplayer.com/product/26069_200w.jpg,2,149,https://cpt.tcgcsv.com/prd,2024-03-28T16:07:46.923,1,CP01-EN014,Common,Earth,Beast,Effect Monster,1700,1000,Destroy all monsters with an ATK of 1400 or less that are Normal Summoned or Special Summoned.,1.44,3.94,9.49,3.86,,Unlimited
26070,My Body as a Shield,My Body as a Shield,https://tcgplayer-cdn.tcgplayer.com/product/26070_200w.jpg,2,149,https://cpt.tcgcsv.com/qrd,2024-03-28T16:07:47,1,CP01-EN015,Common,SPELL,,Quick-Play Spell,0,0,"When your opponent activates a card that has an effect which destroys 1 or more monster(s) on the field, pay 1500 Life Points to negate the activation of that card and destroy it.",1.49,1.94,2.21,1.86,,Unlimited
26071,Final Countdown,Final Countdown,https://tcgplayer-cdn.tcgplayer.com/product/26071_200w.jpg,2,149,https://cpt.tcgcsv.com/rrd,2024-03-28T16:07:47.063,1,CP01-EN016,Common,SPELL,,Normal Spell,0,0,"Pay 2000 Life Points. After 20 turns have passed (counting the turn you activate this card as the 1st turn), you win the Duel.",0.71,1.41,5.59,0.78,,Unlimited
26072,Mudora,Mudora,https://tcgplayer-cdn.tcgplayer.com/product/26072_200w.jpg,2,149,https://cpt.tcgcsv.com/srd,2024-03-28T16:07:47.167,1,CP01-EN017,Common,Earth,Fairy,Effect Monster,1500,1800,This card gains 200 ATK for every Fairy-Type monster in your Graveyard.,0.39,0.74,1.0,0.77,,Unlimited
26073,Stealth Bird,Stealth Bird,https://tcgplayer-cdn.tcgplayer.com/product/26073_200w.jpg,2,149,https://cpt.tcgcsv.com/trd,2024-03-28T16:07:47.243,1,CP01-EN018,Common,Dark,Winged Beast,Effect Monster,700,1700,"Once per turn, during your Main Phase, you can flip this card into face-down Defense Position. When this card is Flip Summoned, inflict 1000 damage to your opponent.",0.2,0.99,3.19,0.65,,Unlimited
26074,Emissary of the Afterlife,Emissary of the Afterlife,https://tcgplayer-cdn.tcgplayer.com/product/26074_200w.jpg,2,149,https://cpt.tcgcsv.com/vrd,2024-03-28T16:07:47.29,1,CP01-EN019,Common,Dark,Fiend,Effect Monster,1600,600,"When this card is sent from the field to the Graveyard, each player selects 1 Level 3 or lower Normal Monster from their Deck, and adds it to their hand after showing it to the opponent. The Decks are then shuffled.",10.0,109.81,200.0,5.93,,Unlimited
26075,Threatening Roar,Threatening Roar,https://tcgplayer-cdn.tcgplayer.com/product/26075_200w.jpg,2,149,https://cpt.tcgcsv.com/wrd,2024-03-28T16:07:47.36,1,CP01-EN020,Common,TRAP,,Normal Trap,0,0,Your opponent cannot declare an attack this turn.,1.45,1.89,2.0,1.54,,Unlimited
