productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType
67595,Noble Arms - Caliburn,Noble Arms Caliburn,https://tcgplayer-cdn.tcgplayer.com/product/67595_200w.jpg,2,576,https://cpt.tcgcsv.com/W2z,2013-05-09T12:13:41.653,1,CBLZ-EN000,Super Rare,SPELL,Normal Spell,0,0,"You can only control 1 face-up ""Noble Arms - Caliburn"". Equip only to a Warrior-Type monster. It gains 500 ATK. Once per turn: You can gain 500 Life Points. If this face-up card on the field is destroyed and sent to the Graveyard: You can target 1 Warrior-Type ""Noble Knight"" monster you control; equip this card to that target. You can only use this effect of ""Noble Arms - Caliburn"" once per turn.",0.25,0.5,1.56,0.43,,Unlimited,
67595,Noble Arms - Caliburn,Noble Arms Caliburn,https://tcgplayer-cdn.tcgplayer.com/product/67595_200w.jpg,2,576,https://cpt.tcgcsv.com/W2z,2013-05-09T12:13:41.653,1,CBLZ-EN000,Super Rare,SPELL,Normal Spell,0,0,"You can only control 1 face-up ""Noble Arms - Caliburn"". Equip only to a Warrior-Type monster. It gains 500 ATK. Once per turn: You can gain 500 Life Points. If this face-up card on the field is destroyed and sent to the Graveyard: You can target 1 Warrior-Type ""Noble Knight"" monster you control; equip this card to that target. You can only use this effect of ""Noble Arms - Caliburn"" once per turn.",0.22,0.5,1.0,0.45,,1st Edition,
67596,Dododo Bot,Dododo Bot,https://tcgplayer-cdn.tcgplayer.com/product/67596_200w.jpg,2,576,https://cpt.tcgcsv.com/X2z,2024-03-28T16:10:10.467,1,CBLZ-EN001,Common,EARTH,Effect Monster,1800,1900,Cannot be Normal Summoned (but can be Normal Set). If this card attacks: It is unaffected by other card effects until the end of the Damage Step.,0.01,0.21,1.49,0.08,,Unlimited,Machine
67596,Dododo Bot,Dododo Bot,https://tcgplayer-cdn.tcgplayer.com/product/67596_200w.jpg,2,576,https://cpt.tcgcsv.com/X2z,2024-03-28T16:10:10.467,1,CBLZ-EN001,Common,EARTH,Effect Monster,1800,1900,Cannot be Normal Summoned (but can be Normal Set). If this card attacks: It is unaffected by other card effects until the end of the Damage Step.,0.07,0.23,1.38,0.23,,1st Edition,Machine
67597,Gogogo Ghost,Gogogo Ghost,https://tcgplayer-cdn.tcgplayer.com/product/67597_200w.jpg,2,576,https://cpt.tcgcsv.com/Z2z,2024-03-28T16:10:10.583,1,CBLZ-EN002,Common,DARK,Effect Monster,1900,0,"If this card is Special Summoned: You can target 1 ""Gogogo Golem"" in your Graveyard; Special Summon that target, then change this card to Defense Position. You can only use the effect of ""Gogogo Ghost"" once per turn.",0.07,0.25,1.49,0.12,,Unlimited,Zombie
67597,Gogogo Ghost,Gogogo Ghost,https://tcgplayer-cdn.tcgplayer.com/product/67597_200w.jpg,2,576,https://cpt.tcgcsv.com/Z2z,2024-03-28T16:10:10.583,1,CBLZ-EN002,Common,DARK,Effect Monster,1900,0,"If this card is Special Summoned: You can target 1 ""Gogogo Golem"" in your Graveyard; Special Summon that target, then change this card to Defense Position. You can only use the effect of ""Gogogo Ghost"" once per turn.",0.08,0.22,1.49,0.19,,1st Edition,Zombie
67598,Bacon Saver,Bacon Saver,https://tcgplayer-cdn.tcgplayer.com/product/67598_200w.jpg,2,576,https://cpt.tcgcsv.com/-2z,2024-03-28T16:10:10.693,1,CBLZ-EN003,Common,DARK,Effect Monster,700,600,"During either player's Battle Step, when a monster battles another monster: You can banish this card from the Graveyard; negate the attacking monster's attack. You can only use the effect of ""Bacon Saver"" once per Duel.",0.05,0.24,1.49,0.16,,Unlimited,Zombie
67598,Bacon Saver,Bacon Saver,https://tcgplayer-cdn.tcgplayer.com/product/67598_200w.jpg,2,576,https://cpt.tcgcsv.com/-2z,2024-03-28T16:10:10.693,1,CBLZ-EN003,Common,DARK,Effect Monster,700,600,"During either player's Battle Step, when a monster battles another monster: You can banish this card from the Graveyard; negate the attacking monster's attack. You can only use the effect of ""Bacon Saver"" once per Duel.",0.09,0.25,1.4,0.15,,1st Edition,Zombie
67599,Amarylease,Amarylease,https://tcgplayer-cdn.tcgplayer.com/product/67599_200w.jpg,2,576,https://cpt.tcgcsv.com/_2z,2024-03-28T16:10:10.813,1,CBLZ-EN004,Common,EARTH,Effect Monster,100,200,"During your Main Phase: You can banish this card from your Graveyard; once during this turn, you can Normal Summon/Set a monster with 1 less Tribute than required. You can only use the effect of ""Amarylease"" once per turn.",0.03,0.23,1.49,0.1,,Unlimited,Plant
67599,Amarylease,Amarylease,https://tcgplayer-cdn.tcgplayer.com/product/67599_200w.jpg,2,576,https://cpt.tcgcsv.com/_2z,2024-03-28T16:10:10.813,1,CBLZ-EN004,Common,EARTH,Effect Monster,100,200,"During your Main Phase: You can banish this card from your Graveyard; once during this turn, you can Normal Summon/Set a monster with 1 less Tribute than required. You can only use the effect of ""Amarylease"" once per turn.",0.03,0.21,1.4,0.16,,1st Edition,Plant
67600,ZW - Lightning Blade,ZW Lightning Blade,https://tcgplayer-cdn.tcgplayer.com/product/67600_200w.jpg,2,576,https://cpt.tcgcsv.com/03z,2024-03-28T16:10:10.887,1,CBLZ-EN005,Rare,LIGHT,Effect Monster,1200,2000,"You can target 1 face-up ""Utopia"" monster you control; equip this card from your hand or side of the field to that target. It gains 1200 ATK. While this card is equipped to a monster, ""ZW"" cards you control cannot be destroyed by your opponent's card effects. If the equipped monster would be destroyed by a card effect, destroy this Equip Card instead. You can only control 1 face-up ""ZW - Lightning Blade"".",0.59,0.92,3.8,0.79,,Unlimited,Beast
67600,ZW - Lightning Blade,ZW Lightning Blade,https://tcgplayer-cdn.tcgplayer.com/product/67600_200w.jpg,2,576,https://cpt.tcgcsv.com/03z,2024-03-28T16:10:10.887,1,CBLZ-EN005,Rare,LIGHT,Effect Monster,1200,2000,"You can target 1 face-up ""Utopia"" monster you control; equip this card from your hand or side of the field to that target. It gains 1200 ATK. While this card is equipped to a monster, ""ZW"" cards you control cannot be destroyed by your opponent's card effects. If the equipped monster would be destroyed by a card effect, destroy this Equip Card instead. You can only control 1 face-up ""ZW - Lightning Blade"".",0.75,1.19,3.8,0.81,,1st Edition,Beast
67601,ZW - Tornado Bringer,ZW Tornado Bringer,https://tcgplayer-cdn.tcgplayer.com/product/67601_200w.jpg,2,576,https://cpt.tcgcsv.com/23z,2024-03-28T16:10:10.95,1,CBLZ-EN006,Rare,WIND,Effect Monster,1300,1800,"You can target 1 face-up ""Utopia"" monster you control; equip this card from your hand or side of the field to that target. It gains 1300 ATK. While this card is equipped to a monster, the equipped monster cannot be targeted by your opponent's Spells, Traps, or card effects. If the equipped monster would be destroyed by battle, destroy this Equip Card instead. You can only control 1 face-up ""ZW - Tornado Bringer"".",0.03,0.33,4.0,0.16,,Unlimited,Dragon
67601,ZW - Tornado Bringer,ZW Tornado Bringer,https://tcgplayer-cdn.tcgplayer.com/product/67601_200w.jpg,2,576,https://cpt.tcgcsv.com/23z,2024-03-28T16:10:10.95,1,CBLZ-EN006,Rare,WIND,Effect Monster,1300,1800,"You can target 1 face-up ""Utopia"" monster you control; equip this card from your hand or side of the field to that target. It gains 1300 ATK. While this card is equipped to a monster, the equipped monster cannot be targeted by your opponent's Spells, Traps, or card effects. If the equipped monster would be destroyed by battle, destroy this Equip Card instead. You can only control 1 face-up ""ZW - Tornado Bringer"".",0.02,0.35,5.0,0.38,,1st Edition,Dragon
67602,ZW - Ultimate Shield,ZW Ultimate Shield,https://tcgplayer-cdn.tcgplayer.com/product/67602_200w.jpg,2,576,https://cpt.tcgcsv.com/33z,2024-03-28T16:10:11.033,1,CBLZ-EN007,Common,EARTH,Effect Monster,0,2000,"When this card is Normal or Special Summoned: You can target 1 of your banished Xyz Monsters; Special Summon that target in face-up Defense Position. You can target 1 ""Utopia"" monster you control; equip this card you control to that target. It gains 2000 DEF. You can only control 1 face-up ""ZW - Ultimate Shield"".",0.01,0.2,1.49,0.04,,Unlimited,Aqua
67602,ZW - Ultimate Shield,ZW Ultimate Shield,https://tcgplayer-cdn.tcgplayer.com/product/67602_200w.jpg,2,576,https://cpt.tcgcsv.com/33z,2024-03-28T16:10:11.033,1,CBLZ-EN007,Common,EARTH,Effect Monster,0,2000,"When this card is Normal or Special Summoned: You can target 1 of your banished Xyz Monsters; Special Summon that target in face-up Defense Position. You can target 1 ""Utopia"" monster you control; equip this card you control to that target. It gains 2000 DEF. You can only control 1 face-up ""ZW - Ultimate Shield"".",0.05,0.25,1.49,0.15,,1st Edition,Aqua
67603,Gagaga Clerk,Gagaga Clerk,https://tcgplayer-cdn.tcgplayer.com/product/67603_200w.jpg,2,576,https://cpt.tcgcsv.com/53z,2024-03-28T16:10:11.08,1,CBLZ-EN008,Super Rare,EARTH,Effect Monster,400,800,"If you control a ""Gagaga"" monster, except ""Gagaga Clerk"", you can Special Summon this card (from your hand).",2.0,3.2,6.5,3.18,,Unlimited,Warrior
67603,Gagaga Clerk,Gagaga Clerk,https://tcgplayer-cdn.tcgplayer.com/product/67603_200w.jpg,2,576,https://cpt.tcgcsv.com/53z,2024-03-28T16:10:11.08,1,CBLZ-EN008,Super Rare,EARTH,Effect Monster,400,800,"If you control a ""Gagaga"" monster, except ""Gagaga Clerk"", you can Special Summon this card (from your hand).",2.0,3.15,6.0,3.45,,1st Edition,Warrior
67604,Spear Shark,Spear Shark,https://tcgplayer-cdn.tcgplayer.com/product/67604_200w.jpg,2,576,https://cpt.tcgcsv.com/63z,2024-03-28T16:10:11.14,1,CBLZ-EN009,Common,WATER,Effect Monster,1600,1400,"When this card is Normal Summoned: You can increase the Level of all face-up Level 3 Fish-Type monsters you currently control by 1. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent.",0.09,0.22,1.49,0.16,,Unlimited,Fish
