productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
98382,Crossed Souls Booster Box,Crossed Souls Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/98382_200w.jpg,2,1537,https://cpt.tcgcsv.com/GmP,2015-08-24T11:05:19.343,1,115.64,122.82,299.99,119.75,,Normal,,,,,,,,
98383,Crossed Souls Booster Pack,Crossed Souls Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/98383_200w.jpg,2,1537,https://cpt.tcgcsv.com/HmP,2019-08-12T16:14:34.207,1,3.3,5.5,15.45,4.25,,Normal,,,,,,,,
98401,Sea Dragoons of Draconia,Sea Dragoons of Draconia,https://tcgplayer-cdn.tcgplayer.com/product/98401_200w.jpg,2,1537,https://cpt.tcgcsv.com/2nP,2015-05-18T14:16:10.487,1,0.05,0.3,1.49,0.21,,Unlimited,CROS-EN000,Rare,WATER,Sea Serpent,Pendulum/Effect Monster,200,2100,"<b>Pendulum Effect:</b>  When a monster is destroyed by battle: You can Special Summon 1 Normal Monster from your hand. You can only use this effect of ""Sea Dragoons of Draconia"" once per turn.
<br>
<br><b>Monster Effect:</b>  Silently creeping in from the deep sea, elite black ops marine troops of the Draconia Empire wage an endless battle against the hated Principality of Dinon on the sea's opposite shores."
98401,Sea Dragoons of Draconia,Sea Dragoons of Draconia,https://tcgplayer-cdn.tcgplayer.com/product/98401_200w.jpg,2,1537,https://cpt.tcgcsv.com/2nP,2015-05-18T14:16:10.487,1,0.05,0.27,1.41,0.18,,1st Edition,CROS-EN000,Rare,WATER,Sea Serpent,Pendulum/Effect Monster,200,2100,"<b>Pendulum Effect:</b>  When a monster is destroyed by battle: You can Special Summon 1 Normal Monster from your hand. You can only use this effect of ""Sea Dragoons of Draconia"" once per turn.
<br>
<br><b>Monster Effect:</b>  Silently creeping in from the deep sea, elite black ops marine troops of the Draconia Empire wage an endless battle against the hated Principality of Dinon on the sea's opposite shores."
98402,Phantom Gryphon,Phantom Gryphon,https://tcgplayer-cdn.tcgplayer.com/product/98402_200w.jpg,2,1537,https://cpt.tcgcsv.com/3nP,2021-11-15T15:24:43.6,1,0.25,0.5,1.26,0.4,,Unlimited,CROS-EN001,Common,WIND,Winged Beast,Normal Monster,2000,0,"<i>A legendary monster that dwells secretly in the mountains, fighting with the harpies over hunting grounds. A single wingbeat is said to cause the fiercest of storms.</i>"
98402,Phantom Gryphon,Phantom Gryphon,https://tcgplayer-cdn.tcgplayer.com/product/98402_200w.jpg,2,1537,https://cpt.tcgcsv.com/3nP,2021-11-15T15:24:43.6,1,0.25,0.5,1.75,0.48,,1st Edition,CROS-EN001,Common,WIND,Winged Beast,Normal Monster,2000,0,"<i>A legendary monster that dwells secretly in the mountains, fighting with the harpies over hunting grounds. A single wingbeat is said to cause the fiercest of storms.</i>"
98403,Performapal Elephammer,Performapal Elephammer,https://tcgplayer-cdn.tcgplayer.com/product/98403_200w.jpg,2,1537,https://cpt.tcgcsv.com/5nP,2015-05-16T19:17:06.903,1,0.11,0.25,1.42,0.17,,Unlimited,CROS-EN002,Rare,EARTH,,Effect Monster,2600,1800,"If you control 2 or more ""Performapal"" cards, you can Normal Summon this card without Tributing. Cannot attack unless you control another ""Performapal"" card. When this card declares an attack: You can return all Spell and Trap Cards your opponent controls to the hand."
98403,Performapal Elephammer,Performapal Elephammer,https://tcgplayer-cdn.tcgplayer.com/product/98403_200w.jpg,2,1537,https://cpt.tcgcsv.com/5nP,2015-05-16T19:17:06.903,1,0.05,0.26,1.49,0.2,,1st Edition,CROS-EN002,Rare,EARTH,,Effect Monster,2600,1800,"If you control 2 or more ""Performapal"" cards, you can Normal Summon this card without Tributing. Cannot attack unless you control another ""Performapal"" card. When this card declares an attack: You can return all Spell and Trap Cards your opponent controls to the hand."
98404,Performapal Bowhopper,Performapal Bowhopper,https://tcgplayer-cdn.tcgplayer.com/product/98404_200w.jpg,2,1537,https://cpt.tcgcsv.com/6nP,2015-05-16T19:16:52.247,1,0.01,0.2,1.0,0.14,,Unlimited,CROS-EN003,Common,EARTH,Insect,Effect Monster,1500,1000,"You can Tribute 1 ""Performapal"" monster; inflict damage to your opponent equal to the Tributed monster's Level on the field x 100. You can Tribute 1 ""Performapal"" monster, then target 1 ""Performapal"" monster in your Graveyard, except the Tributed monster; add it to your hand. You can only use each effect of ""Performapal Bowhopper"" once per turn."
98404,Performapal Bowhopper,Performapal Bowhopper,https://tcgplayer-cdn.tcgplayer.com/product/98404_200w.jpg,2,1537,https://cpt.tcgcsv.com/6nP,2015-05-16T19:16:52.247,1,0.03,0.19,1.49,0.07,,1st Edition,CROS-EN003,Common,EARTH,Insect,Effect Monster,1500,1000,"You can Tribute 1 ""Performapal"" monster; inflict damage to your opponent equal to the Tributed monster's Level on the field x 100. You can Tribute 1 ""Performapal"" monster, then target 1 ""Performapal"" monster in your Graveyard, except the Tributed monster; add it to your hand. You can only use each effect of ""Performapal Bowhopper"" once per turn."
