productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
580776,Crossover Breakers  - Booster Pack,Crossover Breakers Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/580776_200w.jpg,2,23653,https://cpt.tcgcsv.com/xkG6,2024-12-06T05:10:12.56,1,"Konami Digital Entertainment Inc, is proud to bring you our final booster product of 2024, Crossover Breakers that releases on December 6, 2024. Get ready to jump into the action with multiple new and unique themes in Crossover Breakers! This set contains multiple brand-new themes that introduce innovative strategies and will make for exciting Duels! Whether you are looking for something cool, cute, or a really big Dragon, Crossover Breakers has something for every kind of Duelist, and includes cards available as Collectors Rares and Quarter Century Secret Rares.",83717866374,2.78,4.12,10.16,2.94,,Normal,,,,,,,,,
580777,Crossover Breakers - Booster Box,Crossover Breakers Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/580777_200w.jpg,2,23653,https://cpt.tcgcsv.com/zkG6,2024-12-06T05:10:12.56,1,"Product Configuration: 24 Packs per Box, 7 Cards per Pack
<br>Konami Digital Entertainment Inc, is proud to bring you our final booster product of 2024, Crossover Breakers that releases on December 6, 2024. Get ready to jump into the action with multiple new and unique themes in Crossover Breakers! This set contains multiple brand-new themes that introduce innovative strategies and will make for exciting Duels! Whether you are looking for something cool, cute, or a really big Dragon, Crossover Breakers has something for every kind of Duelist, and includes cards available as Collectors Rares and Quarter Century Secret Rares.",83717866374,64.99,71.33,139.99,69.34,,Normal,,,,,,,,,
599840,Sword Ryzeal,Sword Ryzeal,https://tcgplayer-cdn.tcgplayer.com/product/599840_200w.jpg,2,23653,https://cpt.tcgcsv.com/QXP6,2024-12-06T05:10:12.56,1,"If you have a ""Ryzeal"" monster in your field or GY, you can Special Summon this card (from your hand). If Summoned this way, you cannot Special Summon from the Extra Deck for the rest of this turn, except Rank 4 Xyz Monsters. You can only Special Summon ""Sword Ryzeal"" once per turn this way. If this card is Normal or Special Summoned: You can add 1 LIGHT Pyro monster from your Deck to your hand. You can only use this effect of ""Sword Ryzeal"" once per turn.",,1.84,3.79,94.0,3.23,5.46,1st Edition,CRBR-EN001,Ultra Rare,FIRE,Thunder,Effect Monster,1500,200,,
599841,Node Ryzeal,Node Ryzeal,https://tcgplayer-cdn.tcgplayer.com/product/599841_200w.jpg,2,23653,https://cpt.tcgcsv.com/RXP6,2024-12-06T05:10:12.56,1,"If you have an Xyz Monster in your field or GY, you can Special Summon this card (from your hand). If Summoned this way, you cannot Special Summon from the Extra Deck for the rest of this turn, except Rank 4 Xyz Monsters. You can only Special Summon ""Node Ryzeal"" once per turn this way. You can send 1 card from your hand or field to the GY, then target 1 ""Ryzeal"" monster in your GY, except ""Node Ryzeal""; Special Summon it in Defense Position, but negate its effects. You can only use this effect of ""Node Ryzeal"" once per turn.",,0.01,0.16,1.56,0.07,0.05,1st Edition,CRBR-EN002,Rare,FIRE,Thunder,Effect Monster,1400,1600,,
599842,Ice Ryzeal,Ice Ryzeal,https://tcgplayer-cdn.tcgplayer.com/product/599842_200w.jpg,2,23653,https://cpt.tcgcsv.com/SXP6,2024-12-06T05:10:12.56,1,"You can Special Summon this card (from your hand) by sending 1 card from your hand or field to the GY. If Summoned this way, you cannot Special Summon from the Extra Deck for the rest of this turn, except Rank 4 Xyz Monsters. You can only Special Summon ""Ice Ryzeal"" once per turn this way. If this card is Normal Summoned: You can Special Summon 1 ""Ryzeal"" monster from your Deck, except ""Ice Ryzeal"". You can only use this effect of ""Ice Ryzeal"" once per turn.",,2.0,4.99,47.43,2.53,5.98,1st Edition,CRBR-EN003,Ultra Rare,LIGHT,Pyro,Effect Monster,1700,1000,,
599843,Ext Ryzeal,Ext Ryzeal,https://tcgplayer-cdn.tcgplayer.com/product/599843_200w.jpg,2,23653,https://cpt.tcgcsv.com/TXP6,2024-12-06T05:10:12.56,1,"You can Special Summon this card (from your hand) by sending 1 Xyz Monster from your Extra Deck to the GY. If Summoned this way, you cannot Special Summon from the Extra Deck for the rest of this turn, except Rank 4 Xyz Monsters. You can only Special Summon ""Ext Ryzeal"" once per turn this way. If this card is Normal or Special Summoned and you control no other face-up monsters, except Level/Rank 4 monsters: You can add 1 FIRE Thunder monster from your Deck to your hand. You can only use this effect of ""Ext Ryzeal"" once per turn.",,1.25,3.5,30.0,2.12,4.65,1st Edition,CRBR-EN004,Ultra Rare,LIGHT,Pyro,Effect Monster,500,2000,,
599844,Palm Ryzeal,Palm Ryzeal,https://tcgplayer-cdn.tcgplayer.com/product/599844_200w.jpg,2,23653,https://cpt.tcgcsv.com/VXP6,2025-01-15T19:48:13.883,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by shuffling 1 ""Ryzeal"" monster from your hand or GY into the Deck/Extra Deck. You cannot Special Summon from the Extra Deck, except Rank 4 Xyz Monsters. Once per turn, during damage calculation, if this card battles an opponent's monster: You can send 1 Level 4 monster from your hand or Deck to the GY, and if you do, this card gains ATK equal to that monster's ATK, until the end of the Battle Phase.",,0.01,0.1,1.32,0.04,0.03,1st Edition,CRBR-EN005,Rare,FIRE,Thunder,Effect Monster,1200,2400,,
599845,Palm Ryzeal (SR),Palm Ryzeal SR,https://tcgplayer-cdn.tcgplayer.com/product/599845_200w.jpg,2,23653,https://cpt.tcgcsv.com/WXP6,2024-12-06T05:10:12.56,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by shuffling 1 ""Ryzeal"" monster from your hand or GY into the Deck/Extra Deck. You cannot Special Summon from the Extra Deck, except Rank 4 Xyz Monsters. Once per turn, during damage calculation, if this card battles an opponent's monster: You can send 1 Level 4 monster from your hand or Deck to the GY, and if you do, this card gains ATK equal to that monster's ATK, until the end of the Battle Phase.",,0.03,0.27,4.99,0.28,0.25,1st Edition,CRBR-EN005,Super Rare,FIRE,Thunder,Effect Monster,1200,2400,,
599846,Ryzeal Duo Drive,Ryzeal Duo Drive,https://tcgplayer-cdn.tcgplayer.com/product/599846_200w.jpg,2,23653,https://cpt.tcgcsv.com/XXP6,2024-12-06T05:10:12.56,1,"2+ Level 4 monsters<br>For each material this card has, monsters you control gain 100 ATK and monsters your opponent controls lose 100 ATK. You can only use each of the following effects of ""Ryzeal Duo Drive"" once per turn. If this card is Special Summoned: You can attach 1 ""Ryzeal"" monster from your GY to this card as material. During your Main Phase: You can detach 2 materials from a monster(s) you control, and if you do, add 2 ""Ryzeal"" cards with different names from your Deck to your hand.",,1.95,3.95,32.16,3.52,6.95,1st Edition,CRBR-EN006,Ultra Rare,FIRE,Thunder,Xyz/Effect Monster,2500,2000,,
599847,Ryzeal Detonator,Ryzeal Detonator,https://tcgplayer-cdn.tcgplayer.com/product/599847_200w.jpg,2,23653,https://cpt.tcgcsv.com/ZXP6,2024-12-06T05:10:12.56,1,"2+ Level 4 ""Ryzeal"" monsters<br>When your opponent activates a card or effect (Quick Effect): You can detach 1 material from this card, then target 1 card on the field; destroy it. You can only use each of the following effects of ""Ryzeal Detonator"" once per turn. If this card is Special Summoned: You can attach 1 monster from your GY to this card as material. If an Xyz Monster(s) you control would be destroyed by battle or card effect, you can detach 1 material from this card instead.",,0.29,1.48,49.99,0.8,1.19,1st Edition,CRBR-EN007,Ultra Rare,LIGHT,Pyro,Xyz/Effect Monster,3000,2500,,
