productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
28393,"Rose, Warrior of Revenge",Rose Warrior of Revenge,https://tcgplayer-cdn.tcgplayer.com/product/28393_200w.jpg,2,158,https://cpt.tcgcsv.com/Tmf,2013-05-09T12:13:41.653,1,CSOC-EN000,Ultra Rare,Fire,Warrior,Tuner Monster,1600,600,"When this card inflicts Battle Damage to your opponent, inflict 300 damage to your opponent.",1.44,1.87,5.0,1.84,,Unlimited,
28393,"Rose, Warrior of Revenge",Rose Warrior of Revenge,https://tcgplayer-cdn.tcgplayer.com/product/28393_200w.jpg,2,158,https://cpt.tcgcsv.com/Tmf,2013-05-09T12:13:41.653,1,CSOC-EN000,Ultra Rare,Fire,Warrior,Tuner Monster,1600,600,"When this card inflicts Battle Damage to your opponent, inflict 300 damage to your opponent.",2.29,3.63,6.0,2.94,,1st Edition,
28394,Healing Wave Generator,Healing Wave Generator,https://tcgplayer-cdn.tcgplayer.com/product/28394_200w.jpg,2,158,https://cpt.tcgcsv.com/Vmf,2013-05-09T12:13:41.653,1,CSOC-EN001,Common,Light,Machine,Effect Monster,800,1600,"Once per turn, you can select another face-up monster you control to gain Life Points equal to that monster''s Level x 100.",0.05,0.2,1.41,0.16,,Unlimited,
28394,Healing Wave Generator,Healing Wave Generator,https://tcgplayer-cdn.tcgplayer.com/product/28394_200w.jpg,2,158,https://cpt.tcgcsv.com/Vmf,2013-05-09T12:13:41.653,1,CSOC-EN001,Common,Light,Machine,Effect Monster,800,1600,"Once per turn, you can select another face-up monster you control to gain Life Points equal to that monster''s Level x 100.",0.12,0.25,2.01,0.22,,1st Edition,
28395,Turbo Synchron,Turbo Synchron,https://tcgplayer-cdn.tcgplayer.com/product/28395_200w.jpg,2,158,https://cpt.tcgcsv.com/Wmf,2013-05-09T12:13:41.653,1,CSOC-EN002,Rare,Wind,Machine,Tuner Monster,100,500,"When this card declares an attack, you can change the attack target to Defense Position. When you take Battle Damage while this card is attacking, you can Special Summon 1 monster from your hand with ATK equal to or less than the Battle Damage you took.",0.14,0.3,1.98,0.27,,Unlimited,
28395,Turbo Synchron,Turbo Synchron,https://tcgplayer-cdn.tcgplayer.com/product/28395_200w.jpg,2,158,https://cpt.tcgcsv.com/Wmf,2013-05-09T12:13:41.653,1,CSOC-EN002,Rare,Wind,Machine,Tuner Monster,100,500,"When this card declares an attack, you can change the attack target to Defense Position. When you take Battle Damage while this card is attacking, you can Special Summon 1 monster from your hand with ATK equal to or less than the Battle Damage you took.",0.18,0.42,2.06,0.46,,1st Edition,
28396,Mad Archfiend,Mad Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/28396_200w.jpg,2,158,https://cpt.tcgcsv.com/Xmf,2013-05-09T12:13:41.653,1,CSOC-EN003,Rare,Dark,Fiend,Effect Monster,1800,0,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this face-up Attack Position card is selected as an attack target, change it to Defense Position.",0.2,0.36,1.49,0.37,,Unlimited,
28396,Mad Archfiend,Mad Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/28396_200w.jpg,2,158,https://cpt.tcgcsv.com/Xmf,2013-05-09T12:13:41.653,1,CSOC-EN003,Rare,Dark,Fiend,Effect Monster,1800,0,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this face-up Attack Position card is selected as an attack target, change it to Defense Position.",0.21,0.45,1.0,0.43,,1st Edition,
28397,Wall of Ivy,Wall of Ivy,https://tcgplayer-cdn.tcgplayer.com/product/28397_200w.jpg,2,158,https://cpt.tcgcsv.com/Zmf,2013-05-09T12:13:41.653,1,CSOC-EN004,Common,Earth,Plant,Effect Monster,300,1200,"FLIP: Special Summon 1 ""Ivy Token"" (Plant-Type/EARTH/Level 1/ATK 0/DEF 0) in Defense Position to your opponent''s side of the field. When this Token is destroyed, its controller takes 300 damage.",0.05,0.2,1.41,0.16,,Unlimited,
28397,Wall of Ivy,Wall of Ivy,https://tcgplayer-cdn.tcgplayer.com/product/28397_200w.jpg,2,158,https://cpt.tcgcsv.com/Zmf,2013-05-09T12:13:41.653,1,CSOC-EN004,Common,Earth,Plant,Effect Monster,300,1200,"FLIP: Special Summon 1 ""Ivy Token"" (Plant-Type/EARTH/Level 1/ATK 0/DEF 0) in Defense Position to your opponent''s side of the field. When this Token is destroyed, its controller takes 300 damage.",0.11,0.3,0.74,0.55,,1st Edition,
28398,Copy Plant,Copy Plant,https://tcgplayer-cdn.tcgplayer.com/product/28398_200w.jpg,2,158,https://cpt.tcgcsv.com/-mf,2013-05-09T12:13:41.653,1,CSOC-EN005,Common,Wind,Plant,Tuner Monster,0,0,"Once per turn, you can select 1 face-up Plant-Type monster on the field to have this card''s Level become equal to the selected monster''s Level, until the End Phase.",0.28,0.7,2.92,0.75,,Unlimited,
28398,Copy Plant,Copy Plant,https://tcgplayer-cdn.tcgplayer.com/product/28398_200w.jpg,2,158,https://cpt.tcgcsv.com/-mf,2013-05-09T12:13:41.653,1,CSOC-EN005,Common,Wind,Plant,Tuner Monster,0,0,"Once per turn, you can select 1 face-up Plant-Type monster on the field to have this card''s Level become equal to the selected monster''s Level, until the End Phase.",2.02,2.8,4.97,2.98,,1st Edition,
28399,Morphtronic Celfon,Morphtronic Celfon,https://tcgplayer-cdn.tcgplayer.com/product/28399_200w.jpg,2,158,https://cpt.tcgcsv.com/_mf,2013-05-09T12:13:41.653,1,CSOC-EN006,Common,Earth,Machine,Effect Monster,100,100,"*While in Attack Position: Once per turn, you can roll a six-sided die. Reveal cards from the top of your Deck equal to the roll and Special Summon 1 Level 4 or lower ""Morphtronic"" monster from among them, ignoring the Summoning conditions. Shuffle the rest into the Deck. *While in Defense Position: Once per turn, you can roll a six-sided die. Look at cards from the top of your Deck equal to the roll, then return them in the same order.",0.19,0.49,1.99,0.47,,Unlimited,
28399,Morphtronic Celfon,Morphtronic Celfon,https://tcgplayer-cdn.tcgplayer.com/product/28399_200w.jpg,2,158,https://cpt.tcgcsv.com/_mf,2013-05-09T12:13:41.653,1,CSOC-EN006,Common,Earth,Machine,Effect Monster,100,100,"*While in Attack Position: Once per turn, you can roll a six-sided die. Reveal cards from the top of your Deck equal to the roll and Special Summon 1 Level 4 or lower ""Morphtronic"" monster from among them, ignoring the Summoning conditions. Shuffle the rest into the Deck. *While in Defense Position: Once per turn, you can roll a six-sided die. Look at cards from the top of your Deck equal to the roll, then return them in the same order.",0.2,0.73,1.99,0.73,,1st Edition,
28400,Morphtronic Magnen,Morphtronic Magnen,https://tcgplayer-cdn.tcgplayer.com/product/28400_200w.jpg,2,158,https://cpt.tcgcsv.com/0nf,2013-05-09T12:13:41.653,1,CSOC-EN007,Common,Earth,Thunder,Effect Monster,800,800,"*While in Attack Position: If your opponent controls a face-up monster, this card can only select their highest ATK monster as an attack target. *While in Defense Position: Your opponent cannot select another monster as an attack target.",0.03,0.25,1.49,0.18,,Unlimited,
28400,Morphtronic Magnen,Morphtronic Magnen,https://tcgplayer-cdn.tcgplayer.com/product/28400_200w.jpg,2,158,https://cpt.tcgcsv.com/0nf,2013-05-09T12:13:41.653,1,CSOC-EN007,Common,Earth,Thunder,Effect Monster,800,800,"*While in Attack Position: If your opponent controls a face-up monster, this card can only select their highest ATK monster as an attack target. *While in Defense Position: Your opponent cannot select another monster as an attack target.",0.14,0.3,1.0,0.28,,1st Edition,
