productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extMonsterType,extAttack,extDefense,extLinkRating,extLinkArrows
484141,Cyberstorm Access Booster Pack [1st Edition],Cyberstorm Access Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/484141_200w.jpg,2,22896,https://cpt.tcgcsv.com/RGT5,2023-05-05T04:03:23.987,1,Each pack contains 9 cards.,083717860211,2.36,2.93,8.44,2.45,,Normal,,,,,,,,,
484142,Cyberstorm Access Booster Box [1st Edition],Cyberstorm Access Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/484142_200w.jpg,2,22896,https://cpt.tcgcsv.com/SGT5,2023-05-05T04:03:23.987,1,Each box contains 24 packs consisting of 9 cards.,083717860228,37.58,62.99,107.94,36.12,,Normal,,,,,,,,,
493818,Numbers Eveil,Numbers Eveil,https://tcgplayer-cdn.tcgplayer.com/product/493818_200w.jpg,2,22896,https://cpt.tcgcsv.com/nxZ5,2024-07-26T17:15:09.24,1,"If your opponent controls a monster(s) Special Summoned from the Extra Deck and you do not: Choose 4 ""Number"" Xyz Monsters from your Extra Deck with different Ranks, plus a 5th ""Number"" Xyz Monster whose ""Number"" value in its name equals the combined ""Number"" values of the 4 other monsters, Special Summon that 5th ""Number"" monster (this is treated as an Xyz Summon), and attach the 4 chosen monsters to it as material, but you cannot Special Summon monsters, except ""Number"" Xyz Monsters, while you control that face-up monster.",,0.03,0.35,8.98,0.24,0.24,1st Edition,CYAC-EN000,Ultra Rare,SPELL,Normal Spell,,,,,
493820,Firewall Phantom,Firewall Phantom,https://tcgplayer-cdn.tcgplayer.com/product/493820_200w.jpg,2,22896,https://cpt.tcgcsv.com/qxZ5,2024-07-26T17:15:09.303,1,"If this card is sent to the GY as material for the Link Summon of a Cyberse monster: You can add 1 ""Cynet"" Spell/Trap from your Deck to your hand, then discard 1 card. You can banish this card from your GY; during the End Phase of this turn, shuffle 1 Cyberse monster from your GY into the Deck. You can only use each effect of ""Firewall Phantom"" once per turn.",,0.01,0.15,2.0,0.08,0.01,1st Edition,CYAC-EN002,Common,DARK,Effect Monster,Cyberse,2000,1300,,
493822,Superheavy Samurai Motorbike,Superheavy Samurai Motorbike,https://tcgplayer-cdn.tcgplayer.com/product/493822_200w.jpg,2,22896,https://cpt.tcgcsv.com/sxZ5,2024-07-26T17:15:09.353,1,"If you have no Spells/Traps in your GY: You can discard this card; add 1 ""Superheavy Samurai"" monster from your Deck to your hand, except ""Superheavy Samurai Motorbike"". You can only use this effect of ""Superheavy Samurai Motorbike"" once per turn. Once per turn: You can target 1 Machine monster you control; increase its Level by 2.",,0.01,0.2,1.99,0.05,0.01,1st Edition,CYAC-EN003,Common,EARTH,Effect Tuner Monster,Machine,800,1200,,
493823,Superheavy Samurai Stealthy,Superheavy Samurai Stealthy,https://tcgplayer-cdn.tcgplayer.com/product/493823_200w.jpg,2,22896,https://cpt.tcgcsv.com/txZ5,2024-07-26T17:15:09.4,1,"If you have no Spells/Traps in your GY, you can Special Summon this card (from your hand). You can only Special Summon ""Superheavy Samurai Stealthy"" once per turn this way. If you have no Spells/Traps in your GY (Quick Effect): You can Tribute this card, then target 1 Spell/Trap in your opponent's GY; Set it to your field, but banish it when it leaves the field. You can only use this effect of ""Superheavy Samurai Stealthy"" once per turn.",,0.01,0.15,2.0,0.03,,1st Edition,CYAC-EN004,Common,EARTH,Effect Monster,Machine,200,700,,
493824,Superheavy Samurai Soulgaia Booster,Superheavy Samurai Soulgaia Booster,https://tcgplayer-cdn.tcgplayer.com/product/493824_200w.jpg,2,22896,https://cpt.tcgcsv.com/vxZ5,2024-07-26T17:15:09.45,1,"You can target 1 ""Superheavy Samurai"" monster you control; equip this card from your hand or field to that monster you control. The equipped monster is treated as a Tuner. If you have no Spells/Traps in your GY and this card was equipped to a monster by this card's effect: You can Special Summon this equipped card. You can only use this effect of ""Superheavy Samurai Soulgaia Booster"" once per turn.",,0.01,0.15,2.0,0.08,0.05,1st Edition,CYAC-EN005,Common,EARTH,Effect Monster,Machine,0,0,,
493828,Superheavy Samurai Prodigy Wakaushi,Superheavy Samurai Prodigy Wakaushi,https://tcgplayer-cdn.tcgplayer.com/product/493828_200w.jpg,2,22896,https://cpt.tcgcsv.com/BxZ5,2023-05-05T04:03:23.987,1,"<strong>Pendulum Effect</strong>
<br>If you have no Spells/Traps in your GY: You can place 1 ""Superheavy Samurai"" Pendulum Monster from your Deck, except ""Superheavy Samurai Prodigy Wakaushi"", in your other Pendulum Zone, then Special Summon this card. You can only use this effect of ""Superheavy Samurai Prodigy Wakaushi"" once per turn.
<br><strong>Monster Effect</strong>
<br>If you have no Spells/Traps in your GY: You can discard 1 monster; Special Summon 1 ""Superheavy Samurai"" monster from your hand or Deck in Defense Position, also you cannot Special Summon monsters for the rest of this turn, except ""Superheavy Samurai"" monsters. If this card is used as Synchro Material and added to your Extra Deck face-up: You can place this card in your Pendulum Zone. You can only use each effect of ""Superheavy Samurai Prodigy Wakaushi"" once per turn.",,0.15,0.75,9.99,0.67,1.74,1st Edition,CYAC-EN006,Super Rare,DARK,Effect Tuner Pendulum Monster,Machine,1000,1500,,
493829,Superheavy Samurai Monk Big Benkei,Superheavy Samurai Monk Big Benkei,https://tcgplayer-cdn.tcgplayer.com/product/493829_200w.jpg,2,22896,https://cpt.tcgcsv.com/CxZ5,2024-07-26T17:15:09.497,1,"<strong>Pendulum Effect</strong>
<br>If you control a ""Superheavy Samurai"" monster: You can add 1 ""Superheavy Samurai Soul"" monster from your Deck to your hand. You can only use this effect of ""Superheavy Samurai Monk Big Benkei"" once per turn.
<br><strong>Monster Effect</strong>
<br>If you have no Spells/Traps in your GY: You can send 1 ""Superheavy Samurai Big Benkei"" from your hand or Deck to the GY, and if you do, Special Summon this card from your hand. If this card is used as Synchro Material and added to your Extra Deck face-up: You can place this card in your Pendulum Zone. You can only use each effect of ""Superheavy Samurai Monk Big Benkei"" once per turn.",,0.01,0.2,2.0,0.06,0.05,1st Edition,CYAC-EN007,Common,EARTH,Effect Pendulum Monster,Machine,1000,3500,,
493830,The Bystial Aluber,The Bystial Aluber,https://tcgplayer-cdn.tcgplayer.com/product/493830_200w.jpg,2,22896,https://cpt.tcgcsv.com/DxZ5,2024-07-26T17:15:09.557,1,"This card's name becomes ""Fallen of Albaz"" while on the field or in the GY. If this card is Normal or Special Summoned: You can discard 1 card, then target 1 Dragon monster your opponent controls or in their GY, and activate the appropriate effect;
<br>• Send this card to the GY, and if you do, take control of that monster on the field until the End Phase.
<br>• Send this card to the GY, and if you do, Special Summon that monster from the GY to your field.
<br>You can only use this effect of ""The Bystial Aluber"" once per turn.",,0.09,0.32,2.0,0.29,0.24,1st Edition,CYAC-EN008,Super Rare,DARK,Effect Tuner Monster,Dragon,1800,0,,
