productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
24201,Mucus Yolk,Mucus Yolk,https://tcgplayer-cdn.tcgplayer.com/product/24201_200w.jpg,2,164,https://cpt.tcgcsv.com/2Jc,2024-03-28T16:15:49.227,1,DB2-EN213,Common,DARK,Aqua,Effect Monster,0,100,"This card may attack your opponent's Life Points directly. Each time this card inflicts battle damage to your opponent's Life Points, increase the ATK of this card by 1000 points during your next Standby Phase. The ATK increase lasts as long as this card",0.18,0.31,1.56,0.26,,Unlimited,
24202,Maryokutai,Maryokutai,https://tcgplayer-cdn.tcgplayer.com/product/24202_200w.jpg,2,164,https://cpt.tcgcsv.com/3Jc,2024-03-28T16:15:49.363,1,DB2-EN011,Common,WATER,Aqua,Effect Monster,900,900,"The effect of this card can only be applied during your opponent's turn. When your opponent activates a Spell Card, offer this face-up card as a Tribute to negate the activation of the Spell Card and destroy it.",0.1,0.35,1.48,0.36,,Unlimited,
24203,Catapult Turtle,Catapult Turtle,https://tcgplayer-cdn.tcgplayer.com/product/24203_200w.jpg,2,164,https://cpt.tcgcsv.com/5Jc,2024-03-28T16:15:49.533,1,DB2-EN047,Super Rare,WATER,Aqua,Effect Monster,1000,2000,Offer 1 monster on your side of the Field as a Tribute in order to inflict Direct Damage equal to half of the Tribute monster's ATK to your opponent's Life Points. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards' effe,1.49,3.0,10.98,3.62,,Unlimited,
24204,Star Boy,Star Boy,https://tcgplayer-cdn.tcgplayer.com/product/24204_200w.jpg,2,164,https://cpt.tcgcsv.com/6Jc,2024-03-28T16:15:49.81,1,DB2-EN064,Common,WATER,Aqua,Effect Monster,550,500,"As long as this card remains face-up on the Field, increase the ATK of all WATER monsters by 500 points and decrease the ATK of all FIRE monsters by 400 points.",0.14,0.4,1.0,0.34,,Unlimited,
24205,Penguin Soldier,Penguin Soldier,https://tcgplayer-cdn.tcgplayer.com/product/24205_200w.jpg,2,164,https://cpt.tcgcsv.com/7Jc,2024-03-28T16:15:49.873,1,DB2-EN105,Rare,WATER,Aqua,Flip/Effect Monster,750,500,FLIP: You can return up to 2 Monster Cards from the field to the owner's hand.,0.5,0.83,1.99,0.66,,Unlimited,
24206,Maiden of the Aqua,Maiden of the Aqua,https://tcgplayer-cdn.tcgplayer.com/product/24206_200w.jpg,2,164,https://cpt.tcgcsv.com/8Jc,2024-03-28T16:15:49.933,1,DB2-EN211,Common,WATER,Aqua,Effect Monster,700,2000,"As long as this card remains face-up on the field, the field is treated as Umi. (However, there is no increasing or decreasing of ATK/DEF due to Umi's effect.) If there is an active field card on the field, this effect is not applied.",0.5,1.02,9.5,0.85,,Unlimited,
24207,Gora Turtle,Gora Turtle,https://tcgplayer-cdn.tcgplayer.com/product/24207_200w.jpg,2,164,https://cpt.tcgcsv.com/9Jc,2024-03-28T16:15:49.967,1,DB2-EN215,Common,WATER,Aqua,Effect Monster,1100,1100,"As long as this card remains face-up on the field, monsters with an ATK equal to 1900 or more cannot attack.",0.2,0.33,0.99,0.34,,Unlimited,
24208,Mystic Horseman,Mystic Horseman,https://tcgplayer-cdn.tcgplayer.com/product/24208_200w.jpg,2,164,https://cpt.tcgcsv.com/bJc,2024-03-28T16:15:50.02,1,DB2-EN048,Common,EARTH,Beast,Normal Monster,1300,1550,"Half man and half horse, this monster is known for its extreme speed.",0.1,0.25,1.98,0.11,,Unlimited,
24209,Gazelle the King of Mythical Beasts,Gazelle the King of Mythical Beasts,https://tcgplayer-cdn.tcgplayer.com/product/24209_200w.jpg,2,164,https://cpt.tcgcsv.com/cJc,2024-03-28T16:15:50.067,1,DB2-EN071,Common,EARTH,Beast,Normal Monster,1500,1200,This monster moves so fast that it looks like an illusion to mortal eyes.,0.1,0.25,1.41,0.14,,Unlimited,
24211,Milus Radiant,Milus Radiant,https://tcgplayer-cdn.tcgplayer.com/product/24211_200w.jpg,2,164,https://cpt.tcgcsv.com/fJc,2024-03-28T16:15:50.177,1,DB2-EN065,Common,EARTH,Beast,Effect Monster,300,250,"As long as this card remains face-up on the field, increase the ATK of all EARTH monsters by 500 points and decrease the ATK of all WIND monsters by 400 points.",0.24,0.49,1.61,0.56,,Unlimited,
