productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
24622,Ojama Yellow,Ojama Yellow,https://tcgplayer-cdn.tcgplayer.com/product/24622_200w.jpg,2,173,https://cpt.tcgcsv.com/sSc,2024-03-28T16:17:30.377,1,DR2-EN001,Common,LIGHT,Beast,Normal Monster,0,1000,"He''s one of the Ojama Trio. It''s said that he butts in by any means necessary. It''s also said that when the three are together, something happens.",0.2,0.5,3.99,0.4,,Unlimited
24623,Ojama Black,Ojama Black,https://tcgplayer-cdn.tcgplayer.com/product/24623_200w.jpg,2,173,https://cpt.tcgcsv.com/tSc,2024-03-28T16:17:30.44,1,DR2-EN002,Common,LIGHT,Beast,Normal Monster,0,1000,"He''s one of the Ojama Trio. It''s said that he butts in by any means necessary. It''s also said that when the three are together, something happens.",0.65,1.49,2.59,1.74,,Unlimited
24624,Soul Tiger,Soul Tiger,https://tcgplayer-cdn.tcgplayer.com/product/24624_200w.jpg,2,173,https://cpt.tcgcsv.com/vSc,2024-03-28T16:17:30.613,1,DR2-EN003,Common,EARTH,Beast,Normal Monster,0,2100,The soul of a tiger that is said to devour human souls. He is a famous soul that you wouldn''t want to run into in a dark alley.,0.15,0.65,1.36,0.46,,Unlimited
24625,Big Koala,Big Koala,https://tcgplayer-cdn.tcgplayer.com/product/24625_200w.jpg,2,173,https://cpt.tcgcsv.com/wSc,2024-03-28T16:17:30.677,1,DR2-EN004,Common,EARTH,Beast,Normal Monster,2700,2000,"A species of huge Des Koala. He''s meek, but people are afraid of him because he''s very powerful.",0.4,0.72,1.55,0.75,,Unlimited
24626,Des Kangaroo,Des Kangaroo,https://tcgplayer-cdn.tcgplayer.com/product/24626_200w.jpg,2,173,https://cpt.tcgcsv.com/xSc,2024-03-28T16:17:30.787,1,DR2-EN005,Common,DARK,Beast,Effect Monster,1500,1700,"When the ATK of a monster that attacks this monster is lower than the DEF of this monster, destroy the attacking monster. Damage calculations is applied normally.",0.15,0.63,1.43,0.69,,Unlimited
24627,Crimson Ninja,Crimson Ninja,https://tcgplayer-cdn.tcgplayer.com/product/24627_200w.jpg,2,173,https://cpt.tcgcsv.com/zSc,2024-03-28T16:17:30.897,1,DR2-EN006,Common,EARTH,Warrior,Effect Monster,300,300,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",0.18,0.76,9.99,0.19,,Unlimited
24628,Strike Ninja,Strike Ninja,https://tcgplayer-cdn.tcgplayer.com/product/24628_200w.jpg,2,173,https://cpt.tcgcsv.com/BSc,2024-03-28T16:17:30.993,1,DR2-EN007,Ultra Rare,DARK,Warrior,Effect Monster,1700,1200,You can remove this card from play until the End Phase of this turn by removing 2 DARK monsters in your Graveyard from play. You can use this effect during either player''s turn. You can only use this effect once per turn.,4.0,16.89,33.99,26.62,,Unlimited
24629,Gale Lizard,Gale Lizard,https://tcgplayer-cdn.tcgplayer.com/product/24629_200w.jpg,2,173,https://cpt.tcgcsv.com/CSc,2024-03-28T16:17:31.07,1,DR2-EN008,Common,WATER,Reptile,Effect Monster,1400,700,FLIP: Select 1 Monster Card on your opponent''s side of the field and return it to its owner''s hand.,0.15,0.25,0.99,0.19,,Unlimited
24630,Spirit of the Pot of Greed,Spirit of the Pot of Greed,https://tcgplayer-cdn.tcgplayer.com/product/24630_200w.jpg,2,173,https://cpt.tcgcsv.com/DSc,2024-03-28T16:17:31.147,1,DR2-EN009,Common,LIGHT,Fairy,Effect Monster,100,100,"When this card is in face-up Attack Position on the field, is a player activates Pot of Greed, he/she can draw 1 more card.",0.13,0.47,1.51,0.3,,Unlimited
24631,Chopman the Desperate Outlaw,Chopman the Desperate Outlaw,https://tcgplayer-cdn.tcgplayer.com/product/24631_200w.jpg,2,173,https://cpt.tcgcsv.com/FSc,2024-03-28T16:17:31.243,1,DR2-EN010,Common,DARK,Zombie,Effect Monster,1100,500,"When this card is Flip Summoned successfully, you can equip 1 Equip Spell Card in your Graveyard to this card.",0.09,0.25,1.4,0.16,,Unlimited
