productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
25796,Charcoal Inpachi,Charcoal Inpachi,https://tcgplayer-cdn.tcgplayer.com/product/25796_200w.jpg,2,174,https://cpt.tcgcsv.com/Xkd,2024-03-28T16:17:56.707,1,DR3-EN001,Rare,Fire,Pyro,Normal Monster,100,2100,A wicked wooden spirit that has burned out. The barbecue grilled with this charcoal is so awesome that everybody thinks it's priceless.,2.92,4.13,10.0,4.25,,Unlimited,
25797,Neo Aqua Madoor,Neo Aqua Madoor,https://tcgplayer-cdn.tcgplayer.com/product/25797_200w.jpg,2,174,https://cpt.tcgcsv.com/Zkd,2024-03-28T16:17:56.753,1,DR3-EN002,Common,Water,Spellcaster,Normal Monster,1200,3000,"The true nature of this wizard, who rules all water. It defends itself with a vast, impenetrable wall of ice.",0.65,2.62,12.9,0.76,,Unlimited,
25798,Skull Dog Marron,Skull Dog Marron,https://tcgplayer-cdn.tcgplayer.com/product/25798_200w.jpg,2,174,https://cpt.tcgcsv.com/-kd,2024-03-28T16:17:56.8,1,DR3-EN003,Common,Earth,Beast,Normal Monster,1350,2000,A lost dog that wandered off 1000 years ago. He's still waiting for his master to come for him.,0.25,0.72,5.0,0.74,,Unlimited,
25799,Goblin Calligrapher,Goblin Calligrapher,https://tcgplayer-cdn.tcgplayer.com/product/25799_200w.jpg,2,174,https://cpt.tcgcsv.com/_kd,2024-03-28T16:17:56.847,1,DR3-EN004,Common,Dark,Fiend,Normal Monster,400,400,"A Goblin who devotes himself to mastering perfect calligraphy of the word ""False"". He gives his all to each stroke.",0.15,0.48,5.0,0.25,,Unlimited,
25800,Ultimate Insect LV1,Ultimate Insect LV1,https://tcgplayer-cdn.tcgplayer.com/product/25800_200w.jpg,2,174,https://cpt.tcgcsv.com/0ld,2024-03-28T16:17:56.893,1,DR3-EN005,Rare,Wind,Insect,Effect Monster,0,0,"While this card is on the field, it is unaffected by the effects of Spell Cards. During your Standby Phase, by sending this face-up card to the Graveyard, Special Summon 1 ""Ultimate Insect LV3"" from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned, Special Summoned, or flipped face-up.)",0.79,6.13,9.99,0.75,,Unlimited,
25801,Horus the Black Flame Dragon LV4,Horus the Black Flame Dragon LV4,https://tcgplayer-cdn.tcgplayer.com/product/25801_200w.jpg,2,174,https://cpt.tcgcsv.com/2ld,2024-03-28T16:17:56.943,1,DR3-EN006,Rare,Fire,Dragon,Effect Monster,1600,1000,"Control of this card cannot switch. During the End Phase of a turn that this card destroyed a monster by battle, by sending this card to the Graveyard, Special Summon 1 ""Horus the Black Flame Dragon LV6"" from your hand or Deck.",7.21,10.31,26.95,7.91,,Unlimited,
25802,Horus the Black Flame Dragon LV6,Horus the Black Flame Dragon LV6,https://tcgplayer-cdn.tcgplayer.com/product/25802_200w.jpg,2,174,https://cpt.tcgcsv.com/3ld,2024-03-28T16:17:57.007,1,DR3-EN007,Super Rare,Fire,Dragon,Effect Monster,2300,1600,"While this card is on the field, it is unaffected by the effects of Spell Cards. During the End Phase of a turn that this card destroyed a monster by battle, by sending this card to the Graveyard, Special Summon 1 ""Horus the Black Flame Dragon LV8"" from your hand or Deck.",18.34,30.0,300.99,17.88,,Unlimited,
25803,Horus the Black Flame Dragon LV8,Horus the Black Flame Dragon LV8,https://tcgplayer-cdn.tcgplayer.com/product/25803_200w.jpg,2,174,https://cpt.tcgcsv.com/5ld,2024-03-28T16:17:57.053,1,DR3-EN008,Ultra Rare,Fire,Dragon,Effect Monster,3000,1800,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Horus the Black Flame Dragon LV6"". You can negate the activation and effect of any Spell Cards and destroy them.",17.0,43.17,59.99,37.95,,Unlimited,
25804,Dark Mimic LV1,Dark Mimic LV1,https://tcgplayer-cdn.tcgplayer.com/product/25804_200w.jpg,2,174,https://cpt.tcgcsv.com/6ld,2024-03-28T16:17:57.1,1,DR3-EN009,Common,Dark,Fiend,Effect Monster,100,1000,"FLIP: Draw 1 card. During your Standby Phase, by sending this face-up card to the Graveyard, Special Summon 1 ""Dark Mimic LV3"" from your hand or Deck.",0.5,1.1,4.4,1.11,,Unlimited,
25805,Dark Mimic LV3,Dark Mimic LV3,https://tcgplayer-cdn.tcgplayer.com/product/25805_200w.jpg,2,174,https://cpt.tcgcsv.com/7ld,2024-03-28T16:17:57.21,1,DR3-EN010,Rare,Dark,Fiend,Effect Monster,1000,1000,"If this card is sent to the Graveyard by battle, the controller of this card draws 1 card. If this card was Special Summoned by the effect of ""Dark Mimic LV1"", they draw 2 cards instead.",0.88,0.9,1.29,1.42,,Unlimited,
