productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
165462,Dark Saviors Booster Box,Dark Saviors Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/165462_200w.jpg,2,2231,https://cpt.tcgcsv.com/gcl2,2018-04-19T21:27:52.11,1,"Dark Saviors features classic monsters and new deck themes designed to appeal to both new and experienced players.  The 60-card set includes vampires that can enslave opposing monsters, skyfaring demihuman swashbucklers, and a heavily-armored heroine equipped with high-tech flying power armor that can be geared up with special weapon modules.
<br><br>The 60 cards in the set includes 40 Super Rares and 20 Secret Rares, and each booster will include five foil cards.  Boosters will be sold in 24-pack display boxes.",083717837688,198.96,207.19,239.96,207.2,,Normal,,,,,,,,,
165463,Dark Saviors Booster Pack,Dark Saviors Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/165463_200w.jpg,2,2231,https://cpt.tcgcsv.com/hcl2,2018-04-19T21:28:15.517,1,"Dark Saviors features classic monsters and new deck themes designed to appeal to both new and experienced players.  The 60-card set includes vampires that can enslave opposing monsters, skyfaring demihuman swashbucklers, and a heavily-armored heroine equipped with high-tech flying power armor that can be geared up with special weapon modules.
<br><br>The 60 cards in the set includes 40 Super Rares and 20 Secret Rares, and each booster will include five foil cards.  Boosters will be sold in 24-pack display boxes.",,9.49,10.99,23.96,10.99,,Normal,,,,,,,,,
167162,Vampire Familiar,Vampire Familiar,https://tcgplayer-cdn.tcgplayer.com/product/167162_200w.jpg,2,2231,https://cpt.tcgcsv.com/gTl2,2018-08-27T21:50:40.46,1,"If this card is Special Summoned: You can pay 500 LP; add 1 ""Vampire"" monster from your Deck to your hand, except ""Vampire Familar"". If this card is in your GY: You can send 1 ""Vampire"" card from your hand or face-up field to the GY; Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Vampire Familiar"" once per turn.",,0.19,0.56,2.99,0.52,,1st Edition,DASA-EN001,Super Rare,DARK,Zombie,Effect Monster,500,0,,
167162,Vampire Familiar,Vampire Familiar,https://tcgplayer-cdn.tcgplayer.com/product/167162_200w.jpg,2,2231,https://cpt.tcgcsv.com/gTl2,2018-08-27T21:50:40.46,1,"If this card is Special Summoned: You can pay 500 LP; add 1 ""Vampire"" monster from your Deck to your hand, except ""Vampire Familar"". If this card is in your GY: You can send 1 ""Vampire"" card from your hand or face-up field to the GY; Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Vampire Familiar"" once per turn.",,0.1,0.5,1.98,0.36,0.48,Unlimited,DASA-EN001,Super Rare,DARK,Zombie,Effect Monster,500,0,,
167163,Vampire Retainer,Vampire Retainer,https://tcgplayer-cdn.tcgplayer.com/product/167163_200w.jpg,2,2231,https://cpt.tcgcsv.com/hTl2,2023-07-18T11:03:55.98,1,"If this card is Special Summoned: You can pay 500 LP; add 1 ""Vampire"" Spell/Trap from your Deck to your hand. If this card is in your GY: You can send 1 ""Vampire"" card from your hand or face-up field to the GY; Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Vampire Retainer"" once per turn.",,0.2,0.59,2.99,0.42,,1st Edition,DASA-EN002,Super Rare,DARK,Zombie,Effect Monster,1200,0,,
167163,Vampire Retainer,Vampire Retainer,https://tcgplayer-cdn.tcgplayer.com/product/167163_200w.jpg,2,2231,https://cpt.tcgcsv.com/hTl2,2023-07-18T11:03:55.98,1,"If this card is Special Summoned: You can pay 500 LP; add 1 ""Vampire"" Spell/Trap from your Deck to your hand. If this card is in your GY: You can send 1 ""Vampire"" card from your hand or face-up field to the GY; Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Vampire Retainer"" once per turn.",,0.05,0.5,2.98,0.25,0.41,Unlimited,DASA-EN002,Super Rare,DARK,Zombie,Effect Monster,1200,0,,
167164,Vampire Fraulein,Vampire Fraulein,https://tcgplayer-cdn.tcgplayer.com/product/167164_200w.jpg,2,2231,https://cpt.tcgcsv.com/jTl2,2022-07-18T13:55:30.807,1,"When a monster declares an attack: You can Special Summon this card from your hand in Defense Position. You can only use this effect of ""Vampire Fraulein"" once per turn. Once per battle, if your Zombie monster battles an opponent's monster, during damage calculation (Quick Effect): You can pay LP in multiples of 100 (max. 3000); your battling monster gains that much ATK/DEF during that damage calculation only. At the end of the Battle Phase, if this card destroyed any monster(s) by battle: You can Special Summon them from the GYs to your field.",,1.5,2.0,29.97,2.0,1.73,Unlimited,DASA-EN003,Secret Rare,DARK,Zombie,Effect Monster,600,2000,,
167164,Vampire Fraulein,Vampire Fraulein,https://tcgplayer-cdn.tcgplayer.com/product/167164_200w.jpg,2,2231,https://cpt.tcgcsv.com/jTl2,2022-07-18T13:55:30.807,1,"When a monster declares an attack: You can Special Summon this card from your hand in Defense Position. You can only use this effect of ""Vampire Fraulein"" once per turn. Once per battle, if your Zombie monster battles an opponent's monster, during damage calculation (Quick Effect): You can pay LP in multiples of 100 (max. 3000); your battling monster gains that much ATK/DEF during that damage calculation only. At the end of the Battle Phase, if this card destroyed any monster(s) by battle: You can Special Summon them from the GYs to your field.",,1.0,2.75,39.97,2.2,2.99,1st Edition,DASA-EN003,Secret Rare,DARK,Zombie,Effect Monster,600,2000,,
167165,Vampire Grimson,Vampire Grimson,https://tcgplayer-cdn.tcgplayer.com/product/167165_200w.jpg,2,2231,https://cpt.tcgcsv.com/kTl2,2024-07-26T17:20:35.023,1,"If a monster(s) you control would be destroyed by battle or an opponent's card effect, you can pay 1000 LP for monster that would be destroyed, instead (you must protect all your monsters that would be destroyed, if you use this effect). At the end of the Battle Phase, if this card destroyed any monster(s) by battle: You can Special Summon them from the GYs to your field.",,0.05,0.33,3.0,0.32,0.41,Unlimited,DASA-EN004,Super Rare,DARK,Zombie,Effect Monster,2000,1400,,
167165,Vampire Grimson,Vampire Grimson,https://tcgplayer-cdn.tcgplayer.com/product/167165_200w.jpg,2,2231,https://cpt.tcgcsv.com/kTl2,2024-07-26T17:20:35.023,1,"If a monster(s) you control would be destroyed by battle or an opponent's card effect, you can pay 1000 LP for monster that would be destroyed, instead (you must protect all your monsters that would be destroyed, if you use this effect). At the end of the Battle Phase, if this card destroyed any monster(s) by battle: You can Special Summon them from the GYs to your field.",,0.15,0.36,1.99,0.24,0.2,1st Edition,DASA-EN004,Super Rare,DARK,Zombie,Effect Monster,2000,1400,,
