productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
241143,Dawn of Majesty Booster Pack,Dawn of Majesty Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/241143_200w.jpg,2,2843,https://cpt.tcgcsv.com/TsX2,2021-08-13T04:03:08.83,1,Each pack contains 9 random cards.,083717853497,2.0,4.75,8.44,4.46,,Normal,,,,,,,,,
241145,Dawn of Majesty Booster Box,Dawn of Majesty Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/241145_200w.jpg,2,2843,https://cpt.tcgcsv.com/WsX2,2021-08-13T04:03:08.83,1,Each box contains 24 packs of 9 random cards.,083717853503,34.0,56.63,107.99,47.18,,Normal,,,,,,,,,
245697,Beetrooper Scout Buggy,Beetrooper Scout Buggy,https://tcgplayer-cdn.tcgplayer.com/product/245697_200w.jpg,2,2843,https://cpt.tcgcsv.com/Zh-2,2025-09-05T21:53:07.113,1,"You cannot Special Summon monsters, except Insect monsters. If this card is Normal or Special Summoned: You can Special Summon 1 ""Beetrooper Scout Buggy"" from your hand, Deck, or GY. You can only use this effect of ""Beetrooper Scout Buggy"" once per turn.",,0.72,1.41,33.32,1.3,1.24,1st Edition,DAMA-EN000,Secret Rare,WIND,Insect,Effect Monster,1000,300,,
245698,Stardust Synchron,Stardust Synchron,https://tcgplayer-cdn.tcgplayer.com/product/245698_200w.jpg,2,2843,https://cpt.tcgcsv.com/-h-2,2022-05-23T18:56:17.37,1,"If this card is in your hand or GY: You can Tribute 1 monster; Special Summon this card, but banish it when it leaves the field, also, you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Synchro Monsters. If this card is Normal or Special Summoned: You can add 1 Spell/Trap from your Deck to your hand that specifically lists ""Stardust Dragon"" in its text. You can only use each effect of ""Stardust Synchron"" once per turn.",,3.08,4.82,35.0,3.51,3.08,1st Edition,DAMA-EN002,Secret Rare,LIGHT,Machine,Tuner/Effect Monster,1500,1000,,
245699,Stardust Trail,Stardust Trail,https://tcgplayer-cdn.tcgplayer.com/product/245699_200w.jpg,2,2843,https://cpt.tcgcsv.com/_h-2,2024-07-26T17:21:49.597,1,"If a monster(s) you control is Tributed (except during the Damage Step): You can Special Summon this card from your GY (if it was there when the monster was Tributed) or hand (even if not), but banish it when it leaves the field. If a ""Warrior"", ""Synchron"", or ""Stardust"" Synchro Monster is Synchro Summoned using this card as material: You can Special Summon 1 ""Stardust Token"" (Dragon/LIGHT/Level 1/ATK 0/DEF 0). You can only use each effect of ""Stardust Trail"" once per turn.",,0.01,0.15,2.0,0.09,0.05,1st Edition,DAMA-EN003,Common,LIGHT,Dragon,Effect Monster,500,2000,,
245700,Despian Comedy,Despian Comedy,https://tcgplayer-cdn.tcgplayer.com/product/245700_200w.jpg,2,2843,https://cpt.tcgcsv.com/0j-2,2024-07-26T17:21:49.76,1,"When your opponent activates a card or effect that targets a face-up ""Despia"" card(s) you control (Quick Effect): You can discard this card; negate that effect. If this card is in your GY (Quick Effect): You can Tribute 1 Fusion Monster; Special Summon this card. You can only use 1 ""Despian Comedy"" effect per turn, and only once that turn.",,0.01,0.25,4.99,0.14,0.05,1st Edition,DAMA-EN004,Super Rare,DARK,Fairy,Effect Monster,0,2000,,
245701,Despian Tragedy,Despian Tragedy,https://tcgplayer-cdn.tcgplayer.com/product/245701_200w.jpg,2,2843,https://cpt.tcgcsv.com/2j-2,2024-07-26T17:21:49.85,1,"If this card is sent to the GY, or banished, by a card effect: You can add 1 ""Despia"" monster from your Deck to your hand, except ""Despian Tragedy"". You can banish this card from your GY, then target 1 ""Branded"" Spell/Trap in your GY; Set it to your field. You can only use 1 ""Despian Tragedy"" effect per turn, and only once that turn.",,0.05,0.24,3.01,0.13,0.16,1st Edition,DAMA-EN005,Common,DARK,Fairy,Effect Monster,400,400,,
245702,Aluber the Jester of Despia,Aluber the Jester of Despia,https://tcgplayer-cdn.tcgplayer.com/product/245702_200w.jpg,2,2843,https://cpt.tcgcsv.com/3j-2,2022-02-14T16:12:52.067,1,"If this card is Normal or Special Summoned: You can add 1 ""Branded"" Spell/Trap from your Deck to your hand. If a face-up Fusion Monster you control is destroyed by battle, or leaves the field because of an opponent's card effect, while this card is in your GY: You can target 1 Effect Monster your opponent controls; Special Summon this card, and if you do, negate the targeted monster's effects until the end of this turn. You can only use 1 ""Aluber the Jester of Despia"" effect per turn, and only once that turn.",,0.43,1.99,90.16,0.69,0.67,1st Edition,DAMA-EN006,Secret Rare,DARK,Fairy,Effect Monster,1800,0,,
245703,Dramaturge of Despia,Dramaturge of Despia,https://tcgplayer-cdn.tcgplayer.com/product/245703_200w.jpg,2,2843,https://cpt.tcgcsv.com/5j-2,2024-07-26T17:21:49.973,1,"If a Fusion, Synchro, Xyz, or Link Monster is Special Summoned (except during the Damage Step): You can target 1 Effect Monster on the field; negate its effects until the end of this turn. If this card in your hand or field is used as Fusion Material, and sent to the GY or banished: You can Special Summon this card. You can only use each effect of ""Dramaturge of Despia"" once per turn.",,0.1,0.32,14.99,0.26,0.5,1st Edition,DAMA-EN007,Ultra Rare,DARK,Fairy,Effect Monster,3000,1500,,
245704,The Iris Swordsoul,The Iris Swordsoul,https://tcgplayer-cdn.tcgplayer.com/product/245704_200w.jpg,2,2843,https://cpt.tcgcsv.com/6j-2,2022-05-26T15:45:32.877,1,"During the Main Phase, if a monster, whose effects are negated, is on the field (Quick Effect): You can Special Summon this card from your hand. If your opponent Special Summons a monster(s) (except during the Damage Step): You can activate 1 of these effects based on where it was Special Summoned from;
<br>• Hand: Special Summon 1 monster from your hand. • Deck: Draw 2 cards. • Extra Deck: Destroy 1 of those monsters Special Summoned from the Extra Deck. You can only use each effect of ""The Iris Swordsoul"" once per turn.",,0.24,1.41,39.37,0.83,0.87,1st Edition,DAMA-EN009,Secret Rare,LIGHT,Spellcaster,Effect Monster,2500,2500,,
245705,"Clavkiys, the Magikey Skyblaster",Clavkiys the Magikey Skyblaster,https://tcgplayer-cdn.tcgplayer.com/product/245705_200w.jpg,2,2843,https://cpt.tcgcsv.com/7j-2,2024-07-26T17:21:50.1,1,"<em>Every person is brimming with potential. To go or to stop, to close or to open depends on yourself. There are many doors in this dazzling world. What opens them is a magical key. Two keys and one door. Two wills and one form. If the door is opened the world shall be connected, and an enormous power shall reveal itself.</em>",,0.01,0.19,2.0,0.13,0.05,1st Edition,DAMA-EN010,Common,DARK,Warrior,Normal Monster,1900,1900,,
245706,Gunkan Suship Shari,Gunkan Suship Shari,https://tcgplayer-cdn.tcgplayer.com/product/245706_200w.jpg,2,2843,https://cpt.tcgcsv.com/8j-2,2024-07-26T17:21:50.177,1,"<em>Finally got to visit that harbor specializing in Gunkan Suships that I've been curious about for a while! The premium ""Shari"" here is limited to 2000 Suships a year, and uses specially developed smooth aged rice, giving it extra boldness not found anywhere else. The classy atmosphere made my heart sing, too. The Gunkan Suship served had a perfect balance of vinegar, nigiri, shine, and shape, demonstrating exquisite artisanship. The owner told me, ""We are introducing rich yet mellow scented EDO-FRONT red vinegar in the near future,"" which I'm really looking forward to. However, I was disappointed the surrounding seas were a little noisy... so, giving it 4 stars with hope for improvements in the future!</em>",,0.02,0.23,2.0,0.13,0.15,1st Edition,DAMA-EN011,Common,FIRE,Aqua,Normal Monster,2000,0,,
245707,Gunkan Suship Ikura,Gunkan Suship Ikura,https://tcgplayer-cdn.tcgplayer.com/product/245707_200w.jpg,2,2843,https://cpt.tcgcsv.com/9j-2,2025-01-06T11:37:22.293,1,"If you control ""Gunkan Suship Shari"", you can Special Summon this card (from your hand). You can only Special Summon ""Gunkan Suship Ikura"" once per turn this way. During your Main Phase: You can excavate the top 3 cards of your Deck, and if you do, you can add to your hand, or Special Summon, 1 excavated ""Gunkan Suship Shari"", also shuffle the rest back into the Deck. You can only use this effect of ""Gunkan Suship Ikura"" once per turn.",,0.03,0.2,2.0,0.18,,1st Edition,DAMA-EN012,Common,FIRE,Aqua,Effect Monster,200,300,,
245708,Converging Wills Dragon,Converging Wills Dragon,https://tcgplayer-cdn.tcgplayer.com/product/245708_200w.jpg,2,2843,https://cpt.tcgcsv.com/bj-2,2024-07-26T17:21:50.287,1,"Cannot be used as Synchro Material, except for the Synchro Summon of a ""Majestic"" monster. This card's name becomes ""Majestic Dragon"" while on the field or in the GY. When you draw this card: You can reveal it; Special Summon it from your hand, then, if you control a Level 8 or higher Dragon Synchro Monster, you can Special Summon 1 Level 1 Dragon monster from your Deck. You can only Special Summon ""Converging Wills Dragon(s)"" once per turn.",,0.01,0.15,2.0,0.08,0.05,1st Edition,DAMA-EN001,Common,LIGHT,Dragon,Tuner/Effect Monster,0,0,,
245709,"Gizmek Inaba, the Hopping Hare of Hakuto",Gizmek Inaba the Hopping Hare of Hakuto,https://tcgplayer-cdn.tcgplayer.com/product/245709_200w.jpg,2,2843,https://cpt.tcgcsv.com/cj-2,2024-07-26T17:21:50.39,1,"When this card is Normal Summoned: You can Special Summon 1 Machine monster whose ATK equals its own DEF from your hand in Defense Position. You can banish this card from your GY, then target 1 Machine monster you control whose ATK equals its own DEF; this turn, you cannot declare attacks, except with that monster, also its ATK/DEF become the combined original ATK of all Machine monsters you currently control whose ATK equals their own DEF. You can only use this effect of ""Gizmek Inaba, the Hopping Hare of Hakuto"" once per turn.",,0.01,0.24,4.99,0.09,0.04,1st Edition,DAMA-EN015,Super Rare,WIND,Machine,Effect Monster,50,50,,
245710,"Gizmek Naganaki, the Sunrise Signaler",Gizmek Naganaki the Sunrise Signaler,https://tcgplayer-cdn.tcgplayer.com/product/245710_200w.jpg,2,2843,https://cpt.tcgcsv.com/dj-2,2025-03-17T08:39:56.133,1,"You can Tribute 1 Machine monster whose ATK equals its own DEF; Special Summon from your Deck, 1 Machine monster whose ATK equals its own DEF, with a lower Level than the Tributed monster. You can banish this card from your GY; add to your hand, 1 of your banished face-down Machine monsters whose ATK equals its own DEF. You can only use each effect of ""Gizmek Naganaki, the Sunrise Signaler"" once per turn.",,0.1,0.49,6.99,0.3,0.21,1st Edition,DAMA-EN016,Ultra Rare,LIGHT,Machine,Effect Monster,950,950,,
245719,"Gizmek Taniguku, the Immobile Intellect",Gizmek Taniguku the Immobile Intellect,https://tcgplayer-cdn.tcgplayer.com/product/245719_200w.jpg,2,2843,https://cpt.tcgcsv.com/pj-2,2024-07-26T17:21:50.547,1,"If this card is Normal or Special Summoned: You can take 1 Machine monster whose ATK equals its own DEF from your Deck and place it on top of your Deck. You can banish this card from your GY, then target 1 Machine monster in your GY whose ATK equals its own DEF; Special Summon it in Defense Position. You can only use each effect of ""Gizmek Taniguku, the Immobile Intellect"" once per turn.",,0.1,0.38,10.0,0.29,0.3,1st Edition,DAMA-EN017,Ultra Rare,EARTH,Machine,Effect Monster,1450,1450,,
245720,"Gizmek Arakami, the Hailbringer Hog",Gizmek Arakami the Hailbringer Hog,https://tcgplayer-cdn.tcgplayer.com/product/245720_200w.jpg,2,2843,https://cpt.tcgcsv.com/qj-2,2024-07-26T17:21:50.69,1,"If you control a Machine monster whose ATK equals its own DEF: You can Special Summon this card from your hand. You can banish this card from your GY, then target 1 Machine monster you control whose ATK equals its own DEF; send 1 Machine monster from your Deck to the GY, whose ATK equals its own DEF, with a lower Level than that targeted monster, and if you do, the targeted monster gains ATK/DEF equal to the Level of the monster sent to the GY x 100. You can only use each effect of ""Gizmek Arakami, the Hailbringer Hog"" once per turn.",,0.01,0.25,4.99,0.12,0.05,1st Edition,DAMA-EN018,Super Rare,WATER,Machine,Effect Monster,1850,1850,,
245722,Chronomaly Magella Globe,Chronomaly Magella Globe,https://tcgplayer-cdn.tcgplayer.com/product/245722_200w.jpg,2,2843,https://cpt.tcgcsv.com/sj-2,2024-07-26T17:21:50.797,1,"You can Tribute this card; Special Summon 1 ""Chronomaly"" monster from your Deck, except ""Chronomaly Magella Globe"". If this card is in your GY, except the turn it was sent there: You can banish 1 ""Chronomaly"" card from your GY, except ""Chronomaly Magella Globe""; add this card to your hand. You can only use each effect of ""Chronomaly Magella Globe"" once per turn.",,0.01,0.25,9.99,0.15,,1st Edition,DAMA-EN013,Super Rare,LIGHT,Machine,Effect Monster,1500,300,,
245723,Chronomaly Acambaro Figures,Chronomaly Acambaro Figures,https://tcgplayer-cdn.tcgplayer.com/product/245723_200w.jpg,2,2843,https://cpt.tcgcsv.com/tj-2,2021-08-13T04:03:08.83,1,"If a ""Chronomaly"" monster(s) you control would be destroyed by battle or an opponent's card effect, you can discard this card instead. If this card is in your GY: You can pay 1000 LP; Special Summon this card, but return it to the hand during the End Phase. You cannot Special Summon monsters the turn you activate this effect, except ""Chronomaly"" monsters. You can only use this effect of ""Chronomaly Acambaro Figures"" once per turn.",,0.01,0.11,2.0,0.08,0.03,1st Edition,DAMA-EN014,Common,EARTH,Rock,Effect Monster,1000,1800,,
245724,Alien Stealthbuster,Alien Stealthbuster,https://tcgplayer-cdn.tcgplayer.com/product/245724_200w.jpg,2,2843,https://cpt.tcgcsv.com/vj-2,2022-05-09T18:25:57.597,1,"If this card is sent to the GY: You can target 1 face-up monster on the field; place 2 A-Counters on it. During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 card with an A-Counter; destroy it. You can only use each effect of ""Alien Steathbuster"" once per turn.",,0.01,0.15,2.0,0.14,,1st Edition,DAMA-EN021,Common,LIGHT,Reptile,Effect Monster,1700,1500,,
245725,Amazement Assistant Delia,Amazement Assistant Delia,https://tcgplayer-cdn.tcgplayer.com/product/245725_200w.jpg,2,2843,https://cpt.tcgcsv.com/wj-2,2024-07-26T17:21:50.92,1,"You can reveal 1 ""Attraction"" Trap in your hand; Special Summon this card from your hand. You can send 1 ""Attraction"" Trap from your hand or face-up field to the GY; Set 1 ""Attraction"" Trap directly from your Deck. You can only use each effect of ""Amazement Assistant Delia"" once per turn.",,0.04,0.25,4.99,0.19,0.05,1st Edition,DAMA-EN020,Super Rare,LIGHT,Machine,Effect Monster,1800,1400,,
245774,Gusto Vedir,Gusto Vedir,https://tcgplayer-cdn.tcgplayer.com/product/245774_200w.jpg,2,2843,https://cpt.tcgcsv.com/vk-2,2024-07-26T17:21:51.03,1,"If a face-up ""Gusto"" monster on the field is destroyed by battle or sent to your GY: You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can send 1 ""Gusto"" monster from your Deck to the GY, then, you can Special Summon 1 ""Gusto"" monster from your hand. You can only use each effect of ""Gusto Vedir"" once per turn.",,0.01,0.11,2.0,0.09,0.05,1st Edition,DAMA-EN019,Common,WIND,Winged Beast,Tuner/Effect Monster,600,1000,,
245775,Albion the Shrouded Dragon,Albion the Shrouded Dragon,https://tcgplayer-cdn.tcgplayer.com/product/245775_200w.jpg,2,2843,https://cpt.tcgcsv.com/wk-2,2022-11-17T18:38:47.993,1,"This card's name becomes ""Fallen of Albaz"" while on the field or in the GY. If this card is in your hand or GY: You can send 1 ""Fallen of Albaz"" or 1 ""Branded"" Spell/Trap from your hand or Deck to the GY; apply the following effect, depending on where that card was sent from.
<br>• Hand: Special Summon this card.
<br>• Deck: Place this card on the bottom of the Deck, then, if it was placed from the hand, draw 1 card.
<br>You can only use this effect of ""Albion the Shrouded Dragon"" once per turn.",,2.95,3.75,9.99,3.35,3.38,1st Edition,DAMA-EN008,Super Rare,DARK,Dragon,Effect Monster,2500,2000,,
245776,"Carpiponica, Mystical Beast of the Forest",Carpiponica Mystical Beast of the Forest,https://tcgplayer-cdn.tcgplayer.com/product/245776_200w.jpg,2,2843,https://cpt.tcgcsv.com/xk-2,2024-07-26T17:21:51.147,1,"If this card is sent from the hand to the GY: You can target 2 other Beast, Beast-Warrior, Winged Beast, Insect, and/or Plant monsters with different Types in your GY; shuffle them into the Deck, and if you do, Special Summon this card. If this card is Normal or Special Summoned: You can add 1 ""Mystical Beast of the Forest"" monster or 1 ""Mystical Spirit of the Forest"" monster from your Deck to your hand, except ""Carpiponica, Mystical Beast of the Forest"". You can only use each effect of ""Carpiponica, Mystical Beast of the Forest"" once per turn.",,0.01,0.12,2.0,0.07,0.03,1st Edition,DAMA-EN022,Common,EARTH,Beast,Effect Monster,1000,2600,,
245777,Glacier Aqua Madoor,Glacier Aqua Madoor,https://tcgplayer-cdn.tcgplayer.com/product/245777_200w.jpg,2,2843,https://cpt.tcgcsv.com/zk-2,2021-08-13T04:03:08.83,1,"At the start of the Damage Step, if your Normal Monster battles an opponent's monster: You can reveal this card in your hand; discard 1 card, and if you do, your monster cannot be destroyed by that battle. At the start of the Damage Step, if this card battles an opponent's monster: You can reveal 1 Normal Monster in your hand; discard 1 card, and if you do, destroy that opponent's monster.",,0.01,0.15,2.0,0.1,0.03,1st Edition,DAMA-EN023,Common,WATER,Spellcaster,Effect Monster,1200,3000,,
245778,Antihuman Intelligence ME-PSY-YA,Antihuman Intelligence ME PSY YA,https://tcgplayer-cdn.tcgplayer.com/product/245778_200w.jpg,2,2843,https://cpt.tcgcsv.com/Bk-2,2024-07-26T17:21:51.253,1,"<strong>Pendulum Effect</strong>
<br>Any card sent to the GY is banished instead, except Monster Cards.
<br><strong>Monster Effect</strong>
<br>You can reveal this card in your hand; add 1 other Pendulum Monster from your hand, or 1 card from your Pendulum Zone, to its owner's Extra Deck face-up, and if you do, Special Summon this card. You can only use this effect of ""Antihuman Intelligence ME-PSY-YA"" once per turn. If another monster(s) is Normal or Special Summoned while you control this card: Send that monster(s) to the GY during the End Phase of this turn.",,0.08,0.76,20.0,0.5,0.96,1st Edition,DAMA-EN024,Secret Rare,LIGHT,Cyberse,Pendulum/Effect Monster,2500,3000,,
245779,Protecting Spirit Loagaeth,Protecting Spirit Loagaeth,https://tcgplayer-cdn.tcgplayer.com/product/245779_200w.jpg,2,2843,https://cpt.tcgcsv.com/Ck-2,2021-08-13T04:03:08.83,1,"If this card on the field is destroyed by battle or card effect: You can target 1 monster on the field; it cannot be destroyed by battle this turn. You can only use each of the following effects of ""Protecting Spirit Loagaeth"" once per turn. If an effect of a Fairy monster you control is activated (except during the Damage Step): You can Special Summon this card from your hand. You can target 1 face-up card your opponent controls and 1 Attack Position monster you control; banish that opponent's card, and if you do, change your monster to Defense Position.",,0.3,0.95,15.99,0.87,0.49,1st Edition,DAMA-EN025,Ultra Rare,LIGHT,Fairy,Effect Monster,2400,2100,,
245780,Master's Diploman,Masters Diploman,https://tcgplayer-cdn.tcgplayer.com/product/245780_200w.jpg,2,2843,https://cpt.tcgcsv.com/Dk-2,2024-07-26T17:21:51.297,1,"If this card is Tribute Summoned: You can target 1 monster in your GY and 1 face-up monster your opponent controls; equip the monster from your GY to that opponent's monster. While equipped by this effect, the equipped monster loses ATK equal to the ATK of that monster equipped to it. Your opponent cannot activate the effects of monsters they control that are equipped with Equip Cards in your Spell & Trap Zones.",,0.01,0.1,2.0,0.04,0.03,1st Edition,DAMA-EN026,Common,DARK,Machine,Effect Monster,2000,2000,,
245781,Konohanasakuya,Konohanasakuya,https://tcgplayer-cdn.tcgplayer.com/product/245781_200w.jpg,2,2843,https://cpt.tcgcsv.com/Fk-2,2024-07-26T17:21:51.353,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by controlling a Spirit monster. You can only Special Summon ""Konohanasakuya"" once per turn this way. Once per turn, during the End Phase, if this card was Special Summoned this turn: Return it to the hand. Once per turn, during the End Phase: You can banish this card from your GY, then target 1 Spirit monster you control; neither player can activate that face-up monster's effects on the field for the rest of this turn.",,0.01,0.11,2.0,0.09,0.03,1st Edition,DAMA-EN027,Common,EARTH,Fairy,Spirit/Effect Monster,1300,1300,,
245782,Doombearer Psychopompos,Doombearer Psychopompos,https://tcgplayer-cdn.tcgplayer.com/product/245782_200w.jpg,2,2843,https://cpt.tcgcsv.com/Gk-2,2024-07-26T17:21:51.383,1,"During the End Phase of the next turn after this card was banished: You can Special Summon this banished card. If this card is Special Summoned: Apply this effect based on which of the following cards your opponent has more of in their GY.
<br>• Monster Card: Banish this card, and if you do, your opponent banishes 1 monster from their GY.
<br>• Spell/Trap Card: Send this card to the GY, and if you do, your opponent sends 1 monster they control to the GY.
<br>You can only use each effect of ""Doombearer Psychopompos"" once per turn.",,0.01,0.12,2.0,0.12,,1st Edition,DAMA-EN028,Common,EARTH,Zombie,Tuner/Effect Monster,0,0,,
245783,Slower Swallow,Slower Swallow,https://tcgplayer-cdn.tcgplayer.com/product/245783_200w.jpg,2,2843,https://cpt.tcgcsv.com/Hk-2,2024-07-26T17:21:51.43,1,"If 2 or more monsters with the same Level are on the field, you can Special Summon this card (from your hand). You can only Special Summon ""Slower Swallow"" once per turn this way. You can Tribute this card; draw 2 cards instead of 1 for your normal draw during your next Draw Phase.",,0.01,0.1,2.0,0.07,0.04,1st Edition,DAMA-EN029,Common,WIND,Winged Beast,Effect Monster,100,100,,
245784,Saambell the Star Bonder,Saambell the Star Bonder,https://tcgplayer-cdn.tcgplayer.com/product/245784_200w.jpg,2,2843,https://cpt.tcgcsv.com/Jk-2,2024-07-26T17:21:51.54,1,"<strong>Pendulum Effect</strong>
<br>If you have a Pendulum Monster Card with the same Level as this card in your other Pendulum Zone: You can destroy the card in your other Pendulum Zone, and if you do, Special Summon this card. You can only use this effect of ""Saambell the Star Bonder"" once per turn.
<br><strong>Monster Effect</strong>
<br>If a monster is Special Summoned to your field while you control this monster (except during the Damage Step): You can Special Summon 1 monster from your hand with the same Level as this card. You can only use this effect of ""Saambell the Star Bonder"" once per turn.",,0.01,0.15,2.0,0.07,0.05,1st Edition,DAMA-EN030,Common,WIND,Spellcaster,Pendulum/Effect Monster,1400,1300,,
