productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extAttack,extDefense
91616,Upstart Goblin,Upstart Goblin,https://tcgplayer-cdn.tcgplayer.com/product/91616_200w.jpg,2,1474,https://cpt.tcgcsv.com/lGL,2015-04-18T13:30:44.787,1,DEM1-EN014,Common,SPELL,Normal Spell,Draw 1 card from your Deck. Your opponent gains 1000 Life Points.,1.07,2.1,4.25,1.97,,Unlimited,,,
97937,Summoned Skull,Summoned Skull,https://tcgplayer-cdn.tcgplayer.com/product/97937_200w.jpg,2,1474,https://cpt.tcgcsv.com/MbP,2015-04-18T13:07:42.297,1,DEM1-EN001,Common,DARK,Normal Monster,"<em>A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.</em>
<br>
<br>
(This card is always treated as an ""Archfiend"" card.)",0.05,0.64,2.99,0.47,,Unlimited,Fiend,2500,1200
97938,Dark Blade,Dark Blade,https://tcgplayer-cdn.tcgplayer.com/product/97938_200w.jpg,2,1474,https://cpt.tcgcsv.com/NbP,2015-04-18T13:27:31.397,1,DEM1-EN002,Common,DARK,Normal Monster,"<em>They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.</em>",0.08,0.25,1.49,0.12,,Unlimited,Warrior,1800,1500
97939,Sabersaurus,Sabersaurus,https://tcgplayer-cdn.tcgplayer.com/product/97939_200w.jpg,2,1474,https://cpt.tcgcsv.com/PbP,2015-04-18T13:27:45.537,1,DEM1-EN003,Common,EARTH,Normal Monster,"<em>his normally gentle dinosaur enjoys relaxing in its nest in the prairies. If it becomes angered, it turns terribly ferocious.</em>",0.05,0.25,2.2,0.21,,Unlimited,Dinosaur,1900,500
97940,Gene-Warped Warwolf,Gene Warped Warwolf,https://tcgplayer-cdn.tcgplayer.com/product/97940_200w.jpg,2,1474,https://cpt.tcgcsv.com/QbP,2015-04-18T13:28:00.11,1,DEM1-EN004,Common,EARTH,Normal Monster,"<em>This warwolf was given incalculable strength through horrific genetic manipulation. Its gentle nature was completely wiped out, and it now lives only to unleash destruction.</em>",0.05,0.25,1.7,0.2,,Unlimited,Beast-Warrior,2000,100
97941,Man-Eater Bug,Man Eater Bug,https://tcgplayer-cdn.tcgplayer.com/product/97941_200w.jpg,2,1474,https://cpt.tcgcsv.com/RbP,2015-04-18T13:28:13.553,1,DEM1-EN005,Common,EARTH,Flip/Effect Monster,FLIP: Target 1 monster on the field; destroy that target.,0.05,0.35,1.95,0.32,,Unlimited,Insect,450,600
97942,Hayabusa Knight,Hayabusa Knight,https://tcgplayer-cdn.tcgplayer.com/product/97942_200w.jpg,2,1474,https://cpt.tcgcsv.com/SbP,2024-10-01T14:06:08.523,1,DEM1-EN006,Common,EARTH,Effect Monster,This card can attack twice during the same Battle Phase.,0.05,0.25,1.41,0.13,,Unlimited,Warrior,1000,700
97943,The Fiend Megacyber,The Fiend Megacyber,https://tcgplayer-cdn.tcgplayer.com/product/97943_200w.jpg,2,1474,https://cpt.tcgcsv.com/TbP,2024-10-01T15:16:38.38,1,DEM1-EN007,Common,EARTH,Effect Monster,You can Special Summon this card from your hand if your opponent has at least 2 more monsters on the field than you do.,0.05,0.25,1.17,0.18,,Unlimited,Warrior,2200,1200
97944,Marauding Captain,Marauding Captain,https://tcgplayer-cdn.tcgplayer.com/product/97944_200w.jpg,2,1474,https://cpt.tcgcsv.com/VbP,2024-10-01T14:08:29.903,1,DEM1-EN008,Common,EARTH,Effect Monster,"Your opponent cannot select another face-up Warrior-Type monsters as an attack target. When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower monster from your hand.",0.05,0.3,2.2,0.17,,Unlimited,Warrior,1200,400
97945,Exiled Force,Exiled Force,https://tcgplayer-cdn.tcgplayer.com/product/97945_200w.jpg,2,1474,https://cpt.tcgcsv.com/WbP,2015-04-18T13:29:12.997,1,DEM1-EN009,Common,EARTH,Effect Monster,You can Tribute this card to target 1 monster on the field; destroy that target.,0.22,0.49,7.05,0.33,,Unlimited,Warrior,1000,1000
