productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
265273,Dimension Force Booster Pack [1st Edition],Dimension Force Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/265273_200w.jpg,2,3029,https://cpt.tcgcsv.com/t783,2022-05-20T04:03:14.867,1,Each pack contains 9 cards.,083717856801,1.91,2.49,8.44,1.9,,Normal,,,,,,,,,
265274,Dimension Force Booster Box [1st Edition],Dimension Force Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/265274_200w.jpg,2,3029,https://cpt.tcgcsv.com/v783,2022-05-20T04:03:14.867,1,Every Dimension Force Booster Box contains 24 packs. Each pack contains 9 cards.,083717856818,27.55,34.99,95.76,28.35,,Normal,,,,,,,,,
271611,Libromancer Fire,Libromancer Fire,https://tcgplayer-cdn.tcgplayer.com/product/271611_200w.jpg,2,3029,https://cpt.tcgcsv.com/fGb3,2022-05-20T04:03:14.867,1,"You can reveal 1 Ritual Monster in your hand: Special Summon this card from your hand. If this card is Special Summoned: You can add 1 ""Libromancer"" monster from your Deck to your hand, except ""Libromancer Fire"". You can only use each effect of ""Libromancer Fire"" once per turn.",,0.1,0.92,29.99,0.76,0.76,1st Edition,DIFO-EN000,Secret Rare,FIRE,Cyberse,Effect Monster,1800,1800,,
271612,Performapal Gentrude,Performapal Gentrude,https://tcgplayer-cdn.tcgplayer.com/product/271612_200w.jpg,2,3029,https://cpt.tcgcsv.com/gGb3,2025-05-03T15:27:26.63,1,"<strong>Pendulum Effect</strong>
<br>If ""Performapal Ladyange"" is in your other Pendulum Zone and you control no monsters, or only Pendulum Monsters: You can add 1 ""Odd-Eyes"" card from your Deck to your hand. You can only use this effect of ""Performapal Gentrude"" once per turn.
<br><strong>Monster Effect</strong>
<br>If this card is destroyed: You can place 1 ""Performapal"" Pendulum Monster from your Deck in your Pendulum Zone, except ""Performapal Gentrude"". If this card is face-up in your Extra Deck: You can discard 1 Pendulum Monster; add this card to your hand, then you can return 1 ""Performapal"" or ""Odd-Eyes"" card from your Pendulum Zone to the hand. You can only use 1 ""Performapal Gentrude"" effect per turn, and only once that turn.",,0.1,0.29,2.0,0.27,0.26,1st Edition,DIFO-EN001,Super Rare,DARK,Fiend,Pendulum/Effect Monster,1500,1000,,
271613,Performapal Ladyange,Performapal Ladyange,https://tcgplayer-cdn.tcgplayer.com/product/271613_200w.jpg,2,3029,https://cpt.tcgcsv.com/hGb3,2024-07-26T17:24:07.083,1,"<strong>Pendulum Effect</strong>
<br>Once per turn, when an attack is declared involving your monster and an opponent's monster: You can discard 1 Pendulum Monster; that opponent's monster loses 1000 ATK, until the end of this turn.
<br><strong>Monster Effect</strong>
<br>You can discard this card and 1 ""Performapal"" monster, except ""Performapal Ladyange""; draw 2 cards. If this card is in your GY and you control an ""Odd-Eyes"" card or ""Performapal Gentrude"": You can place this card in your Pendulum Zone. You can only use 1 ""Performapal Ladyange"" effect per turn, and only once that turn.",,0.1,0.31,2.0,0.35,0.3,1st Edition,DIFO-EN002,Super Rare,LIGHT,Fairy,Pendulum/Effect Monster,1000,1500,,
271642,"Therion ""Bull"" Ain",Therion Bull Ain,https://tcgplayer-cdn.tcgplayer.com/product/271642_200w.jpg,2,3029,https://cpt.tcgcsv.com/SGb3,2025-05-03T15:26:43.627,1,"You can only use each of the following effects of ""Therion ""Bull"" Ain"" once per turn.
<br>• You can target 1 ""Therion"" monster or 1 Warrior monster in your GY; Special Summon this card from your hand, and if you do, equip that monster to this card.
<br>• You can target 1 ""Therion"" card you control and 1 card your opponent controls; destroy them.
<br>A ""Therion"" monster equipped with this card gains 700 ATK, also it can activate the 2nd effect listed above as if it were ""Therion ""Bull"" Ain"".",,0.01,0.1,1.49,0.05,0.01,1st Edition,DIFO-EN003,Common,FIRE,Warrior,Effect Monster,2100,1600,,
271643,"Therion ""Reaper"" Fum",Therion Reaper Fum,https://tcgplayer-cdn.tcgplayer.com/product/271643_200w.jpg,2,3029,https://cpt.tcgcsv.com/TGb3,2024-07-26T17:24:07.283,1,"You can only use each of the following effects of ""Therion ""Reaper"" Fum"" once per turn.
<br>• You can target 1 ""Therion"" monster or 1 Aqua monster in your GY; Special Summon this card from your hand, and if you do, equip that monster to this card.
<br>• During your opponent's turn (Quick Effect): You can target 1 ""Therion"" card in your Spell & Trap Zone and 1 card your opponent controls; return them to the hand.
<br>A ""Therion"" monster equipped with this card gains 700 ATK, also it can activate the 2nd effect listed above as if it were ""Therion ""Reaper"" Fum"".",,0.01,0.13,1.49,0.05,0.03,1st Edition,DIFO-EN004,Common,WATER,Aqua,Effect Monster,1400,2500,,
271644,"Therion ""Duke"" Yul",Therion Duke Yul,https://tcgplayer-cdn.tcgplayer.com/product/271644_200w.jpg,2,3029,https://cpt.tcgcsv.com/VGb3,2024-07-26T17:24:07.403,1,"You can only use the 1st of the following effects of ""Therion ""Duke"" Yul"" once per turn.
<br>• You can target 1 ""Therion"" monster or 1 Psychic monster in your GY; Special Summon this card from your hand, and if you do, equip that monster to this card.
<br>• While you control an Equip Card, ""Therion"" monsters you control cannot be destroyed by your opponent's card effects.
<br>A ""Therion"" monster equipped with this card gains 700 ATK, also it gains the 2nd effect listed above as if it were ""Therion ""Duke"" Yul"".",,0.01,0.1,1.49,0.05,0.01,1st Edition,DIFO-EN005,Common,LIGHT,Psychic,Effect Monster,2100,2800,,
271645,"Therion ""Lily"" Borea",Therion Lily Borea,https://tcgplayer-cdn.tcgplayer.com/product/271645_200w.jpg,2,3029,https://cpt.tcgcsv.com/WGb3,2023-02-22T06:46:34.92,1,"You can only use each of the following effects of ""Therion ""Lily"" Borea"" once per turn.
<br>• You can target 1 ""Therion"" monster or 1 Plant monster in your GY; Special Summon this card from your hand, and if you do, equip that monster to this card.
<br>• You can send 1 card from your hand or field to the GY; add 1 ""Therion"" Spell/Trap from your Deck to your hand.
<br>A ""Therion"" monster equipped with this card gains 700 ATK, also it can activate the 2nd effect listed above as if it were ""Therion ""Lily"" Borea"".",,0.18,0.99,34.99,0.54,0.5,1st Edition,DIFO-EN006,Secret Rare,WIND,Plant,Effect Monster,2400,2500,,
271647,"Therion ""King"" Regulus",Therion King Regulus,https://tcgplayer-cdn.tcgplayer.com/product/271647_200w.jpg,2,3029,https://cpt.tcgcsv.com/ZGb3,2022-06-18T14:41:25.67,1,"You can only use each of the following effects of ""Therion ""King"" Regulus"" once per turn.
<br>• You can target 1 ""Therion"" monster or 1 Machine monster in your GY; Special Summon this card from your hand, and if you do, equip that monster to this card.
<br>• When your opponent activates a card or effect (Quick Effect): You can send 1 ""Therion"" Monster Card from your hand or face-up field to the GY; negate that effect.
<br>A ""Therion"" monster equipped with this card gains 700 ATK, also it can activate the 2nd effect listed above as if it were ""Therion ""King"" Regulus"".",,2.35,5.0,85.0,3.69,8.06,1st Edition,DIFO-EN007,Secret Rare,EARTH,Machine,Effect Monster,2800,1600,,
