productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
106105,Dimension of Chaos - Booster Box,Dimension of Chaos Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/106105_200w.jpg,2,1660,https://cpt.tcgcsv.com/7sS,2015-09-29T17:47:11.44,1,83717881919,295.99,299.99,329.97,,,Normal,,,,,,,,
106106,Dimension of Chaos - Booster Pack,Dimension of Chaos Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/106106_200w.jpg,2,1660,https://cpt.tcgcsv.com/8sS,2015-09-29T17:48:08.553,1,,6.0,10.36,14.99,6.47,,Normal,,,,,,,,
107629,Samurai Cavalry of Reptier (ENSP1),Samurai Cavalry of Reptier ENSP1,https://tcgplayer-cdn.tcgplayer.com/product/107629_200w.jpg,2,1660,https://cpt.tcgcsv.com/C3T,2015-11-06T14:31:06.43,1,,0.11,0.39,2.99,0.23,,Limited,DOCS-ENSP1,Ultra Rare,EARTH,Dinosaur,Pendulum/Effect Monster,1800,1200,"At the start of the Damage Step, if this card attacks an opponent's face-up monster that is not a Pendulum Monster: You can destroy that monster."
107630,Samurai Cavalry of Reptier,Samurai Cavalry of Reptier,https://tcgplayer-cdn.tcgplayer.com/product/107630_200w.jpg,2,1660,https://cpt.tcgcsv.com/D3T,2017-11-03T14:27:19.193,1,,0.1,0.25,0.88,,,Unlimited,DOCS-EN000,Rare,EARTH,Dinosaur,Pendulum/Effect Monster,1800,1200,"At the start of the Damage Step, if this card attacks an opponent's face-up monster that is not a Pendulum Monster: You can destroy that monster."
107630,Samurai Cavalry of Reptier,Samurai Cavalry of Reptier,https://tcgplayer-cdn.tcgplayer.com/product/107630_200w.jpg,2,1660,https://cpt.tcgcsv.com/D3T,2017-11-03T14:27:19.193,1,,0.06,0.25,1.7,0.23,,1st Edition,DOCS-EN000,Rare,EARTH,Dinosaur,Pendulum/Effect Monster,1800,1200,"At the start of the Damage Step, if this card attacks an opponent's face-up monster that is not a Pendulum Monster: You can destroy that monster."
107631,Performapal Secondonkey,Performapal Secondonkey,https://tcgplayer-cdn.tcgplayer.com/product/107631_200w.jpg,2,1660,https://cpt.tcgcsv.com/F3T,2017-11-03T14:26:51.707,1,,0.04,0.25,1.49,0.2,,Unlimited,DOCS-EN001,Rare,EARTH,,Effect Monster,1000,2000,"When this card is Normal or Special Summoned: You can send 1 ""Performapal"" monster from your Deck to the Graveyard, except ""Performapal Secondonkey"". If you have 2 cards in your Pendulum Zones, you can add that monster to your hand instead."
107631,Performapal Secondonkey,Performapal Secondonkey,https://tcgplayer-cdn.tcgplayer.com/product/107631_200w.jpg,2,1660,https://cpt.tcgcsv.com/F3T,2017-11-03T14:26:51.707,1,,0.09,0.25,1.5,0.17,,1st Edition,DOCS-EN001,Rare,EARTH,,Effect Monster,1000,2000,"When this card is Normal or Special Summoned: You can send 1 ""Performapal"" monster from your Deck to the Graveyard, except ""Performapal Secondonkey"". If you have 2 cards in your Pendulum Zones, you can add that monster to your hand instead."
107632,Performapal Splashmammoth,Performapal Splashmammoth,https://tcgplayer-cdn.tcgplayer.com/product/107632_200w.jpg,2,1660,https://cpt.tcgcsv.com/G3T,2017-11-03T14:26:54.75,1,,0.1,0.3,1.49,0.1,,Unlimited,DOCS-EN002,Rare,WATER,,Pendulum/Effect Monster,1900,2300,"<b>Pendulum Effect: </b>  Once per turn, when a Fusion Monster(s) is Special Summoned to your side of the field (except during the Damage Step): You can Special Summon 1 face-up ""Odd-Eyes"" Pendulum Monster from your Extra Deck.
<br><b>Monster Effect:</b>  During your Main Phase: You can Fusion Summon 1 Dragon-Type Fusion Monster from your Extra Deck, using monsters you control as Fusion Materials. You can only use this effect of ""Performapal Splashmammoth"" once per Duel."
107632,Performapal Splashmammoth,Performapal Splashmammoth,https://tcgplayer-cdn.tcgplayer.com/product/107632_200w.jpg,2,1660,https://cpt.tcgcsv.com/G3T,2017-11-03T14:26:54.75,1,,0.02,0.3,5.0,0.18,,1st Edition,DOCS-EN002,Rare,WATER,,Pendulum/Effect Monster,1900,2300,"<b>Pendulum Effect: </b>  Once per turn, when a Fusion Monster(s) is Special Summoned to your side of the field (except during the Damage Step): You can Special Summon 1 face-up ""Odd-Eyes"" Pendulum Monster from your Extra Deck.
<br><b>Monster Effect:</b>  During your Main Phase: You can Fusion Summon 1 Dragon-Type Fusion Monster from your Extra Deck, using monsters you control as Fusion Materials. You can only use this effect of ""Performapal Splashmammoth"" once per Duel."
107633,Performapal Helpprincess,Performapal Helpprincess,https://tcgplayer-cdn.tcgplayer.com/product/107633_200w.jpg,2,1660,https://cpt.tcgcsv.com/H3T,2017-11-03T14:26:48.43,1,,0.15,0.25,0.99,0.21,,Unlimited,DOCS-EN003,Rare,DARK,Warrior,Effect Monster,1200,1200,"When you Normal or Special Summon a ""Performapal"" monster(s), except ""Performapal Helpprincess"" (except during the Damage Step): You can Special Summon this card from your hand."
