productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
637642,Doom of Dimensions Booster Pack [1st Edition],Doom of Dimensions Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/637642_200w.jpg,2,24357,https://cpt.tcgcsv.com/S377,2025-09-26T04:10:59.58,1,"Dare to descend into different domains this fall with Doom of Dimensions, September’s core booster set for the Yu-Gi-Oh! TRADING CARD GAME (TCG). Doom dawns for your opponents after every turn! Delve deep into dominating new cards to dish out definitive devastation and defeat all defenses!
<br>As you’ve doubtlessly discerned, Declan’s “D/D/D” Deck from Yu-Gi-Oh! ARC-V steals the show! Expect cards so dastardly they’ll demolish the defining divisions of the different Dueling dimensions!
<br>There’s a ton of stuff in Doom of Dimensions for other Decks, too!
<br>Doom of Dimensions sparkles and shines with 25 desirable Starlight Rares so debonair Duelists can dapper down their Deck.
<br>Doom of Dimensions contains:
<br>10 Secret Rares
<br>14 Ultra Rares
<br>26 Super Rares
<br>50 Commons
<br>(25 cards available as Starlight Rares!)
<br>Set contents are subject to change
<br>CONFIGURATION:
<br>9 Cards per Pack
<br>24 Packs per Display box
<br>12 Display Boxes per Case",083717869191,2.37,3.98,13.58,3.19,,Normal,,,,,,,,,
637643,Doom of Dimensions Booster Box [1st Edition],Doom of Dimensions Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/637643_200w.jpg,2,24357,https://cpt.tcgcsv.com/T377,2025-09-26T04:10:59.58,1,"Dare to descend into different domains this fall with Doom of Dimensions, September’s core booster set for the Yu-Gi-Oh! TRADING CARD GAME (TCG). Doom dawns for your opponents after every turn! Delve deep into dominating new cards to dish out definitive devastation and defeat all defenses!
<br>As you’ve doubtlessly discerned, Declan’s “D/D/D” Deck from Yu-Gi-Oh! ARC-V steals the show! Expect cards so dastardly they’ll demolish the defining divisions of the different Dueling dimensions!
<br>There’s a ton of stuff in Doom of Dimensions for other Decks, too!
<br>Doom of Dimensions sparkles and shines with 25 desirable Starlight Rares so debonair Duelists can dapper down their Deck.
<br>Doom of Dimensions contains:
<br>10 Secret Rares
<br>14 Ultra Rares
<br>26 Super Rares
<br>50 Commons
<br>(25 cards available as Starlight Rares!)
<br>Set contents are subject to change
<br>CONFIGURATION:
<br>9 Cards per Pack
<br>24 Packs per Display box
<br>12 Display Boxes per Case",083717869207,37.64,64.95,109.99,36.8,,Normal,,,,,,,,,
654215,D/D Lance Soldier,D D Lance Soldier,https://tcgplayer-cdn.tcgplayer.com/product/654215_200w.jpg,2,24357,https://cpt.tcgcsv.com/kJf7,2025-09-26T04:10:59.58,1,"You can target 1 ""D/D"" monster you control; increase its Level by up to the number of ""Dark Contract"" cards in your field and GY. If this card is in your GY: You can target 1 ""Dark Contract"" card you control; destroy it, and if you do, Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""D/D Lance Soldier"" once per turn.",,0.01,0.15,4.99,0.09,0.05,1st Edition,DOOD-EN001,Common,DARK,Fiend,Tuner/Effect Monster,400,400,,
654216,D/D Defense Soldier,D D Defense Soldier,https://tcgplayer-cdn.tcgplayer.com/product/654216_200w.jpg,2,24357,https://cpt.tcgcsv.com/lJf7,2025-09-26T04:10:59.58,1,"You can activate 1 of these effects;<br>• Target 1 ""D/D"" card in your Pendulum Zone; Special Summon it.<br>• Banish 1 ""D/D"" monster from your GY; if your ""D/D/D"" monster attacks this turn, your opponent cannot activate cards or effects until the end of the Damage Step.<br>You can banish this card from your GY; add 1 ""D/D"" Pendulum Monster from your face-up Extra Deck or GY to your hand. You can only use each effect of ""D/D Defense Soldier"" once per turn.",,0.01,0.15,4.99,0.1,0.05,1st Edition,DOOD-EN002,Common,DARK,Fiend,Effect Monster,0,1800,,
654217,D/D/D Zero Doom Queen Machinex,D D D Zero Doom Queen Machinex,https://tcgplayer-cdn.tcgplayer.com/product/654217_200w.jpg,2,24357,https://cpt.tcgcsv.com/mJf7,2025-09-26T04:10:59.58,1,"<strong>Pendulum Effect</strong><br>
<br>During your Main Phase, if this card was activated this turn: You can place 1 ""Dark Contract"" Continuous Spell/Trap from your Deck face-up on your field. You can only use this effect of ""D/D/D Zero Doom Queen Machinex"" once per turn.<br>
<br><br>
<br><strong>Monster Effect</strong><br>
<br>If a face-up ""D/D/D"" and/or ""Dark Contract"" card(s) you control, except ""D/D/D Zero Doom Queen Machinex"", is destroyed while this card is face-up in your Extra Deck, even during the Damage Step: You can Special Summon this card, then you can destroy 1 card on the field. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone. You can only use each effect of ""D/D/D Zero Doom Queen Machinex"" once per turn.",,4.75,7.46,24.99,6.67,,1st Edition,DOOD-EN003,Ultra Rare,DARK,Fiend,Pendulum/Effect Monster,3000,0,,
654218,D/D/D Zero Doom Queen Machinex (Starlight Rare),D D D Zero Doom Queen Machinex Starlight Rare,https://tcgplayer-cdn.tcgplayer.com/product/654218_200w.jpg,2,24357,https://cpt.tcgcsv.com/nJf7,2025-09-26T04:10:59.58,1,"<strong>Pendulum Effect</strong><br>
<br>During your Main Phase, if this card was activated this turn: You can place 1 ""Dark Contract"" Continuous Spell/Trap from your Deck face-up on your field. You can only use this effect of ""D/D/D Zero Doom Queen Machinex"" once per turn.<br>
<br><br>
<br><strong>Monster Effect</strong><br>
<br>If a face-up ""D/D/D"" and/or ""Dark Contract"" card(s) you control, except ""D/D/D Zero Doom Queen Machinex"", is destroyed while this card is face-up in your Extra Deck, even during the Damage Step: You can Special Summon this card, then you can destroy 1 card on the field. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone. You can only use each effect of ""D/D/D Zero Doom Queen Machinex"" once per turn.",,82.99,84.76,99.99,63.75,83.98,1st Edition,DOOD-EN003,Starlight Rare,DARK,Fiend,Pendulum/Effect Monster,3000,0,,
654219,Vengeful Witch,Vengeful Witch,https://tcgplayer-cdn.tcgplayer.com/product/654219_200w.jpg,2,24357,https://cpt.tcgcsv.com/pJf7,2025-09-26T04:10:59.58,1,"If you control ""Black Rose Dragon"", a monster that mentions it, or a Plant Synchro Monster: You can Special Summon this card from your hand. If this card is sent to the GY and a Synchro Monster is on the field: You can discard 1 card; Special Summon 1 Plant monster with 1500 or less DEF from your Deck, also you cannot Special Summon from the Extra Deck for the rest of this turn, except Synchro Monsters. You can only use each effect of ""Vengeful Witch"" once per turn.",,0.05,0.25,4.99,0.19,,1st Edition,DOOD-EN004,Super Rare,DARK,Plant,Effect Monster,1100,1200,,
654220,Twilight Rose Black Knight,Twilight Rose Black Knight,https://tcgplayer-cdn.tcgplayer.com/product/654220_200w.jpg,2,24357,https://cpt.tcgcsv.com/qJf7,2025-09-26T04:10:59.58,1,"While you control a Synchro Monster, Plant monsters you control gain 1000 ATK. You can only use each of the following effects of ""Twilight Rose Black Knight"" once per turn. If this card is Normal or Special Summoned: You can Special Summon 1 ""Black Rose Dragon"" or 1 Level 4 or lower Plant monster from your GY, but negate its effects. You can target 1 other Plant monster you control; increase or decrease its Level by 1.",,0.01,0.2,4.99,0.11,,1st Edition,DOOD-EN005,Common,DARK,Plant,Tuner/Effect Monster,1000,1000,,
654221,Gouki Machine Suprex,Gouki Machine Suprex,https://tcgplayer-cdn.tcgplayer.com/product/654221_200w.jpg,2,24357,https://cpt.tcgcsv.com/rJf7,2025-09-26T04:10:59.58,1,"You can reveal this card and 1 ""Gouki"" monster in your hand; Special Summon both monsters, but for each one, as long as it remains face-up in your Monster Zone, you cannot Special Summon, except ""Gouki"" monsters. If this card is sent from the field to the GY: You can add 1 ""Gouki"" card from your Deck to your hand, except ""Gouki Machine Suprex"". You can only use each effect of ""Gouki Machine Suprex"" once per turn.",,0.03,0.25,4.99,0.15,0.09,1st Edition,DOOD-EN006,Super Rare,EARTH,Warrior,Tuner/Effect Monster,1800,0,,
654222,Onomatokage,Onomatokage,https://tcgplayer-cdn.tcgplayer.com/product/654222_200w.jpg,2,24357,https://cpt.tcgcsv.com/sJf7,2025-09-26T04:10:59.58,1,"(This card is always treated as a ""Zubaba"", ""Gagaga"", ""Gogogo"", and ""Dododo"" card.)<br>If you control a ""Zubaba"", ""Gagaga"", ""Gogogo"", or ""Dododo"" monster and this card is in your hand or GY: You can Special Summon this card, but banish it when it leaves the field. You can banish this card from your GY; return up to 2 Xyz Monsters from your GY to the Extra Deck. You can only use each effect of ""Onomatokage"" once per turn.",,0.01,0.2,4.99,0.09,0.08,1st Edition,DOOD-EN007,Common,DARK,Reptile,Effect Monster,1100,1500,,
