productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
82541,Dragons of Legend Booster Pack,Dragons of Legend Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/82541_200w.jpg,2,1354,https://cpt.tcgcsv.com/R0H,2014-04-24T15:06:28.587,1,5 card booster pack.,14.99,14.99,14.99,14.99,,Normal,,,,,,,
82542,Dragons of Legend Booster Box (24 count),Dragons of Legend Booster Box 24 count,https://tcgplayer-cdn.tcgplayer.com/product/82542_200w.jpg,2,1354,https://cpt.tcgcsv.com/S0H,2014-04-24T15:05:32.103,1,Sealed 24 count box - 5 cards per booster.,882.0,882.0,882.0,,,Normal,,,,,,,
82543,Dragons of Legend Booster Box Case [1st Edition],Dragons of Legend Booster Box Case 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/82543_200w.jpg,2,1354,https://cpt.tcgcsv.com/T0H,2020-08-25T20:34:08.877,0,A sealed case of 12 Sealed Booster Boxes.,,,,,,,,,,,,,
82548,Legendary Knight Timaeus,Legendary Knight Timaeus,https://tcgplayer-cdn.tcgplayer.com/product/82548_200w.jpg,2,1354,https://cpt.tcgcsv.com/-0H,2014-08-29T15:49:19.1,1,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Legend of Heart"", and cannot be Special Summoned by other ways. When this card is Special Summoned: You can target 1 face-up Spell/Trap Card on the field; banish that target. When this card is targeted for an attack: You can target 1 Spell Card in your Graveyard; Set that target.",7.37,8.65,8.7,9.61,,Unlimited,DRLG-EN001,Secret Rare,LIGHT,Warrior,Effect Monster,2800,1800
82548,Legendary Knight Timaeus,Legendary Knight Timaeus,https://tcgplayer-cdn.tcgplayer.com/product/82548_200w.jpg,2,1354,https://cpt.tcgcsv.com/-0H,2014-08-29T15:49:19.1,1,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Legend of Heart"", and cannot be Special Summoned by other ways. When this card is Special Summoned: You can target 1 face-up Spell/Trap Card on the field; banish that target. When this card is targeted for an attack: You can target 1 Spell Card in your Graveyard; Set that target.",2.66,9.12,995.0,8.81,,1st Edition,DRLG-EN001,Secret Rare,LIGHT,Warrior,Effect Monster,2800,1800
82554,Kuribandit,Kuribandit,https://tcgplayer-cdn.tcgplayer.com/product/82554_200w.jpg,2,1354,https://cpt.tcgcsv.com/62H,2014-08-29T15:48:19.01,1,"During the End Phase, if this card was Normal Summoned this turn: You can Tribute this card; excavate the top 5 cards of your Deck, you can add 1 excavated Spell/Trap Card to your hand, also send the remaining cards to the Graveyard.",1.25,1.69,11.75,1.25,,Unlimited,DRLG-EN002,Secret Rare,DARK,Fiend,Effect Monster,1000,700
82554,Kuribandit,Kuribandit,https://tcgplayer-cdn.tcgplayer.com/product/82554_200w.jpg,2,1354,https://cpt.tcgcsv.com/62H,2014-08-29T15:48:19.01,1,"During the End Phase, if this card was Normal Summoned this turn: You can Tribute this card; excavate the top 5 cards of your Deck, you can add 1 excavated Spell/Trap Card to your hand, also send the remaining cards to the Graveyard.",0.43,1.86,14.95,1.61,1.09,1st Edition,DRLG-EN002,Secret Rare,DARK,Fiend,Effect Monster,1000,700
82555,Amulet Dragon,Amulet Dragon,https://tcgplayer-cdn.tcgplayer.com/product/82555_200w.jpg,2,1354,https://cpt.tcgcsv.com/72H,2014-08-29T15:38:56.743,1,"""Dark Magician"" + 1 Dragon-Type monster<br>
Must be Fusion Summoned with the above Fusion Material Monsters or with ""The Eye of Timaeus"", and cannot be Special Summoned by other ways. If this card is Special Summoned: Target any number of Spell Cards in any Graveyard(s); banish those targets, and if you do, this card gains 100 ATK for each card banished by this effect. If this card is destroyed: You can target 1 Spellcaster-Type monster in your Graveyard; Special Summon that target.",6.31,9.99,49.99,10.18,,Unlimited,DRLG-EN003,Secret Rare,DARK,Dragon,Fusion/Effect Monster,2900,2500
82555,Amulet Dragon,Amulet Dragon,https://tcgplayer-cdn.tcgplayer.com/product/82555_200w.jpg,2,1354,https://cpt.tcgcsv.com/72H,2014-08-29T15:38:56.743,1,"""Dark Magician"" + 1 Dragon-Type monster<br>
Must be Fusion Summoned with the above Fusion Material Monsters or with ""The Eye of Timaeus"", and cannot be Special Summoned by other ways. If this card is Special Summoned: Target any number of Spell Cards in any Graveyard(s); banish those targets, and if you do, this card gains 100 ATK for each card banished by this effect. If this card is destroyed: You can target 1 Spellcaster-Type monster in your Graveyard; Special Summon that target.",5.0,10.32,39.99,9.33,,1st Edition,DRLG-EN003,Secret Rare,DARK,Dragon,Fusion/Effect Monster,2900,2500
82556,Dark Magician Girl the Dragon Knight,Dark Magician Girl the Dragon Knight,https://tcgplayer-cdn.tcgplayer.com/product/82556_200w.jpg,2,1354,https://cpt.tcgcsv.com/82H,2014-08-29T15:43:26.17,1,"""Dark Magician Girl"" + 1 Dragon-Type monster<br>
Must be Fusion Summoned with the above Fusion Material Monsters or with ""The Eye of Timaeus"", and cannot be Special Summoned by other ways. Once per turn, during either player's turn: You can send 1 card from your hand to the Graveyard, then target 1 face-up card on the field; destroy that target.",16.01,80.95,899.99,16.0,,Unlimited,DRLG-EN004,Secret Rare,DARK,Dragon,Fusion/Effect Monster,2600,1700
