productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extLinkRating,extLinkArrows,extDefense
209415,Duel Overload Box,Duel Overload Box,https://tcgplayer-cdn.tcgplayer.com/product/209415_200w.jpg,2,2610,https://cpt.tcgcsv.com/kNH2,2020-02-18T21:29:16.06,1,"Prepare your Decks for the biggest collection of brand-new Link Monsters ever! Duel Overload kicks the door down on the last stretch of the 2019-2020 Dueling season with 30 new Link Monsters as well as 26 other new cards, just in time to shake things up for the biggest competitions of the year!
<br>
<br><strong>Contents:</strong>
<br>• 6 Duel Overload booster packs, each with 5 Ultra Rare cards per pack
<br>• 1 of 6 special oversized collectible cards",8371784812,37.24,46.97,71.0,38.61,,Normal,,,,,,,,,
210209,Crystron Halqifibrax,Crystron Halqifibrax,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,2,2610,https://cpt.tcgcsv.com/c6J2,2025-04-07T07:50:15.353,1,"2 monsters, including a Tuner
<br>If this card is Link Summoned: You can Special Summon 1 Level 3 or lower Tuner from your hand or Deck in Defense Position, but it cannot activate its effects this turn. During your opponent's Main Phase or Battle Phase (Quick Effect): You can banish this card you control; Special Summon 1 Tuner Synchro Monster from your Extra Deck. (This is treated as a Synchro Summon.) You can only use each effect of ""Crystron Halqifibrax"" once per turn.",,0.14,0.93,90.0,0.93,0.64,1st Edition,DUOV-EN001,Ultra Rare,WATER,Machine,Link/Effect Monster,1500,2,Bottom-Right;Bottom-Left,
210210,Celestial Knightlord Parshath,Celestial Knightlord Parshath,https://tcgplayer-cdn.tcgplayer.com/product/210210_200w.jpg,2,2610,https://cpt.tcgcsv.com/d6J2,2020-03-18T14:39:52.853,1,"2+ Fairy monsters
<br>You can discard 1 card; add 1 ""The Sanctuary in the Sky"", or 1 card that specifically lists ""The Sanctuary in the Sky"" in its text, from your Deck to your hand, or, if ""The Sanctuary in the Sky"" is on the field, you can add 1 Fairy monster instead. If another face-up Fairy monster you control is sent to the GY (except during the Damage Step): You can banish 1 Fairy monster from your GY; Special Summon 1 Fairy monster from your hand whose Level is higher than the banished monster's. You can only use each effect of ""Celestial Knightlord Parshath"" once per turn.",,0.93,1.5,7.99,1.21,1.26,1st Edition,DUOV-EN002,Ultra Rare,LIGHT,Fairy,Link/Effect Monster,2400,3,Bottom-Right;Bottom;Bottom-Left,
210211,Alien Shocktrooper M-Frame,Alien Shocktrooper M Frame,https://tcgplayer-cdn.tcgplayer.com/product/210211_200w.jpg,2,2610,https://cpt.tcgcsv.com/f6J2,2024-07-26T17:51:27.107,1,"2 Reptile monsters
<br>(Quick Effect): You can discard 1 monster; place A-Counters equal to its original Level on face-up monster(s) on the field, distributed as you wish. If this card is destroyed by battle or card effect and sent to the GY: You can Special Summon non-Link Reptile monsters with different names from your GY, up to the number of monsters your opponent controls with A-Counters. You can only use each effect of ""Alien Shocktrooper M-Frame"" once per turn.",,0.1,0.41,5.0,0.3,0.39,1st Edition,DUOV-EN003,Ultra Rare,LIGHT,Reptile,Link/Effect Monster,1900,2,Bottom-Right;Bottom-Left,
210212,D/D/D Abyss King Gilgamesh,D D D Abyss King Gilgamesh,https://tcgplayer-cdn.tcgplayer.com/product/210212_200w.jpg,2,2610,https://cpt.tcgcsv.com/g6J2,2024-07-26T17:51:27.13,1,"2 ""D/D"" monsters
<br>If this card is Special Summoned: You can activate this effect; you cannot Special Summon monsters for the rest of this turn, except ""D/D"" monsters, also place 2 ""D/D"" Pendulum Monsters with different names from your Deck in your Pendulum Zones, and if you do, take 1000 damage. If this Link Summoned card is destroyed by battle with an opponent's attacking monster, or by an opponent's card effect while in its owner's Monster Zone: You can Special Summon 1 ""D/D"" monster from your Extra Deck or GY in Defense Position. You can only use each effect of ""D/D/D Abyss King Gilgamesh"" once per turn.",,0.7,3.23,19.96,1.98,2.3,1st Edition,DUOV-EN004,Ultra Rare,DARK,Fiend,Link/Effect Monster,1800,2,Bottom-Right;Bottom-Left,
210213,Raidraptor - Wise Strix,Raidraptor Wise Strix,https://tcgplayer-cdn.tcgplayer.com/product/210213_200w.jpg,2,2610,https://cpt.tcgcsv.com/h6J2,2020-03-18T14:47:03.5,1,"2 DARK Winged Beast monsters
<br>If this card is Link Summoned: You can Special Summon 1 Level 4 DARK Winged Beast monster from your Deck in Defense Position, but negate its effects, also it cannot be used as Link Material. If your ""Raidraptor"" Xyz Monster's effect is activated: Set 1 ""Rank-Up-Magic"" Spell directly from your Deck, and if it is a Quick-Play Spell, it can be activated this turn. You can only use each effect of ""Raidraptor - Wise Strix"" once per turn.",,0.1,0.7,10.0,0.63,,1st Edition,DUOV-EN005,Ultra Rare,DARK,Winged Beast,Link/Effect Monster,1400,2,Bottom-Right;Bottom-Left,
210214,Condemned Darklord,Condemned Darklord,https://tcgplayer-cdn.tcgplayer.com/product/210214_200w.jpg,2,2610,https://cpt.tcgcsv.com/j6J2,2022-05-21T03:26:56.997,1,"2 Fairy monsters
<br>You can Tribute Summon Fairy monsters that require 2 Tributes by banishing 2 monsters from your GY instead of Tributing (it is still treated as a Tribute Summon). You can discard 1 card; take 1 ""Darklord"" monster from your Deck, and either add it to your hand or send it to the GY. You can only use this effect of ""Condemned Darklord"" once per turn. Once per turn, during your End Phase: Gain 500 LP for each Fairy monster on the field.",,13.0,18.0,99.99,14.16,,1st Edition,DUOV-EN006,Ultra Rare,DARK,Fairy,Link/Effect Monster,1600,2,Bottom-Right;Bottom-Left,
210215,Five-Headed Link Dragon,Five Headed Link Dragon,https://tcgplayer-cdn.tcgplayer.com/product/210215_200w.jpg,2,2610,https://cpt.tcgcsv.com/k6J2,2020-03-18T14:50:15.2,1,"5 monsters
<br>Must be Link Summoned. If this card is Link Summoned using DARK, EARTH, WATER, FIRE, and WIND Attributes: You can destroy all cards your opponent controls. Cannot be destroyed by battle with a DARK, EARTH, WATER, FIRE, or WIND monster. Unaffected by other cards' effects. Once per turn, during your opponent's End Phase: You must banish 5 cards from your GY face-down (this is not optional), or send this card to the GY.",,0.85,1.32,14.97,1.08,1.13,1st Edition,DUOV-EN007,Ultra Rare,DARK,Dragon,Link/Effect Monster,5000,5,Bottom-Right;Left;Bottom;Bottom-Left;Right,
210216,Protector Whelp of the Destruction Swordsman,Protector Whelp of the Destruction Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/210216_200w.jpg,2,2610,https://cpt.tcgcsv.com/l6J2,2022-12-10T10:59:07.72,1,"2 monsters
<br>If this card is Link Summoned: You can send 1 ""Destruction Sword"" card from your Deck to the GY, then, you can Special Summon 1 ""Buster Blader"" monster from your hand. At the end of your Battle Phase, if your opponent controls no monsters: You can target 1 ""Buster Blader"" monster you control that did not declare an attack this turn; inflict damage to your opponent equal to that monster's ATK. You can only use each effect of ""Protector Whelp of the Destruction Swordsman"" once per turn.",,0.35,0.6,8.08,0.43,,1st Edition,DUOV-EN008,Ultra Rare,DARK,Dragon,Link/Effect Monster,400,2,Bottom-Right;Bottom-Left,
210217,Union Carrier,Union Carrier,https://tcgplayer-cdn.tcgplayer.com/product/210217_200w.jpg,2,2610,https://cpt.tcgcsv.com/m6J2,2024-03-21T14:18:15.4,1,"2 monsters with the same Type or Attribute
<br>Cannot be used as Link Material the turn it is Link Summoned. You can target 1 face-up monster you control; equip 1 monster to it from your hand or Deck with its same original Type or Attribute. The equipped monster gains 1000 ATK. If you equipped it from the Deck, you cannot Special Summon monsters with that Equip Card's name for the rest of this turn. You can only use this effect of ""Union Carrier"" once per turn.",,1.0,3.66,29.99,1.57,3.47,1st Edition,DUOV-EN009,Ultra Rare,LIGHT,Machine,Link/Effect Monster,1000,2,Bottom;Right,
